symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.26655685487,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.13280766367,5.13445780758e-06,0.0796970540892
CG30089,6.11074137245,0.0,5.13445780758e-06,0.0796970540892
GV1,9.45077113859,0.0,5.13445780758e-06,0.0796970540892
klg,0.0,9.42111767684,9.15336830931e-06,0.142078582897
CG42339,0.0,10.1605321184,1.46238770616e-05,0.22699181975
bru-3,8.43134937715,0.0,1.46238770616e-05,0.22699181975
twz,11.5168531155,8.81129899722,1.82922767695e-05,0.283932720016
Fas2,9.05704352826,10.5656699016,1.82922767695e-05,0.283932720016
dpr6,9.05480242779,0.0,1.87923035691e-05,0.291694136
C15,10.1206585481,0.0,1.87923035691e-05,0.291694136
PVRAP,5.97333311228,0.0,1.87923035691e-05,0.291694136
Cow,3.1607421482,9.99623808391,2.78712282901e-05,0.43261720552
CR44978,7.62184142844,0.0,3.98264953155e-05,0.618186860287
Ac76E,8.59016202914,0.0,4.58679335698e-05,0.711962064871
Ca-alpha1T,7.91374125935,0.0,7.39782380629e-05,1.14829021121
CG32204,0.0,8.29023122193,0.00011600356004,1.80060725894
GstD1,0.0,8.14179571115,0.00011600356004,1.80060725894
hth,9.66959440161,11.3326836174,0.000123103116411,1.91080657294
Ptp99A,7.97491580529,2.99841862399,0.000152167966278,2.36195117257
CCKLR-17D3,8.19772829953,0.0,0.000188639994557,2.92806999551
Fas3,7.2030519375,0.0,0.000191695863289,2.97550318997
dpr11,5.86359781075,0.0,0.000191695863289,2.97550318997
run,7.84602748023,0.0,0.000191695863289,2.97550318997
CG42342,7.8575918019,10.2365528337,0.000192101013517,2.98179193182
CG30463,0.0,4.72439917569,0.00019433835008,3.01651986994
Ktl,0.0,9.73558395555,0.000208451288533,3.23558090061
rdo,8.34023328956,0.0,0.000302203756243,4.69080670441
Hasp,7.25694005795,0.0,0.000481941769935,7.48070015293
Mtap,4.17886563298,0.0,0.000542166280837,8.41550501115
Scp2,0.0,5.20503741977,0.000542166280837,8.41550501115
acj6,4.93411934948,0.0,0.000542166280837,8.41550501115
CG6959,6.80102028658,0.0,0.000542166280837,8.41550501115
Xrp1,6.98468030327,0.0,0.000542166280837,8.41550501115
heph,6.42981744592,0.0,0.000542166280837,8.41550501115
NPFR,6.7630879791,0.0,0.000542166280837,8.41550501115
tsh,0.0,5.74288120491,0.000542166280837,8.41550501115
pros,11.4131674276,10.5483257372,0.00055308909204,8.58504888665
CycG,10.2843655851,11.1014824175,0.00055308909204,8.58504888665
ara,8.33505993717,0.0,0.00058095302954,9.01755292451
CG34380,9.57722735571,1.06347981964,0.000644725598377,10.007430738
CG6597,6.90613418789,0.0,0.000741696486829,11.5126128686
CG3625,9.46616287219,10.8394334306,0.000826019728117,12.8214782198
CG31221,8.12508192281,0.62763389564,0.000882615531441,13.699958279
otk,8.13264178611,0.0,0.0010075321246,15.6389136381
CG5168,0.0,8.40720985454,0.00111189349193,17.2588107817
SmB,7.85194854316,6.20421883749,0.00121571023979,18.870254342
beat-VI,0.0,7.09594799437,0.00126291265293,19.6029301988
Cbp53E,0.0,8.60751014973,0.00126291265293,19.6029301988
fru,0.0,7.34166626801,0.00126291265293,19.6029301988
Prpk,7.21732932605,0.0,0.00126291265293,19.6029301988
CG12858,6.02936298179,0.0,0.00130526710377,20.2603559847
CG31638,7.04483489739,0.0,0.00132692743138,20.5965675898
CG15111,0.0,8.4315854092,0.00137316776791,21.3143100934
Nplp1,3.24304072724,0.0,0.00142779274305,22.1621989576
CG11221,5.6603970531,0.0,0.00142779274305,22.1621989576
spri,0.845202980512,0.0,0.00142779274305,22.1621989576
wac,0.0,3.38315542387,0.00142779274305,22.1621989576
TyrRS,6.91896455422,0.0,0.00142779274305,22.1621989576
TrissinR,0.0,5.04387455197,0.00142779274305,22.1621989576
CG10947,6.3253880703,0.0,0.00142779274305,22.1621989576
CG31814,2.86351661928,0.0,0.00142779274305,22.1621989576
DIP-theta,0.0,8.32417339713,0.00142779274305,22.1621989576
IP3K2,0.0,5.67197497728,0.00142779274305,22.1621989576
CG2201,0.0,1.73559700276,0.00142779274305,22.1621989576
A2bp1,8.69675925006,6.65606936932,0.00146044673523,22.6690542243
Msp300,8.64732788652,6.48718364136,0.00146972308396,22.8130417092
CG33543,0.0,9.94932365125,0.00150721646069,23.3950139029
Lnk,6.52919791706,0.0,0.00156917424068,24.3567225639
CG42747,8.94266672183,0.0,0.00166511987523,25.8459907033
CG42541,9.32191921971,6.78833879903,0.00177491931746,27.5502976456
Gprk2,8.56641652291,5.38651653014,0.00181311024187,28.1430971743
CG8481,7.56195650171,0.841697561075,0.00190593953565,29.5839934724
beat-Va,6.5770225797,0.0,0.00196453706682,30.4935443511
dpr8,4.7121064158,0.0,0.00196453706682,30.4935443511
CG31997,0.0,8.05437331218,0.00201257007866,31.239112761
Clamp,0.0,7.84900482065,0.00201257007866,31.239112761
hpo,0.0,8.04959222418,0.00201257007866,31.239112761
glob1,9.09965874336,5.91254938537,0.00204982228844,31.8173415611
CG3160,0.497472049041,8.99567867577,0.0022921955282,35.5794589887
pHCl,0.561670442365,7.54693802955,0.0022921955282,35.5794589887
nAChRalpha3,6.78896316166,0.0,0.00242787202676,37.6854295993
Pxn,9.72918326527,7.6454343648,0.00250604271143,38.8987949668
CG1317,8.67357841815,5.99561736128,0.00253472786605,39.3440459369
spi,9.52229810688,7.83853714154,0.00253472786605,39.3440459369
Pdcd4,10.3598610621,11.3086848557,0.0025539527125,39.6424540034
Dg,5.24732304161,0.0,0.0026641228572,41.3525149895
nAChRalpha2,7.48925446762,9.61666395655,0.00299439011492,46.4789233637
mirr,9.21722544814,4.82764089282,0.0031244049632,48.4970138387
trn,8.45130796,0.0,0.00340824673532,52.9028058256
B4,4.82454511284,1.18387334036,0.00341170718464,52.95651892
CG8184,6.03817757139,0.0,0.00344965301637,53.54551412
Catsup,1.5146637418,0.0,0.00352705120034,54.7468887317
CG14710,0.0,0.619903879575,0.00352705120034,54.7468887317
CG11317,0.0,1.4663601119,0.00352705120034,54.7468887317
Tsr1,2.19883590196,0.0,0.00352705120034,54.7468887317
Nsun2,1.45403647622,0.0,0.00352705120034,54.7468887317
Kank,0.0,2.36626351346,0.00352705120034,54.7468887317
CCKLR-17D1,1.25725491896,0.0,0.00352705120034,54.7468887317
CG10019,0.0,3.0970940317,0.00359044554028,55.7308956763
GAL4,0.0,5.60479296995,0.00364894251992,56.6388857942
Pde9,4.97767519756,1.40463265372,0.00372253114903,57.7811284952
rgn,0.0,6.96301528275,0.00373444360938,57.9660337047
CG4645,5.19768269018,0.0,0.00373444360938,57.9660337047
Oscillin,7.13157152922,0.0,0.00373444360938,57.9660337047
CG14407,6.47311523173,0.0,0.00374224898317,58.0871887168
l(1)G0289,0.551627652565,8.06250162855,0.00391260416836,60.7314419014
rdgA,1.1463327873,5.8339630725,0.00405851819082,62.9963193579
Ten-a,6.40229963204,7.75808900111,0.00430777905941,66.8653465602
RpL3,10.83418522,10.0086988264,0.00430777905941,66.8653465602
CG43191,0.0,1.31560402225,0.00447257634231,69.4233299853
CG31323,2.96626556363,0.0,0.00447257634231,69.4233299853
Dh44-R1,0.0,7.31634520334,0.00450661135093,69.9516213891
Syn,6.5334974888,0.380019372115,0.00464668781242,72.1258882244
endos,8.35158152595,6.50161872527,0.00501472614484,77.8385792202
Pka-R2,7.57162246122,3.18124953736,0.00501472614484,77.8385792202
AMPdeam,8.77513001782,10.0465419541,0.00508834087578,78.9812270738
FK506-bp2,10.0977971628,9.45755331199,0.00509655249555,79.108687836
Mical,3.44754978924,0.0,0.00540745351568,83.9344934703
Gk2,8.07849360465,0.0,0.00545841288083,84.7254847362
CG10384,0.0,4.55988090458,0.00545841288083,84.7254847362
CG2091,0.0,3.89685921585,0.00545841288083,84.7254847362
Pat1,7.18607450405,0.0,0.00570910433234,88.6167174465
Strip,6.68334565055,0.0,0.00571579258186,88.7205324556
Rab4,6.85979357362,7.9056553639,0.00582677971481,90.4432747333
Srp14,5.27729053985,1.03903465438,0.00586160832233,90.9838843792
caup,7.7177063819,0.0,0.00592082091217,91.9029821987
CG14762,10.3953653982,8.62940250097,0.00600211729593,93.1648646674
Eno,9.52233562268,8.03755046806,0.00600211729593,93.1648646674
ND-39,8.65885167464,9.61812788368,0.00601141270381,93.3091479885
AP-1-2beta,10.3832919214,9.6876697783,0.00601141270381,93.3091479885
Atg8a,9.92066413168,10.3630833875,0.00601141270381,93.3091479885
cpo,11.6817159846,10.7241313839,0.00601141270381,93.3091479885
RpS25,10.0600814185,9.40414614796,0.00601141270381,93.3091479885
RpL40,10.148420725,9.48245776934,0.00601141270381,93.3091479885
CG7985,0.678027432435,8.35878250216,0.00621296200904,96.4375963044
pzg,6.18855676997,0.0,0.00640153135102,99.3645696306
Rim2,2.9069827563,0.0,0.0064436900087,100.018956315
CG14270,0.0,6.45497576943,0.0064649498014,100.348950817
128up,6.45154461273,0.0,0.00653613018271,101.453812696
tant,0.0,4.31240181617,0.00653613018271,101.453812696
otk2,6.00616689497,0.0,0.00663282670479,102.954736112
Atg18a,7.98810927311,0.0,0.0067947678321,105.46838629
Syn2,6.76107743301,3.89900294046,0.00686066545951,106.491249262
CG15522,3.88836709465,0.0,0.00692625716683,107.509363743
Ten-m,6.1495812667,0.0,0.00692625716683,107.509363743
snf,5.60204430463,7.16502906735,0.00702709940089,109.074636901
CG12025,9.31600297025,8.08888071511,0.00702709940089,109.074636901
CG13917,8.20770005085,2.92208821767,0.00702709940089,109.074636901
fax,9.5789800329,10.5419875895,0.00706898472796,109.724780947
mt:ATPase8,5.1321778262,3.93252667044,0.00706898472796,109.724780947
RFeSP,9.85881744233,9.03553627096,0.00706898472796,109.724780947
CG43222,7.53854244357,6.36839441555,0.00706898472796,109.724780947
CG5532,7.2257330566,4.98431611291,0.00754608265317,117.130294943
CG7564,7.20749090121,0.0,0.00761334768996,118.174382844
Sema-2b,8.63760139686,6.98747124483,0.00764579663351,118.678055345
Art1,0.0,7.96696158753,0.00781736611063,121.341156769
kek5,5.62619871274,0.0,0.00781736611063,121.341156769
tutl,7.73331002094,0.0,0.00815814803603,126.630773815
