symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,5.54897932283,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.75434288285,5.13445780758e-06,0.0796970540892
GV1,9.94855222031,0.0,7.09569794446e-06,0.110139423494
klg,0.0,9.53358323689,9.15336830931e-06,0.142078582897
bru-3,8.37319883199,0.0,1.46238770616e-05,0.22699181975
CG42339,0.0,10.5046385476,1.68616240509e-05,0.261726128517
twz,11.41158199,8.60181421858,1.80085268433e-05,0.279528353662
CG42342,7.83232560382,10.8533212738,1.82210136462e-05,0.282826573817
C15,10.341636877,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,9.47508855221,1.87923035691e-05,0.291694136
hth,9.79836045648,11.4208252342,3.82914473375e-05,0.594359845572
rdo,8.4550476714,0.0,3.92892831811e-05,0.609848253538
ara,8.49357157131,0.0,5.07461880929e-05,0.787682331577
PVRAP,5.46253678981,0.0,6.2654363942e-05,0.972521037107
CG32164,3.99417619864,0.0,6.2654363942e-05,0.972521037107
CG42747,9.28417356927,0.0,6.44528980183e-05,1.00043788304
CG33543,0.0,10.176913539,8.15947380484e-05,1.26651352399
Cow,3.1607421482,9.79381051698,9.19345635454e-05,1.42700829535
CG9776,7.13078262576,0.0,0.000114191513836,1.77248067777
fru,0.0,9.1483617419,0.00011600356004,1.80060725894
Ca-alpha1T,8.41161116309,0.0,0.000132597583797,2.05817969569
nAChRalpha3,6.94009790622,0.0,0.000136211739994,2.11427862819
Ten-m,6.26812726564,0.0,0.000144239577964,2.23888672916
Mhcl,4.1537519582,0.0,0.000148206009967,2.30045368671
Ktl,0.0,9.30797421338,0.000166728382707,2.58795795638
caup,7.87669325576,0.0,0.000191427754366,2.97134160328
acj6,6.41275844428,0.0,0.000191695863289,2.97550318997
tsh,0.0,6.54662458259,0.000191695863289,2.97550318997
CG30463,0.0,4.91681624004,0.00019433835008,3.01651986994
CR44978,7.28091676265,1.94720139935,0.000268413593425,4.16631579714
mRpL14,6.22765264434,0.0,0.000275036562097,4.26911751687
sun,6.60521252758,5.04610902528,0.000296021072947,4.59483909429
Rpn12,6.99021887803,0.0,0.000376532512733,5.84453766264
CCKLR-17D3,7.02220893413,0.0,0.000380367227827,5.90406011033
Ptp99A,8.26685281034,2.98767084732,0.000438924708267,6.81298932172
Msp300,8.91969307505,6.09774803026,0.000449304376389,6.9741025303
CG34362,6.0947430061,0.0,0.000481941769935,7.48070015293
beat-VI,0.0,8.60409748983,0.000505276606553,7.84290348691
Ret,0.0,4.203504353,0.000542166280837,8.41550501115
run,7.44294585244,0.0,0.000542166280837,8.41550501115
heph,6.06943068808,0.0,0.000542166280837,8.41550501115
Mical,2.19904107043,0.0,0.000542166280837,8.41550501115
mgl,4.88248221865,0.0,0.000606251512059,9.41023597018
CG34356,4.52541007285,0.0,0.000614632174771,9.5403206168
otk,8.13264178611,2.35709503444,0.000621214340659,9.6424889957
Hsp26,11.3398906401,12.014317903,0.000676970721546,10.5079395398
Syn2,6.39622542725,0.0,0.000722323516879,11.211905629
dpr6,9.05480242779,0.0,0.000746609897836,11.5888788342
A2bp1,8.22243500388,3.0270390641,0.000787953959844,12.2306213647
CG33156,5.35057879826,0.0,0.000827498854029,12.8444372122
pHCl,0.0,6.75137886727,0.000827498854029,12.8444372122
CG11448,8.60627249049,6.56685282566,0.000982205636211,15.2457958853
CG31814,5.10559794976,0.0,0.000986770339198,15.316649205
Nlp,8.84017148975,7.69866129435,0.000995695028697,15.4551782354
Fas2,9.05704352826,10.1962893954,0.00100475242783,15.5957671848
pros,11.4131674276,10.6152498737,0.00121836740449,18.9114988526
Cbp53E,0.0,5.50022282009,0.00126291265293,19.6029301988
GstD1,0.0,5.54072207811,0.00126291265293,19.6029301988
Ac76E,8.59016202914,0.0,0.00135089837356,20.9686445544
CG31997,0.0,8.1744714349,0.00137316776791,21.3143100934
Hrb87F,7.6206606235,0.0,0.00138410255674,21.4840398857
Tsp5D,0.0,5.44357509633,0.00142779274305,22.1621989576
kek3,6.20373744351,0.0,0.00142779274305,22.1621989576
Scp2,0.0,3.74395218359,0.00142779274305,22.1621989576
Gyc-89Db,3.92772693843,0.0,0.00142779274305,22.1621989576
CG5004,1.91465583676,0.0,0.00142779274305,22.1621989576
CG6959,4.24342002012,0.0,0.00142779274305,22.1621989576
Trim9,5.35123249665,0.0,0.00142779274305,22.1621989576
MAN1,2.070545674,0.0,0.00142779274305,22.1621989576
DIP-theta,0.0,5.24049770486,0.00142779274305,22.1621989576
nuf,2.04941591316,0.0,0.00142779274305,22.1621989576
CG16868,6.23260383441,0.0,0.00142779274305,22.1621989576
IP3K2,0.0,9.8116964252,0.00142779274305,22.1621989576
TrissinR,0.0,6.44652813659,0.00142779274305,22.1621989576
CG17364,5.24242065899,0.0,0.00142779274305,22.1621989576
mRpS2,5.60165862143,0.0,0.00151213077469,23.4712938847
CG14407,5.69882514077,0.0,0.00156917424068,24.3567225639
mRpL15,6.40841934834,0.0,0.00156917424068,24.3567225639
CG34380,9.80068239665,3.41681955645,0.00165136891435,25.6325482885
Pde9,3.84398330406,0.0,0.00169115023202,26.2500339014
CG4629,6.32847452612,0.0,0.00169115023202,26.2500339014
28SrRNA-Psi:CR45851,1.30255157747,0.0,0.00169115023202,26.2500339014
CG13594,0.0,8.12642469766,0.00194175002269,30.1398438521
KLHL18,8.22253880683,0.0,0.00201257007866,31.239112761
Gprk2,8.57013304457,0.0,0.00201257007866,31.239112761
Pka-R2,7.61547511858,3.05765303862,0.00204982228844,31.8173415611
Tsp96F,8.38065907391,5.38070885288,0.00211572035207,32.8402113049
RpL29,7.01041993783,5.68166042537,0.00213238245702,33.0988404978
FK506-bp2,9.99805386814,9.67007684914,0.00213238245702,33.0988404978
UQCR-Q,9.39644478924,8.56410066186,0.00213238245702,33.0988404978
Mp,8.56651698841,0.0,0.00221073834775,34.3150806338
apt,0.0,8.85595653958,0.00237816800051,36.9139237038
Nsf2,6.62736191237,0.0,0.00239300692391,37.1442534729
hbs,8.06062969017,1.55912165316,0.00245863997421,38.1630096797
rgn,0.0,6.96301528275,0.00252281894047,39.159195594
SamDC,5.81655088967,0.0,0.00252281894047,39.159195594
Gadd34,0.0,8.70956849745,0.00252281894047,39.159195594
kra,11.2604809715,10.1341224612,0.0025539527125,39.6424540034
CG12950,5.73671865891,0.0,0.0026641228572,41.3525149895
Eno,9.2395711318,7.49395822381,0.00293985221537,45.632386087
glob1,9.14870217955,2.88609434693,0.00293985221537,45.632386087
COX8,9.03071480554,8.2343424566,0.00304947296561,47.3339193722
CG3625,9.69991810687,10.7098067167,0.00304947296561,47.3339193722
CG1598,6.50910970542,0.0,0.00307529397712,47.7347131128
Gug,7.56975332342,0.0,0.00331651673921,51.4789728259
CG9368,8.10085023908,0.0,0.00340824673532,52.9028058256
beat-Vb,7.56824563947,0.0,0.00344965301637,53.54551412
CG8064,2.0026354358,0.0,0.00352705120034,54.7468887317
CG42238,0.500650452085,0.0,0.00352705120034,54.7468887317
CG3808,2.93824764757,0.0,0.00352705120034,54.7468887317
CCKLR-17D1,1.25725491896,0.0,0.00352705120034,54.7468887317
CG34354,1.8171233438,0.0,0.00352705120034,54.7468887317
CG13623,1.60469244767,0.0,0.00352705120034,54.7468887317
CG31826,0.59088758484,0.0,0.00352705120034,54.7468887317
dpr2,1.55311924875,0.0,0.00352705120034,54.7468887317
CG32165,0.561670442365,0.0,0.00352705120034,54.7468887317
CR32111,1.07611885758,0.0,0.00352705120034,54.7468887317
CG43740,0.60597054635,0.0,0.00352705120034,54.7468887317
Pvr,0.0,0.679824432925,0.00352705120034,54.7468887317
CG9896,0.0,0.512118509075,0.00352705120034,54.7468887317
sdt,0.0,0.619903879575,0.00352705120034,54.7468887317
CG11221,2.45768444941,0.0,0.00352705120034,54.7468887317
CG9044,1.05227810465,0.0,0.00359044554028,55.7308956763
AMPdeam,8.55215999869,9.98946571226,0.00362364234065,56.2461764115
Bsg,8.77702923602,7.28690768741,0.0036299774941,56.3445106633
kek2,3.40720862235,0.0,0.00364894251992,56.6388857942
Cdc27,4.8704708953,0.0,0.00364894251992,56.6388857942
CG32204,0.0,6.16422368623,0.00364894251992,56.6388857942
Nhe2,1.11329809493,0.0,0.00364894251992,56.6388857942
CG13609,6.22524769872,0.0,0.00374224898317,58.0871887168
MESR6,8.11911449156,0.0,0.00374224898317,58.0871887168
stj,8.51440059602,6.25298864974,0.00388846980714,60.3568283465
Hasp,6.66934302703,0.0,0.0041336439511,64.162421409
Strip,6.12409647904,0.0,0.0041336439511,64.162421409
CG5168,0.0,8.13541167085,0.00415787213509,64.5384912809
fabp,9.53243124949,8.93495881811,0.00430777905941,66.8653465602
Dlip2,0.0,4.06009535052,0.00447257634231,69.4233299853
Dab,3.3301372921,0.0,0.00447257634231,69.4233299853
tamo,3.96178461898,0.0,0.00447257634231,69.4233299853
dpr11,3.50838527088,0.0,0.00447257634231,69.4233299853
sda,0.0,4.4052943898,0.00451760512169,70.1222666989
Pglym78,8.16297771087,0.0,0.00457076610572,70.9474314929
CG9941,0.0,8.88717415729,0.00494472589418,76.7520353295
CG42750,6.79017213451,0.0,0.00494472589418,76.7520353295
RpS6,9.8044567319,9.49532346389,0.00509655249555,79.108687836
CG8042,6.07742801243,0.0,0.0053005570512,82.2752465487
NPFR,7.13020123382,0.0,0.0053005570512,82.2752465487
CG14372,5.53238787841,0.0,0.00540745351568,83.9344934703
CG4080,7.38439999921,0.0,0.00540745351568,83.9344934703
mGluR,1.79103706059,0.0,0.00545841288083,84.7254847362
CG43191,0.0,0.899323110796,0.00545841288083,84.7254847362
sano,3.70839402516,0.0,0.00545841288083,84.7254847362
Nplp1,3.24304072724,0.0,0.00545841288083,84.7254847362
CG7289,8.45396698566,0.0,0.00570910433234,88.6167174465
Srpk79D,6.78969482434,8.15736890348,0.00582677971481,90.4432747333
CG34132,6.62350465704,3.10561463554,0.00582677971481,90.4432747333
IP3K1,1.95328870202,0.0,0.00586160832233,90.9838843792
Tom70,8.56623423656,0.0,0.00586160832233,90.9838843792
CG13551,8.45765440889,9.37438476069,0.00601141270381,93.3091479885
Rab3,9.80735030051,9.05142963755,0.00601141270381,93.3091479885
Cisd2,7.03286138335,3.33574013165,0.00617968770751,95.9211125959
CG15522,3.88836709465,0.0,0.00621296200904,96.4375963044
dop,6.96446126398,0.0,0.00640153135102,99.3645696306
M1BP,0.0,6.73029837673,0.00640153135102,99.3645696306
osp,4.53614116385,0.0,0.0064649498014,100.348950817
Dh44-R1,0.0,6.19709877592,0.0064649498014,100.348950817
CG33774,5.07069896717,1.02349942597,0.00649274409288,100.78037381
ERR,0.0,6.56942121386,0.00663282670479,102.954736112
CG13484,2.39964384452,0.0,0.00663282670479,102.954736112
Syt12,2.44256179897,8.58903715409,0.00686066545951,106.491249262
ND-B12,7.93403640075,6.73839149194,0.00705850305669,109.562084446
CG14762,10.366499216,9.84382510992,0.00705850305669,109.562084446
RpL41,7.60712787821,6.68875912908,0.00706898472796,109.724780947
Hrb98DE,10.522937261,9.58254458322,0.00706898472796,109.724780947
nolo,9.41222149111,7.95774199652,0.00706898472796,109.724780947
kek1,7.14715985425,8.308359746,0.00706898472796,109.724780947
CG5514,0.0,3.06654215634,0.00781736611063,121.341156769
RyR,1.10572617828,0.0,0.00781736611063,121.341156769
d4,7.90573545333,1.93919568622,0.00787960493564,122.307227811
bonsai,3.31248636177,0.0,0.00802528727053,124.568509013
otk2,6.00616689497,0.0,0.00802528727053,124.568509013
CG42450,3.47549339553,0.0,0.00802528727053,124.568509013
HIPP1,5.98448412927,0.0,0.00805893116142,125.090729488
ras,8.28437946965,0.0,0.00805893116142,125.090729488
CG45263,6.45311352302,0.0,0.00805893116142,125.090729488
CG9849,0.0,0.0,0.00823657790279,127.848162207
nsl1,0.0,0.0,0.00823657790279,127.848162207
Dnz1,0.0,0.0,0.00823657790279,127.848162207
CG5590,0.0,0.0,0.00823657790279,127.848162207
Afti,0.0,0.0,0.00823657790279,127.848162207
rdgBbeta,0.0,0.0,0.00823657790279,127.848162207
IleRS-m,0.0,0.0,0.00823657790279,127.848162207
RfC4,0.0,0.0,0.00823657790279,127.848162207
Rrp4,0.0,0.0,0.00823657790279,127.848162207
CG2199,0.0,0.0,0.00823657790279,127.848162207
18SrRNA-Psi:CR41602,0.0,0.0,0.00823657790279,127.848162207
CG2201,0.0,0.0,0.00823657790279,127.848162207
CG6282,0.0,0.0,0.00823657790279,127.848162207
CG7326,0.0,0.0,0.00823657790279,127.848162207
Gmap,0.0,0.0,0.00823657790279,127.848162207
CG7206,0.0,0.0,0.00823657790279,127.848162207
Arc42,0.0,0.0,0.00823657790279,127.848162207
CR15345,0.0,0.0,0.00823657790279,127.848162207
CG11122,0.0,0.0,0.00823657790279,127.848162207
CG6005,0.0,0.0,0.00823657790279,127.848162207
wac,0.0,0.0,0.00823657790279,127.848162207
CG32354,0.0,0.0,0.00823657790279,127.848162207
Kank,0.0,0.0,0.00823657790279,127.848162207
dgt1,0.0,0.0,0.00823657790279,127.848162207
vvl,0.0,0.0,0.00823657790279,127.848162207
klu,0.0,0.0,0.00823657790279,127.848162207
Dip-C,0.0,0.0,0.00823657790279,127.848162207
Bmcp,0.0,0.0,0.00823657790279,127.848162207
CG11317,0.0,0.0,0.00823657790279,127.848162207
Adk1,0.0,0.0,0.00823657790279,127.848162207
CG12659,0.0,0.0,0.00823657790279,127.848162207
Cyp9c1,0.0,0.0,0.00823657790279,127.848162207
GatA,0.0,0.0,0.00823657790279,127.848162207
Tsr1,0.0,0.0,0.00823657790279,127.848162207
Taf6,0.0,0.0,0.00823657790279,127.848162207
ko,0.0,0.0,0.00823657790279,127.848162207
dpr3,0.0,0.0,0.00823657790279,127.848162207
Tnks,0.0,0.0,0.00823657790279,127.848162207
beat-Va,6.36576541371,0.0,0.0082400050643,127.901358608
caps,5.62027708413,0.0,0.0082400050643,127.901358608
DopEcR,8.39327997468,6.51213129877,0.00824041168623,127.907670194
RpL3,10.7965291803,9.71908185884,0.00828746337493,128.638006506
Sec61alpha,8.19897250675,9.8084020854,0.00828746337493,128.638006506
Ten-a,5.92342715439,7.39692863425,0.00828746337493,128.638006506
XNP,8.41662643256,5.98985486803,0.0085313207872,132.423161259
Rpn3,8.04210711582,0.44137701068,0.0089600468541,139.077847269
CG11638,0.0,4.66982501221,0.00896604537191,139.170956263
Sec10,7.1295977172,0.0,0.00914149983987,141.894360514
cbs,7.45824160486,0.0,0.00914149983987,141.894360514
CG4407,0.0,6.41983972726,0.00922543868928,143.197259335
CG14182,7.92367902409,6.43627652919,0.00942455500723,146.287942822
CG13298,8.34049558462,7.27150982412,0.00963401099964,149.539118736
eIF4G2,3.3485677838,0.0,0.00966848626792,150.074243851
Oseg4,0.929946792078,0.0,0.00966848626792,150.074243851
CycG,10.2843655851,10.9662148099,0.0096866596658,150.356331332
RpL10,9.81020578979,9.07474220052,0.0096866596658,150.356331332
mCD8-GFP,12.369534558,13.3242795484,0.0096866596658,150.356331332
ND-B15,7.19982669141,6.10576174716,0.0096866596658,150.356331332
betaTub56D,14.0712654486,13.4641279293,0.0096866596658,150.356331332
Hsp67Bc,12.8625532032,13.2106112253,0.0096866596658,150.356331332
CG10947,2.47219729963,0.0,0.00974606052132,151.278351412
Pex13,3.18488587782,0.0,0.00974606052132,151.278351412
Got2,0.0,2.6704868632,0.00974606052132,151.278351412
CR43826,0.0,0.58252468186,0.00974606052132,151.278351412
spen,7.56550284401,5.28777802074,0.0103218557634,160.215845159
GstZ2,8.79050882243,0.0,0.0104769505192,162.623225958
Dscam2,5.01924465957,2.18333997172,0.010995767115,170.676297159
CG10809,7.30535390412,0.0,0.0110568859277,171.62498337
Prpk,7.21732932605,0.0,0.0110568859277,171.62498337
CG11739,7.79366980098,0.0,0.0110568859277,171.62498337
CG10214,4.53589521539,0.0,0.0110568859277,171.62498337
Pvf3,2.59905384006,0.0,0.0110568859277,171.62498337
GCS1,7.43615160646,0.0,0.0110568859277,171.62498337
Ntmt,4.82713334989,0.0,0.0110568859277,171.62498337
CG8891,6.85047929499,0.0,0.0112105614883,174.010335422
pcs,0.69663552991,8.22532715163,0.0112105614883,174.010335422
beat-IIIc,7.13303849295,8.44148757287,0.0112293518472,174.301999373
CG9132,4.39803739706,0.0,0.0113892126512,176.783358771
mRpL36,5.78450700017,0.0,0.0114025301101,176.990072369
CG7787,6.30405598009,0.0,0.0115984223418,180.030711589
alphagamma-element:CR32865,0.0,0.391791080681,0.011783775848,182.907768713
mle,1.13236912617,0.0,0.011783775848,182.907768713
nclb,4.09513865964,0.0,0.011783775848,182.907768713
CG5147,2.49186681137,0.0,0.011783775848,182.907768713
CG32813,0.551627652565,0.0,0.011783775848,182.907768713
Mvl,0.0,3.59881936048,0.011783775848,182.907768713
CG6607,1.40479216291,0.0,0.011783775848,182.907768713
Ipp,0.0,8.66492721985,0.0121614578309,188.770148451
tutl,7.6001244825,0.0,0.0123146335106,191.147741352
Spx,6.44301799085,0.0,0.0127422475789,197.785166919
Mppe,0.0,6.41324135767,0.0127422475789,197.785166919
nkd,3.24446687278,0.0,0.0127422475789,197.785166919
Trn,4.46376892834,0.0,0.0127422475789,197.785166919
CG16791,6.51694457593,3.82106615652,0.0127900973043,198.527890357
Sema-2b,8.27988153099,3.99510023435,0.0127900973043,198.527890357
Vps28,5.76951167255,0.0,0.0130760452557,202.966374459
Ostgamma,7.8497016109,0.0,0.0130791275405,203.014217684
jigr1,8.09438712989,0.0,0.0130791275405,203.014217684
CG42795,3.26051837214,0.0,0.0130791275405,203.014217684
CG30172,9.47546940666,8.95497652576,0.0131146939174,203.566278986
Act5C,13.630636539,13.0077631021,0.0131146939174,203.566278986
ox,6.36594288344,5.12819896176,0.0131146939174,203.566278986
Dyrk2,6.13554067095,0.0,0.0131707186202,204.435894423
CG31717,6.92837090587,0.0,0.0131707186202,204.435894423
CG42321,7.38951429909,0.0,0.013304503679,206.512506106
ssx,7.16457768521,1.59854236814,0.013701930013,212.681357662
CG7564,6.63628388845,0.391791080681,0.013701930013,212.681357662
unc79,9.36149991428,8.45833493143,0.0141030413397,218.907407675
Ald,8.52249914622,10.1452834765,0.0141030413397,218.907407675
CG6752,1.95465900098,0.0,0.0141814401924,220.124314667
AP-1gamma,0.0,0.380019372115,0.0141814401924,220.124314667
pgant3,3.82676822592,0.0,0.0141814401924,220.124314667
CG33969,0.415906640519,0.0,0.0141814401924,220.124314667
CG1695,0.863747097625,0.0,0.0141814401924,220.124314667
trn,8.45130796,0.44137701068,0.0141929274703,220.302620194
