symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,5.54897932283,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.20397307649,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.25279256764,5.13445780758e-06,0.0796970540892
C15,10.341636877,0.0,5.13445780758e-06,0.0796970540892
bru-3,8.37319883199,0.0,1.11685890367e-05,0.173358839028
klg,0.0,9.22181652219,1.11685890367e-05,0.173358839028
CG42339,0.0,10.1494405936,1.11685890367e-05,0.173358839028
twz,11.307825718,7.89442952658,1.82922767695e-05,0.283932720016
Cow,0.429335811418,10.1736064703,2.05109686014e-05,0.318371254631
GV1,9.26506360569,0.0,2.61723833413e-05,0.406247734223
CG42342,7.83232560382,10.4761249193,4.86728378236e-05,0.755499788697
dpr6,9.12121120196,0.0,5.07461880929e-05,0.787682331577
Ptp99A,7.71299585786,1.3765236184,5.75858987489e-05,0.89384832038
PVRAP,6.4701384035,0.0,6.2654363942e-05,0.972521037107
fru,0.0,9.26437058458,0.00011600356004,1.80060725894
Pka-R2,7.82486402199,0.0,0.000162360448308,2.52015887864
apt,0.0,9.15704179156,0.000191427754366,2.97134160328
tsh,0.0,4.86475482127,0.000191695863289,2.97550318997
mRpL32,4.30954005584,0.0,0.000191695863289,2.97550318997
TrissinR,0.0,7.67126820899,0.000191695863289,2.97550318997
arm,11.8168180884,10.7629976573,0.000192101013517,2.98179193182
CG30463,0.0,6.16666727072,0.00019433835008,3.01651986994
sda,0.0,6.939843211,0.00019433835008,3.01651986994
nAChRalpha2,7.48925446762,10.9268248954,0.000225527629852,3.50063987056
Gprk2,8.6210043641,2.41372665025,0.000252741572561,3.92305468928
CG2082,9.96574838103,0.0,0.000260993147107,4.05113562939
rdo,8.72330825625,0.0,0.000302203756243,4.69080670441
Toll-6,9.9389848504,7.40043503346,0.000356065705973,5.52685188811
Msp300,8.7959104866,5.84113204152,0.000364765459768,5.66188946651
GstD1,0.0,8.15231597842,0.000401100451324,6.22588120545
Ten-m,6.35172049118,0.0,0.000440811233934,6.84227197312
CG42541,9.32191921971,6.99892713518,0.00045046779818,6.99216116335
sdt,0.0,3.71782535644,0.000542166280837,8.41550501115
DIP-theta,0.0,7.45688080477,0.000542166280837,8.41550501115
run,7.44294585244,0.0,0.000542166280837,8.41550501115
acj6,4.05848948362,0.0,0.000542166280837,8.41550501115
Tsp5D,0.0,5.18008551195,0.000542166280837,8.41550501115
NPFR,6.7630879791,0.0,0.000542166280837,8.41550501115
l(1)G0320,7.01034395208,8.08242587427,0.000547573038485,8.49942870336
sun,6.56184006441,5.56939789004,0.00055308909204,8.58504888665
Fas2,8.88789915555,10.1951761889,0.00055308909204,8.58504888665
Cngl,5.03760568244,7.7824708075,0.000560911060533,8.7064614816
caup,7.7177063819,0.0,0.00058095302954,9.01755292451
CG43729,8.72384810221,6.52806325169,0.0006753339723,10.482533918
CycG,9.63639317782,10.9376245567,0.000676970721546,10.5079395398
ara,8.33505993717,0.0,0.000717893223829,11.1431386203
wac,0.0,4.22680560147,0.000741696486829,11.5126128686
Ca-alpha1T,7.91374125935,0.0,0.000746008722863,11.5795473963
pros,11.4131674276,10.1466840577,0.000826019728117,12.8214782198
Ktl,0.0,9.48155554294,0.000924738753125,14.353794926
Srp54k,0.0,8.42370931226,0.00112099897716,17.4001461234
CG13594,0.0,8.12458776484,0.00112880308385,17.5212814675
CG15443,0.0,1.49020037172,0.00112880308385,17.5212814675
DIP-gamma,7.88187984589,0.0,0.00113640233548,17.6392370513
mt:ATPase8,5.17265039849,3.76115731397,0.00121836740449,18.9114988526
Ten-a,5.69379577564,7.59410520072,0.00121836740449,18.9114988526
CG32204,0.0,5.63754126895,0.00126291265293,19.6029301988
rgn,0.0,8.02199453818,0.00126291265293,19.6029301988
CG42747,9.11168080999,2.5763987335,0.00130526710377,20.2603559847
Hasp,7.58409763218,0.0,0.00136672541789,21.2143119366
CG33543,0.0,9.59774673876,0.00137316776791,21.3143100934
Eaf,0.0,5.45638188303,0.00139888360254,21.7134712786
CG10384,0.0,6.12210242517,0.00142779274305,22.1621989576
dpr13,0.0,4.25677235723,0.00142779274305,22.1621989576
CG34371,1.29182837557,0.0,0.00142779274305,22.1621989576
CG32354,0.0,6.18570954855,0.00142779274305,22.1621989576
CG31475,0.0,4.00273645327,0.00142779274305,22.1621989576
CG9044,0.994968145353,0.0,0.00142779274305,22.1621989576
Gmap,3.13169948467,0.0,0.00142779274305,22.1621989576
tho2,3.79864906322,0.0,0.00142779274305,22.1621989576
Scp2,0.0,5.53373697984,0.00142779274305,22.1621989576
Pxn,9.22792044301,5.45755100113,0.00144200028716,22.3827284574
CG45186,8.91667222569,9.97830943101,0.00147282307527,22.8611597743
kek3,6.9330932705,0.0,0.00153061881771,23.7582652885
Rbp9,8.48392357976,5.50140722124,0.00177131609779,27.4943684699
ko,0.0,3.95050515477,0.0018610634418,28.8874267436
tant,0.0,6.86002907959,0.0018668701386,28.9775582913
CG6959,7.42144924665,0.0,0.00194175002269,30.1398438521
Atac3,0.0,6.01005089733,0.00194175002269,30.1398438521
CG3625,9.69991810687,10.6706209798,0.00213238245702,33.0988404978
hth,9.55136865658,10.9027362972,0.00213238245702,33.0988404978
CG7564,7.4577359813,1.50505200423,0.00216729483419,33.6407504163
hpo,0.0,8.23321042624,0.00221073834775,34.3150806338
dpr11,5.86359781075,0.0,0.00228171554653,35.4167887132
CG31997,0.0,8.22968799452,0.0022921955282,35.5794589887
CG31814,5.10559794976,0.0,0.00239300692391,37.1442534729
Pde9,5.42534585851,0.0,0.00242461696602,37.6349045466
glob1,9.0469300703,7.2761624525,0.00250604271143,38.8987949668
CR43826,0.0,1.42608826895,0.00252281894047,39.159195594
RpL18,8.75861837678,7.97036931123,0.00254913889704,39.5677339598
Pat1,4.86213224694,0.0,0.00255244743278,39.6190890516
Atpalpha,13.2947946961,13.7283626152,0.0025539527125,39.6424540034
l(1)G0289,0.0,8.6760221557,0.0026641228572,41.3525149895
tutl,7.06725856253,0.0,0.0026641228572,41.3525149895
128up,7.07694141924,0.0,0.0027480089233,42.6545945074
ste24a,0.0,8.26058136627,0.00285052336252,44.245823633
Dic1,8.15301721663,0.0,0.00291155513335,45.1931587799
Lmpt,8.2681604878,0.0,0.0029371589306,45.5905809207
Dscam4,8.83853180976,3.86745790165,0.00293985221537,45.632386087
CG41128,5.98821911047,3.71440239594,0.0030273744898,46.9909068306
mt:ATPase6,9.67644915097,8.61412595435,0.00304947296561,47.3339193722
Hsp60,10.4616171737,11.2135898821,0.00304947296561,47.3339193722
CG15743,0.0,7.13258471364,0.00307529397712,47.7347131128
CG31109,0.0,5.69117940695,0.00309625179863,48.0600204183
CCKLR-17D3,6.75897998499,0.0,0.00309625179863,48.0600204183
CG5168,0.0,8.03385357976,0.00319987388694,49.6684424731
CG32772,4.84900313802,0.0,0.00340824673532,52.9028058256
CG32850,4.328933733,0.0,0.00348497681177,54.0938100723
oxt,0.0,1.76748022844,0.00352705120034,54.7468887317
Pde1c,0.0,2.3851208668,0.00352705120034,54.7468887317
sfl,1.42498971078,0.0,0.00352705120034,54.7468887317
Su(z)12,0.0,1.84345915665,0.00352705120034,54.7468887317
TyrR,0.0,1.22462328622,0.00352705120034,54.7468887317
CCKLR-17D1,1.25725491896,0.0,0.00352705120034,54.7468887317
a6,0.512508540125,0.0,0.00352705120034,54.7468887317
IP3K2,0.0,3.69315632767,0.00352705120034,54.7468887317
rdgBbeta,0.429335811418,0.0,0.00352705120034,54.7468887317
CrzR,0.0,3.85827146656,0.00352705120034,54.7468887317
CG10898,0.88023754068,0.0,0.00352705120034,54.7468887317
Ret,0.0,2.01152981759,0.00352705120034,54.7468887317
Pura,0.0,0.96521986169,0.00352705120034,54.7468887317
CG9855,0.0,2.88308000314,0.00352705120034,54.7468887317
CR45758,0.415906640519,0.0,0.00352705120034,54.7468887317
CG10802,3.37345174649,0.0,0.00359044554028,55.7308956763
nAChRalpha6,7.92005186035,4.41414771195,0.00360467167913,55.9517138034
CenG1A,7.54398017765,5.986228782,0.00360467167913,55.9517138034
Act5C,13.5190500298,12.9785941111,0.0036299774941,56.3445106633
HmgZ,9.06017801495,8.01816526724,0.0036299774941,56.3445106633
Cbp53E,0.0,5.69661387266,0.00364894251992,56.6388857942
mew,0.0,4.22492927936,0.00364894251992,56.6388857942
beat-VI,0.0,2.88180183487,0.00364894251992,56.6388857942
pch2,0.0,6.26427580085,0.00364894251992,56.6388857942
CG34167,0.0,4.78101125939,0.00373444360938,57.9660337047
CG4645,6.88641754727,0.0,0.00373444360938,57.9660337047
CG15772,0.0,7.85724115714,0.00398864969176,61.9118205154
nAChRalpha3,7.20397023203,0.0,0.0040621522325,63.0527269528
