symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.59907520642,5.13445780758e-06,0.0796970540892
fru,0.0,9.85171358173,7.09569794446e-06,0.110139423494
Dh44-R1,0.0,8.12414317152,9.15336830931e-06,0.142078582897
klg,0.0,9.27708835581,9.15336830931e-06,0.142078582897
CG30089,6.70386216057,0.0,9.33764556343e-06,0.144938934436
CG42339,0.0,10.5356722631,1.68616240509e-05,0.261726128517
acj6,7.20273156662,0.0,1.87923035691e-05,0.291694136
caup,8.01454520096,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,9.27700607214,1.87923035691e-05,0.291694136
Ktl,0.0,9.76187137816,2.79943635337e-05,0.434528510771
C15,10.341636877,0.0,3.03089062316e-05,0.470454842527
mRpL14,6.22765264434,0.0,3.37431000766e-05,0.523760399388
ara,8.49357157131,0.0,3.92892831811e-05,0.609848253538
CG42747,9.33890175119,0.0,4.01279246574e-05,0.622865646532
bru-3,8.37319883199,0.0,4.33551179312e-05,0.672958140528
rgn,0.0,8.16851131638,4.50342179868e-05,0.699021131592
Cow,3.1607421482,10.2396703598,4.53579289172e-05,0.704045772652
twz,11.41158199,8.48428883475,4.85028584301e-05,0.752861368552
CG42342,7.3193569713,10.4538562361,4.85028584301e-05,0.752861368552
IP3K2,0.0,9.46305352668,6.2654363942e-05,0.972521037107
heph,6.42981744592,0.0,6.2654363942e-05,0.972521037107
PVRAP,6.12395161148,0.0,6.2654363942e-05,0.972521037107
Ca-alpha1T,8.30089377372,0.0,9.43200352927e-05,1.46403558781
nAChRalpha2,6.91674157099,10.6267398314,9.49709897323e-05,1.47413970262
Ten-m,6.28143908875,0.0,0.000105103273193,1.6314130065
CG13594,0.0,8.87015826963,0.000114191513836,1.77248067777
CG42389,4.87320484945,0.0,0.00011600356004,1.80060725894
GstD1,0.0,7.27879698627,0.00011600356004,1.80060725894
CG12163,7.94822760022,9.80017808392,0.000122720086651,1.904861185
GV1,9.3075754857,0.0,0.000162360448308,2.52015887864
nAChRalpha1,0.0,6.85160358543,0.000186449746378,2.89407296328
