symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,8.22051082895,5.13445780758e-06,0.0796970540892
bru-3,7.98417316677,0.0,9.15336830931e-06,0.142078582897
klg,0.0,9.89670130866,1.11685890367e-05,0.173358839028
CG30089,6.70386216057,0.0,1.22446437935e-05,0.190061360963
CG42339,0.0,10.5808910912,1.46238770616e-05,0.22699181975
Ktl,0.0,9.72958582031,1.68616240509e-05,0.261726128517
fru,0.0,8.88865508344,1.87923035691e-05,0.291694136
dpr15,0.0,8.51028998453,1.87923035691e-05,0.291694136
PVRAP,5.97333311228,0.0,1.87923035691e-05,0.291694136
twz,11.5168531155,8.46145884708,2.31198016639e-05,0.358865561428
GV1,9.45077113859,0.0,2.43019981857e-05,0.377215615839
Cow,0.429335811418,10.1969505996,2.6333192812e-05,0.408743818827
C15,10.1206585481,0.0,4.50342179868e-05,0.699021131592
IP3K2,0.0,9.85316839197,6.2654363942e-05,0.972521037107
Toll-6,9.9389848504,3.06472585365,9.19345635454e-05,1.42700829535
CG30463,0.0,7.74978136285,0.00011600356004,1.80060725894
rgn,0.0,8.67378944783,0.00011600356004,1.80060725894
Ca-alpha1T,7.35232279644,0.0,0.000119835656962,1.86008906736
CG42342,7.8575918019,10.6820574344,0.000123103116411,1.91080657294
caup,7.87669325576,0.0,0.000136211739994,2.11427862819
CG33543,0.0,10.0936278092,0.000186449746378,2.89407296328
Oct-TyrR,0.0,7.59023156697,0.000191695863289,2.97550318997
TrissinR,0.0,8.00046380517,0.000191695863289,2.97550318997
sdt,0.0,4.38036548497,0.000191695863289,2.97550318997
run,7.84602748023,0.0,0.000191695863289,2.97550318997
cv-2,0.0,8.33946944713,0.00019433835008,3.01651986994
nAChRalpha2,7.48925446762,10.880084781,0.000287940759511,4.46941646913
His2Av,8.41522692819,7.31009620892,0.000295206040972,4.58218816797
CG13594,0.0,8.87015826963,0.000301562738535,4.68085682754
rdo,8.34023328956,0.0,0.000380367227827,5.90406011033
sda,0.0,6.7838907804,0.000386116522864,5.99330066789
Cbp53E,0.0,7.65966019678,0.000401100451324,6.22588120545
ara,8.73075862753,0.0,0.000403173249831,6.25805518388
dpr6,8.82723858043,0.0,0.0004986200163,7.73957989301
DIP-theta,0.0,6.59070014916,0.000542166280837,8.41550501115
acj6,4.93411934948,0.0,0.000542166280837,8.41550501115
tsh,0.0,5.30829632441,0.000542166280837,8.41550501115
CG31760,0.0,4.30913050182,0.000542166280837,8.41550501115
CG6959,6.80102028658,0.0,0.000542166280837,8.41550501115
CG12065,0.0,3.88107561175,0.000542166280837,8.41550501115
GstD1,0.0,5.73641375631,0.000542166280837,8.41550501115
Pde1c,0.0,3.62472620914,0.000542166280837,8.41550501115
CG32204,0.0,8.19029556875,0.000542166280837,8.41550501115
Ptp99A,7.71299585786,4.24611475706,0.00055308909204,8.58504888665
Dh44-R1,0.0,7.59886261875,0.00058095302954,9.01755292451
CCKLR-17D3,9.29486049133,0.0,0.000599404297285,9.30395350247
Msp300,8.52354529806,5.87901926736,0.000676970721546,10.5079395398
tant,0.0,5.55457594249,0.000717893223829,11.1431386203
CG10384,0.0,6.97283118411,0.000792514928053,12.3014167132
Ten-m,6.35172049118,0.0,0.0008252767023,12.8099449731
CG11665,8.28855842938,0.0,0.000924738753125,14.353794926
Ntmt,5.07015369067,0.0,0.000986770339198,15.316649205
CG32982,7.89230669822,3.38707580059,0.00116590237631,18.0971366851
betaTub56D,14.0978728876,13.3306869077,0.00121836740449,18.9114988526
CG14207,0.0,7.7995502269,0.00123829633922,19.2208357774
frj,0.0,8.378553728,0.00135089837356,20.9686445544
Fgop2,0.0,7.86242033602,0.00139888360254,21.7134712786
CG32187,5.40522737357,0.0,0.00142779274305,22.1621989576
CG31814,3.66939701663,0.0,0.00142779274305,22.1621989576
CrzR,0.0,7.03906235562,0.00142779274305,22.1621989576
dpr13,0.0,5.76338187152,0.00142779274305,22.1621989576
hdc,4.43283537054,0.0,0.00142779274305,22.1621989576
otk2,6.39726985171,0.0,0.00142779274305,22.1621989576
sano,4.2081458692,0.0,0.00142779274305,22.1621989576
Hsp26,11.3934272273,12.0060920274,0.00147282307527,22.8611597743
beat-VI,0.0,3.13549263752,0.00156917424068,24.3567225639
Gprk2,8.85670741185,5.21532834645,0.00158420443385,24.5900212222
rdgA,0.0,5.43792170247,0.00163600897563,25.3941313198
RpLP2,9.0008083168,8.38671908712,0.00177491931746,27.5502976456
r2d2,7.55388880414,0.0,0.00196453706682,30.4935443511
CG2915,7.69826907228,0.0,0.00205903263078,31.960304495
CG34380,9.40212235652,2.86842926349,0.00209086789089,32.4544514023
sca,7.94650278559,9.31484084492,0.00213238245702,33.0988404978
GluClalpha,6.9074898665,8.50738944538,0.00228994716263,35.5445598584
CG13532,9.56957968552,8.06659008286,0.00233008206691,36.1675338426
CG2082,9.57919541955,0.0,0.00242461696602,37.6349045466
CenG1A,8.00659195288,5.93015873546,0.00245863997421,38.1630096797
Mical,3.7603401453,0.0,0.00249812865642,38.7759530049
CG6597,6.56005406239,0.0,0.00255244743278,39.6190890516
Act5C,13.7409041525,13.0893741456,0.0025539527125,39.6424540034
CR46008,5.53152211085,0.0,0.0026641228572,41.3525149895
trn,8.71563014173,0.0,0.00291155513335,45.1931587799
Srpk79D,6.19088427049,8.24037790459,0.00293985221537,45.632386087
Syt12,2.44256179897,8.17378578739,0.00293985221537,45.632386087
CG45186,9.13090574677,10.0811376478,0.00304947296561,47.3339193722
HmgZ,9.04148133511,8.18375056196,0.00304947296561,47.3339193722
CG16854,6.85359140065,0.0,0.00307529397712,47.7347131128
B4,4.82454511284,0.0,0.00311817639929,48.4003340699
Fife,0.0,1.55655241357,0.00352705120034,54.7468887317
caz,0.0,0.55272053951,0.00352705120034,54.7468887317
CG30466,0.0,0.411187524859,0.00352705120034,54.7468887317
Gclc,0.0,1.44817129402,0.00352705120034,54.7468887317
Scp2,0.0,0.874403213165,0.00352705120034,54.7468887317
Pura,0.0,1.71042993586,0.00352705120034,54.7468887317
Nsun2,1.45403647622,0.0,0.00352705120034,54.7468887317
CG33969,0.415906640519,0.0,0.00352705120034,54.7468887317
Sidpn,7.4796970683,0.0,0.00359044554028,55.7308956763
CG42541,9.16113699219,6.57909205445,0.00362364234065,56.2461764115
dysc,8.39955411602,7.36033992642,0.0036299774941,56.3445106633
CycG,10.2843655851,10.8938986216,0.0036299774941,56.3445106633
CG31997,0.0,7.3517566534,0.0037223401689,57.7781641017
heph,6.06943068808,0.0,0.00373444360938,57.9660337047
CSN7,7.87307987073,0.55272053951,0.00391260416836,60.7314419014
CG33229,6.44549612219,0.0,0.0041336439511,64.162421409
ND-B22,5.75556761399,7.7955591422,0.00416441879531,64.6401085409
CG32103,0.0,8.12366833305,0.00418611821577,64.9769269452
LpR2,7.29680084129,1.89351384959,0.0042357913158,65.7479528038
pros,11.7521856795,10.4641171768,0.00430777905941,66.8653465602
ATPsynbeta,12.6288678349,12.1068243174,0.00430777905941,66.8653465602
tnc,8.86670580589,9.87455979372,0.00430777905941,66.8653465602
CG7324,5.73351421001,0.0,0.00450661135093,69.9516213891
beat-Va,6.5770225797,0.0,0.00457076610572,70.9474314929
TfIIB,7.51490167311,0.56229708142,0.00464668781242,72.1258882244
z,0.0,8.44095148526,0.00478027785591,74.1994728795
Lar,4.90188415554,0.0,0.00494472589418,76.7520353295
glob1,9.09965874336,7.75291109675,0.00501472614484,77.8385792202
GABA-B-R2,8.92907144835,6.91542573613,0.00506374462822,78.5994441192
MBD-like,7.79564199137,0.874403213165,0.00525425985974,81.5566215428
tutl,7.73331002094,0.782799600545,0.00525425985974,81.5566215428
CG4619,0.0,6.95116508457,0.0053005570512,82.2752465487
CG11221,5.6603970531,0.0,0.0053005570512,82.2752465487
beat-Vb,7.30732814252,0.0,0.00540745351568,83.9344934703
CG15772,0.0,7.15637034973,0.00544425276621,84.5056914371
DIP-gamma,6.1502512391,0.0,0.00545841288083,84.7254847362
otk,8.37509832723,1.01309174162,0.00569007744509,88.3213821027
CG42389,4.87320484945,0.0,0.00570910433234,88.6167174465
Ankle2,0.0,6.88952185717,0.00570910433234,88.6167174465
p38b,0.0,8.06378434381,0.00587556329273,91.2004934297
CR44978,7.79665033638,4.23346352548,0.00591876009522,91.8709941979
Sema-2b,8.63760139686,6.05581745171,0.00597427122471,92.7326379499
NaPi-III,9.34251602013,8.33032664272,0.00597427122471,92.7326379499
Nlp,9.12806933843,7.77947740228,0.00600211729593,93.1648646674
RpL34a,6.94178792064,5.3721182939,0.00600211729593,93.1648646674
fax,9.42170430287,10.4135017997,0.00601141270381,93.3091479885
Sap47,9.14984483675,10.2125881894,0.00601141270381,93.3091479885
CG42540,8.78678874726,10.2591000459,0.00601141270381,93.3091479885
ghi,7.25423427837,0.0,0.0064436900087,100.018956315
tay,3.03006078769,0.0,0.00653613018271,101.453812696
stau,1.05303441644,0.0,0.00663282670479,102.954736112
Ac3,1.43433606639,0.0,0.00663282670479,102.954736112
Got2,0.0,3.73990722497,0.00663282670479,102.954736112
kug,0.0,2.77574669881,0.00663282670479,102.954736112
Kul,0.0,3.10225295157,0.00663282670479,102.954736112
Lmpt,7.94441549819,0.0,0.00663282670479,102.954736112
Dpck,7.63124951202,0.0,0.0067947678321,105.46838629
Sep1,8.80530542868,7.442456345,0.0069644785992,108.102636817
E2f1,0.0,7.2345955421,0.00696973433282,108.184216314
nAChRalpha6,7.81836103023,5.77248832615,0.00705850305669,109.562084446
P5CDh1,9.35283515087,8.37860694319,0.00706898472796,109.724780947
Sec61gamma,8.38493758009,6.67382340389,0.00706898472796,109.724780947
Akap200,8.81295016651,9.4489872408,0.00706898472796,109.724780947
CG7985,0.678027432435,7.9942666677,0.00732347214775,113.674934677
hpo,0.0,8.14666491327,0.00740310196334,114.910948675
pch2,0.0,5.43251571634,0.00770023265441,119.523011262
CR43826,0.0,1.21865187793,0.00770023265441,119.523011262
TBCB,4.87288888308,0.0,0.00770143730756,119.541709888
CG9934,6.81398965472,0.0,0.00770143730756,119.541709888
eys,0.0,5.25836884506,0.00781736611063,121.341156769
Frq1,0.863747097625,7.53692682811,0.00787960493564,122.307227811
CG34353,0.0,5.12570761388,0.00794171135451,123.271243645
18w,4.93071089995,0.0,0.00802528727053,124.568509013
CG1317,8.24530010615,3.46655996989,0.00805333439793,125.003856525
mod(r),0.0,7.70609738006,0.00805893116142,125.090729488
wry,5.42343246811,0.0,0.00815814803603,126.630773815
CG5168,0.0,8.63410216977,0.00815814803603,126.630773815
pgant5,0.0,6.11369839187,0.00815814803603,126.630773815
CaMKI,7.85849832529,6.32803735963,0.0081700454027,126.815444741
GstE11,0.0,0.0,0.00823657790279,127.848162207
Zw10,0.0,0.0,0.00823657790279,127.848162207
Tsp5D,0.0,0.0,0.00823657790279,127.848162207
Ret,0.0,0.0,0.00823657790279,127.848162207
CG1910,0.0,0.0,0.00823657790279,127.848162207
CG9356,0.0,0.0,0.00823657790279,127.848162207
CG32354,0.0,0.0,0.00823657790279,127.848162207
CG14710,0.0,0.0,0.00823657790279,127.848162207
CLS,0.0,0.0,0.00823657790279,127.848162207
sage,0.0,0.0,0.00823657790279,127.848162207
CG11317,0.0,0.0,0.00823657790279,127.848162207
CG7530,0.0,0.0,0.00823657790279,127.848162207
l(1)G0007,0.0,0.0,0.00823657790279,127.848162207
Dhod,0.0,0.0,0.00823657790279,127.848162207
Ttd14,0.0,0.0,0.00823657790279,127.848162207
CG43740,0.0,0.0,0.00823657790279,127.848162207
CG2906,0.0,0.0,0.00823657790279,127.848162207
COX8,8.87910667004,8.19860201888,0.00828746337493,128.638006506
Fas2,9.05704352826,10.4171541087,0.00895070993697,138.932919642
CG31221,7.96166022129,2.59427273036,0.0089600468541,139.077847269
Hsp70Ba,0.415906640519,2.35741770529,0.0089600468541,139.077847269
Ostgamma,6.86187713571,0.0,0.00896604537191,139.170956263
Glo1,6.37211483488,0.0,0.00914149983987,141.894360514
CG10635,5.2217953541,0.0,0.00914149983987,141.894360514
ZnT63C,6.16749529914,0.0,0.00914149983987,141.894360514
Vps16A,6.29549387302,0.0,0.00922543868928,143.197259335
CG3209,8.0066791262,0.79418137718,0.00922986119094,143.265905406
mt:ND6,1.59580580549,0.0,0.00931456777471,144.580720999
CG5642,7.39960169043,0.0,0.00931722324471,144.621939204
GlyRS,6.96217197151,9.19528951282,0.00942455500723,146.287942822
Ssadh,0.0,7.21714046549,0.00952535138118,147.852504139
Vps2,0.0,7.39258017543,0.00957854978099,148.678249701
CG17778,6.65874499096,8.42409694515,0.00963401099964,149.539118736
CG3436,7.00253066819,0.0,0.00966848626792,150.074243851
Cyp1,11.407888131,11.1036351445,0.0096866596658,150.356331332
spi,9.46930630219,8.34155714416,0.0096866596658,150.356331332
CG3800,9.35888803361,7.6533180523,0.0096866596658,150.356331332
Vha14-1,6.48073859541,6.87771366995,0.0096866596658,150.356331332
mRpL13,5.45369078206,0.0,0.00970929361144,150.707655437
PsGEF,4.64311695388,0.0,0.00970929361144,150.707655437
CG7834,1.84690982822,0.0,0.00974606052132,151.278351412
CG4849,0.0,3.7795441893,0.00974606052132,151.278351412
CG6950,1.99525280125,0.0,0.00974606052132,151.278351412
CCKLR-17D1,1.72511292502,0.0,0.00974606052132,151.278351412
pelo,0.0,3.28889758274,0.00974606052132,151.278351412
pds5,1.9450076827,0.0,0.00974606052132,151.278351412
CG7275,0.78910867654,0.0,0.00974606052132,151.278351412
CG14194,0.0,3.24333129535,0.00974606052132,151.278351412
RhoGAPp190,1.29356501155,0.0,0.00974606052132,151.278351412
CG6766,4.88337718549,0.72416367722,0.0104769505192,162.623225958
l(1)G0289,0.551627652565,7.45761891139,0.0104769505192,162.623225958
CG17514,0.0,4.68257056066,0.010812027636,167.824292966
CG2926,0.0,6.45086017382,0.010812027636,167.824292966
DAAM,0.0,4.09244482607,0.010812027636,167.824292966
CG42747,9.11168080999,7.01689677206,0.010995767115,170.676297159
Nplp1,3.24304072724,0.0,0.011008781754,170.878310386
Prosalpha3,7.90826282091,9.01777652064,0.0112733508526,174.984951934
RpL41,7.31748368298,6.51387940533,0.0112880312616,175.212821242
Tctp,10.4902407408,9.51162153647,0.0112880312616,175.212821242
plum,8.11510475407,9.32774511482,0.0112880312616,175.212821242
CG5098,0.0,6.71539496972,0.0114025301101,176.990072369
Bap55,8.42210038599,0.0,0.0114025301101,176.990072369
Dgk,0.0,5.46266733099,0.0114025301101,176.990072369
Gmap,3.13169948467,0.0,0.0115984223418,180.030711589
DIP-delta,1.07969868814,0.0,0.011783775848,182.907768713
RpLP0-like,1.75559778591,0.0,0.011783775848,182.907768713
CG12994,6.3719794429,0.0,0.0130791275405,203.014217684
CG7148,1.67497186219,0.0,0.013084786887,203.10206206
CG2258,2.52385874573,0.0,0.013084786887,203.10206206
jdp,0.0,6.7310519872,0.013084786887,203.10206206
sun,6.56184006441,5.40328149381,0.0131146939174,203.566278986
ND-39,8.65885167464,9.8525461644,0.0131146939174,203.566278986
CG10077,9.84704447688,10.751113339,0.0131146939174,203.566278986
CG9641,0.0,6.80906338603,0.0131707186202,204.435894423
CG5382,7.81122901249,0.0,0.0133466716311,207.167037058
CG11857,8.05081717438,5.84621935347,0.0135242580583,209.92353358
Ptpa,1.1463327873,0.0,0.0141814401924,220.124314667
CG8386,0.512508540125,0.0,0.0141814401924,220.124314667
CG11768,0.88023754068,0.0,0.0141814401924,220.124314667
CG34356,2.86609582718,0.0,0.0142000564574,220.413276333
Arp3,9.45390505535,7.97452622714,0.0148323523275,230.227772827
Nelf-E,0.0,5.09120696618,0.0149637184723,232.266838127
REPTOR-BP,4.39670688361,0.0,0.0149637184723,232.266838127
AMPdeam,8.77513001782,9.46115168871,0.0151733946934,235.521432431
CtsB1,8.50260117094,4.87277206034,0.0151733946934,235.521432431
Hsp70Aa,3.26045511329,4.22615318944,0.0151914109883,235.80108136
Eno,9.52233562268,8.29156038567,0.0151914109883,235.80108136
CG10802,3.37345174649,0.0,0.0154063337215,239.137112025
CG30493,2.56406905618,0.0,0.015490861509,240.449152343
CG31126,0.0,2.5506961424,0.015490861509,240.449152343
Pabp2,0.0,7.83597222993,0.0154918624829,240.46468946
CG2865,0.0,5.12271296788,0.0155706873687,241.688209337
CG4686,0.0,6.30271385562,0.0155706873687,241.688209337
Sgt,8.55696382455,0.50127547062,0.0164434596991,255.235381449
CG17068,3.86513847776,9.1941079741,0.0164434596991,255.235381449
CG18659,7.02365109787,0.0,0.0166995540422,259.210477843
mip40,6.42231382374,0.0,0.0166995540422,259.210477843
Cct2,0.59088758484,0.0,0.0169881050876,263.68936717
egl,0.678027432435,0.0,0.0169881050876,263.68936717
Su(z)12,0.0,0.874403213165,0.0169881050876,263.68936717
ph-p,0.0,0.692395504625,0.0169881050876,263.68936717
bip2,6.99686396059,3.28743377122,0.0171489874888,266.186583801
Cisd2,6.40709186834,7.18550954468,0.0174652427277,271.095497619
7B2,8.59541496768,9.41474516121,0.0174652427277,271.095497619
disp,6.29178920977,0.0,0.0175102859776,271.794658944
dpr11,5.86359781075,0.0,0.0175102859776,271.794658944
Sem1,6.18355750927,5.00183389763,0.0175247198723,272.018701858
CG43729,8.55057143969,6.30069514024,0.0175247198723,272.018701858
Rack1,9.53513321946,7.92242988229,0.017544558047,272.326630006
mCD8-GFP,12.461831882,12.8520295502,0.017544558047,272.326630006
COX4,9.98952725586,9.41438285334,0.017544558047,272.326630006
Ggamma30A,9.48544638623,8.26335889635,0.017544558047,272.326630006
Fer1HCH,9.79102611602,8.79133252994,0.017544558047,272.326630006
Pxn,9.72918326527,8.57355003088,0.017544558047,272.326630006
Fis1,7.58553088337,5.97173088779,0.017544558047,272.326630006
Atg18a,8.23041757478,3.01390814608,0.0176348348428,273.72790643
mRpS26,7.02151630826,0.0,0.0176348348428,273.72790643
CG7484,5.59416263073,0.0,0.0179638856678,278.835433336
pgant2,0.0,6.51439927469,0.0179638856678,278.835433336
ChAT,0.0,3.30311387266,0.0179638856678,278.835433336
Fas3,6.77711943407,0.0,0.0180845444738,280.708299322
SCAR,3.71249693345,0.0,0.0182672287128,283.54392408
l(1)G0196,0.0,0.0,0.0183437214739,284.731244718
ome,0.0,0.0,0.0183437214739,284.731244718
CG1358,0.0,0.0,0.0183437214739,284.731244718
CG12594,0.0,0.0,0.0183437214739,284.731244718
dpr20,0.0,0.0,0.0183437214739,284.731244718
Cad87A,0.0,0.0,0.0183437214739,284.731244718
sws,0.0,0.0,0.0183437214739,284.731244718
CG3587,0.0,0.0,0.0183437214739,284.731244718
CG8216,0.0,0.0,0.0183437214739,284.731244718
CR46078,0.0,0.0,0.0183437214739,284.731244718
CG13408,0.0,0.0,0.0183437214739,284.731244718
MED14,0.0,0.0,0.0183437214739,284.731244718
CG15744,0.0,0.0,0.0183437214739,284.731244718
sip1,0.0,0.0,0.0183437214739,284.731244718
CR41320,0.0,0.0,0.0183437214739,284.731244718
Stat92E,0.0,0.0,0.0183437214739,284.731244718
dpr3,0.0,0.0,0.0183437214739,284.731244718
CG2201,0.0,0.0,0.0183437214739,284.731244718
MICAL-like,0.0,0.0,0.0183437214739,284.731244718
CR45620,0.0,0.0,0.0183437214739,284.731244718
CG3313,0.0,0.0,0.0183437214739,284.731244718
CG31705,0.0,0.0,0.0183437214739,284.731244718
CG32521,0.0,0.0,0.0183437214739,284.731244718
TkR86C,0.0,0.0,0.0183437214739,284.731244718
CG1840,0.0,0.0,0.0183437214739,284.731244718
CG12259,0.0,0.0,0.0183437214739,284.731244718
CR15345,0.0,0.0,0.0183437214739,284.731244718
Trf,0.0,0.0,0.0183437214739,284.731244718
CG30096,0.0,0.0,0.0183437214739,284.731244718
Asciz,0.0,0.0,0.0183437214739,284.731244718
CG7099,0.0,0.0,0.0183437214739,284.731244718
CG31648,0.0,0.0,0.0183437214739,284.731244718
Pym,0.0,0.0,0.0183437214739,284.731244718
Gmer,0.0,0.0,0.0183437214739,284.731244718
CG42676,0.0,0.0,0.0183437214739,284.731244718
dnk,0.0,0.0,0.0183437214739,284.731244718
CR40190,0.0,0.0,0.0183437214739,284.731244718
CG16734,0.0,0.0,0.0183437214739,284.731244718
CG14438,0.0,0.0,0.0183437214739,284.731244718
Adk1,0.0,0.0,0.0183437214739,284.731244718
CG1785,0.0,0.0,0.0183437214739,284.731244718
DnaJ-H,0.0,0.0,0.0183437214739,284.731244718
Tsf2,0.0,0.0,0.0183437214739,284.731244718
Ac78C,0.0,0.0,0.0183437214739,284.731244718
CG16789,0.0,0.0,0.0183437214739,284.731244718
Elk,0.0,0.0,0.0183437214739,284.731244718
CG9005,0.0,0.0,0.0183437214739,284.731244718
dos,0.0,0.0,0.0183437214739,284.731244718
CG43759,0.0,0.0,0.0183437214739,284.731244718
CG6999,0.0,0.0,0.0183437214739,284.731244718
Lkb1,0.0,0.0,0.0183437214739,284.731244718
spn-B,0.0,0.0,0.0183437214739,284.731244718
ebd1,0.0,0.0,0.0183437214739,284.731244718
l(1)1Bi,0.0,0.0,0.0183437214739,284.731244718
CG7593,0.0,0.0,0.0183437214739,284.731244718
Gyc-89Db,0.0,0.0,0.0183437214739,284.731244718
Pax,8.0097302121,9.19844199628,0.0194440752717,301.810936367
Rab19,5.66637545846,0.0,0.0195662772948,303.70775617
CG42394,0.0,3.88431536453,0.0195662772948,303.70775617
Eip55E,7.24729702974,0.0,0.0195662772948,303.70775617
CG32772,4.84900313802,0.0,0.0197629943462,306.761198241
SREBP,5.88365274246,8.81683811728,0.0197680470577,306.83962643
Phb2,9.46478484872,8.58344616395,0.0201150730121,312.226163293
Cct5,10.0259647598,9.55745417682,0.0201150730121,312.226163293
Nc73EF,4.16537612526,8.13424559666,0.0201803045546,313.238687296
Glut1,8.09785261504,9.23378663551,0.0202020597941,313.576372124
Hsp70Ab,5.11327034499,6.41617134163,0.0202020597941,313.576372124
Yeti,8.83951338059,7.54580784215,0.0202020597941,313.576372124
Nse4,0.0,0.411187524859,0.020256616798,314.423205939
CG10214,0.55409852571,0.0,0.020256616798,314.423205939
CG13096,1.07611885758,0.0,0.020256616798,314.423205939
CG14407,5.6347821233,0.0,0.0204179919985,316.928071801
Chi,0.0,8.23152544427,0.0209839486957,325.712851655
mRpL55,0.0,5.93623032529,0.0209839486957,325.712851655
CalpB,1.00097545831,0.0,0.021208748482,329.202193937
CG4098,1.49004323892,0.0,0.021208748482,329.202193937
CG8248,8.56294022899,1.02392526195,0.0212159520908,329.314008353
Mtap,4.16902271673,0.0,0.0214567966906,333.052398232
APC10,4.44017801024,0.0,0.0214567966906,333.052398232
mew,0.0,3.47942514349,0.0214567966906,333.052398232
CG6218,0.982704311404,0.0,0.0214567966906,333.052398232
Paf-AHalpha,7.80276914543,0.56229708142,0.0218707712452,339.478111267
Prpk,7.21732932605,1.02392526195,0.0223497977787,346.913561122
Kat60,0.0,6.94538559061,0.0224710268373,348.795278569
CG6094,0.0,5.97098336634,0.0224710268373,348.795278569
CG9801,7.90040348115,0.0,0.0224710268373,348.795278569
kirre,5.19110205436,2.55145586594,0.022719073975,352.64546624
nAChRalpha3,6.78896316166,0.0,0.0227582548603,353.253631941
FucT6,2.6656571357,8.34107598625,0.0227582548603,353.253631941
CG5532,7.00898608986,4.36332163711,0.0229559303745,356.321951273
dpr12,8.05108281211,6.67513312037,0.0230982895981,358.531651141
Syt4,7.02424336997,8.5322279086,0.0230982895981,358.531651141
CG14762,10.3953653982,9.63100971148,0.0231932966407,360.006350457
Sep4,9.2718757264,8.19609946382,0.0231932966407,360.006350457
CG6044,9.42991754657,10.3504025498,0.0231932966407,360.006350457
Atpalpha,13.3086848023,13.685481211,0.0231932966407,360.006350457
CG44247,8.98534594127,8.17285841388,0.0231932966407,360.006350457
Hrb98DE,10.2519965062,9.41772400245,0.0231932966407,360.006350457
RpL28,7.80077619574,8.72586473486,0.0231932966407,360.006350457
Hsp27,10.5789436956,11.1589763461,0.0231932966407,360.006350457
CG5446,8.25445128015,7.66154033824,0.0231932966407,360.006350457
ox,5.79480567371,4.73661798604,0.0231932966407,360.006350457
ThrRS,7.86179054994,9.39465263609,0.0231932966407,360.006350457
sip3,0.0,7.87834047489,0.0234809813042,364.471791804
CG42542,0.0,8.33419710108,0.0234809813042,364.471791804
CG14079,7.34261000353,0.0,0.0234809813042,364.471791804
nAChRalpha1,0.0,4.02462287736,0.0234809813042,364.471791804
Rpn11,8.14919080039,1.00191236121,0.0234809813042,364.471791804
CG10809,7.37089706877,0.0,0.023724933674,368.258420487
CRIF,5.10774279534,0.0,0.023724933674,368.258420487
CG34362,2.93177828504,0.0,0.023724933674,368.258420487
Hsp68,0.0,4.01627585142,0.023724933674,368.258420487
CRMP,6.04010442434,0.0,0.023724933674,368.258420487
CG42674,3.7210582065,7.18470297517,0.0239587488499,371.887699648
cyp33,0.59088758484,0.0,0.0240433685314,373.201166344
CG14667,0.793348389535,0.0,0.0240433685314,373.201166344
Dh44-R2,0.415906640519,0.0,0.0240433685314,373.201166344
CG6654,0.69658103112,0.0,0.0240433685314,373.201166344
Trim9,2.22325029976,0.0,0.0240433685314,373.201166344
His-Psi:CR33867,0.415906640519,0.0,0.0240433685314,373.201166344
CG10898,0.0,0.0,0.0242321205383,376.130974996
CG17839,0.0,0.0,0.0242321205383,376.130974996
AIMP1,0.0,0.0,0.0242321205383,376.130974996
CG12768,0.0,0.0,0.0242321205383,376.130974996
CG8545,0.0,0.0,0.0242321205383,376.130974996
Ir76a,0.0,0.0,0.0242321205383,376.130974996
whd,0.0,0.0,0.0242321205383,376.130974996
TBCD,0.0,0.0,0.0242321205383,376.130974996
CG42238,0.0,0.0,0.0242321205383,376.130974996
Kank,0.0,0.0,0.0242321205383,376.130974996
wal,0.0,0.0,0.0242321205383,376.130974996
mRpL35,4.71942205944,0.0,0.024240561719,376.261999002
CG9098,8.53147557331,0.692395504625,0.0243939813579,378.643378638
Rap2l,0.429296339993,5.39262929155,0.0243939813579,378.643378638
