symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.24097223074,5.13445780758e-06,0.0796970540892
fru,0.0,9.18774500447,7.09569794446e-06,0.110139423494
klg,0.0,9.33891419032,9.15336830931e-06,0.142078582897
bru-3,8.37319883199,0.0,9.15336830931e-06,0.142078582897
CG30089,5.54897932283,0.0,1.22446437935e-05,0.190061360963
CG42339,0.0,10.9709773535,1.30214778044e-05,0.20211937848
CG42342,7.83232560382,10.6745600243,1.82210136462e-05,0.282826573817
twz,11.2025545925,8.37154990363,1.82922767695e-05,0.283932720016
sun,6.67288899018,5.24403595961,1.82922767695e-05,0.283932720016
ara,8.49357157131,0.0,1.87923035691e-05,0.291694136
GV1,9.94855222031,0.0,2.17621775141e-05,0.337792519373
betaTub56D,14.0712654486,13.2102914152,2.34743628248e-05,0.364369059766
Ktl,0.0,9.77585411614,2.79943635337e-05,0.434528510771
caup,7.87669325576,0.0,3.03089062316e-05,0.470454842527
Cow,3.1607421482,10.0879445093,3.56123299774e-05,0.552774585909
rgn,0.0,8.32190684586,4.50342179868e-05,0.699021131592
CG30463,0.0,7.59154405899,4.50342179868e-05,0.699021131592
C15,10.341636877,0.0,4.50342179868e-05,0.699021131592
Ca-alpha1T,8.41161116309,0.0,5.78208106649e-05,0.897494623141
beat-Vb,7.30560387141,0.0,6.2654363942e-05,0.972521037107
dpr15,0.0,9.37389910819,6.2654363942e-05,0.972521037107
rdo,8.72330825625,0.0,8.37425492817e-05,1.29985184995
PVRAP,5.62714632026,0.0,0.00011600356004,1.80060725894
CG42540,9.09139307008,11.0061010774,0.000123103116411,1.91080657294
pHCl,0.0,6.75137886727,0.000132597583797,2.05817969569
beat-VI,0.0,6.35146013991,0.000148206009967,2.30045368671
CenG1A,8.00659195288,6.14608217798,0.000153557237674,2.38351544317
CG32856,4.68829138597,0.0,0.000161903572382,2.51306725052
sdt,0.0,4.18892088032,0.000191695863289,2.97550318997
TrissinR,0.0,7.79900943089,0.000191695863289,2.97550318997
tsh,0.0,6.31092935324,0.000191695863289,2.97550318997
IP3K2,0.0,10.5133971776,0.000191695863289,2.97550318997
CycG,9.98600971214,11.2257497454,0.000192101013517,2.98179193182
nAChRalpha2,6.91674157099,11.0624679397,0.000232116999732,3.60292006985
Ten-m,6.26812726564,0.0,0.000232858915968,3.61443609366
Hsp26,11.3934272273,12.0557906813,0.000238840864478,3.70728789844
CG13594,0.0,8.8497800625,0.000239209057348,3.71300298815
mod(r),0.0,8.27320092079,0.000289872476541,4.49940058086
CG12163,8.54764320461,9.80682862537,0.000364765459768,5.66188946651
CR43826,0.0,2.17289461194,0.000401100451324,6.22588120545
GstD1,0.0,7.44094407633,0.000401100451324,6.22588120545
CG33543,0.0,9.45347179892,0.000403173249831,6.25805518388
glob1,9.09965874336,3.68673956503,0.000427583200774,6.63694644241
LpR2,7.643334707,1.40337054354,0.000438924708267,6.81298932172
Fas2,8.88789915555,10.6067053277,0.00045046779818,6.99216116335
apt,0.0,8.96628113417,0.000481941769935,7.48070015293
heph,6.06943068808,0.0,0.000542166280837,8.41550501115
acj6,5.53712857842,0.0,0.000542166280837,8.41550501115
run,7.44294585244,0.0,0.000542166280837,8.41550501115
dpr11,5.26943570702,0.0,0.000542166280837,8.41550501115
CG14207,0.0,8.06804875262,0.000545613281863,8.46900936108
RpL41,7.84974654077,6.59713135846,0.000676970721546,10.5079395398
Dh44-R1,0.0,8.22620762453,0.000717893223829,11.1431386203
Gprk2,8.6210043641,0.0,0.000755145951111,11.7213754531
CG31221,7.90631096856,0.0,0.000755145951111,11.7213754531
CG14372,4.46375393976,0.0,0.000792514928053,12.3014167132
GluClalpha,6.88561811951,8.34078034272,0.000824088988833,12.7915092847
CG6024,5.90112085777,0.0,0.0008252767023,12.8099449731
Rpn2,8.20057265773,0.0,0.000912230265352,14.1596381788
nAChRalpha3,7.28064101073,0.0,0.000924738753125,14.353794926
CR44978,7.60703354034,3.80324133355,0.000959980575337,14.9008184904
CG34393,5.57271911296,9.13499657837,0.000959980575337,14.9008184904
Toll-6,9.9389848504,7.2448915966,0.000982205636211,15.2457958853
CG31814,5.10559794976,0.0,0.000986770339198,15.316649205
CG8726,9.02127039548,6.69716321442,0.000995695028697,15.4551782354
CG31997,0.0,8.29833843403,0.0010075321246,15.6389136381
sda,0.0,6.92089150747,0.00113640233548,17.6392370513
CG34167,0.0,5.22659896786,0.00113640233548,17.6392370513
CG3420,6.66484569208,0.0,0.00113640233548,17.6392370513
Syn2,6.39622542725,3.1071436996,0.00119195654579,18.5015495037
CG43729,8.72384810221,6.52806325169,0.00121571023979,18.870254342
spi,9.52229810688,8.39171011063,0.00121571023979,18.870254342
CG7630,9.42274043092,8.30649403304,0.00121836740449,18.9114988526
Pura,0.0,4.36591289715,0.00126291265293,19.6029301988
CG45263,6.45311352302,0.0,0.00126291265293,19.6029301988
CG42747,9.28417356927,7.47829949887,0.00131154095616,20.3577387215
ko,0.0,1.80949539252,0.00142779274305,22.1621989576
Gyc-89Db,3.92772693843,0.0,0.00142779274305,22.1621989576
DIP-theta,0.0,6.84830745503,0.00142779274305,22.1621989576
Ret,0.0,2.68472550746,0.00142779274305,22.1621989576
CG6959,4.56181850317,0.0,0.00142779274305,22.1621989576
Trim9,5.1991428867,0.0,0.00142779274305,22.1621989576
Scp2,0.0,6.577131899,0.00142779274305,22.1621989576
otk2,6.00616689497,0.0,0.00142779274305,22.1621989576
CG11221,5.6603970531,0.0,0.00142779274305,22.1621989576
CG42541,9.32191921971,5.71460232775,0.00144200028716,22.3827284574
Nlp,8.84017148975,7.69881803675,0.00146972308396,22.8130417092
hth,9.66959440161,11.0670801534,0.00147282307527,22.8611597743
pros,11.4131674276,10.1662807406,0.00147282307527,22.8611597743
CG2082,9.57919541955,1.84642329765,0.0015028760232,23.3276416321
CG14478,8.55302526006,2.87248617202,0.00158420443385,24.5900212222
otk,8.13264178611,2.35709503444,0.00165136891435,25.6325482885
Pde9,4.33768602635,0.0,0.00166511987523,25.8459907033
Rbp9,8.68143164597,6.69095736656,0.00177131609779,27.4943684699
Ggamma30A,9.82061875639,7.5091779277,0.00177491931746,27.5502976456
Rtnl1,10.0794606053,9.37828864066,0.00177491931746,27.5502976456
CG34362,6.0947430061,0.0,0.0018668701386,28.9775582913
key,2.6165752331,0.0,0.00194175002269,30.1398438521
CG9669,4.75779238495,0.0,0.00201257007866,31.239112761
CG5168,0.0,8.53059914121,0.00201257007866,31.239112761
Fas3,7.43817608473,0.0,0.00209647825016,32.541535399
Msp300,8.79425160395,6.69303959535,0.00211572035207,32.8402113049
Eno,9.19718851395,8.02681416716,0.00212820989586,33.0340740036
dysc,8.56719668879,7.61449947003,0.00212820989586,33.0340740036
mCD8-GFP,12.461831882,13.4789375722,0.00213238245702,33.0988404978
RpL18,8.83107158984,7.76815155338,0.00213238245702,33.0988404978
Act5C,13.7076551732,12.9912662543,0.00213238245702,33.0988404978
Cngl,5.03760568244,7.54532610252,0.00218053624123,33.8462835364
hppy,0.0,6.90924683931,0.00228171554653,35.4167887132
CG15537,3.23892836445,9.08443959616,0.0022921955282,35.5794589887
CG6812,3.34987008415,8.5212360885,0.0022921955282,35.5794589887
kirre,5.65604041164,1.53139338896,0.00238848778678,37.0741074264
CG9801,7.71490065453,0.0,0.00252281894047,39.159195594
CG14194,0.0,7.43265071954,0.00252281894047,39.159195594
nAChRalpha6,7.30728539434,3.72287906498,0.00253472786605,39.3440459369
CG11448,8.42331685704,6.84619116858,0.00254913889704,39.5677339598
beat-Va,6.36576541371,0.0,0.00255244743278,39.6190890516
CG34356,3.61312399702,0.0,0.00286910496103,44.534247205
Ddr,5.11194385262,0.0,0.00292094333165,45.3388823938
Ntmt,5.07015369067,0.0,0.0029371589306,45.5905809207
CG9922,7.54037072308,5.47511726305,0.0030273744898,46.9909068306
CG11388,8.64053578656,7.84367954831,0.00304394018393,47.248039535
Ip259,0.0,6.9464480922,0.00319987388694,49.6684424731
dpr6,8.51648429526,0.0,0.00340824673532,52.9028058256
CG32354,0.0,2.4430728843,0.00352705120034,54.7468887317
CG9932,0.0,2.52968811742,0.00352705120034,54.7468887317
CG12007,0.500650452085,0.0,0.00352705120034,54.7468887317
CG12065,0.0,0.55272053951,0.00352705120034,54.7468887317
CG3704,0.0,0.54044036669,0.00352705120034,54.7468887317
CG43740,0.60597054635,0.0,0.00352705120034,54.7468887317
DIP-delta,1.07969868814,0.0,0.00352705120034,54.7468887317
CG10947,2.47219729963,0.0,0.00352705120034,54.7468887317
oxt,0.0,3.69514401358,0.00352705120034,54.7468887317
Fife,0.0,0.689343184265,0.00352705120034,54.7468887317
COX8,9.3085248288,8.45758311188,0.0036299774941,56.3445106633
14-3-3epsilon,12.1381436802,11.7376122685,0.0036299774941,56.3445106633
Hsp70Ab,5.07508339297,6.40044620416,0.0036299774941,56.3445106633
Gdh,10.9496423447,11.4697749006,0.0036299774941,56.3445106633
Hsp70Aa,2.72639206868,4.06115090088,0.0036299774941,56.3445106633
Ptp99A,8.26685281034,5.69441451912,0.0036299774941,56.3445106633
RpL3,10.83418522,10.1995103166,0.0036299774941,56.3445106633
CG10898,3.59550919172,0.0,0.00364894251992,56.6388857942
kek2,3.40720862235,0.0,0.00364894251992,56.6388857942
CG4281,6.8539476498,0.0,0.00364894251992,56.6388857942
Cbp53E,0.0,4.63063467525,0.00364894251992,56.6388857942
RyR,1.05157057475,0.0,0.00364894251992,56.6388857942
CG33774,5.07069896717,2.13154601644,0.00372253114903,57.7811284952
Ostgamma,7.8497016109,0.0,0.00415787213509,64.5384912809
Hsp70Bb,6.86648082292,7.65421968172,0.00430777905941,66.8653465602
CG30172,9.6092416982,9.09604042324,0.00430777905941,66.8653465602
nmo,9.6458337183,8.82743388126,0.00430777905941,66.8653465602
CG9098,8.64648915978,0.0,0.00436846465125,67.8073083167
CG14407,4.58049748123,0.0,0.00447257634231,69.4233299853
CLS,4.01642500892,0.0,0.00447257634231,69.4233299853
CG5787,3.72385886859,0.0,0.00447257634231,69.4233299853
CG5514,0.0,2.11839216522,0.00447257634231,69.4233299853
Suv3,1.6413691305,0.0,0.00447257634231,69.4233299853
CCKLR-17D3,6.46903050733,0.0,0.00450661135093,69.9516213891
CG2021,6.31170860941,0.0,0.00450661135093,69.9516213891
tara,5.13892059289,0.0,0.00451760512169,70.1222666989
CSN8,0.0,4.58774589601,0.00451760512169,70.1222666989
CG9018,5.82415251279,0.90054160658,0.00464668781242,72.1258882244
CG31249,0.0,7.81673251207,0.00482617982151,74.9119631895
mRpL27,5.03563398365,0.0,0.00498665807882,77.4029066995
RpL21,8.56821026072,7.85249484082,0.00509655249555,79.108687836
CG9776,7.13078262576,0.0,0.00525425985974,81.5566215428
fand,4.11875611772,0.0,0.00545841288083,84.7254847362
CG14894,0.0,7.5729236485,0.00570910433234,88.6167174465
Mdh1,7.59308945079,0.0,0.00587556329273,91.2004934297
l(1)G0320,7.12264150432,7.8959746217,0.00597427122471,92.7326379499
Atpalpha,13.2773397248,13.7625276372,0.00601141270381,93.3091479885
CG11563,4.96872159764,0.0,0.00640153135102,99.3645696306
Pxn,9.22792044301,5.98429173988,0.0064228111727,99.6948750227
NPFR,7.76320904403,0.0,0.0064649498014,100.348950817
CG2938,7.79109287564,0.0,0.00653613018271,101.453812696
eIF2D,0.0,2.14112806186,0.00663282670479,102.954736112
GstZ2,8.71153348195,0.520713546505,0.00670625474974,104.094486225
CG32982,7.83101379848,2.33149835454,0.0069644785992,108.102636817
CG5758,0.0,8.51484318523,0.00700700427144,108.762720301
exd,5.83052635156,8.65484232212,0.00706898472796,109.724780947
RpS6,10.0751667854,9.57474592728,0.00706898472796,109.724780947
CG34159,8.64565717104,7.42794200217,0.00706898472796,109.724780947
CG10077,9.89473009854,10.7684972323,0.00706898472796,109.724780947
Sap47,9.14984483675,10.0524510319,0.00706898472796,109.724780947
Sem1,6.17292554449,4.78337829954,0.00706898472796,109.724780947
PhKgamma,8.22345333862,0.520713546505,0.00732347214775,113.674934677
cv-2,0.0,7.59085178424,0.00740310196334,114.910948675
spen,7.47684017723,5.67061724735,0.00754608265317,117.130294943
Syn1,6.75136378407,0.0,0.00761334768996,118.174382844
CG3961,6.70880728631,0.0,0.00761334768996,118.174382844
nrm,4.57106963612,0.0,0.00770023265441,119.523011262
nkd,4.17465318687,0.0,0.00770143730756,119.541709888
BCAS2,6.77323625261,0.0,0.00781736611063,121.341156769
robo1,1.43054476851,0.0,0.00781736611063,121.341156769
CG10214,2.77292716252,0.0,0.00802528727053,124.568509013
CG16721,0.0,2.98371473473,0.00802528727053,124.568509013
drk,3.91428137841,7.33380567007,0.0081700454027,126.815444741
CG12659,0.0,0.0,0.00823657790279,127.848162207
CG13995,0.0,0.0,0.00823657790279,127.848162207
Pc,0.0,0.0,0.00823657790279,127.848162207
Pde1c,0.0,0.0,0.00823657790279,127.848162207
Set1,0.0,0.0,0.00823657790279,127.848162207
wac,0.0,0.0,0.00823657790279,127.848162207
CG6950,0.0,0.0,0.00823657790279,127.848162207
CG4557,0.0,0.0,0.00823657790279,127.848162207
Taf6,0.0,0.0,0.00823657790279,127.848162207
ome,0.0,0.0,0.00823657790279,127.848162207
Dcp-1,0.0,0.0,0.00823657790279,127.848162207
poly,0.0,0.0,0.00823657790279,127.848162207
CalpB,0.0,0.0,0.00823657790279,127.848162207
hep,0.0,0.0,0.00823657790279,127.848162207
CG13408,0.0,0.0,0.00823657790279,127.848162207
CG34371,0.0,0.0,0.00823657790279,127.848162207
CR32111,0.0,0.0,0.00823657790279,127.848162207
CG7530,0.0,0.0,0.00823657790279,127.848162207
CG5044,0.0,0.0,0.00823657790279,127.848162207
CG14613,0.0,0.0,0.00823657790279,127.848162207
Cyp9c1,0.0,0.0,0.00823657790279,127.848162207
Trpgamma,0.0,0.0,0.00823657790279,127.848162207
Ttd14,0.0,0.0,0.00823657790279,127.848162207
CG34354,0.0,0.0,0.00823657790279,127.848162207
Tsp5D,0.0,0.0,0.00823657790279,127.848162207
CG7011,0.0,0.0,0.00823657790279,127.848162207
CG9896,0.0,0.0,0.00823657790279,127.848162207
Ephrin,0.0,0.0,0.00823657790279,127.848162207
dpr3,0.0,0.0,0.00823657790279,127.848162207
CR45758,0.0,0.0,0.00823657790279,127.848162207
CG5003,0.0,0.0,0.00823657790279,127.848162207
vvl,0.0,0.0,0.00823657790279,127.848162207
mRpL13,5.45369078206,0.0,0.0082400050643,127.901358608
RpS23,7.59384554786,5.84731007528,0.00828746337493,128.638006506
CG43222,7.82564077161,6.5553998387,0.00828746337493,128.638006506
RpS7,10.402564651,9.87789710962,0.00828746337493,128.638006506
Uba1,8.78613437712,1.17331073959,0.0085313207872,132.423161259
CG32164,4.28231343103,0.0,0.00876529106594,136.054847926
Arf51F,7.34126130034,2.1507717381,0.0089600468541,139.077847269
Vps2,2.33925231764,7.62337517975,0.0089600468541,139.077847269
kek3,6.71470553207,0.0,0.00914149983987,141.894360514
CG14103,0.0,7.18339581897,0.00922543868928,143.197259335
CG42337,4.01933116165,0.0,0.00922543868928,143.197259335
Tusp,1.71530791371,9.41835340847,0.00922986119094,143.265905406
osp,2.73245698563,0.0,0.00931456777471,144.580720999
Shawl,6.38198207472,0.0,0.00931722324471,144.621939204
eIF-3p40,8.35377472503,0.0,0.00931722324471,144.621939204
vap,8.18487644944,7.61364491447,0.00963401099964,149.539118736
alpha-Man-Ib,9.49696389164,7.62463441398,0.00967348688211,150.151863384
ND-B12,8.14024585121,6.73570496637,0.0096866596658,150.356331332
CG31676,10.6306633201,11.5421527806,0.0096866596658,150.356331332
jigr1,7.49131842325,0.0,0.00970929361144,150.707655437
Bin1,7.22079513499,0.0,0.00970929361144,150.707655437
CG10011,0.0,7.59327304518,0.00971815874941,150.845260108
Ns3,2.82129279559,0.0,0.00974606052132,151.278351412
Oct-TyrR,0.0,3.02247320843,0.00974606052132,151.278351412
Lmpt,3.75669269572,0.0,0.00974606052132,151.278351412
CG32204,0.0,3.20252534214,0.00974606052132,151.278351412
dbo,7.58666760694,2.10162818606,0.00997795713259,154.877850612
CG31357,2.82050498889,8.44243164528,0.0103218557634,160.215845159
CG11638,0.0,6.44124087935,0.010524821166,163.366274139
Pka-R2,7.59493597971,0.689343184265,0.0107784465374,167.303047153
CG8111,5.58802736933,0.0,0.011008781754,170.878310386
Pcmt,6.1493781099,0.0,0.011008781754,170.878310386
CR43825,0.0,1.23770422563,0.011008781754,170.878310386
Got2,0.0,4.60693822516,0.011008781754,170.878310386
pch2,0.0,5.85712184205,0.011008781754,170.878310386
SkpA,10.0165278871,9.35281371407,0.0112880312616,175.212821242
Glut1,7.59572138,9.48115082375,0.0112880312616,175.212821242
AP-1-2beta,10.2476189032,9.17741764347,0.0112880312616,175.212821242
dome,1.78115944643,0.0,0.0115984223418,180.030711589
Mkrn1,7.66676685002,0.819969212405,0.0117705980311,182.703222638
beat-IIb,0.0,0.58252468186,0.011783775848,182.907768713
Nplp1,0.69658103112,0.0,0.011783775848,182.907768713
Oseg6,0.59088758484,0.0,0.011783775848,182.907768713
CG15456,1.78202925396,0.0,0.011783775848,182.907768713
disp,6.52403023497,0.0,0.0123146335106,191.147741352
CG7289,8.4738871728,0.0,0.0123146335106,191.147741352
vari,0.0,1.97862513608,0.0127422475789,197.785166919
CG10984,6.60529940467,9.10303397827,0.0127900973043,198.527890357
CG30116,8.2440196349,4.77983552289,0.0129520479039,201.041687564
CG9044,1.0547489778,0.0,0.0130760452557,202.966374459
CG8892,0.0,6.45785503295,0.0130760452557,202.966374459
CG3548,8.58280387981,0.0,0.0130791275405,203.014217684
TfIIA-L,7.49054398842,0.0,0.0130791275405,203.014217684
CG14762,10.366499216,9.42092917826,0.0130983982427,203.313337523
tsr,10.6368566987,9.99179396068,0.0131146939174,203.566278986
ox,6.36594288344,5.25461202782,0.0131146939174,203.566278986
CG3625,9.69991810687,10.6663068962,0.0131146939174,203.566278986
CG10565,7.67719023462,0.0,0.0131707186202,204.435894423
Arpc5,6.54224921712,3.32535296178,0.0135242580583,209.92353358
Chmp1,2.42034509396,7.74330680941,0.013701930013,212.681357662
tup,2.09831968054,7.62984098469,0.013701930013,212.681357662
LIMK1,1.82324459423,0.0,0.0138544332379,215.048512718
CG32276,7.08771349264,8.7094649046,0.0141030413397,218.907407675
CG33969,0.415906640519,0.0,0.0141814401924,220.124314667
CG11808,0.793348389535,0.0,0.0141814401924,220.124314667
