symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,6.85833609592,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.43704175944,5.13445780758e-06,0.0796970540892
C15,10.341636877,0.0,7.09569794446e-06,0.110139423494
klg,0.0,9.39420570036,9.15336830931e-06,0.142078582897
Ca-alpha1T,7.91374125935,0.0,9.15336830931e-06,0.142078582897
CG42339,0.0,10.5286027823,1.11685890367e-05,0.173358839028
dpr15,0.0,9.25800017934,1.87923035691e-05,0.291694136
IP3K2,0.0,10.3415502947,1.87923035691e-05,0.291694136
Cow,0.0,10.1027223061,2.4291233778e-05,0.377048530702
GV1,9.1218679528,0.0,2.61723833413e-05,0.406247734223
CG42342,7.62346330269,10.7652813333,2.99179589652e-05,0.464386559058
fru,0.0,9.56633213975,3.03089062316e-05,0.470454842527
twz,11.0528046821,8.6726536326,3.81539413546e-05,0.592225477705
Ktl,0.0,9.07318429179,4.01279246574e-05,0.622865646532
bru-3,8.73235403292,0.0,4.58679335698e-05,0.711962064871
tsh,0.0,6.74193805634,6.2654363942e-05,0.972521037107
rdo,8.5740912206,0.0,6.2654363942e-05,0.972521037107
PVRAP,6.05611563412,0.0,6.2654363942e-05,0.972521037107
acj6,6.41275844428,0.0,6.2654363942e-05,0.972521037107
caup,8.02435148327,0.0,6.53070589699e-05,1.01369616933
Msp300,8.93105800067,4.92369892688,7.28770520889e-05,1.13119760252
ara,8.49357157131,0.0,7.39782380629e-05,1.14829021121
hbs,7.72378104901,1.02783730801,9.19345635454e-05,1.42700829535
betaTub56D,14.0851677774,13.3624637471,9.80807368533e-05,1.52240919744
rgn,0.0,7.78080580817,0.00011600356004,1.80060725894
CG34380,9.80068239665,7.11196357002,0.000119311802124,1.85195779258
Ten-m,6.42972858838,0.0,0.000119835656962,1.86008906736
pros,11.561619183,10.4278717917,0.000123103116411,1.91080657294
CG6959,7.42144924665,0.0,0.000191695863289,2.97550318997
beat-VI,0.0,7.67036556006,0.000191695863289,2.97550318997
run,7.84602748023,0.0,0.000191695863289,2.97550318997
hth,9.72007795239,11.3248602268,0.000192101013517,2.98179193182
CG33543,0.0,10.0168111875,0.000208948864483,3.24330427451
heph,6.48690470695,0.0,0.000239209057348,3.71300298815
TfIIA-L,7.47177286705,0.0,0.000245190061008,3.80584012697
dpr6,9.16347490292,0.0,0.000254836523736,3.95557252143
CR44978,7.45974640461,4.13941402983,0.000346567437383,5.37941976306
Srpk79D,5.81468899256,8.20279727955,0.000346567437383,5.37941976306
Nlp,9.26809299728,7.38305222295,0.000364765459768,5.66188946651
CG42747,9.11168080999,0.0,0.000400152907868,6.21117343593
CG30463,0.0,5.18992954113,0.000401100451324,6.22588120545
