symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.45811067148,5.13445780758e-06,0.0796970540892
CG30089,6.25058184456,0.0,5.13445780758e-06,0.0796970540892
GV1,9.1218679528,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.53172545163,5.13445780758e-06,0.0796970540892
caup,8.16220342846,0.0,5.13445780758e-06,0.0796970540892
klg,0.0,9.16103473501,9.15336830931e-06,0.142078582897
bru-3,7.66690035633,0.0,9.15336830931e-06,0.142078582897
ara,8.72832486678,0.0,9.33764556343e-06,0.144938934436
CG42339,0.0,10.8342736545,1.30214778044e-05,0.20211937848
TrissinR,0.0,7.75387349057,1.87923035691e-05,0.291694136
C15,10.3608638743,0.0,1.87923035691e-05,0.291694136
fru,0.0,9.48829844274,3.03089062316e-05,0.470454842527
Cow,0.429335811418,9.84177684077,4.29865050075e-05,0.667236530727
CG42342,7.62346330269,10.6776131078,6.1672877202e-05,0.957286399929
PVRAP,5.62714632026,0.0,6.2654363942e-05,0.972521037107
run,8.26049128763,0.0,6.2654363942e-05,0.972521037107
CG12065,0.0,7.91612832785,6.2654363942e-05,0.972521037107
Cbp53E,0.0,6.0327550592,6.2654363942e-05,0.972521037107
Hasp,7.25694005795,0.0,6.27394017787e-05,0.973840994409
twz,11.2025545925,8.53733128814,9.77664335981e-05,1.51753058231
CG32204,0.0,6.98361715732,0.00011600356004,1.80060725894
beat-VI,0.0,7.86605851288,0.00011600356004,1.80060725894
rdo,8.72330825625,0.0,0.000119835656962,1.86008906736
CG2082,9.79476838249,0.0,0.000119835656962,1.86008906736
Ca-alpha1T,8.02445864873,0.0,0.000151723321511,2.3550493965
Ktl,0.0,9.38971328879,0.000166728382707,2.58795795638
CCKLR-17D3,9.29486049133,0.0,0.000188639994557,2.92806999551
CrzR,0.0,8.86010752448,0.000191695863289,2.97550318997
CG31814,5.91147834711,0.0,0.000191695863289,2.97550318997
pros,11.5178165705,10.3028128317,0.000192101013517,2.98179193182
CG12643,8.46694874452,9.8411254116,0.000192101013517,2.98179193182
Dic1,7.86154448891,0.0,0.00019433835008,3.01651986994
CG30463,0.0,7.43773353027,0.00019433835008,3.01651986994
nAChRalpha2,6.15174717129,11.0303078469,0.000225527629852,3.50063987056
Toll-6,9.56994668662,4.73169626019,0.000232116999732,3.60292006985
CG3625,9.49708159164,10.9744846387,0.000238840864478,3.70728789844
Teh1,7.17918563523,0.0,0.000260993147107,4.05113562939
CR44978,7.62184142844,0.0,0.000289872476541,4.49940058086
