symbol,medianA,medianB,pvalue,pvalue_adj
GV1,9.45077113859,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.8639233392,5.13445780758e-06,0.0796970540892
klg,0.0,9.79390837754,1.11685890367e-05,0.173358839028
CG42339,0.0,9.82392695846,1.68616240509e-05,0.261726128517
hth,9.62965116067,11.2512465185,1.82922767695e-05,0.283932720016
PVRAP,6.4701384035,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.83220020618,1.87923035691e-05,0.291694136
C15,10.2802297898,0.0,1.87923035691e-05,0.291694136
CG30089,6.11074137245,0.0,2.08338413307e-05,0.323382885135
Cow,3.1607421482,9.83398739801,2.78712282901e-05,0.43261720552
CG33543,0.0,10.3237367715,2.79943635337e-05,0.434528510771
twz,11.2025545925,8.09360927179,2.89345043e-05,0.449121375744
Cbp53E,0.0,7.86199905703,3.03089062316e-05,0.470454842527
CG42342,7.83232560382,10.614258972,3.82914473375e-05,0.594359845572
B4,4.82454511284,0.0,6.53782854001e-05,1.01480174598
nAChRalpha3,7.28064101073,0.0,0.000106995032231,1.66077689029
CG32204,0.0,8.13580723129,0.00011600356004,1.80060725894
Ptp99A,7.71299585786,4.40243927173,0.000149416648845,2.31924522337
Ktl,0.0,9.22733252097,0.00016663424449,2.58649674297
CG11221,6.43378402689,0.0,0.000191695863289,2.97550318997
DIP-theta,0.0,7.9658731311,0.000191695863289,2.97550318997
CG10384,0.0,8.09423280259,0.000191695863289,2.97550318997
CG6959,7.80980927079,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,8.31277139836,0.000191695863289,2.97550318997
fax,9.42170430287,10.6826418025,0.000238840864478,3.70728789844
rdo,8.4550476714,0.0,0.000245190061008,3.80584012697
Ca-alpha1T,7.91374125935,0.0,0.000254836523736,3.95557252143
Gprk2,8.6210043641,6.21611130485,0.000298929104533,4.63997756056
CG12194,7.70015949704,4.40603896653,0.000361849544811,5.61662863455
GstD1,0.0,7.97745819401,0.000401100451324,6.22588120545
fru,0.0,9.55713210638,0.000401100451324,6.22588120545
P5CDh1,9.24915384532,7.5352093032,0.00045046779818,6.99216116335
Ac76E,8.59016202914,0.0,0.0004791681021,7.43764728079
CG11317,0.0,2.32831258655,0.000542166280837,8.41550501115
acj6,5.53712857842,0.0,0.000542166280837,8.41550501115
sdt,0.0,4.76261713722,0.000542166280837,8.41550501115
Scp2,0.0,7.82350364934,0.000542166280837,8.41550501115
run,7.44294585244,0.0,0.000542166280837,8.41550501115
CG31814,5.10559794976,0.0,0.000542166280837,8.41550501115
CG17565,2.12056641435,8.26847223056,0.000589256886706,9.14644539545
CG42541,9.08517132977,6.63836031333,0.000670439238374,10.406557858
ara,8.45535131518,0.0,0.000717893223829,11.1431386203
CG31997,0.0,8.46647750462,0.000722323516879,11.211905629
Rap2l,2.00653246735,6.40743688648,0.000787953959844,12.2306213647
Ten-a,5.14012150806,7.79520855565,0.000826019728117,12.8214782198
bru-3,7.98417316677,0.0,0.000882615531441,13.699958279
dpr6,8.82723858043,0.0,0.000916382889454,14.2240952101
CG34401,0.0,7.44851381435,0.000924738753125,14.353794926
CCKLR-17D3,6.75897998499,0.0,0.000986770339198,15.316649205
NPFR,7.13020123382,0.0,0.000986770339198,15.316649205
pros,11.3493506692,10.568362658,0.00100475242783,15.5957671848
apt,0.0,8.49122990234,0.00112099897716,17.4001461234
Ten-m,6.1495812667,0.52625276197,0.00112748770879,17.5008642158
Msp300,8.52354529806,4.92754361321,0.00121571023979,18.870254342
DIP-gamma,7.88187984589,0.0,0.00126291265293,19.6029301988
sda,0.0,5.50085885793,0.00139888360254,21.7134712786
CR44978,7.62184142844,3.9788610179,0.00141157064903,21.9103996143
RYBP,8.31576620613,3.8281526679,0.00141157064903,21.9103996143
CG32187,5.83877981711,0.0,0.00142779274305,22.1621989576
alphagamma-element:CR32865,0.0,1.44776952456,0.00142779274305,22.1621989576
tsh,0.0,5.006358598,0.00142779274305,22.1621989576
TrissinR,0.0,7.25054393081,0.00142779274305,22.1621989576
CG31760,0.0,1.34986049595,0.00142779274305,22.1621989576
Gmap,3.13169948467,0.0,0.00142779274305,22.1621989576
pch2,0.0,5.14189229445,0.00142779274305,22.1621989576
CG10947,5.52559335082,0.0,0.00142779274305,22.1621989576
wake,0.0,1.76337348016,0.00142779274305,22.1621989576
CG42747,9.28417356927,2.42718113583,0.00157976558932,24.5211214775
CG14207,0.0,6.87905322737,0.00171566764987,26.6305932612
CG17378,5.31584154111,0.0,0.00171566764987,26.6305932612
nAChRalpha2,7.48925446762,10.6746556044,0.00173908106987,26.9940163665
Act5C,13.7076551732,12.9328822426,0.00177491931746,27.5502976456
HmgZ,8.80001554238,7.89122193928,0.00177491931746,27.5502976456
Dh44-R1,0.0,7.39224133502,0.0018668701386,28.9775582913
Glo1,6.37211483488,0.0,0.0018668701386,28.9775582913
CG7564,7.4577359813,0.0,0.00201257007866,31.239112761
CG34380,9.40212235652,1.57625277883,0.00204982228844,31.8173415611
CG43729,8.55057143969,5.26616357138,0.00211572035207,32.8402113049
heph,6.06943068808,0.0,0.00228171554653,35.4167887132
nAChRalpha1,0.0,6.169950974,0.00237647722609,36.8876795033
CG12994,7.06844122084,0.0,0.00242787202676,37.6854295993
rgn,0.0,7.91006503809,0.00252281894047,39.159195594
CG30463,0.0,6.25728798182,0.00252281894047,39.159195594
UQCR-Q,9.3446340364,8.29890966698,0.0025539527125,39.6424540034
mspo,0.0,7.09136940755,0.0027480089233,42.6545945074
Fas3,7.5032425198,0.0,0.00291155513335,45.1931587799
otk,8.48698190727,4.37960696609,0.00293985221537,45.632386087
AMPdeam,8.76245382974,9.65163394524,0.0030273744898,46.9909068306
betaTub56D,14.0978728876,13.1791794807,0.00304947296561,47.3339193722
CG9368,8.29732020859,0.0,0.00328417982783,50.9770392876
CG7985,0.678027432435,8.44443333181,0.00328417982783,50.9770392876
Teh1,6.96713368226,0.55272053951,0.00328417982783,50.9770392876
Mhcl,4.1537519582,0.0,0.00344965301637,53.54551412
kirre,5.38558108295,3.75615003025,0.00350437791695,54.3949540269
rdgBbeta,0.429335811418,0.0,0.00352705120034,54.7468887317
CG9896,0.0,1.36758847801,0.00352705120034,54.7468887317
gro,0.0,0.52625276197,0.00352705120034,54.7468887317
CCKLR-17D1,1.25725491896,0.0,0.00352705120034,54.7468887317
dpr13,0.0,2.59887455512,0.00352705120034,54.7468887317
CG12608,3.20115121307,0.0,0.00352705120034,54.7468887317
Fife,0.0,2.42017782327,0.00352705120034,54.7468887317
Tsp5D,0.0,3.31097782937,0.00352705120034,54.7468887317
Plc21C,0.0,0.537223446345,0.00352705120034,54.7468887317
Gyc-89Db,1.83819504488,0.0,0.00352705120034,54.7468887317
CG9855,0.0,2.60037393587,0.00352705120034,54.7468887317
CG12065,0.0,0.54599588272,0.00352705120034,54.7468887317
Sidpn,6.69519954252,0.0,0.00359044554028,55.7308956763
His2Av,8.13052436896,7.30300198157,0.0036299774941,56.3445106633
CG45263,6.11734669447,0.0,0.00364894251992,56.6388857942
cnc,3.57542919109,0.0,0.00364894251992,56.6388857942
Oct-TyrR,0.0,7.22532779144,0.00364894251992,56.6388857942
CG4866,6.52376961655,0.0,0.00374224898317,58.0871887168
MED18,0.0,7.13180884983,0.0041336439511,64.162421409
