symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,6.85833609592,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.51262074281,5.13445780758e-06,0.0796970540892
IP3K2,0.0,9.61115252331,5.13445780758e-06,0.0796970540892
rgn,0.0,7.78080580817,7.09569794446e-06,0.110139423494
C15,10.3500680146,0.0,7.09569794446e-06,0.110139423494
klg,0.0,9.18988845425,9.15336830931e-06,0.142078582897
GV1,9.26506360569,0.0,1.22446437935e-05,0.190061360963
CG42339,0.0,10.768474771,1.30214778044e-05,0.20211937848
PVRAP,6.4701384035,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.66753712467,1.87923035691e-05,0.291694136
Ten-m,6.28143908875,0.0,2.02308250395e-05,0.314022866263
Cow,0.429335811418,10.2572662082,2.05109686014e-05,0.318371254631
Ktl,0.0,9.61663270316,2.17621775141e-05,0.337792519373
fru,0.0,9.38521471135,3.03089062316e-05,0.470454842527
ara,8.45535131518,0.0,3.03089062316e-05,0.470454842527
twz,11.0528046821,8.31728046073,3.82914473375e-05,0.594359845572
bru-3,8.37319883199,0.0,5.1305805304e-05,0.796368709929
heph,6.48690470695,0.0,6.2654363942e-05,0.972521037107
tsh,0.0,6.47823392758,6.2654363942e-05,0.972521037107
CG14207,0.0,8.00620059116,6.53782854001e-05,1.01480174598
Fas2,8.88789915555,10.5223883909,7.78979465439e-05,1.20913192626
Ca-alpha1T,7.35232279644,0.0,7.99259080905e-05,1.24060994538
CG33543,0.0,9.96460245032,0.000102961253475,1.59816457644
otk,8.37509832723,0.0,0.000105103273193,1.6314130065
Rpn12,7.08569153089,0.0,0.000119835656962,1.86008906736
glob1,9.09965874336,3.80232519561,0.000138338286964,2.14728689026
Sep4,9.27600641886,6.83559100593,0.000149416648845,2.31924522337
CG42342,7.83232560382,10.7119719153,0.000191538245668,2.97305664926
beat-VI,0.0,7.05420203028,0.000191695863289,2.97550318997
acj6,6.41275844428,0.0,0.000191695863289,2.97550318997
run,7.44294585244,0.0,0.000191695863289,2.97550318997
sdt,0.0,4.49104966378,0.000191695863289,2.97550318997
tsr,10.6368566987,9.56228529633,0.000192101013517,2.98179193182
l(1)G0320,6.29454681968,8.12719391727,0.000208158797579,3.23104085602
pros,11.561619183,10.3187071671,0.000238840864478,3.70728789844
CR44978,7.45974640461,5.6738331005,0.000296021072947,4.59483909429
CG13594,0.0,8.46496336955,0.000301562738535,4.68085682754
Dh44-R1,0.0,7.69833163304,0.000308239766457,4.78449765495
dpr6,9.05480242779,0.0,0.000318096176154,4.93748884626
GstD1,0.0,7.16990542757,0.000401100451324,6.22588120545
CG32204,0.0,8.35025255199,0.000401100451324,6.22588120545
caup,7.87669325576,0.0,0.000431569263818,6.69881811299
RpL18,8.91585302138,7.37213501028,0.00045046779818,6.99216116335
CG6959,7.42144924665,0.0,0.000505276606553,7.84290348691
CG32187,5.83877981711,0.0,0.000542166280837,8.41550501115
otk2,6.51919892348,0.0,0.000542166280837,8.41550501115
CG42541,9.16113699219,5.98900306005,0.00055308909204,8.58504888665
Eno,9.19718851395,8.01690001997,0.00055308909204,8.58504888665
rdo,8.4550476714,0.0,0.000599404297285,9.30395350247
CG8248,8.56294022899,0.0,0.000614632174771,9.5403206168
CG30463,0.0,4.79079450089,0.000741696486829,11.5126128686
CG14270,0.0,6.71614360593,0.000792514928053,12.3014167132
CG10984,6.60529940467,8.9547623479,0.000818314149943,12.7018722354
Glut1,8.09785261504,10.0308793694,0.000826019728117,12.8214782198
homer,6.43698366897,0.0,0.000916382889454,14.2240952101
nAChRalpha2,7.48925446762,10.3895326318,0.000982205636211,15.2457958853
Nlp,8.97476028474,7.2514939082,0.000982205636211,15.2457958853
Syt12,2.44256179897,8.9587453237,0.00119195654579,18.5015495037
Act5C,13.5190500298,12.9957257569,0.00121836740449,18.9114988526
betaTub56D,14.0851677774,13.4526714575,0.00121836740449,18.9114988526
Oscillin,7.13157152922,0.0,0.00126291265293,19.6029301988
tho2,5.69579164064,0.0,0.00126291265293,19.6029301988
CG31997,0.0,8.21463010847,0.00130526710377,20.2603559847
apt,0.0,9.6083286789,0.00132692743138,20.5965675898
Hasp,7.25694005795,0.0,0.00137316776791,21.3143100934
Scp2,0.0,6.02541234215,0.00142779274305,22.1621989576
CR45758,0.911570743039,0.0,0.00142779274305,22.1621989576
TrissinR,0.0,4.43135235725,0.00142779274305,22.1621989576
osp,4.53614116385,0.0,0.00142779274305,22.1621989576
Hs6st,0.0,2.75322745261,0.00142779274305,22.1621989576
Glg1,5.80102727676,0.0,0.00142779274305,22.1621989576
CG45263,5.18010758197,0.0,0.00142779274305,22.1621989576
CG6272,0.0,1.72837783864,0.00142779274305,22.1621989576
CG2201,0.0,1.20747620565,0.00142779274305,22.1621989576
DIP-theta,0.0,5.35166303344,0.00142779274305,22.1621989576
Lmpt,7.83713038106,0.0,0.00142779274305,22.1621989576
CG34371,1.29182837557,0.0,0.00142779274305,22.1621989576
Toll-6,9.67582810709,7.73826044162,0.00144200028716,22.3827284574
Atpalpha,13.2947946961,13.7464399267,0.00147282307527,22.8611597743
CG42747,9.28417356927,3.40636707054,0.0015028760232,23.3276416321
hth,9.93481295898,11.0031056599,0.00177491931746,27.5502976456
Hsp70Aa,2.886322238,4.04862270609,0.00177491931746,27.5502976456
B4,4.82454511284,0.0,0.00190593953565,29.5839934724
CG10565,8.23620136294,0.0,0.00196453706682,30.4935443511
Spase22-23,6.2015703939,0.0,0.00197494511039,30.6550980034
wap,8.51471187174,5.17215721089,0.00204982228844,31.8173415611
HP4,7.71345070173,6.26153804983,0.00209086789089,32.4544514023
