symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,8.82650154413,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.67699436456,5.13445780758e-06,0.0796970540892
CG30089,6.70386216057,0.0,5.13445780758e-06,0.0796970540892
bru-3,8.37319883199,0.0,9.15336830931e-06,0.142078582897
Ca-alpha1T,7.91374125935,0.0,9.33764556343e-06,0.144938934436
klg,0.0,9.16701154506,1.11685890367e-05,0.173358839028
CG42339,0.0,10.396119907,1.30214778044e-05,0.20211937848
PVRAP,5.97333311228,0.0,1.87923035691e-05,0.291694136
C15,10.1206585481,0.0,1.87923035691e-05,0.291694136
GV1,9.26506360569,0.0,2.02308250395e-05,0.314022866263
twz,11.2025545925,7.60784634714,2.33853293559e-05,0.362987082263
Ktl,0.0,9.58783285087,2.79943635337e-05,0.434528510771
fru,0.0,8.30477653738,3.03089062316e-05,0.470454842527
tsh,0.0,4.86475482127,6.2654363942e-05,0.972521037107
CG6959,7.80980927079,0.0,6.2654363942e-05,0.972521037107
Cow,2.73140633679,10.0597864334,6.92728397833e-05,1.07525301912
dpr6,9.05480242779,0.0,9.43200352927e-05,1.46403558781
sda,0.0,6.45709106606,9.43200352927e-05,1.46403558781
heph,6.42981744592,0.0,0.00011600356004,1.80060725894
ara,8.85105000554,0.0,0.000119835656962,1.86008906736
caup,7.87669325576,0.0,0.000136211739994,2.11427862819
rdo,8.17077774325,0.0,0.000148206009967,2.30045368671
TrissinR,0.0,6.86458234568,0.000191695863289,2.97550318997
NPFR,7.13020123382,0.0,0.000191695863289,2.97550318997
acj6,6.41275844428,0.0,0.000191695863289,2.97550318997
CG42342,7.83232560382,10.3701354559,0.000238840864478,3.70728789844
tko,7.07049470339,0.0,0.000260993147107,4.05113562939
Eno,9.52233562268,8.3020856105,0.000296021072947,4.59483909429
Toll-6,9.9389848504,7.49552267225,0.000361849544811,5.61662863455
nAChRalpha2,7.85123688488,10.8936000282,0.000361849544811,5.61662863455
Dh44-R1,0.0,7.69833163304,0.000386116522864,5.99330066789
CG32204,0.0,8.2503250118,0.000401100451324,6.22588120545
Lar,4.44915852477,0.0,0.000494091150955,7.66928284512
beat-VI,0.0,7.01167921961,0.000505276606553,7.84290348691
tho2,5.69579164064,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,8.10517843888,0.000542166280837,8.41550501115
run,7.97464439421,0.0,0.000542166280837,8.41550501115
