symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.85517515847,5.13445780758e-06,0.0796970540892
CG30089,5.54897932283,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.60182944857,5.13445780758e-06,0.0796970540892
bru-3,7.98417316677,0.0,1.11685890367e-05,0.173358839028
klg,0.0,9.08259600544,1.11685890367e-05,0.173358839028
C15,10.3608638743,0.0,1.87923035691e-05,0.291694136
GV1,9.45077113859,0.0,2.02308250395e-05,0.314022866263
dpr6,8.82723858043,0.0,2.08338413307e-05,0.323382885135
Cow,0.429335811418,10.098676038,2.6333192812e-05,0.408743818827
CG42339,0.0,10.4758955515,2.79943635337e-05,0.434528510771
twz,11.0528046821,8.39537636051,2.9587322254e-05,0.459254416027
CG33543,0.0,10.3263021287,3.58926629413e-05,0.557125914175
CG42342,7.83232560382,10.7286355322,3.82914473375e-05,0.594359845572
caup,8.02435148327,0.0,3.92892831811e-05,0.609848253538
Ktl,0.0,9.08128910049,4.01279246574e-05,0.622865646532
disp,6.52403023497,0.0,5.07461880929e-05,0.787682331577
Ca-alpha1T,8.41161116309,0.0,5.78208106649e-05,0.897494623141
PVRAP,5.62714632026,0.0,6.2654363942e-05,0.972521037107
nAChRalpha2,6.94097471969,10.4885919152,9.49709897323e-05,1.47413970262
CG13594,0.0,8.28979453276,0.000106995032231,1.66077689029
fru,0.0,9.13162406242,0.00011600356004,1.80060725894
Dpck,7.54368211611,0.0,0.00011600356004,1.80060725894
Ten-m,6.26812726564,0.0,0.000119835656962,1.86008906736
rdo,8.84235180545,0.0,0.000151723321511,2.3550493965
sdt,0.0,4.29313982078,0.000191695863289,2.97550318997
rgn,0.0,8.27604551622,0.00019433835008,3.01651986994
CG30463,0.0,7.42221306389,0.00019433835008,3.01651986994
Gprk2,8.87827615501,4.83622190981,0.000225527629852,3.50063987056
Ptp99A,8.06124076796,4.87754516382,0.00029277029605,4.54438053528
CG31814,5.91147834711,0.0,0.000302203756243,4.69080670441
glob1,9.0469300703,1.66890281352,0.000356065705973,5.52685188811
NPFR,7.76320904403,0.0,0.000542166280837,8.41550501115
acj6,5.53712857842,0.0,0.000542166280837,8.41550501115
run,7.72879274585,0.0,0.000542166280837,8.41550501115
CG31760,0.0,5.05585876062,0.000542166280837,8.41550501115
DIP-theta,0.0,6.6782413585,0.000542166280837,8.41550501115
Ret,0.0,3.39375030579,0.000542166280837,8.41550501115
IP3K2,0.0,8.16012994799,0.000542166280837,8.41550501115
Toll-6,9.9389848504,8.25670767694,0.000547573038485,8.49942870336
Hsp26,11.3934272273,12.0485490143,0.000676970721546,10.5079395398
Fas2,8.88789915555,10.3554755652,0.000676970721546,10.5079395398
sda,0.0,6.50599351343,0.000741696486829,11.5126128686
nAChRalpha3,7.28064101073,0.0,0.000746609897836,11.5888788342
CG7985,0.678027432435,8.88361486994,0.000760159209284,11.7991912465
Msp300,8.7959104866,6.34266886944,0.000826019728117,12.8214782198
CG42747,9.33890175119,5.79291846296,0.000959980575337,14.9008184904
GluRIB,5.20160500918,1.03907989299,0.00107504485903,16.6868463018
CG43729,8.84142147109,5.33567701764,0.00119195654579,18.5015495037
Hsp27,10.6443522058,11.4842599336,0.00121836740449,18.9114988526
CG11563,4.96872159764,0.0,0.00126291265293,19.6029301988
Cbp53E,0.0,7.45038210848,0.00126291265293,19.6029301988
GstD1,0.0,4.96901037593,0.00126291265293,19.6029301988
DAAM,0.0,4.53206367111,0.00139888360254,21.7134712786
HBS1,0.923614033261,0.0,0.00142779274305,22.1621989576
CG10384,0.0,6.86882620924,0.00142779274305,22.1621989576
Gyc-89Db,3.92772693843,0.0,0.00142779274305,22.1621989576
CG14438,0.0,2.66601191589,0.00142779274305,22.1621989576
tsh,0.0,4.15568635605,0.00142779274305,22.1621989576
CG42265,3.25066356181,0.0,0.00142779274305,22.1621989576
CG32354,0.0,5.20274153525,0.00142779274305,22.1621989576
Fife,0.0,3.16692534667,0.00142779274305,22.1621989576
mt:ND6,1.73362001847,0.0,0.00153061881771,23.7582652885
beat-VI,0.0,5.05143034124,0.00156917424068,24.3567225639
Hip14,8.09432851372,0.0,0.00161732083694,25.1040540309
CenG1A,8.27025107906,6.78321073157,0.00170367355559,26.4444209299
CG11030,1.74346293472,7.5697157358,0.00170367355559,26.4444209299
ara,8.49357157131,0.0,0.00201257007866,31.239112761
CR44978,7.60703354034,3.65866433961,0.00204982228844,31.8173415611
Drep2,7.6216150005,2.83982204386,0.00211572035207,32.8402113049
bic,8.66494030243,7.89804870912,0.00213238245702,33.0988404978
COX8,9.48548727275,8.41417882231,0.00213238245702,33.0988404978
