symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.17227949683,5.13445780758e-06,0.0796970540892
klg,0.0,9.32796634746,1.11685890367e-05,0.173358839028
CG42339,0.0,10.6749727868,1.30214778044e-05,0.20211937848
GV1,9.34926181001,0.0,1.55845526505e-05,0.24190342624
PVRAP,5.62714632026,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.85070398341,1.87923035691e-05,0.291694136
Cow,3.1607421482,10.1314071013,2.17429698644e-05,0.337494378236
C15,10.341636877,0.0,3.03089062316e-05,0.470454842527
CG30089,6.11074137245,0.0,3.37431000766e-05,0.523760399388
Ca-alpha1T,7.91901253235,0.0,3.92892831811e-05,0.609848253538
ara,8.33505993717,0.0,5.07461880929e-05,0.787682331577
TrissinR,0.0,7.90896193415,6.2654363942e-05,0.972521037107
DIP-theta,0.0,7.55324421903,6.2654363942e-05,0.972521037107
dpr6,9.05480242779,0.0,6.53782854001e-05,1.01480174598
Gprk2,8.82368831382,5.20655973713,7.28770520889e-05,1.13119760252
Syn2,6.87484429921,3.26860965803,7.53563582746e-05,1.16968139314
twz,11.41158199,8.99217939767,7.78979465439e-05,1.20913192626
CR44978,7.45974640461,1.92663116765,8.75151666445e-05,1.35841041666
caup,7.87669325576,0.0,9.43200352927e-05,1.46403558781
CG42342,7.62346330269,10.4564554795,9.80807368533e-05,1.52240919744
Fas2,9.14500290993,10.5592698707,9.80807368533e-05,1.52240919744
fru,0.0,9.60706613983,0.00011600356004,1.80060725894
nAChRalpha2,7.85123688488,10.9307112031,0.000121576208476,1.88710590796
Cbp53E,0.0,7.75791271301,0.000148206009967,2.30045368671
pros,11.4131674276,10.1466840577,0.000154022352814,2.39073496038
Ktl,0.0,9.37028325288,0.000166728382707,2.58795795638
bru-3,7.66690035633,0.0,0.000166728382707,2.58795795638
rdo,8.72330825625,0.0,0.000188639994557,2.92806999551
run,7.72879274585,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,9.77256621052,0.000191695863289,2.97550318997
acj6,6.41275844428,0.0,0.000191695863289,2.97550318997
trn,8.71563014173,0.0,0.000203467506621,3.15822263778
Msp300,8.91969307505,6.36237652877,0.000238162387247,3.69675657485
CG42747,9.1234553675,2.42718113583,0.000268413593425,4.16631579714
CCKLR-17D3,9.29486049133,0.0,0.000318096176154,4.93748884626
CG9098,8.53147557331,0.0,0.000359671675717,5.58282375049
Dh44-R1,0.0,7.89819250866,0.000376532512733,5.84453766264
GstD1,0.0,7.23848583131,0.000401100451324,6.22588120545
CG32204,0.0,7.5381758797,0.000401100451324,6.22588120545
caz,0.0,1.11339324283,0.000542166280837,8.41550501115
tsh,0.0,5.56082581354,0.000542166280837,8.41550501115
heph,6.42981744592,0.0,0.000542166280837,8.41550501115
CG31221,8.02007596423,0.62763389564,0.000589256886706,9.14644539545
sda,0.0,7.29139376011,0.000741696486829,11.5126128686
rgn,0.0,8.29027520337,0.000741696486829,11.5126128686
CG31814,5.42471658449,0.0,0.000792514928053,12.3014167132
otk,8.13264178611,0.0,0.0008252767023,12.8099449731
spi,9.46439002363,7.54605661673,0.000995695028697,15.4551782354
morgue,5.50055586961,0.0,0.00113640233548,17.6392370513
Toll-6,9.67582810709,7.40043503346,0.00119195654579,18.5015495037
hth,9.79836045648,11.036779003,0.00121836740449,18.9114988526
Sidpn,7.4796970683,0.0,0.00126291265293,19.6029301988
beat-VI,0.0,6.35146013991,0.00126291265293,19.6029301988
CCKLR-17D1,4.93480026905,0.0,0.00126291265293,19.6029301988
Hasp,7.75434448231,0.0,0.00137316776791,21.3143100934
CG31997,0.0,8.29833843403,0.00137316776791,21.3143100934
key,4.19293815956,0.0,0.00138410255674,21.4840398857
Fife,0.0,2.66871430052,0.00142779274305,22.1621989576
Dh44-R2,0.845202980512,0.0,0.00142779274305,22.1621989576
CG31760,0.0,4.02162674596,0.00142779274305,22.1621989576
CG2201,0.0,1.73559700276,0.00142779274305,22.1621989576
sdt,0.0,3.80493223969,0.00142779274305,22.1621989576
CG6959,6.80102028658,0.0,0.00142779274305,22.1621989576
CG11596,6.39078934719,0.0,0.00156917424068,24.3567225639
beat-Va,6.62497690992,0.0,0.00161732083694,25.1040540309
CG8004,7.27481992963,0.0,0.00166511987523,25.8459907033
CG42541,9.03014804918,6.3341997918,0.00177131609779,27.4943684699
corto,0.0,6.07521016628,0.001828432202,28.3809246395
Ntmt,5.6547177536,0.0,0.0018610634418,28.8874267436
Suv3,1.6413691305,0.0,0.00194175002269,30.1398438521
mRpL14,6.05300889394,0.0,0.00201257007866,31.239112761
CG2082,9.75530822982,0.0,0.00201257007866,31.239112761
Pxn,9.26001845527,6.79383804344,0.00218053624123,33.8462835364
Arf51F,7.59405320009,2.11343742646,0.0022921955282,35.5794589887
Hk,6.97554610037,8.49937295068,0.00233008206691,36.1675338426
CG30463,0.0,6.1350518846,0.00252281894047,39.159195594
Ptp99A,8.06124076796,4.48955778433,0.00254913889704,39.5677339598
CG13594,0.0,8.05150761114,0.00255244743278,39.6190890516
CG12194,8.15199920405,5.47293255589,0.0025539527125,39.6424540034
CG6812,0.0,8.44312036305,0.0026641228572,41.3525149895
CG6024,5.23389714111,0.0,0.00285052336252,44.245823633
CG10802,4.39190621035,0.0,0.0029371589306,45.5905809207
tna,6.26075376119,2.76465279012,0.00293985221537,45.632386087
dysc,8.49020908483,7.52531512626,0.00304947296561,47.3339193722
Act5C,13.5190500298,13.0163964069,0.00304947296561,47.3339193722
CG32982,7.83101379848,3.45167605958,0.00326938483288,50.747391376
Tom70,8.34408911509,0.0,0.00331651673921,51.4789728259
CG14079,7.32077279605,0.0,0.00350254619339,54.3665220138
Cngl,5.46360247983,7.50820600006,0.00350437791695,54.3949540269
CG9932,0.0,0.485759347195,0.00352705120034,54.7468887317
Pc,0.996204743595,0.0,0.00352705120034,54.7468887317
CG1358,0.0,1.27048561881,0.00352705120034,54.7468887317
Adk1,0.429296339993,0.0,0.00352705120034,54.7468887317
Elp3,1.04425307378,0.0,0.00352705120034,54.7468887317
Ret,0.0,0.492750972058,0.00352705120034,54.7468887317
CHES-1-like,0.415906640519,0.0,0.00352705120034,54.7468887317
Pde1c,0.0,1.49416717131,0.00352705120034,54.7468887317
Tsp5D,0.0,1.85007551763,0.00352705120034,54.7468887317
CG34354,1.8171233438,0.0,0.00352705120034,54.7468887317
Gyc-89Db,1.83819504488,0.0,0.00352705120034,54.7468887317
AMPdeam,8.16285173733,9.83291885654,0.00360467167913,55.9517138034
sun,6.60521252758,5.46264990356,0.0036299774941,56.3445106633
Ten-a,6.40229963204,7.97925084184,0.0036299774941,56.3445106633
Csk,6.84014814738,0.0,0.00383068638571,59.4599140789
CG33543,0.0,9.35749558421,0.0040621522325,63.0527269528
beat-Vb,7.30560387141,0.0,0.0041336439511,64.162421409
glob1,8.96845952691,7.2761624525,0.0042357913158,65.7479528038
CG3625,9.49708159164,10.8470059935,0.00430777905941,66.8653465602
MESK2,9.33666406666,8.33068326286,0.00430777905941,66.8653465602
Mtap,4.2573661968,0.0,0.00437130777888,67.8514393438
Rab18,6.91123856192,0.0,0.00437130777888,67.8514393438
l(1)G0289,0.551627652565,9.07290815922,0.00442947100501,68.7542489398
Vps16A,7.29451671363,0.0,0.00450661135093,69.9516213891
CG3226,7.62734382825,2.50782338095,0.00464668781242,72.1258882244
GstZ2,8.71153348195,1.70755209035,0.00464668781242,72.1258882244
Ddr,4.42631566453,0.0,0.00493654540271,76.6250577408
TSG101,7.52663418003,0.0,0.00494472589418,76.7520353295
CG6191,4.79650912108,0.0,0.00494472589418,76.7520353295
Sep4,9.27600641886,8.10712562351,0.00506374462822,78.5994441192
Sem1,6.18355750927,5.50837398053,0.00506374462822,78.5994441192
Hsp26,11.3398906401,12.1394953939,0.00509655249555,79.108687836
