symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.19727292425,5.13445780758e-06,0.0796970540892
C15,10.2910256496,0.0,9.15336830931e-06,0.142078582897
klg,0.0,9.67972226632,9.15336830931e-06,0.142078582897
CG30089,6.85833609592,0.0,9.33764556343e-06,0.144938934436
CG42339,0.0,11.0590037642,1.11685890367e-05,0.173358839028
bru-3,7.98417316677,0.0,1.30214778044e-05,0.20211937848
Cow,0.0,10.1084705871,1.46238770616e-05,0.22699181975
GstD1,0.0,8.22677874607,1.87923035691e-05,0.291694136
GV1,9.26506360569,0.0,1.88171500287e-05,0.292079802745
dpr6,8.82723858043,0.0,3.03089062316e-05,0.470454842527
Ca-alpha1T,7.91374125935,0.0,4.50342179868e-05,0.699021131592
dpr15,0.0,9.27595380252,6.2654363942e-05,0.972521037107
rdo,8.4550476714,0.0,6.2654363942e-05,0.972521037107
DIP-theta,0.0,6.94467086928,6.2654363942e-05,0.972521037107
Scp2,0.0,7.64659662132,6.2654363942e-05,0.972521037107
CG42342,7.83232560382,10.658882912,7.76409585271e-05,1.20514295826
Ktl,0.0,9.40186341558,8.30327653547e-05,1.28883458384
CG30463,0.0,5.39654513895,0.00011600356004,1.80060725894
PVRAP,6.05611563412,0.0,0.00011600356004,1.80060725894
twz,11.2897181824,8.86007910208,0.000154022352814,2.39073496038
mRpS7,6.77714711518,0.0,0.000191427754366,2.97134160328
fru,0.0,8.63669946517,0.000191695863289,2.97550318997
rgn,0.0,8.30862185916,0.000191695863289,2.97550318997
tsh,0.0,6.75516546292,0.000191695863289,2.97550318997
run,7.44294585244,0.0,0.000191695863289,2.97550318997
sdt,0.0,4.63008555082,0.000191695863289,2.97550318997
otk,8.19140854368,0.0,0.000208948864483,3.24330427451
Dhit,8.40427843301,3.47462378647,0.000232116999732,3.60292006985
CR44978,7.64936320065,1.94720139935,0.000268413593425,4.16631579714
CCKLR-17D3,7.90777882186,0.0,0.000302203756243,4.69080670441
caup,8.02435148327,0.0,0.000359671675717,5.58282375049
Dh44-R1,0.0,7.66305104369,0.000376532512733,5.84453766264
Gprk2,8.6210043641,0.0,0.000400152907868,6.21117343593
CG42541,9.03014804918,5.6634004641,0.000445826278835,6.92011550008
ara,8.72832486678,0.0,0.000468514203725,7.27227747022
CG32204,0.0,7.54595180707,0.000542166280837,8.41550501115
heph,5.51655985503,0.0,0.000542166280837,8.41550501115
TrissinR,0.0,6.49559039297,0.000542166280837,8.41550501115
Suv3,3.56708672053,0.0,0.000542166280837,8.41550501115
CG6959,6.80102028658,0.0,0.000542166280837,8.41550501115
acj6,4.05848948362,0.0,0.000542166280837,8.41550501115
l(1)G0320,6.29454681968,8.12297665291,0.000547573038485,8.49942870336
prel,7.72191595588,0.0,0.000634034528259,9.84148394764
Srpk79D,6.41349954641,8.52091343484,0.000644725598377,10.007430738
mirr,9.22766068535,5.46230738953,0.000660719458141,10.2556874293
CG13532,9.51353053909,8.51222757469,0.000670439238374,10.406557858
CG12025,9.59046573609,6.4775411828,0.000995695028697,15.4551782354
Ostgamma,7.89609315656,0.0,0.00112880308385,17.5212814675
glob1,9.0469300703,3.68673956503,0.00116590237631,18.0971366851
sun,6.56184006441,5.49725900186,0.00121836740449,18.9114988526
pros,11.8568348224,10.320559891,0.00121836740449,18.9114988526
CG1317,8.24530010615,2.6342785436,0.00124181627851,19.275472275
cv-2,0.0,7.79065221126,0.00125050505117,19.4103394042
DIP-gamma,7.77634715799,0.0,0.00126291265293,19.6029301988
CG34200,3.00873924364,0.0,0.00132692743138,20.5965675898
CG43740,1.75230333365,0.0,0.00142779274305,22.1621989576
Csat,0.0,3.53750976177,0.00142779274305,22.1621989576
IP3K2,0.0,10.5310654108,0.00142779274305,22.1621989576
Tsp5D,0.0,4.77787366231,0.00142779274305,22.1621989576
Ret,0.0,2.50428078965,0.00142779274305,22.1621989576
CG8892,0.0,5.09903088086,0.00142779274305,22.1621989576
Fas2,8.70734185662,10.4171541087,0.00147282307527,22.8611597743
hth,9.72007795239,11.2761946648,0.00147282307527,22.8611597743
p130CAS,8.77448063206,3.67913733351,0.0015028760232,23.3276416321
Cngl,5.03760568244,7.48353419577,0.0015028760232,23.3276416321
sda,0.0,4.33450737595,0.00156917424068,24.3567225639
Dg,3.95970265455,0.0,0.00156917424068,24.3567225639
CG2082,9.75530822982,0.65259719309,0.00157976558932,24.5211214775
Dscam2,4.80072322554,0.0,0.00161732083694,25.1040540309
lbk,0.0,3.04997877132,0.00161732083694,25.1040540309
beat-Vb,7.72867199768,0.0,0.00169115023202,26.2500339014
GluClalpha,6.88561811951,8.09180411816,0.00176053230348,27.3269824146
Nlp,9.26809299728,7.74977701144,0.00177131609779,27.4943684699
Ggamma30A,9.86632415326,8.23262773971,0.00177491931746,27.5502976456
CG33199,5.47258036619,1.62160457485,0.00181311024187,28.1430971743
beat-IIIb,7.88596876364,1.73046458242,0.00190593953565,29.5839934724
Tspo,5.91681574101,0.61995542012,0.00198913301754,30.8753226982
nAChRalpha3,6.78896316166,0.0,0.00201257007866,31.239112761
Rpn2,8.66214330923,0.0,0.00201257007866,31.239112761
nAChRalpha2,6.91674157099,10.3573569489,0.00204982228844,31.8173415611
alphaSnap,10.0835007515,9.24920069595,0.00213238245702,33.0988404978
CG42747,9.11168080999,3.72570800699,0.0022921955282,35.5794589887
CG31997,0.0,8.13110105209,0.0022921955282,35.5794589887
mt:ND6,1.67285866044,0.0,0.00237816800051,36.9139237038
dpr18,7.05568011565,0.0,0.00237816800051,36.9139237038
CG31814,4.98360797655,0.0,0.00239300692391,37.1442534729
trn,9.09666996916,0.0,0.00242461696602,37.6349045466
CG9531,9.00553635754,6.93809805186,0.00245863997421,38.1630096797
CG32982,7.83101379848,2.2561005861,0.00245863997421,38.1630096797
Srp72,7.30917015887,0.0,0.00249812865642,38.7759530049
cbs,6.50816003302,0.0,0.00252281894047,39.159195594
CG17364,6.03874063522,0.0,0.00252281894047,39.159195594
AMPdeam,8.15017554925,10.046330017,0.00254913889704,39.5677339598
HmgZ,9.04148133511,8.15732915676,0.0025539527125,39.6424540034
Act42A,12.457007751,12.2345667269,0.0025539527125,39.6424540034
mRpL36,5.81760587555,0.0,0.0027480089233,42.6545945074
dpr8,3.61528050111,0.0,0.00278672611851,43.2555628115
Sidpn,7.4796970683,0.0,0.00278672611851,43.2555628115
hbs,5.65822774963,0.0,0.00285052336252,44.245823633
tutl,7.6001244825,0.0,0.00285052336252,44.245823633
mor,7.59815284703,0.0,0.00286910496103,44.534247205
Spx,7.55989361067,0.0,0.00291155513335,45.1931587799
caps,5.82007193996,0.0,0.00291155513335,45.1931587799
CG12994,7.06844122084,0.0,0.00291155513335,45.1931587799
CG14207,0.0,8.28002772395,0.00292094333165,45.3388823938
kra,11.1633441376,10.1848506583,0.00304947296561,47.3339193722
CG11739,7.8372772531,0.0,0.00307529397712,47.7347131128
CG6597,6.56005406239,0.0,0.00309625179863,48.0600204183
CG8248,8.62049748208,1.02392526195,0.00311817639929,48.4003340699
mRpL14,6.07208738781,0.0,0.00350254619339,54.3665220138
kirre,5.38558108295,2.57047328195,0.00350437791695,54.3949540269
tth,0.0,1.53586748336,0.00352705120034,54.7468887317
Pde1c,0.0,2.5939137143,0.00352705120034,54.7468887317
a6,0.512508540125,0.0,0.00352705120034,54.7468887317
Trim9,2.22325029976,0.0,0.00352705120034,54.7468887317
CG34354,1.8171233438,0.0,0.00352705120034,54.7468887317
otk2,2.83500870816,0.0,0.00352705120034,54.7468887317
Msp300,8.91969307505,5.84113204152,0.00360467167913,55.9517138034
Hsp60,10.4052135768,10.9307321233,0.0036299774941,56.3445106633
RpL41,7.60712787821,6.62561384647,0.0036299774941,56.3445106633
sca,7.94650278559,9.34171332752,0.0036299774941,56.3445106633
CG12194,8.37098765606,5.15415554687,0.0036299774941,56.3445106633
beat-VI,0.0,5.64407983286,0.00364894251992,56.6388857942
kek2,3.40720862235,0.0,0.00364894251992,56.6388857942
CG9581,6.49134719071,0.0,0.00364894251992,56.6388857942
tko,6.77704691342,0.0,0.00374224898317,58.0871887168
CG13594,0.0,7.71113200643,0.00374224898317,58.0871887168
wry,5.42343246811,0.0,0.00383068638571,59.4599140789
CG8891,7.04727270804,0.0,0.00398864969176,61.9118205154
Torsin,6.54582355502,0.0,0.00398864969176,61.9118205154
CG43737,7.2168182987,0.0,0.0041336439511,64.162421409
Pxn,9.52697931793,7.53245058798,0.00416441879531,64.6401085409
CG34380,9.56071816506,6.90236290228,0.00427891027272,66.4172452531
CG7630,9.38752910257,7.98436668662,0.00430777905941,66.8653465602
Rho1,9.71931244076,8.7569897177,0.00430777905941,66.8653465602
ND-39,8.81725176885,9.85455199935,0.00430777905941,66.8653465602
Pcmt,6.1493781099,0.0,0.00447257634231,69.4233299853
CG41128,5.36033693012,3.38799431083,0.0046796772687,72.6379505648
eys,0.0,6.28494737164,0.00478027785591,74.1994728795
CG6024,4.40039419252,0.0,0.00482617982151,74.9119631895
Ubi-p63E,5.95118957294,0.0,0.00493654540271,76.6250577408
Shawl,6.08555101717,0.0,0.00493654540271,76.6250577408
CG43729,8.57716567578,6.14886818477,0.00508834087578,78.9812270738
CG17556,7.37632571013,5.69141290356,0.00509655249555,79.108687836
unc-104,9.92293147462,10.9610083387,0.00509655249555,79.108687836
Atpalpha,13.3086848023,13.6069419577,0.00509655249555,79.108687836
Tsp96F,8.52125528822,7.17877752514,0.00509655249555,79.108687836
RpLP2,9.09766234283,8.52542745164,0.00509655249555,79.108687836
CG8155,6.85964913002,0.0,0.0053005570512,82.2752465487
CG31221,8.02007596423,0.0,0.00543592854447,84.3764828673
CG18769,5.65356401509,0.0,0.00544425276621,84.5056914371
CG7289,8.45396698566,0.0,0.00570910433234,88.6167174465
CG15522,6.2029656045,0.0,0.00571579258186,88.7205324556
galectin,8.17729657187,2.40975201833,0.00586160832233,90.9838843792
spi,9.68006152441,7.86686320378,0.00597427122471,92.7326379499
ALiX,8.70011605233,6.99572159096,0.00597427122471,92.7326379499
shakB,10.060965526,9.44338018409,0.00601141270381,93.3091479885
26-29-p,8.73425943361,9.48471518751,0.00601141270381,93.3091479885
tsr,10.7437116401,9.76442620292,0.00601141270381,93.3091479885
Oaz,9.90677117163,10.4319264881,0.00601141270381,93.3091479885
Strip,6.57423894479,0.0,0.00623102589102,96.7179838804
disp,4.21726326037,0.0,0.00640153135102,99.3645696306
kek3,6.16842914501,0.0,0.00640153135102,99.3645696306
cdc14,1.98711604418,0.0,0.00640153135102,99.3645696306
Nopp140,7.4556184483,0.0,0.0064436900087,100.018956315
Arf51F,7.16454145814,0.0,0.0064436900087,100.018956315
CG32187,5.83877981711,0.0,0.00653613018271,101.453812696
CG14407,5.6347821233,0.0,0.00663282670479,102.954736112
corn,6.63764562357,0.0,0.0067947678321,105.46838629
CG13900,6.73164282587,0.0,0.00700700427144,108.762720301
nAChRalpha6,7.81836103023,5.11993423241,0.00705850305669,109.562084446
CG6115,8.29206411269,6.93989028908,0.00706898472796,109.724780947
CG3822,7.33642392268,8.40929092119,0.00706898472796,109.724780947
Akap200,8.61153620212,9.52036296175,0.00706898472796,109.724780947
CycG,10.0743425329,11.0747313403,0.00706898472796,109.724780947
CG14762,10.4373874561,9.04810171805,0.00706898472796,109.724780947
CG42750,6.79017213451,0.0,0.00761334768996,118.174382844
CG11665,8.07303244082,0.9802343596,0.00763910951658,118.574257916
Mp,8.45577780516,1.48779914997,0.00763910951658,118.574257916
CG5919,7.82338497054,0.0,0.00770023265441,119.523011262
sxc,6.86540439344,0.0,0.00794171135451,123.271243645
pHCl,0.0,6.33672710749,0.00815814803603,126.630773815
Sem1,6.08219663911,4.39700663058,0.0081700454027,126.815444741
Trf,0.0,0.0,0.00823657790279,127.848162207
CG32354,0.0,0.0,0.00823657790279,127.848162207
klar,0.0,0.0,0.00823657790279,127.848162207
CalpB,0.0,0.0,0.00823657790279,127.848162207
dpr20,0.0,0.0,0.00823657790279,127.848162207
CG4281,0.0,0.0,0.00823657790279,127.848162207
CG12065,0.0,0.0,0.00823657790279,127.848162207
l(3)04053,0.0,0.0,0.00823657790279,127.848162207
CG14667,0.0,0.0,0.00823657790279,127.848162207
Dcp-1,0.0,0.0,0.00823657790279,127.848162207
heix,0.0,0.0,0.00823657790279,127.848162207
CG3704,0.0,0.0,0.00823657790279,127.848162207
ERR,0.0,0.0,0.00823657790279,127.848162207
Vps45,0.0,0.0,0.00823657790279,127.848162207
CG6950,0.0,0.0,0.00823657790279,127.848162207
CG13408,0.0,0.0,0.00823657790279,127.848162207
CG9667,0.0,0.0,0.00823657790279,127.848162207
APC4,0.0,0.0,0.00823657790279,127.848162207
dpr13,0.0,0.0,0.00823657790279,127.848162207
CG9853,0.0,0.0,0.00823657790279,127.848162207
Ublcp1,0.0,0.0,0.00823657790279,127.848162207
CG2310,0.0,0.0,0.00823657790279,127.848162207
CG14655,0.0,0.0,0.00823657790279,127.848162207
CG11560,0.0,0.0,0.00823657790279,127.848162207
CG2201,0.0,0.0,0.00823657790279,127.848162207
S6kII,0.0,0.0,0.00823657790279,127.848162207
mRpL18,0.0,0.0,0.00823657790279,127.848162207
CrzR,0.0,0.0,0.00823657790279,127.848162207
Eno,9.19718851395,8.11635405602,0.00824041168623,127.907670194
bel,5.30899253589,0.0,0.00826542146736,128.295872016
Sema-2b,8.46242980804,7.25031606559,0.00828746337493,128.638006506
CG9646,8.78111674693,10.2425018226,0.00828746337493,128.638006506
CG5447,7.88750721225,1.48258708274,0.0089600468541,139.077847269
