symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.77664739551,5.13445780758e-06,0.0796970540892
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.35207798351,0.0,9.33764556343e-06,0.144938934436
CG32204,0.0,8.47393777816,9.33764556343e-06,0.144938934436
CG42339,0.0,9.91104809495,1.22446437935e-05,0.190061360963
DIP-eta,0.0,9.94584927313,1.22446437935e-05,0.190061360963
bru-3,8.22938489178,0.0,1.46238770616e-05,0.22699181975
Fife,0.0,6.62812401594,1.87923035691e-05,0.291694136
TrissinR,0.0,8.0717220509,1.87923035691e-05,0.291694136
GV1,9.08246395788,0.0,3.03089062316e-05,0.470454842527
acj6,7.2472704089,0.0,3.49524389727e-05,0.542531757734
Cow,7.39994261754,10.9981831656,3.81539413546e-05,0.592225477705
fru,0.0,10.3541891386,4.50342179868e-05,0.699021131592
caup,7.81468033968,0.0,4.50342179868e-05,0.699021131592
CG31221,9.87347925987,2.97719712602,4.53579289172e-05,0.704045772652
sdt,0.0,6.81859528235,4.58679335698e-05,0.711962064871
CG4629,6.82254350133,0.0,4.58679335698e-05,0.711962064871
twz,10.9501559028,8.44945340297,9.68279741405e-05,1.50296381461
sano,8.4584965588,0.0,0.000101473982004,1.57507914867
CG7985,0.0,8.65133299931,0.000101473982004,1.57507914867
Pde1c,0.0,7.26433816852,0.000101473982004,1.57507914867
rgn,5.72082914506,9.70732134812,0.000115606413363,1.79444274822
CG30463,0.0,7.78534041301,0.00011600356004,1.80060725894
rdgC,6.31847704092,8.74682714989,0.000119311802124,1.85195779258
hth,10.1786543382,11.1175083355,0.000123103116411,1.91080657294
CG42342,8.51566098224,10.5492702647,0.000153557237674,2.38351544317
Ca-alpha1T,10.1047212227,1.66886273327,0.000154805827293,2.40289605124
nkd,5.28180323349,0.0,0.000188639994557,2.92806999551
CG2082,11.2731363065,8.27109246721,0.000189856989075,2.94696018442
CG34371,5.84380050494,0.0,0.000191695863289,2.97550318997
CG9650,3.76948776286,0.0,0.000191695863289,2.97550318997
Oct-TyrR,0.0,7.12982514246,0.000191695863289,2.97550318997
beat-VI,0.0,7.66741819583,0.000191695863289,2.97550318997
CG10384,0.0,8.69942588925,0.000191695863289,2.97550318997
CG31760,0.0,5.39617965435,0.000191695863289,2.97550318997
Scp2,0.0,7.21344056698,0.000191695863289,2.97550318997
IP3K2,0.0,9.76897862948,0.000191695863289,2.97550318997
Dop1R2,5.75347290901,0.0,0.000191695863289,2.97550318997
CG10089,0.0,3.54034738595,0.000191695863289,2.97550318997
CG42541,8.43347975546,5.39442016094,0.000192101013517,2.98179193182
rdo,8.11727694441,0.0,0.000202898452929,3.14938978637
CG34356,9.06727540848,0.0,0.000208948864483,3.24330427451
CG42784,0.98140180606,8.37941450987,0.000240821116194,3.73802536556
CG14669,0.0,8.85600864549,0.000252741572561,3.92305468928
Ktl,5.06560231033,9.54019664698,0.000280015124478,4.34639476215
