symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
CG30463,0.0,7.68696807714,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.04110337327,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,5.13445780758e-06,0.0796970540892
CG4629,6.77954526514,0.0,7.09569794446e-06,0.110139423494
kek3,7.7702051211,0.0,1.22446437935e-05,0.190061360963
DIP-eta,0.0,10.0686912519,1.22446437935e-05,0.190061360963
Scp2,0.0,8.1338682132,1.87923035691e-05,0.291694136
TrissinR,0.0,9.13792832698,1.87923035691e-05,0.291694136
Pde1c,0.0,7.94867501496,2.02308250395e-05,0.314022866263
caup,7.71830554721,0.0,2.02308250395e-05,0.314022866263
CG42784,1.13548223864,8.81758717991,2.2595776672e-05,0.350731645504
dpr1,5.78007055783,0.0,2.61723833413e-05,0.406247734223
Cow,7.73453756517,11.2269445542,2.99179589652e-05,0.464386559058
fred,0.0,6.08919076482,3.03089062316e-05,0.470454842527
CG42342,8.2947575132,10.5943014474,3.81539413546e-05,0.592225477705
GV1,9.12223126389,0.0,3.92892831811e-05,0.609848253538
bru-3,8.01898780357,0.0,3.98264953155e-05,0.618186860287
twz,10.9501559028,7.64871625008,5.9603053663e-05,0.925158598957
rdgA,2.63521864613,7.89327562723,6.14635008328e-05,0.954036459927
CG32204,0.0,8.15711432617,6.2654363942e-05,0.972521037107
Oct-TyrR,0.0,7.67800301673,6.2654363942e-05,0.972521037107
CG31760,0.0,7.47341859443,6.2654363942e-05,0.972521037107
glob1,8.34404727375,0.0,6.27394017787e-05,0.973840994409
CG42339,0.0,9.55050418452,6.53070589699e-05,1.01369616933
CG31221,9.96231460766,2.0140595979,7.28770520889e-05,1.13119760252
klg,5.08050400933,9.56872276048,7.28770520889e-05,1.13119760252
sdt,0.0,6.42834181515,7.41699466527e-05,1.15126591194
Slob,5.34592478126,8.87641828052,7.53563582746e-05,1.16968139314
CG18812,9.30377135646,10.5597505147,7.78979465439e-05,1.20913192626
dpr18,5.6657670717,0.0,9.43200352927e-05,1.46403558781
Ptp99A,8.1384141935,6.05502425431,9.80807368533e-05,1.52240919744
CG13759,6.20810149366,0.0,0.000114191513836,1.77248067777
Cbp53E,0.0,8.2039227976,0.000114191513836,1.77248067777
rgn,5.08180338003,9.72373557997,0.000115606413363,1.79444274822
Ktl,3.96889541368,9.66927130145,0.000119311802124,1.85195779258
CG7985,0.0,8.56512753209,0.000119835656962,1.86008906736
CG2082,11.377412366,9.12607908367,0.000122720086651,1.904861185
Fas2,8.66358705227,10.624964374,0.000123103116411,1.91080657294
rdgC,4.75760910418,8.6982966439,0.000144911179874,2.249311334
Msp300,10.0792780415,7.10733801944,0.000154022352814,2.39073496038
CG34356,9.06727540848,1.49194720268,0.000154805827293,2.40289605124
CG31997,0.0,8.58437992341,0.000166728382707,2.58795795638
sano,8.34437609811,0.0,0.000191427754366,2.97134160328
CCKLR-17D1,6.18825997114,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,9.60618507919,0.000191695863289,2.97550318997
Fife,0.0,6.11720769749,0.000191695863289,2.97550318997
fru,0.0,9.92605026121,0.00019433835008,3.01651986994
CG6983,6.75219375645,0.0,0.000208948864483,3.24330427451
heph,6.87397199271,0.0,0.000208948864483,3.24330427451
