symbol,medianA,medianB,pvalue,pvalue_adj
CG32204,0.0,8.43850241806,5.13445780758e-06,0.0796970540892
rdo,8.96373381302,0.0,5.13445780758e-06,0.0796970540892
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.89052059649,5.13445780758e-06,0.0796970540892
acj6,6.84763273587,0.0,5.13445780758e-06,0.0796970540892
CG30089,7.78966100466,0.0,1.55845526505e-05,0.24190342624
bru-3,8.01898780357,0.809260093975,1.59244638206e-05,0.247179527424
GV1,9.23456506577,0.0,1.60001094808e-05,0.248353699361
TrissinR,0.0,6.36240236337,1.87923035691e-05,0.291694136
CG42339,0.0,9.60317067122,2.08338413307e-05,0.323382885135
CG2082,11.377412366,8.10266357383,2.17429698644e-05,0.337494378236
Cow,7.92746709109,11.010031964,3.0028801484e-05,0.466107056635
CG30463,0.0,7.84365139978,3.03089062316e-05,0.470454842527
CG31997,0.0,8.54382687085,4.01279246574e-05,0.622865646532
fru,0.0,10.3415670826,4.50342179868e-05,0.699021131592
DIP-eta,0.0,9.17944093023,4.50342179868e-05,0.699021131592
sdt,0.0,6.67580595061,5.07473053166e-05,0.787699673125
Pde1c,0.0,6.90367542526,5.1305805304e-05,0.796368709929
klg,5.08050400933,9.6764429103,5.75858987489e-05,0.89384832038
ome,0.0,7.65597464972,6.2654363942e-05,0.972521037107
Scp2,0.0,6.82107339873,6.2654363942e-05,0.972521037107
CG7985,0.0,9.48256034142,7.39782380629e-05,1.14829021121
beat-Va,7.32642572349,0.0,7.39782380629e-05,1.14829021121
CG31221,9.87344636976,6.77237674354,7.687377789e-05,1.19323478041
CG42342,8.2947575132,10.6834469702,9.77664335981e-05,1.51753058231
twz,10.9156026168,7.87821098452,9.80807368533e-05,1.52240919744
CG34356,8.21300508963,0.463276068536,0.000129502823541,2.01014282701
caup,7.81468033968,0.0,0.000151723321511,2.3550493965
CCKLR-17D3,8.29747868136,0.0,0.00016663424449,2.58649674297
apt,0.0,8.19765430683,0.000191427754366,2.97134160328
Fife,0.0,5.36532217628,0.000191695863289,2.97550318997
CG9650,3.76948776286,0.0,0.000191695863289,2.97550318997
Oct-TyrR,0.0,7.76183838812,0.000191695863289,2.97550318997
PVRAP,7.46183269046,0.0,0.000191695863289,2.97550318997
IP3K2,0.0,8.92315663389,0.000191695863289,2.97550318997
CG34371,5.43539817447,0.0,0.000191695863289,2.97550318997
Ca-alpha1T,10.0097505109,1.20879338227,0.000225527629852,3.50063987056
mCD8-GFP,10.3374634783,13.053655715,0.000236135092723,3.66528890925
Hsp70Bb,5.18092331065,7.39563607922,0.000236135092723,3.66528890925
Msp300,10.1333215546,8.72152524032,0.000238840864478,3.70728789844
DIP-theta,0.0,7.92622109699,0.000239209057348,3.71300298815
CG45263,6.17731867893,0.0,0.000301562738535,4.68085682754
fred,0.0,4.71502358112,0.000308239766457,4.78449765495
CG10019,0.0,6.10182637966,0.00034514205479,5.35729497446
rdgA,2.63521864613,7.21546408415,0.000364765459768,5.66188946651
otk,8.3910297458,0.0,0.000376532512733,5.84453766264
CG42784,1.38183392528,8.19742566092,0.000395485755257,6.13872989311
MsR1,0.0,7.81143389725,0.000401100451324,6.22588120545
kek1,7.26441776208,8.66111741061,0.00045046779818,6.99216116335
CG34380,11.0845263051,9.41044142916,0.00045046779818,6.99216116335
DIP-delta,3.37827633974,0.0,0.000481941769935,7.48070015293
CG3226,0.497600207898,7.18463079289,0.00050606021451,7.85506664963
Ktl,3.96889541368,9.6169396067,0.000525874701383,8.16262711487
