symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
acj6,7.68208541062,0.0,5.13445780758e-06,0.0796970540892
CG30463,0.0,7.724894147,7.09569794446e-06,0.110139423494
CG42339,0.0,9.62636104285,1.22446437935e-05,0.190061360963
bru-3,8.01898780357,0.0,1.30214778044e-05,0.20211937848
CG30089,8.26927881256,0.0,1.55845526505e-05,0.24190342624
Cow,7.92746709109,11.0295500982,1.82922767695e-05,0.283932720016
Fife,0.0,6.44741142129,1.87923035691e-05,0.291694136
TrissinR,0.0,8.2754114715,1.87923035691e-05,0.291694136
GV1,8.8137394365,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.72017912424,1.87923035691e-05,0.291694136
CG7985,0.0,9.32898806912,2.02308250395e-05,0.314022866263
CG42784,1.13548223864,8.46030282178,2.17429698644e-05,0.337494378236
DIP-eta,0.0,9.75315535463,2.70325472882e-05,0.419599199007
Pde1c,0.0,7.4785011693,5.1305805304e-05,0.796368709929
klg,5.08050400933,9.63429260007,5.75858987489e-05,0.89384832038
twz,10.9121638061,7.51105287545,5.75858987489e-05,0.89384832038
Scp2,0.0,7.79974576892,6.2654363942e-05,0.972521037107
CG31221,9.96231460766,5.89203302349,7.687377789e-05,1.19323478041
CG42342,8.51566098224,10.3406174981,7.76409585271e-05,1.20514295826
rdo,8.47986171144,0.0,0.000102961253475,1.59816457644
Cbp53E,0.0,8.62895935431,0.000114191513836,1.77248067777
fru,0.0,9.88737982467,0.00011600356004,1.80060725894
fred,0.0,5.8286630269,0.00011600356004,1.80060725894
CG4629,6.77954526514,0.0,0.000118369727248,1.83733490635
CG2082,11.377412366,8.85803106258,0.000123103116411,1.91080657294
CG34356,9.13959558286,0.0,0.000132597583797,2.05817969569
CG32204,0.0,8.52753745761,0.000148206009967,2.30045368671
Fas2,8.53384356278,10.6979101548,0.000154022352814,2.39073496038
Ca-alpha1T,10.0337415801,0.50895487472,0.000162360448308,2.52015887864
glob1,8.52927215332,0.0,0.000166728382707,2.58795795638
CG31760,0.0,5.67423407552,0.000191695863289,2.97550318997
Oct-TyrR,0.0,7.59973178077,0.000191695863289,2.97550318997
Ktl,6.13828075891,9.59452485122,0.000236135092723,3.66528890925
CG8216,7.36522546071,0.0,0.000254836523736,3.95557252143
rdgC,6.30147173787,8.51374542988,0.000280015124478,4.34639476215
caup,8.05235251901,0.0,0.000284835194191,4.42121188424
hth,10.1786543382,11.1197129029,0.000296021072947,4.59483909429
Ddr,7.80298739706,4.22717763249,0.000361849544811,5.61662863455
CG18812,9.23107946598,10.5787199051,0.000365740995907,5.67703173847
PVRAP,7.46183269046,0.0,0.000401100451324,6.22588120545
CG12994,7.06224324305,2.98052487391,0.000438924708267,6.81298932172
Msp300,10.0442542643,8.44213959787,0.00045046779818,6.99216116335
slo,9.64906850153,8.54040572509,0.00045046779818,6.99216116335
beat-VI,0.0,7.08805267559,0.000542166280837,8.41550501115
tsh,0.0,5.09470834664,0.000542166280837,8.41550501115
ome,0.0,5.90144740913,0.000542166280837,8.41550501115
CG13408,0.0,4.46034864743,0.000542166280837,8.41550501115
Gyc-89Db,3.69400738035,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,9.27202381915,0.000542166280837,8.41550501115
CG9650,2.63276499958,0.0,0.000542166280837,8.41550501115
