symbol,medianA,medianB,pvalue,pvalue_adj
Oct-TyrR,0.0,8.09417617492,5.13445780758e-06,0.0796970540892
C15,8.69273658115,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.24080653847,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.69926478877,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.01111346529,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,10.2016342526,5.13445780758e-06,0.0796970540892
acj6,6.84763273587,0.0,7.09569794446e-06,0.110139423494
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
CG30463,0.0,7.53432323113,9.33764556343e-06,0.144938934436
bru-3,8.06053479073,0.0,1.46238770616e-05,0.22699181975
klg,5.08050400933,9.52909986976,1.69078033979e-05,0.262442924342
twz,10.9501559028,7.6644957529,1.80085268433e-05,0.279528353662
CG42342,8.51566098224,10.5721630184,1.82922767695e-05,0.283932720016
Msp300,10.0792780415,8.44922671985,1.82922767695e-05,0.283932720016
CG2082,11.2731363065,8.50843596243,1.82922767695e-05,0.283932720016
CG32204,0.0,8.21384812117,1.87923035691e-05,0.291694136
Ca-alpha1T,10.0337415801,0.758227889565,2.05109686014e-05,0.318371254631
Cow,7.73453756517,10.9835729324,2.33853293559e-05,0.362987082263
rgn,2.40822122772,9.97905655916,2.6333192812e-05,0.408743818827
Ktl,2.89621696511,9.3089829091,2.78712282901e-05,0.43261720552
Cbp53E,0.0,8.18861632301,3.03089062316e-05,0.470454842527
fru,0.0,9.61845991916,3.03089062316e-05,0.470454842527
heph,6.71385595587,0.0,5.55151040341e-05,0.861705444818
CG31221,9.96231460766,4.96885110602,6.08385738294e-05,0.94433634298
PVRAP,7.46183269046,0.0,6.2654363942e-05,0.972521037107
CG31760,0.0,7.10423167394,6.2654363942e-05,0.972521037107
Fife,0.0,6.76075567387,6.2654363942e-05,0.972521037107
CG34371,5.91065788672,0.0,6.2654363942e-05,0.972521037107
GstD1,0.0,7.64894432697,6.2654363942e-05,0.972521037107
CG4629,6.76727647376,0.0,6.53782854001e-05,1.01480174598
CG31997,0.0,8.4446299278,6.53782854001e-05,1.01480174598
Pde1c,0.0,7.94143211876,7.39782380629e-05,1.14829021121
rdo,8.96373381302,0.0,7.41699466527e-05,1.15126591194
GV1,9.23456506577,0.0,7.99259080905e-05,1.24060994538
fred,0.0,4.67240101307,9.43200352927e-05,1.46403558781
rdgC,6.30147173787,8.70089840731,9.49709897323e-05,1.47413970262
CG10384,0.0,8.00819149829,0.00011600356004,1.80060725894
CG13760,5.16711482715,0.0,0.000119835656962,1.86008906736
CG7985,0.0,8.46879950109,0.000119835656962,1.86008906736
ND-B17,7.54562743303,5.06101982564,0.000122720086651,1.904861185
glob1,8.22257299305,0.0,0.000132597583797,2.05817969569
caup,7.71830554721,0.0,0.000151723321511,2.3550493965
CG34356,8.21300508963,0.463276068536,0.000162360448308,2.52015887864
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
tsh,0.0,7.74103429625,0.000191695863289,2.97550318997
CG13594,0.590241032335,9.23988540097,0.000252741572561,3.92305468928
CG42784,1.13548223864,9.08608413624,0.000280015124478,4.34639476215
SdhB,9.30036739758,8.10501695978,0.000296021072947,4.59483909429
nrv2,0.0,8.04376547377,0.000308239766457,4.78449765495
CG13004,2.54849433404,4.78749223179,0.000346567437383,5.37941976306
SKIP,5.98258145125,8.7386454062,0.000361849544811,5.61662863455
Thiolase,0.0,7.7663018222,0.000376532512733,5.84453766264
CG12994,7.06224324305,2.74884845225,0.000410945679018,6.37869882972
wry,6.99087454828,4.22291815725,0.000445826278835,6.92011550008
Gprk2,8.96234432988,7.48830669087,0.00045046779818,6.99216116335
beat-Va,7.32642572349,0.0,0.0004986200163,7.73957989301
ome,0.0,4.33068026493,0.000542166280837,8.41550501115
CG34354,6.50893874911,0.0,0.000542166280837,8.41550501115
CG2218,5.00966111102,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,8.06697415701,0.000542166280837,8.41550501115
Gyc-89Db,3.69400738035,0.0,0.000542166280837,8.41550501115
Scp2,0.0,6.20332518522,0.000542166280837,8.41550501115
sdt,0.0,6.2582351489,0.000545613281863,8.46900936108
sty,8.37850263846,4.78482345206,0.000551706634864,8.56359038637
A2bp1,9.24354570844,8.0907629642,0.00055308909204,8.58504888665
mew,0.0,6.69952227253,0.00058095302954,9.01755292451
CG10019,0.0,6.43106709929,0.000741696486829,11.5126128686
DIP-delta,2.95960374256,0.0,0.000792514928053,12.3014167132
Fas2,8.8465050383,10.6029931164,0.000826019728117,12.8214782198
sano,8.03628654743,0.0,0.000924738753125,14.353794926
CCKLR-17D3,8.29747868136,0.0,0.000924738753125,14.353794926
dpr6,9.44414419988,6.72862407444,0.000959980575337,14.9008184904
ND-B15,6.28044780486,4.47839692589,0.000995695028697,15.4551782354
pHCl,6.49276171433,9.22295933514,0.000995695028697,15.4551782354
RpL12,7.92595801809,6.88728709198,0.00100475242783,15.5957671848
Toll-6,10.4209304569,8.96638949296,0.00100475242783,15.5957671848
Cdk5alpha,6.90385429156,8.73121309547,0.00100475242783,15.5957671848
Tpr2,9.68029323403,8.02782830352,0.00100475242783,15.5957671848
CG34380,11.1043781653,9.52813724593,0.00100475242783,15.5957671848
br,9.45397191879,6.65104586079,0.00100475242783,15.5957671848
CG1657,7.37675954016,0.0,0.00112871004054,17.5198372493
p130CAS,4.71694032138,8.59298847962,0.00116590237631,18.0971366851
nAChRalpha3,7.73134473169,4.38434974735,0.00120776019566,18.746853757
Ptp99A,7.90328096459,6.15258949809,0.00121836740449,18.9114988526
Appl,9.58321012583,10.1257832142,0.00121836740449,18.9114988526
CG10321,0.0,6.49885087024,0.00122388950565,18.9972129066
beat-Vc,6.57893150828,0.0,0.00126291265293,19.6029301988
CG31814,7.51358997459,0.0,0.00126291265293,19.6029301988
beat-Vb,7.94795490821,1.82120571394,0.00130526710377,20.2603559847
CG13759,5.41026526871,0.0,0.00132692743138,20.5965675898
CG4829,7.5206739891,9.26617111871,0.00141157064903,21.9103996143
Amph,0.0,5.39399609119,0.00142779274305,22.1621989576
CG13204,4.0670341839,0.0,0.00142779274305,22.1621989576
CG9896,0.0,5.00856485999,0.00142779274305,22.1621989576
TkR86C,0.0,3.57198701113,0.00142779274305,22.1621989576
run,4.3352869231,0.0,0.00142779274305,22.1621989576
Taf13,5.02529258623,0.0,0.00142779274305,22.1621989576
CG33639,0.98140180606,0.0,0.00142779274305,22.1621989576
Con,10.1430262597,10.7099568535,0.00147282307527,22.8611597743
hth,10.3955077814,10.8596144704,0.00147282307527,22.8611597743
nAChRalpha2,8.67112744249,10.7838135796,0.00147282307527,22.8611597743
CG18812,9.30377135646,10.3961816906,0.00147282307527,22.8611597743
Mp,9.86020119071,8.37170640905,0.00147282307527,22.8611597743
COX5A,10.090433217,9.15827435889,0.00147282307527,22.8611597743
Ret,0.0,3.43771184984,0.00156917424068,24.3567225639
CG7991,0.0,6.38924116356,0.00156917424068,24.3567225639
Dop1R2,5.28573884351,0.0,0.00156917424068,24.3567225639
CG42540,10.875884723,11.331289777,0.00177491931746,27.5502976456
CG33543,8.57069738937,9.78494157647,0.00177491931746,27.5502976456
Pde9,7.09677175749,3.66739920761,0.00177491931746,27.5502976456
mtd,7.54607981079,3.84375923702,0.00181311024187,28.1430971743
CCKLR-17D1,6.18825997114,0.0,0.0018610634418,28.8874267436
DIP-theta,0.0,4.37382055104,0.0018610634418,28.8874267436
DIP-gamma,4.64478043765,0.0,0.00194175002269,30.1398438521
CG1647,0.0,2.29716912601,0.00194175002269,30.1398438521
Trim9,5.9764999271,0.0,0.00194175002269,30.1398438521
nkd,5.41034903038,0.0,0.00197494511039,30.6550980034
Zip102B,7.96590289239,6.87158793813,0.00211572035207,32.8402113049
Hsp70Bb,5.15964819816,7.06173896953,0.00211572035207,32.8402113049
CG6878,5.86320222672,3.22047158119,0.00211572035207,32.8402113049
CG42541,8.67270240498,6.77942657528,0.00213238245702,33.0988404978
CG6191,4.52074938301,2.03301355378,0.00218053624123,33.8462835364
hdc,3.66684389042,0.0,0.00226897640886,35.2190518183
Hsp68,0.0,8.45552141755,0.00237647722609,36.8876795033
dpr13,0.0,5.86274059135,0.00237816800051,36.9139237038
CG43759,2.76693378312,0.0,0.00237816800051,36.9139237038
CG6123,0.0,2.12273453971,0.00239300692391,37.1442534729
Pura,0.0,3.51172560008,0.00239300692391,37.1442534729
Ac78C,0.0,2.44350572016,0.00239300692391,37.1442534729
mCD8-GFP,10.5371982151,12.650140785,0.00250604271143,38.8987949668
pds5,6.59621137896,0.0,0.00252281894047,39.159195594
mRpL16,6.27554745641,0.0,0.00255244743278,39.6190890516
Sema-2b,9.71735036461,8.03804871652,0.0025539527125,39.6424540034
mt:ATPase6,9.54916365649,8.71129624851,0.0025539527125,39.6424540034
sda,0.0,7.97703914648,0.0026641228572,41.3525149895
Zip99C,7.34651810484,0.0,0.0027480089233,42.6545945074
CG9921,5.04447346707,0.0,0.00291155513335,45.1931587799
CG31475,0.0,3.02727241328,0.0029371589306,45.5905809207
CG12163,7.93824153798,9.46453598809,0.00304947296561,47.3339193722
Bsg,8.58359351251,7.57378670487,0.00304947296561,47.3339193722
CG33143,6.51438430735,8.71640380308,0.00304947296561,47.3339193722
aret,3.47516982687,0.0,0.00309625179863,48.0600204183
CG45002,0.0,6.26987460326,0.00319987388694,49.6684424731
NfI,0.0,5.68579782411,0.00344965301637,53.54551412
CG42389,7.02756972302,2.2025224324,0.00350437791695,54.3949540269
CR40190,0.590241032335,0.0,0.00352705120034,54.7468887317
slv,0.85162016472,0.0,0.00352705120034,54.7468887317
Nup93-2,2.06319013265,0.0,0.00352705120034,54.7468887317
pyr,0.497600207898,0.0,0.00352705120034,54.7468887317
CR45120,0.463912480287,0.0,0.00352705120034,54.7468887317
CG10433,0.590241032335,0.0,0.00352705120034,54.7468887317
Taf11,1.51950300785,0.0,0.00352705120034,54.7468887317
RabX1,2.48223452239,0.0,0.00352705120034,54.7468887317
CR46078,0.546229580155,0.0,0.00352705120034,54.7468887317
Trs20,1.55315241081,0.0,0.00352705120034,54.7468887317
M1BP,0.463912480287,0.0,0.00352705120034,54.7468887317
kay,0.0,0.493435645945,0.00352705120034,54.7468887317
spz,2.97893446505,0.0,0.00352705120034,54.7468887317
beat-VI,0.0,0.59609088829,0.00352705120034,54.7468887317
Tes,0.0,2.76063522162,0.00352705120034,54.7468887317
CG6154,0.0,2.12357356534,0.00352705120034,54.7468887317
cora,8.60665970241,7.17194690507,0.00360467167913,55.9517138034
CG13937,6.32927474311,7.76712212015,0.00362364234065,56.2461764115
Rbp6,10.5858244544,11.1141577116,0.0036299774941,56.3445106633
CG7646,9.02276070156,8.43082526496,0.0036299774941,56.3445106633
Rdl,10.5511329149,9.89493544431,0.0036299774941,56.3445106633
ara,7.63471141928,0.0,0.00364894251992,56.6388857942
CG1504,3.78411167613,0.0,0.00364894251992,56.6388857942
MsR1,0.0,5.97408821221,0.00364894251992,56.6388857942
CG33144,0.0,6.06475309347,0.00364894251992,56.6388857942
CG34362,6.5505158998,0.0,0.00383068638571,59.4599140789
Plc21C,0.0,6.18968680453,0.00383068638571,59.4599140789
CG42747,7.71815654367,2.31979214093,0.00405851819082,62.9963193579
CG6707,8.79652052317,7.69593986152,0.00427891027272,66.4172452531
CG13300,7.15109095543,4.43547608154,0.00427891027272,66.4172452531
Prosbeta5,8.57471341841,6.6395378063,0.00427891027272,66.4172452531
rdgA,2.63521864613,7.2522667817,0.00430055266134,66.7531784093
CG1444,9.24172748518,8.4579795511,0.00430777905941,66.8653465602
pros,11.8468647557,11.0731491933,0.00430777905941,66.8653465602
Trp1,6.77898709075,8.1791859278,0.00430777905941,66.8653465602
CG6179,2.7670361659,0.0,0.00437130777888,67.8514393438
CG9932,0.0,3.31138267545,0.00450661135093,69.9516213891
Vps4,5.97946432352,0.0,0.00450661135093,69.9516213891
Rassf,7.48093469584,0.0,0.00450661135093,69.9516213891
CG5382,0.0,6.81334984245,0.00451760512169,70.1222666989
CG43740,2.84682192067,0.0,0.00451760512169,70.1222666989
pUf68,5.953192808,8.77429307019,0.00461059787865,71.5657002724
shrb,5.32152658359,7.50431088239,0.00464668781242,72.1258882244
kek3,7.84256220437,1.05683782498,0.00481299234794,74.7072672248
na,3.99438938303,0.0,0.00498665807882,77.4029066995
CG11267,8.69316273057,8.05062171414,0.00509655249555,79.108687836
UQCR-11,7.41970816583,6.97823077019,0.00509655249555,79.108687836
Pp2B-14D,4.71985837024,7.82035286441,0.00509655249555,79.108687836
RpL36,8.07963420443,7.3668406774,0.00509655249555,79.108687836
COX8,8.87692461448,8.37266703772,0.00509655249555,79.108687836
Nop60B,4.41832011478,0.0,0.00540745351568,83.9344934703
Kank,0.0,4.67497904832,0.00543592854447,84.3764828673
AstA-R1,0.0,1.74243549153,0.00544425276621,84.5056914371
psidin,0.0,3.54548905527,0.00544425276621,84.5056914371
Mrtf,0.0,1.94484396548,0.00545841288083,84.7254847362
CG9588,0.0,1.62273687207,0.00545841288083,84.7254847362
CG7139,4.126869646,0.0,0.00545841288083,84.7254847362
Srp14,4.56160838502,0.0,0.00550127178673,85.3907406736
Ephrin,7.93642857682,0.0,0.00571579258186,88.7205324556
mgl,4.13440496183,0.0,0.00586160832233,90.9838843792
Slob,5.29958283523,7.89472422644,0.00591876009522,91.8709941979
otk,8.03852978163,0.0,0.00592082091217,91.9029821987
dpr21,6.96430413874,7.95661672812,0.00601141270381,93.3091479885
ATPsynE,8.38907227691,7.09614374003,0.00601141270381,93.3091479885
CR32111,3.89315839024,0.0,0.00640153135102,99.3645696306
beta-PheRS,5.92421392716,0.0,0.00640153135102,99.3645696306
Drep1,6.41454299666,0.0,0.0064649498014,100.348950817
CG9801,6.79061327399,0.0,0.0064649498014,100.348950817
CTPsyn,6.04934260486,0.0,0.00653613018271,101.453812696
Rca1,0.0,3.7650746559,0.00663282670479,102.954736112
NC2alpha,4.04324224313,0.0,0.00663282670479,102.954736112
Spec2,6.70829836689,0.0,0.0067947678321,105.46838629
Mkrn1,7.18835331103,0.0,0.00696973433282,108.184216314
apt,0.0,6.7547053841,0.00696973433282,108.184216314
emc,7.85489712328,8.7657372287,0.00706898472796,109.724780947
Tango13,3.16873744256,8.1253164065,0.00754608265317,117.130294943
CG14182,0.0,6.65486059148,0.00761334768996,118.174382844
l(1)G0469,1.0335089535,5.62170990808,0.00763910951658,118.574257916
PQBP1,5.87792376391,0.0,0.00770023265441,119.523011262
2mit,0.0,5.51989270401,0.00770143730756,119.541709888
CG7785,7.37395773135,0.0,0.00770143730756,119.541709888
CG13384,0.0,7.3244118779,0.00781736611063,121.341156769
CG40472,0.0,3.18757803383,0.00802528727053,124.568509013
unc-13-4A,1.47121101361,0.0,0.00802528727053,124.568509013
metl,6.32648385879,0.0,0.00805893116142,125.090729488
Rpn5,7.81040579569,0.0,0.00815814803603,126.630773815
Hem,0.94516831564,8.41433179992,0.00815814803603,126.630773815
CG11739,7.51064740412,1.72365792172,0.00815814803603,126.630773815
Pdfr,0.0,0.0,0.00823657790279,127.848162207
Cul5,0.0,0.0,0.00823657790279,127.848162207
CG11317,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
CG32432,0.0,0.0,0.00823657790279,127.848162207
RhoGAP16F,0.0,0.0,0.00823657790279,127.848162207
MsR2,0.0,0.0,0.00823657790279,127.848162207
klu,0.0,0.0,0.00823657790279,127.848162207
dpr4,0.0,0.0,0.00823657790279,127.848162207
GatA,0.0,0.0,0.00823657790279,127.848162207
CG7101,0.0,0.0,0.00823657790279,127.848162207
CG11123,0.0,0.0,0.00823657790279,127.848162207
CG13288,0.0,0.0,0.00823657790279,127.848162207
CG5589,0.0,0.0,0.00823657790279,127.848162207
GAPsec,0.0,0.0,0.00823657790279,127.848162207
mRpL40,0.0,0.0,0.00823657790279,127.848162207
Trax,0.0,0.0,0.00823657790279,127.848162207
vvl,0.0,0.0,0.00823657790279,127.848162207
Gp210,0.0,0.0,0.00823657790279,127.848162207
CG4098,0.0,0.0,0.00823657790279,127.848162207
mahj,0.0,0.0,0.00823657790279,127.848162207
CG4089,0.0,0.0,0.00823657790279,127.848162207
CR46194,0.0,0.0,0.00823657790279,127.848162207
CG11486,3.70258203373,7.31393680208,0.00824041168623,127.907670194
CG45263,6.17028755399,0.0,0.00826542146736,128.295872016
CG11857,6.75869226133,8.40961575388,0.00827568991394,128.455258844
ND-13B,7.08822965945,6.26448492302,0.00827568991394,128.455258844
kis,9.83094103333,9.27954102431,0.00828746337493,128.638006506
Calr,9.92138848136,9.38080452125,0.00828746337493,128.638006506
kek1,7.26441776208,8.37143795917,0.00828746337493,128.638006506
nAChRalpha6,8.1257623728,6.8458865148,0.00828746337493,128.638006506
gammaSnap1,6.99611303192,4.15998857794,0.0085313207872,132.423161259
row,3.20030021849,8.22435374351,0.0089600468541,139.077847269
Fas3,7.04866623243,0.0,0.00914149983987,141.894360514
hoip,3.68983989274,0.0,0.00922543868928,143.197259335
CG12355,7.15960650701,4.13492029526,0.00922986119094,143.265905406
CG15097,9.481645809,2.96663703366,0.00942455500723,146.287942822
