symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.01456582205,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.12859305323,5.13445780758e-06,0.0796970540892
CG32204,0.0,6.93757547238,7.09569794446e-06,0.110139423494
acj6,7.68208541062,0.0,7.09569794446e-06,0.110139423494
bru-3,8.18783790461,0.502336927825,1.59244638206e-05,0.247179527424
DIP-eta,0.0,9.83895624131,1.60001094808e-05,0.248353699361
CG2082,11.2731363065,8.5661245571,1.82210136462e-05,0.282826573817
Fife,0.0,7.3673104024,1.87923035691e-05,0.291694136
Oct-TyrR,0.0,8.11108673115,1.87923035691e-05,0.291694136
CG42339,0.0,9.4375933566,2.08338413307e-05,0.323382885135
CG7985,0.0,9.52771126317,2.43019981857e-05,0.377215615839
Cow,7.92746709109,11.1916680967,2.99179589652e-05,0.464386559058
fru,0.0,9.52752595893,3.03089062316e-05,0.470454842527
fred,0.0,5.65904676195,3.03089062316e-05,0.470454842527
CG30089,8.26927881256,0.0,3.37431000766e-05,0.523760399388
twz,10.9617772086,5.68618609091,3.69333042231e-05,0.573278748152
klg,5.37233004251,9.676405952,4.53579289172e-05,0.704045772652
Ktl,3.96889541368,9.82339679262,4.69932122786e-05,0.729428640989
CG34380,11.1043781653,9.64934801075,6.1672877202e-05,0.957286399929
CG34371,6.31906021719,0.0,6.2654363942e-05,0.972521037107
tsh,0.0,7.3099353148,6.2654363942e-05,0.972521037107
DIP-delta,2.95960374256,0.0,6.2654363942e-05,0.972521037107
rgn,2.40822122772,9.55211463117,8.75151666445e-05,1.35841041666
hth,10.234618603,11.2233772573,9.80807368533e-05,1.52240919744
Fas2,8.8465050383,10.375026282,9.80807368533e-05,1.52240919744
CG33143,6.15083455267,8.66800789769,9.80807368533e-05,1.52240919744
CG34356,9.31294993649,0.0,0.000105103273193,1.6314130065
rdo,8.47986171144,0.0,0.000114191513836,1.77248067777
Ptp99A,8.1384141935,6.36278442716,0.000123103116411,1.91080657294
sda,0.0,8.37716827265,0.000132597583797,2.05817969569
Ca-alpha1T,10.2727814123,0.0,0.000132771213549,2.06087477671
Cbp53E,0.0,8.28533055311,0.000144239577964,2.23888672916
