symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.91219068502,5.13445780758e-06,0.0796970540892
C15,8.69273658115,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.18807491827,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,1.22446437935e-05,0.190061360963
CG42339,0.0,9.971169317,1.22446437935e-05,0.190061360963
bru-3,8.08595691615,0.0,1.30214778044e-05,0.20211937848
caup,7.71830554721,0.0,1.60001094808e-05,0.248353699361
CG42342,8.51566098224,10.4378221978,1.82210136462e-05,0.282826573817
CG2082,11.2731363065,8.99984821651,1.82922767695e-05,0.283932720016
Fife,0.0,6.90539435015,1.87923035691e-05,0.291694136
fred,0.0,6.83465309247,2.02308250395e-05,0.314022866263
CG42784,1.38183392528,8.79255487828,2.31198016639e-05,0.358865561428
DIP-eta,0.0,9.5252509418,2.70325472882e-05,0.419599199007
CG31676,10.0787727453,10.8799386698,3.82914473375e-05,0.594359845572
CG30463,0.0,7.88938335192,3.92892831811e-05,0.609848253538
fru,0.0,9.9534614939,4.50342179868e-05,0.699021131592
sdt,0.0,6.33495078954,4.58679335698e-05,0.711962064871
sano,8.34437609811,0.0,5.07461880929e-05,0.787682331577
GV1,9.08246395788,0.0,5.78208106649e-05,0.897494623141
Cow,7.92746709109,10.9859844702,6.14635008328e-05,0.954036459927
CG42541,8.52654848492,5.14454105456,6.14635008328e-05,0.954036459927
CG32204,0.0,8.0797040024,6.2654363942e-05,0.972521037107
Oct-TyrR,0.0,7.46522992415,6.2654363942e-05,0.972521037107
CG13759,6.20810149366,0.0,6.53070589699e-05,1.01369616933
heph,7.06129273307,0.0,7.08433523144e-05,1.09963051462
glob1,8.22257299305,0.0,7.39782380629e-05,1.14829021121
twz,10.9501559028,7.85904816361,7.687377789e-05,1.19323478041
kek3,7.87972780421,0.0,8.30327653547e-05,1.28883458384
CG7985,0.0,9.62462870425,9.43200352927e-05,1.46403558781
SerRS,7.84978860897,0.0,9.43200352927e-05,1.46403558781
CG34356,9.06727540848,0.0,0.000105103273193,1.6314130065
klg,5.37233004251,9.50370366839,0.000115606413363,1.79444274822
CG31221,9.87344636976,7.30652899745,0.000122720086651,1.904861185
Msp300,10.1345611887,7.959089029,0.000123103116411,1.91080657294
Fas2,8.8465050383,10.3722443911,0.000123103116411,1.91080657294
Ca-alpha1T,10.0337415801,0.717656006495,0.000129502823541,2.01014282701
CG10384,0.0,7.60724441233,0.000148206009967,2.30045368671
CG31997,0.0,8.35015536428,0.000186449746378,2.89407296328
tsh,0.0,5.74967602975,0.000191695863289,2.97550318997
PVRAP,7.46183269046,0.0,0.000191695863289,2.97550318997
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
CG31760,0.0,7.11642998433,0.000191695863289,2.97550318997
CG12065,0.0,6.60338465322,0.000191695863289,2.97550318997
IP3K2,0.0,9.8411486952,0.000191695863289,2.97550318997
hth,10.3955077814,11.2405439251,0.000192101013517,2.98179193182
CG34380,11.1043781653,9.94942139495,0.000192101013517,2.98179193182
nAChRalpha2,8.67112744249,10.6340304121,0.000238840864478,3.70728789844
rdo,8.55272872687,0.0,0.000260993147107,4.05113562939
CG6878,5.64494409204,0.0,0.000313816746402,4.87106353765
Gprk2,8.96234432988,7.31499329355,0.000361849544811,5.61662863455
SKIP,7.01906195441,8.89338485724,0.000364765459768,5.66188946651
CG8216,7.49220527602,0.0,0.000376532512733,5.84453766264
Nmdar2,6.83235453321,3.00380378991,0.000395485755257,6.13872989311
Vps4,5.34469250336,0.0,0.000401100451324,6.22588120545
Zip99C,7.34651810484,0.0,0.000401100451324,6.22588120545
DIP-delta,2.95960374256,0.0,0.000401100451324,6.22588120545
CG10019,0.0,3.57880814781,0.000476968848332,7.40351046381
klu,0.0,3.19181447018,0.000542166280837,8.41550501115
CG33639,2.08256976184,0.0,0.000542166280837,8.41550501115
Scp2,0.0,7.11118664322,0.000542166280837,8.41550501115
CCKLR-17D1,6.18825997114,0.0,0.000542166280837,8.41550501115
CG31814,7.51358997459,0.0,0.000542166280837,8.41550501115
nkd,5.41034903038,0.0,0.00054836409405,8.51170746785
Sulf1,9.3078867421,9.91719767115,0.00055308909204,8.58504888665
rgn,2.40822122772,9.64624827869,0.000589256886706,9.14644539545
DIP-theta,0.0,5.42078550338,0.000595886334442,9.24934768321
rdgC,4.27521704612,8.27881152487,0.000644725598377,10.007430738
CG32264,9.15286184479,7.97795420913,0.000676970721546,10.5079395398
A2bp1,9.24354570844,8.09348416751,0.000676970721546,10.5079395398
CG42674,6.96873393428,8.32152395627,0.000676970721546,10.5079395398
CG42540,10.7757470831,11.4789874689,0.000676970721546,10.5079395398
Ktl,2.89621696511,9.52413068266,0.000687455978547,10.670691699
shrb,5.32152658359,7.48473331462,0.000687455978547,10.670691699
Wbp2,0.0,6.24872714451,0.000717893223829,11.1431386203
CG14669,0.0,8.24112635791,0.000755145951111,11.7213754531
CG31460,3.97470015395,0.0,0.000792514928053,12.3014167132
Pde1c,0.0,7.37463186472,0.000884060424462,13.7223859085
Lmpt,4.50029304467,0.0,0.000919774599492,14.2767413333
Toll-6,10.4209304569,8.80170896297,0.00100475242783,15.5957671848
CG17839,3.33435453201,0.0,0.00113640233548,17.6392370513
trc,5.70664383466,8.41911490972,0.00119195654579,18.5015495037
