symbol,medianA,medianB,pvalue,pvalue_adj
TrissinR,0.0,8.28597902721,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.31955669955,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,5.13445780758e-06,0.0796970540892
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
bru-3,8.08595691615,0.0,1.30214778044e-05,0.20211937848
heph,7.06129273307,0.0,1.55845526505e-05,0.24190342624
DIP-eta,0.0,9.79850870047,1.60001094808e-05,0.248353699361
CG42339,0.0,10.0323539877,1.60001094808e-05,0.248353699361
caup,8.09032118602,0.0,1.60001094808e-05,0.248353699361
CG2082,11.3614463183,8.85803106258,1.82210136462e-05,0.282826573817
CG30463,0.0,7.78608746239,3.03089062316e-05,0.470454842527
CG32204,0.0,8.30288316071,3.03089062316e-05,0.470454842527
Fas2,9.00683020495,10.66310006,3.82914473375e-05,0.594359845572
klg,2.45656617109,9.73551681604,4.29865050075e-05,0.667236530727
fru,0.0,10.1423967034,4.50342179868e-05,0.699021131592
CG31221,9.96231460766,3.49270608113,4.53579289172e-05,0.704045772652
twz,10.9501559028,6.79442399715,4.79956184089e-05,0.744987988944
GV1,8.92607323838,0.0,5.78208106649e-05,0.897494623141
sdt,0.0,6.07793704634,5.84228460578e-05,0.906839416509
Cow,7.39994261754,10.9830889691,6.14635008328e-05,0.954036459927
Scp2,0.0,8.1338682132,6.2654363942e-05,0.972521037107
Fife,0.0,6.9791053325,6.2654363942e-05,0.972521037107
Ktl,5.49467334831,9.62429562877,7.28770520889e-05,1.13119760252
sda,0.0,8.16988451821,9.38526806308e-05,1.45678130875
kek1,7.63716069713,9.22101719568,9.80807368533e-05,1.52240919744
CG34356,9.06727540848,0.0,0.00010544394443,1.63670090544
mew,0.0,6.0026596224,0.000106995032231,1.66077689029
Pde1c,0.0,7.21796158869,0.000128393684088,1.99292676441
CG8216,7.36522546071,0.0,0.000151723321511,2.3550493965
Con,10.152089622,10.8592383983,0.000154022352814,2.39073496038
mCD8-GFP,10.6655143813,12.8962223403,0.000154022352814,2.39073496038
CG7985,0.0,8.58078623244,0.000161903572382,2.51306725052
Ca-alpha1T,9.84169032124,0.0,0.00016663424449,2.58649674297
IP3K2,0.0,9.6245327494,0.000191695863289,2.97550318997
Start1,0.0,5.74338041411,0.000191695863289,2.97550318997
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
