symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.74383317568,5.13445780758e-06,0.0796970540892
CG30463,0.0,7.47084366081,5.13445780758e-06,0.0796970540892
Scp2,0.0,8.21996896819,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.36469312868,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.37262708746,5.13445780758e-06,0.0796970540892
C15,8.85362174098,0.0,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,7.09569794446e-06,0.110139423494
fred,0.0,5.88762522332,7.09569794446e-06,0.110139423494
CG30089,8.35207798351,0.0,9.33764556343e-06,0.144938934436
Pde1c,0.0,7.77419547359,9.33764556343e-06,0.144938934436
twz,10.9652160193,8.51217461947,1.82210136462e-05,0.282826573817
Cow,7.39994261754,11.0302678332,1.82210136462e-05,0.282826573817
Fife,0.0,6.44250590171,1.87923035691e-05,0.291694136
CG31760,0.0,7.02477174208,1.87923035691e-05,0.291694136
caup,7.71830554721,0.0,2.02308250395e-05,0.314022866263
CG2082,11.377412366,8.95497503201,2.34743628248e-05,0.364369059766
klg,2.45656617109,9.6472041783,2.6333192812e-05,0.408743818827
Ca-alpha1T,10.2727814123,1.35061274847,2.78712282901e-05,0.43261720552
rdo,8.96373381302,0.0,2.79943635337e-05,0.434528510771
Cbp53E,0.0,8.034056775,3.03089062316e-05,0.470454842527
CG31221,10.0718164431,1.80621323994,3.36991026146e-05,0.523077470784
CG32204,0.0,8.52753745761,3.92892831811e-05,0.609848253538
Ktl,3.96889541368,9.76199732025,5.9603053663e-05,0.925158598957
TrissinR,0.0,7.88876570448,6.2654363942e-05,0.972521037107
Oct-TyrR,0.0,5.66346812718,6.2654363942e-05,0.972521037107
PVRAP,7.46183269046,0.0,6.2654363942e-05,0.972521037107
CG42342,8.51566098224,10.3604487644,7.78979465439e-05,1.20913192626
ATPsynB,9.95671312589,9.3926539677,7.78979465439e-05,1.20913192626
sdt,0.0,6.02034033539,7.99259080905e-05,1.24060994538
glob1,8.34404727375,0.0,8.30327653547e-05,1.28883458384
GV1,9.12223126389,0.0,9.43200352927e-05,1.46403558781
rgn,5.08180338003,9.2241386908,0.000115606413363,1.79444274822
fru,0.0,10.0376442093,0.00011600356004,1.80060725894
