symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.33304094647,5.13445780758e-06,0.0796970540892
C15,8.84993493649,0.0,7.09569794446e-06,0.110139423494
CG32204,0.0,8.55569436719,7.09569794446e-06,0.110139423494
DIP-eta,0.0,9.69404394635,1.60001094808e-05,0.248353699361
Fife,0.0,7.65626626915,1.87923035691e-05,0.291694136
Scp2,0.0,8.28447592222,1.87923035691e-05,0.291694136
CG42339,0.0,9.37262708746,2.08338413307e-05,0.323382885135
CG30089,8.17271357413,0.0,2.70325472882e-05,0.419599199007
Cow,7.39994261754,10.9956978746,2.99179589652e-05,0.464386559058
CG10384,0.0,8.54817522915,3.03089062316e-05,0.470454842527
twz,10.9501559028,7.20306311784,3.69333042231e-05,0.573278748152
GV1,8.96584054439,0.0,5.78208106649e-05,0.897494623141
CG31760,0.0,7.96133762433,6.2654363942e-05,0.972521037107
CG30463,0.0,7.48659500636,6.2654363942e-05,0.972521037107
TrissinR,0.0,8.61881741705,6.2654363942e-05,0.972521037107
Oct-TyrR,0.0,8.06027140464,6.2654363942e-05,0.972521037107
Cbp53E,0.0,8.0199558139,9.0096108543e-05,1.3984717968
Pde1c,0.0,6.94615300026,9.43200352927e-05,1.46403558781
Ktl,6.13828075891,9.5740290179,9.49709897323e-05,1.47413970262
CG33543,8.66499634921,10.4743708495,9.80807368533e-05,1.52240919744
kek3,7.87972780421,0.0,0.000102961253475,1.59816457644
sano,8.4584965588,0.0,0.000105103273193,1.6314130065
klg,2.45656617109,9.40789230504,0.000110207004978,1.71063313127
fred,0.0,4.74940392915,0.00011600356004,1.80060725894
CG31221,10.0718164431,5.07039706545,0.000119311802124,1.85195779258
CG42342,8.51566098224,10.6187066049,0.000123103116411,1.91080657294
heph,7.24178266871,0.0,0.000148803009366,2.30972031139
CG4577,4.43243067312,8.18716310784,0.000153557237674,2.38351544317
CG2082,11.4699284544,8.89575500551,0.000154022352814,2.39073496038
CG42784,0.98140180606,8.00266209364,0.000154805827293,2.40289605124
CG7985,0.0,8.95335691392,0.000161903572382,2.51306725052
rdo,8.96373381302,0.0,0.000162360448308,2.52015887864
glob1,8.52927215332,0.579145612195,0.000162360448308,2.52015887864
acj6,7.2472704089,0.0,0.000166728382707,2.58795795638
bru-3,8.01898780357,1.78324565895,0.000186526072248,2.89525769344
CG11768,2.89590979049,0.0,0.000188639994557,2.92806999551
Rgk3,3.95382642919,0.0,0.000191695863289,2.97550318997
tsh,0.0,5.32907432823,0.000191695863289,2.97550318997
PVRAP,7.46183269046,0.0,0.00019433835008,3.01651986994
CG34356,9.06727540848,0.0,0.000208948864483,3.24330427451
sdt,0.0,6.2853160551,0.000208948864483,3.24330427451
nAChRalpha3,7.93826595265,4.34640076816,0.000232116999732,3.60292006985
Con,10.1590979763,10.8588898911,0.000238840864478,3.70728789844
CG2017,0.0,7.78062160631,0.000252741572561,3.92305468928
rdgC,6.80086909898,8.58258254868,0.000287940759511,4.46941646913
Ptp99A,8.08833037372,6.36185861585,0.000296021072947,4.59483909429
CG42747,6.80255848006,0.0,0.000318096176154,4.93748884626
hth,10.3955077814,11.0231032742,0.000365740995907,5.67703173847
Ret,0.0,4.51357047611,0.000376532512733,5.84453766264
mew,0.0,5.56793537424,0.000380367227827,5.90406011033
MsR1,0.0,7.31164308697,0.000401100451324,6.22588120545
Ca-alpha1T,10.0337415801,1.51015093593,0.000427583200774,6.63694644241
Lmpt,7.59051073861,0.0,0.000431569263818,6.69881811299
CG31997,0.0,7.96505533633,0.000444828728981,6.90463153124
SKIP,7.01906195441,9.14055830141,0.000445826278835,6.92011550008
CG10019,0.0,6.19801279136,0.000476968848332,7.40351046381
Amph,0.0,5.48889606494,0.000505276606553,7.84290348691
CCKLR-17D1,4.13413726173,0.0,0.000542166280837,8.41550501115
Gyc-89Db,3.69400738035,0.0,0.000542166280837,8.41550501115
caup,7.81468033968,0.0,0.000614632174771,9.5403206168
CG31460,4.6459594304,0.0,0.000634034528259,9.84148394764
metl,6.64941373019,0.0,0.000634034528259,9.84148394764
CG13004,3.17583402423,4.72796977601,0.000660719458141,10.2556874293
Slob,5.34592478126,8.51455050141,0.000670439238374,10.406557858
fru,0.0,9.51432395407,0.000741696486829,11.5126128686
CG34114,1.78212009754,7.56908623049,0.000760159209284,11.7991912465
CG4829,7.70543826323,9.58963466814,0.000806842561265,12.523810236
Fas2,9.00683020495,10.7342194038,0.000826019728117,12.8214782198
dpr6,9.39779784204,2.52906496677,0.000839886843894,13.0367235909
CG43729,9.99041504978,9.00301265708,0.00100475242783,15.5957671848
CG34380,11.1043781653,9.88652437189,0.00100475242783,15.5957671848
CCKLR-17D3,7.9553138743,0.0,0.0010139646038,15.7387585801
Pa1,0.0,7.58884368913,0.00108495092142,16.8406082023
mAChR-B,4.5059547373,9.0315518414,0.00116590237631,18.0971366851
CG12994,7.06224324305,3.43270660327,0.00116590237631,18.0971366851
CG18812,9.30377135646,10.4986872374,0.00121836740449,18.9114988526
Gprk2,8.96234432988,7.33301475377,0.00121836740449,18.9114988526
Msp300,10.0792780415,8.99494366901,0.00121836740449,18.9114988526
DIP-theta,0.0,7.59535159517,0.00122388950565,18.9972129066
CG14442,3.85951146554,0.0,0.00122388950565,18.9972129066
CG4629,6.82254350133,0.0,0.00122607677974,19.0311637751
CG31814,6.89791914281,0.0,0.00126291265293,19.6029301988
CG9650,2.63276499958,0.0,0.00126291265293,19.6029301988
run,6.37104968005,0.0,0.00126291265293,19.6029301988
CG8036,8.18222914383,0.0,0.00132692743138,20.5965675898
nsl1,7.60923154321,0.0,0.00137316776791,21.3143100934
Corin,3.33580820532,0.0,0.00142779274305,22.1621989576
CG6959,3.48763811539,0.0,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
CG11076,7.99898882527,6.60578189915,0.00146044673523,22.6690542243
Hsp70Aa,1.73889435199,3.35838641414,0.00146972308396,22.8130417092
rdgA,2.63521864613,7.53574445325,0.00146972308396,22.8130417092
elgi,0.0,7.0227507803,0.00150721646069,23.3950139029
CG11221,7.70640818787,0.0,0.00156917424068,24.3567225639
rgn,5.98619006964,9.38159792115,0.00170367355559,26.4444209299
Rpi,4.3540788902,0.0,0.00171566764987,26.6305932612
pHCl,6.49276171433,9.3005445929,0.00176053230348,27.3269824146
Eno,9.4954224944,8.63283406866,0.00177491931746,27.5502976456
Prosap,5.70025496088,7.9731202064,0.00177491931746,27.5502976456
Zip99C,7.34651810484,0.0,0.0018668701386,28.9775582913
CG9065,5.01170019471,0.0,0.00201257007866,31.239112761
CG13604,0.0,6.42150339436,0.00205903263078,31.960304495
Hsp70Ab,4.85484905334,6.28137034379,0.00213238245702,33.0988404978
CG9775,9.30309616676,7.58247536037,0.00213238245702,33.0988404978
Ten-a,7.67212080337,8.57088052707,0.00213238245702,33.0988404978
CG13300,7.15109095543,0.514378089505,0.00216729483419,33.6407504163
Vps26,7.59548209479,0.0,0.0022921955282,35.5794589887
apt,0.0,8.14359076573,0.00237816800051,36.9139237038
CG34347,0.0,5.80119070211,0.00252281894047,39.159195594
CG32276,5.59318584788,7.41065031253,0.00253472786605,39.3440459369
Bsg,8.58080997821,7.63894265394,0.0025539527125,39.6424540034
casp,6.98378704698,0.0,0.0026641228572,41.3525149895
dpr1,5.53290553342,0.0,0.00291155513335,45.1931587799
CG6123,0.0,1.99429864318,0.0029371589306,45.5905809207
ND-13B,7.08822965945,5.77535796971,0.00304947296561,47.3339193722
Appl,9.51822907719,10.2828292731,0.00304947296561,47.3339193722
l(2)k01209,8.05644327926,0.0,0.00307529397712,47.7347131128
CG9932,0.0,4.08320479997,0.00309625179863,48.0600204183
Men,0.0,8.01575329181,0.00319987388694,49.6684424731
Desat1,7.71740995268,4.36794276888,0.00350437791695,54.3949540269
form3,0.770801527465,0.0,0.00352705120034,54.7468887317
Cad87A,0.463912480287,0.0,0.00352705120034,54.7468887317
CG9246,0.71632014258,0.0,0.00352705120034,54.7468887317
CG6610,0.743951894535,0.0,0.00352705120034,54.7468887317
rho-4,0.0,0.63931654485,0.00352705120034,54.7468887317
CG10433,0.590241032335,0.0,0.00352705120034,54.7468887317
beat-VI,0.0,3.43395650217,0.00352705120034,54.7468887317
IP3K2,0.0,3.90681136713,0.00352705120034,54.7468887317
Sap130,0.0,1.85982514229,0.00352705120034,54.7468887317
klu,0.0,0.961104266275,0.00352705120034,54.7468887317
c(2)M,0.0,0.474303920552,0.00352705120034,54.7468887317
kay,0.0,1.71233046643,0.00352705120034,54.7468887317
CG13609,0.500003967445,0.0,0.00352705120034,54.7468887317
CG10947,2.42434921665,0.0,0.00352705120034,54.7468887317
RfC4,0.500933790815,0.0,0.00352705120034,54.7468887317
CG43740,0.975563917895,0.0,0.00352705120034,54.7468887317
CG13408,0.0,2.47588458862,0.00352705120034,54.7468887317
ome,0.0,0.514378089505,0.00352705120034,54.7468887317
Trim9,6.01187515574,0.0,0.00359044554028,55.7308956763
CG2862,7.09756715749,5.29777718027,0.0036299774941,56.3445106633
