symbol,medianA,medianB,pvalue,pvalue_adj
acj6,7.28244773758,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.35207798351,0.0,5.13445780758e-06,0.0796970540892
caup,8.09032118602,0.0,5.13445780758e-06,0.0796970540892
C15,8.69273658115,0.0,5.13445780758e-06,0.0796970540892
CG32204,0.0,8.44373726456,7.09569794446e-06,0.110139423494
fru,0.0,10.3444974545,9.15336830931e-06,0.142078582897
CG42339,0.0,9.83815548934,9.33764556343e-06,0.144938934436
bru-3,8.08595691615,0.0,1.30214778044e-05,0.20211937848
CG2082,11.4699284544,8.3469309349,1.80085268433e-05,0.279528353662
TrissinR,0.0,8.40475415384,1.87923035691e-05,0.291694136
dpr15,0.0,9.00832341805,1.87923035691e-05,0.291694136
hth,10.1786543382,11.3195323493,2.34743628248e-05,0.364369059766
DIP-eta,0.0,9.66313781274,2.70325472882e-05,0.419599199007
CG30463,0.0,7.78534041301,3.03089062316e-05,0.470454842527
klg,5.08050400933,9.89158218736,3.56123299774e-05,0.552774585909
Cow,7.92746709109,11.1002025874,3.82914473375e-05,0.594359845572
GV1,9.08246395788,0.0,3.92892831811e-05,0.609848253538
fred,0.0,8.28786821896,4.50342179868e-05,0.699021131592
CG31221,9.87344636976,0.0,5.07473053166e-05,0.787699673125
Hsp70Bb,5.18092331065,7.03358148439,6.14635008328e-05,0.954036459927
CG45263,6.08381062491,0.0,6.2654363942e-05,0.972521037107
Ca-alpha1T,9.84169032124,0.0,6.27394017787e-05,0.973840994409
sdt,0.0,6.27808575872,6.44528980183e-05,1.00043788304
CG8216,7.36522546071,0.0,7.39782380629e-05,1.14829021121
twz,10.9121638061,6.78734143328,7.53563582746e-05,1.16968139314
mCD8-GFP,10.5371982151,12.5833009047,7.76409585271e-05,1.20514295826
CG34356,8.45867961764,0.0,8.30327653547e-05,1.28883458384
CG7985,0.0,8.52175022185,9.43200352927e-05,1.46403558781
Ktl,3.96889541368,9.55224831208,9.49709897323e-05,1.47413970262
CG7600,0.0,8.23131391616,0.00011600356004,1.80060725894
