symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.84993493649,0.0,7.09569794446e-06,0.110139423494
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
CG30463,0.0,6.59148737983,9.33764556343e-06,0.144938934436
DIP-eta,0.0,10.3622309307,1.22446437935e-05,0.190061360963
bru-3,8.22938489178,0.0,1.30214778044e-05,0.20211937848
CG4629,6.82254350133,0.0,1.30214778044e-05,0.20211937848
Cow,7.82539824395,11.1560151339,1.82210136462e-05,0.282826573817
dpr15,0.0,9.10844723152,1.87923035691e-05,0.291694136
Oct-TyrR,0.0,8.41621612724,1.87923035691e-05,0.291694136
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
sano,8.4584965588,0.0,2.02308250395e-05,0.314022866263
CG42339,0.0,9.4631207433,2.08338413307e-05,0.323382885135
CG42784,1.13548223864,8.6112540389,2.89345043e-05,0.449121375744
heph,7.06129273307,0.0,3.12804076921e-05,0.485534488196
twz,10.9121638061,7.50643341544,5.75858987489e-05,0.89384832038
CG31760,0.0,7.15454937313,6.2654363942e-05,0.972521037107
Fife,0.0,7.3017462755,6.2654363942e-05,0.972521037107
Scp2,0.0,7.82001117473,6.2654363942e-05,0.972521037107
pros,11.9473696508,10.9748637265,7.78979465439e-05,1.20913192626
Tm1,7.59764918947,1.7020303068,9.49709897323e-05,1.47413970262
CG31221,9.87347925987,7.17871049886,9.68279741405e-05,1.50296381461
CG42342,8.84205657236,10.3857352005,9.77664335981e-05,1.51753058231
Cbp53E,0.0,8.19650371302,0.000114191513836,1.77248067777
acj6,7.2472704089,0.0,0.000114191513836,1.77248067777
CG32204,0.0,8.95319425852,0.00011600356004,1.80060725894
CG10384,0.0,8.75617076569,0.00011600356004,1.80060725894
Ktl,6.13828075891,9.60657595247,0.000119311802124,1.85195779258
dpr6,9.45260705589,0.475093401416,0.000129502823541,2.01014282701
CG13004,2.54849433404,5.89893222608,0.000144911179874,2.249311334
CG9650,3.76948776286,0.0,0.000191695863289,2.97550318997
TrissinR,0.0,8.22051662867,0.000191695863289,2.97550318997
IP3K2,0.0,9.05565892097,0.000191695863289,2.97550318997
Ca-alpha1T,10.2727814123,1.26718276428,0.000193390407598,3.00180590674
fru,0.0,9.86175362095,0.00019433835008,3.01651986994
rdo,8.55272872687,0.0,0.000202898452929,3.14938978637
CG4829,7.50612588307,10.0881596908,0.000225527629852,3.50063987056
hth,10.1786543382,11.2780688632,0.000238840864478,3.70728789844
rdgC,6.30147173787,8.77731911981,0.000287940759511,4.46941646913
Slob,5.99806780261,8.45956853828,0.00029277029605,4.54438053528
glob1,8.22257299305,2.32965162674,0.000313816746402,4.87106353765
CG42540,10.875884723,11.6059635235,0.000365740995907,5.67703173847
CG9932,0.0,4.82136380466,0.000380367227827,5.90406011033
Trim9,7.48644318944,0.0,0.000401100451324,6.22588120545
PVRAP,7.30906599424,0.0,0.000401100451324,6.22588120545
klg,5.37233004251,9.69435532291,0.000438924708267,6.81298932172
rgn,5.98619006964,9.87855701575,0.000438924708267,6.81298932172
Fas2,8.8465050383,10.6497114295,0.00045046779818,6.99216116335
CG31997,0.0,8.57939135042,0.0004791681021,7.43764728079
sdt,0.0,6.19991403733,0.000494091150955,7.66928284512
DIP-gamma,4.64478043765,0.0,0.000542166280837,8.41550501115
tsh,0.0,3.67917967916,0.000542166280837,8.41550501115
Msp300,10.0442542643,8.4716649626,0.00055308909204,8.58504888665
CG13594,2.14339344314,9.31990796805,0.000560911060533,8.7064614816
Pde1c,0.0,6.03933201575,0.000606251512059,9.41023597018
Amph,0.0,5.80562877664,0.000634034528259,9.84148394764
pHCl,6.78736575318,9.699217288,0.0006753339723,10.482533918
tutl,9.10251271272,6.6236395823,0.000676970721546,10.5079395398
CG2082,11.3816184425,8.88281380991,0.000676970721546,10.5079395398
CG34356,8.21300508963,1.01730737378,0.000722323516879,11.211905629
CG34371,6.31906021719,0.0,0.000742842896261,11.5304074358
nAChRalpha3,7.73134473169,5.65881377782,0.000818314149943,12.7018722354
CG9065,4.80376962346,0.0,0.000827498854029,12.8444372122
caup,7.75627421422,0.0,0.000827498854029,12.8444372122
CCKLR-17D3,7.9553138743,0.0,0.000884060424462,13.7223859085
Plc21C,0.0,6.85849354137,0.000884060424462,13.7223859085
CG13759,6.42842639576,0.0,0.000884060424462,13.7223859085
kek3,7.7702051211,0.48122868414,0.000927243614384,14.3926753825
Ziz,4.00667061115,0.0,0.000986770339198,15.316649205
beat-Va,7.19608731735,0.0,0.00111189349193,17.2588107817
otk,8.2351228882,0.0,0.00113640233548,17.6392370513
sea,4.7992443895,2.3444680482,0.00116590237631,18.0971366851
SdhB,9.22178844778,7.67356996998,0.00121836740449,18.9114988526
AP-1sigma,6.96300009207,8.17079813394,0.00121836740449,18.9114988526
MsR1,0.0,7.78493401373,0.00126291265293,19.6029301988
Dop1R2,5.28573884351,0.0,0.00126291265293,19.6029301988
Abl,7.95826737519,0.0,0.00135089837356,20.9686445544
CG33639,0.98140180606,0.0,0.00142779274305,22.1621989576
baz,0.0,1.24030629467,0.00142779274305,22.1621989576
CG5862,4.2219943103,0.0,0.00142779274305,22.1621989576
CR45339,0.0,0.949557070985,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
CG5323,4.51172101218,0.0,0.00142779274305,22.1621989576
CG31814,6.63853924628,0.0,0.00142779274305,22.1621989576
Gyc-89Db,3.69400738035,0.0,0.00142779274305,22.1621989576
RagC-D,5.69881112377,0.0,0.00142779274305,22.1621989576
lap,1.34225313253,6.50242907331,0.00144200028716,22.3827284574
mAChR-B,6.36366093623,9.17642620369,0.00146044673523,22.6690542243
Ddr,8.05439513623,5.02434054282,0.00146044673523,22.6690542243
RpL12,7.75332000197,6.83551185331,0.00147282307527,22.8611597743
puc,0.0,7.38045764551,0.00148723147035,23.0848068828
Rgk3,5.2451222629,0.0,0.00150721646069,23.3950139029
CG31950,4.81769422211,0.0,0.00153061881771,23.7582652885
CG9921,5.105239059,0.0,0.00153061881771,23.7582652885
nrv2,0.0,8.16470357286,0.00153061881771,23.7582652885
Gpdh,4.39332325596,0.0,0.00156917424068,24.3567225639
CG8216,7.49220527602,0.0,0.00163600897563,25.3941313198
Pgi,6.49729744297,0.0,0.00171566764987,26.6305932612
dpr1,5.9349373388,0.0,0.00201257007866,31.239112761
CG34380,11.2130048025,9.62685507389,0.00213238245702,33.0988404978
RpL23A,9.75617397457,9.08923225462,0.00213238245702,33.0988404978
MED6,7.43249191964,0.0,0.00226897640886,35.2190518183
Sec24AB,7.11120101744,0.694216298695,0.0022921955282,35.5794589887
CG14669,0.0,8.08951368392,0.00237647722609,36.8876795033
cv-2,0.0,7.84447232572,0.00237816800051,36.9139237038
S6k,7.75732206252,0.0,0.00242461696602,37.6349045466
dpr18,5.6657670717,0.0,0.00242787202676,37.6854295993
mew,0.0,6.05100937187,0.00249812865642,38.7759530049
drl,8.62065486584,10.5497315293,0.00254913889704,39.5677339598
CG11768,2.74888968566,0.0,0.00255244743278,39.6190890516
Ret,0.0,3.32304446329,0.00255244743278,39.6190890516
CG7985,0.0,8.40030989789,0.0027480089233,42.6545945074
CG5045,7.75987531862,0.0,0.00292094333165,45.3388823938
Nmt,6.92872223145,0.0,0.0029371589306,45.5905809207
