symbol,medianA,medianB,pvalue,pvalue_adj
CG30463,0.0,7.48366808617,5.13445780758e-06,0.0796970540892
Fife,0.0,6.36242670763,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.60134906114,5.13445780758e-06,0.0796970540892
C15,8.92851514517,0.0,5.13445780758e-06,0.0796970540892
CG32204,0.0,8.98834238758,7.09569794446e-06,0.110139423494
rdo,8.96373381302,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.76683374361,1.22446437935e-05,0.190061360963
Pde1c,0.0,7.65046514287,1.55845526505e-05,0.24190342624
DIP-eta,0.0,9.77307319772,1.60001094808e-05,0.248353699361
CG42784,1.13548223864,9.03325330783,1.75893739454e-05,0.27302226238
Scp2,0.0,8.33414001001,1.87923035691e-05,0.291694136
CG31760,0.0,7.8845690772,1.87923035691e-05,0.291694136
Oct-TyrR,0.0,8.37955617857,1.87923035691e-05,0.291694136
dpr15,0.0,9.25817555291,1.87923035691e-05,0.291694136
acj6,7.68208541062,0.0,2.08338413307e-05,0.323382885135
Cow,7.73453756517,11.1191936177,2.99179589652e-05,0.464386559058
GV1,8.8137394365,0.0,3.03089062316e-05,0.470454842527
bru-3,8.08595691615,0.0,3.11543104412e-05,0.483577206668
twz,10.9501559028,6.43917370334,3.56123299774e-05,0.552774585909
sano,8.4584965588,0.0,3.58926629413e-05,0.557125914175
fred,0.0,8.05675178216,3.92892831811e-05,0.609848253538
CG7985,0.0,8.43788318597,5.1305805304e-05,0.796368709929
CG13760,4.87779663253,0.0,5.78208106649e-05,0.897494623141
CG33543,8.66499634921,10.1585690546,6.1672877202e-05,0.957286399929
IP3K2,0.0,8.62469062611,6.2654363942e-05,0.972521037107
CG8216,7.41258282704,0.0,7.39782380629e-05,1.14829021121
CG31997,0.0,8.40335626267,9.38526806308e-05,1.45678130875
Cbp53E,0.0,8.10629604018,0.000114191513836,1.77248067777
CG10384,0.0,8.9700559515,0.00011600356004,1.80060725894
pHCl,6.78736575318,9.6889413336,0.000121576208476,1.88710590796
CG42342,8.51566098224,10.3821547071,0.000122720086651,1.904861185
CG42540,10.875884723,11.5775995476,0.000123103116411,1.91080657294
glob1,8.34404727375,0.0,0.000128393684088,1.99292676441
Ca-alpha1T,10.2727814123,0.490489954047,0.000129502823541,2.01014282701
CG34356,9.06727540848,0.0,0.000132597583797,2.05817969569
CG4629,6.82254350133,1.64668236464,0.000144911179874,2.249311334
CG13759,6.42842639576,0.0,0.000151723321511,2.3550493965
CG31221,9.96231460766,5.88196364638,0.000153557237674,2.38351544317
nAChRalpha6,8.19444877066,6.63997735108,0.000153557237674,2.38351544317
Amph,0.0,6.36491844303,0.000188639994557,2.92806999551
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
fru,0.0,10.0998595238,0.00019433835008,3.01651986994
klg,5.08050400933,9.59345985403,0.000225527629852,3.50063987056
CG4829,7.70543826323,9.69230324954,0.000232116999732,3.60292006985
pros,11.935389009,11.1314845023,0.000238840864478,3.70728789844
dpr6,9.39779784204,0.0,0.000259912350261,4.03435950075
heph,7.24178266871,0.0,0.000289872476541,4.49940058086
lbk,2.77289628671,6.7912638683,0.000320322664125,4.97204839254
