symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
acj6,7.68208541062,0.0,5.13445780758e-06,0.0796970540892
CG4629,6.77954526514,0.0,9.15336830931e-06,0.142078582897
CG30463,0.0,7.45502240675,9.33764556343e-06,0.144938934436
bru-3,8.22938489178,0.0,1.46238770616e-05,0.22699181975
CG42339,0.0,9.64375236488,1.60001094808e-05,0.248353699361
DIP-eta,0.0,9.80135074958,1.60001094808e-05,0.248353699361
dpr15,0.0,8.69478253665,1.87923035691e-05,0.291694136
Oct-TyrR,0.0,8.2187012389,1.87923035691e-05,0.291694136
Fife,0.0,5.65509179678,1.87923035691e-05,0.291694136
CG30089,8.17271357413,0.0,1.88171500287e-05,0.292079802745
CG7985,0.0,9.52458779806,1.88171500287e-05,0.292079802745
Cow,7.92746709109,11.0678105918,2.33853293559e-05,0.362987082263
CG42784,1.38183392528,8.03650057379,2.9587322254e-05,0.459254416027
GV1,8.8137394365,0.0,3.03089062316e-05,0.470454842527
CG32204,0.0,8.32334644483,3.92892831811e-05,0.609848253538
heph,7.24178266871,0.0,4.33551179312e-05,0.672958140528
fru,0.0,9.5468391078,4.50342179868e-05,0.699021131592
fred,0.0,5.38660816703,4.50342179868e-05,0.699021131592
rdo,8.55272872687,0.0,5.84228460578e-05,0.906839416509
twz,10.9501559028,7.51105287545,5.9603053663e-05,0.925158598957
TrissinR,0.0,7.96462981436,6.2654363942e-05,0.972521037107
tsh,0.0,7.04166106873,6.2654363942e-05,0.972521037107
Mdh1,8.10797957762,6.29998003506,9.68279741405e-05,1.50296381461
CG42342,8.84205657236,10.3845978691,9.77664335981e-05,1.51753058231
CG31221,9.87344636976,7.10333665575,0.000119311802124,1.85195779258
CG2082,11.377412366,8.81827242295,0.000123103116411,1.91080657294
sano,8.4584965588,0.0,0.000132597583797,2.05817969569
Pde1c,0.0,6.80657305283,0.000132597583797,2.05817969569
Cbp53E,0.0,8.16698896682,0.000144239577964,2.23888672916
klg,5.37233004251,9.55085695061,0.000144911179874,2.249311334
caup,7.75627421422,0.0,0.000151723321511,2.3550493965
CG34380,11.2130048025,9.875136564,0.000154022352814,2.39073496038
hth,10.234618603,11.0708937654,0.000154022352814,2.39073496038
Toll-6,10.4209304569,8.87836745514,0.000154022352814,2.39073496038
Ca-alpha1T,10.2727814123,1.22661088122,0.000154805827293,2.40289605124
CG34356,9.06727540848,0.0,0.00016663424449,2.58649674297
rgn,5.08180338003,9.71767258505,0.000181067514352,2.81052995777
Ktl,3.96889541368,9.06202677121,0.000186526072248,2.89525769344
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
CG34371,6.31906021719,0.0,0.000239209057348,3.71300298815
CG42540,10.7757470831,11.5299931522,0.000296021072947,4.59483909429
Fas2,8.8465050383,10.5076387287,0.000296021072947,4.59483909429
glob1,8.22257299305,0.0,0.000324921862813,5.04343715458
Msp300,10.0792780415,8.40500091656,0.000365740995907,5.67703173847
sda,0.0,8.48154884502,0.000440811233934,6.84227197312
dpr6,9.45260705589,4.88140481767,0.000456211008337,7.0813072714
Plc21C,0.0,5.63892050044,0.000490627225359,7.61551579203
Scp2,0.0,6.72464725094,0.000542166280837,8.41550501115
CG31760,0.0,4.89162400524,0.000542166280837,8.41550501115
CG1504,3.78411167613,0.0,0.000542166280837,8.41550501115
