symbol,medianA,medianB,pvalue,pvalue_adj
CG30463,0.0,7.79430394264,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.35398012298,5.13445780758e-06,0.0796970540892
acj6,7.68208541062,0.0,5.13445780758e-06,0.0796970540892
CG13759,6.42842639576,0.0,7.09569794446e-06,0.110139423494
C15,8.92851514517,0.0,9.15336830931e-06,0.142078582897
bru-3,8.01898780357,0.0,9.15336830931e-06,0.142078582897
CG30089,8.26927881256,0.0,1.55845526505e-05,0.24190342624
DIP-eta,0.0,9.58129310311,1.60001094808e-05,0.248353699361
CG42339,0.0,10.0108859624,1.60001094808e-05,0.248353699361
CG42784,0.98140180606,8.35639324605,1.69078033979e-05,0.262442924342
Cow,7.50201146468,11.1228615568,2.33853293559e-05,0.362987082263
CG2082,11.377412366,8.99984821651,2.34743628248e-05,0.364369059766
CG7985,0.0,9.6249963416,2.43019981857e-05,0.377215615839
fru,0.0,9.74069712676,3.03089062316e-05,0.470454842527
sdt,0.0,6.23768408686,3.12804076921e-05,0.485534488196
caup,7.71830554721,0.0,4.50342179868e-05,0.699021131592
gogo,0.0,6.41362925103,5.1305805304e-05,0.796368709929
rdgC,6.80086909898,8.94955288398,5.75858987489e-05,0.89384832038
CR43825,0.0,2.36128647238,6.2654363942e-05,0.972521037107
TrissinR,0.0,7.56265002079,6.2654363942e-05,0.972521037107
fred,0.0,4.45731591465,6.2654363942e-05,0.972521037107
Fife,0.0,6.80564452416,6.2654363942e-05,0.972521037107
IP3K2,0.0,8.8573656081,6.2654363942e-05,0.972521037107
CG42342,8.2947575132,10.4570734818,7.76409585271e-05,1.20514295826
heph,6.87397199271,0.0,9.38526806308e-05,1.45678130875
twz,10.9617772086,8.2842737821,9.68279741405e-05,1.50296381461
glob1,8.52927215332,0.0,0.00010544394443,1.63670090544
MsR1,0.0,8.54070035307,0.00011600356004,1.80060725894
Ktl,6.13828075891,9.6952287619,0.000121576208476,1.88710590796
CG31221,10.0718164431,7.15190982839,0.000122720086651,1.904861185
Pde1c,0.0,5.95358820642,0.000151723321511,2.3550493965
rdo,8.96373381302,0.0,0.000162360448308,2.52015887864
apt,0.0,9.00740326594,0.000166728382707,2.58795795638
beat-Vc,7.48481374326,0.0,0.000188639994557,2.92806999551
GV1,8.8137394365,0.0,0.000191427754366,2.97134160328
rdgA,3.03181239929,8.26386254076,0.000191538245668,2.97305664926
tsh,0.0,4.61603975275,0.000191695863289,2.97550318997
Oct-TyrR,0.0,5.21360386272,0.000191695863289,2.97550318997
CR43826,0.0,3.30082722929,0.000191695863289,2.97550318997
hth,10.2852627646,11.3854872624,0.000192101013517,2.98179193182
CG34167,0.0,5.03597875033,0.000239209057348,3.71300298815
CG31997,0.0,8.5014934549,0.000289872476541,4.49940058086
Appl,9.51822907719,10.5538340275,0.000296021072947,4.59483909429
DIP-delta,2.95960374256,0.0,0.000302203756243,4.69080670441
CG42674,6.96873393428,8.46356324685,0.000365740995907,5.67703173847
Ca-alpha1T,10.2727814123,3.26122937406,0.000395485755257,6.13872989311
CG10384,0.0,7.95766634517,0.000401100451324,6.22588120545
CG4629,6.82254350133,1.48454536337,0.000427583200774,6.63694644241
