symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,9.245976053,5.13445780758e-06,0.0796970540892
acj6,6.84763273587,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
C15,8.69273658115,0.0,7.09569794446e-06,0.110139423494
CG30463,0.0,7.6224626252,9.33764556343e-06,0.144938934436
heph,6.71385595587,0.0,9.33764556343e-06,0.144938934436
bru-3,8.08595691615,0.0,1.46238770616e-05,0.22699181975
caup,7.71830554721,0.0,1.60001094808e-05,0.248353699361
CG2082,11.2731363065,8.10786902476,1.80085268433e-05,0.279528353662
CG13760,5.16711482715,0.0,1.87923035691e-05,0.291694136
GV1,9.23456506577,0.0,1.87923035691e-05,0.291694136
CG32204,0.0,8.75101787405,1.87923035691e-05,0.291694136
DIP-eta,0.0,9.74756777985,2.08338413307e-05,0.323382885135
fru,0.0,9.90142842846,4.50342179868e-05,0.699021131592
twz,10.9121638061,6.68601086099,4.53579289172e-05,0.704045772652
CG31221,9.87347925987,2.56663441083,4.69932122786e-05,0.729428640989
Cow,7.82539824395,11.1560151339,4.85028584301e-05,0.752861368552
CG42339,0.0,9.69394113801,5.07461880929e-05,0.787682331577
Pep,8.11973454449,10.1113342468,6.1672877202e-05,0.957286399929
Oct-TyrR,0.0,7.64112480039,6.2654363942e-05,0.972521037107
IP3K2,0.0,10.1740380014,6.2654363942e-05,0.972521037107
TrissinR,0.0,7.77066623672,6.2654363942e-05,0.972521037107
CG14669,0.0,8.73595616307,6.44528980183e-05,1.00043788304
CG13759,6.20810149366,0.0,8.37425492817e-05,1.29985184995
Ktl,3.5398243757,9.73998904552,9.19345635454e-05,1.42700829535
SKIP,7.01906195441,8.86745036134,9.68279741405e-05,1.50296381461
fred,0.0,6.06675226556,0.000119835656962,1.86008906736
hth,10.2852627646,11.3437157583,0.000123103116411,1.91080657294
CG34356,8.21300508963,0.483509750291,0.000129502823541,2.01014282701
Ca-alpha1T,10.0337415801,0.490489954047,0.000129502823541,2.01014282701
sdt,0.0,6.18146783261,0.000129502823541,2.01014282701
Amph,0.0,6.43601533839,0.000148206009967,2.30045368671
rdo,8.55272872687,0.0,0.000148803009366,2.30972031139
rdgC,6.30147173787,8.66780467398,0.000149416648845,2.31924522337
CG42342,8.51566098224,10.5683979074,0.000153557237674,2.38351544317
Argk,10.5289746084,9.36253207886,0.000154022352814,2.39073496038
P32,8.5605739858,2.67104420231,0.000181067514352,2.81052995777
rgn,5.08180338003,9.76469204867,0.000181067514352,2.81052995777
Hsp70Bb,5.15964819816,7.13491289399,0.000191538245668,2.97305664926
mCD8-GFP,10.3374634783,12.5459727832,0.000191538245668,2.97305664926
kay,0.0,6.33241174295,0.000191695863289,2.97550318997
Fife,0.0,5.26258136438,0.000191695863289,2.97550318997
CG9650,3.76948776286,0.0,0.000191695863289,2.97550318997
Pde1c,0.0,6.6648520293,0.000203467506621,3.15822263778
klg,5.37233004251,9.72177324009,0.000232116999732,3.60292006985
sano,8.34437609811,0.0,0.000260993147107,4.05113562939
CG1402,6.53536691035,0.475093401416,0.000268413593425,4.16631579714
CG42784,1.13548223864,8.75385730773,0.000280015124478,4.34639476215
CG13004,0.996397311315,5.29018115334,0.000313816746402,4.87106353765
CG10019,0.0,5.2275157007,0.00034514205479,5.35729497446
dpr1,5.9349373388,0.0,0.000359671675717,5.58282375049
rdgA,3.03181239929,7.97366538848,0.000365740995907,5.67703173847
CG7985,0.0,8.51154041484,0.000386116522864,5.99330066789
Trim9,7.48644318944,0.0,0.000401100451324,6.22588120545
sda,0.0,8.25826178949,0.0004986200163,7.73957989301
CG31760,0.0,8.03509844886,0.000542166280837,8.41550501115
Scp2,0.0,7.18958593801,0.000542166280837,8.41550501115
tsh,0.0,5.11549962524,0.000542166280837,8.41550501115
vvl,0.0,1.20683687838,0.000542166280837,8.41550501115
pHCl,6.49276171433,9.42937146827,0.000551706634864,8.56359038637
Msp300,10.0792780415,8.08252702994,0.00055308909204,8.58504888665
Bsg,8.61054481563,7.37566322954,0.00055308909204,8.58504888665
mt:ATPase6,9.47886910424,7.49885967996,0.00055308909204,8.58504888665
dpr6,9.44414419988,0.0,0.000608105492195,9.43901344985
CG8216,7.49220527602,0.0,0.000608105492195,9.43901344985
CG12994,7.06224324305,3.53877593636,0.000644725598377,10.007430738
Fas2,8.8465050383,10.5294080998,0.000676970721546,10.5079395398
dpr18,5.55806159417,0.0,0.000746008722863,11.5795473963
glob1,8.22257299305,0.0,0.000746609897836,11.5888788342
CG4629,6.77954526514,0.758227889565,0.000760159209284,11.7991912465
CG33143,6.15083455267,8.39215747081,0.000826019728117,12.8214782198
CG31676,10.0399331829,10.9428883184,0.000826019728117,12.8214782198
CG4829,3.66068080447,9.69230324954,0.000882615531441,13.699958279
