symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.51922494915,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,7.09569794446e-06,0.110139423494
C15,8.92851514517,0.0,7.09569794446e-06,0.110139423494
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
CG32204,0.0,8.12838895115,7.09569794446e-06,0.110139423494
CG42339,0.0,9.42181703368,1.60001094808e-05,0.248353699361
CG30463,0.0,7.43201633421,1.87923035691e-05,0.291694136
DIP-eta,0.0,9.68543625574,2.08338413307e-05,0.323382885135
lbk,2.4254902214,7.44394058687,2.9587322254e-05,0.459254416027
twz,10.9652160193,2.97360804438,3.69333042231e-05,0.573278748152
Cow,7.39994261754,11.3241913778,3.81539413546e-05,0.592225477705
bru-3,8.01898780357,0.804530252905,4.29865050075e-05,0.667236530727
CG31997,0.0,8.6469234875,4.58679335698e-05,0.711962064871
Pde1c,0.0,6.68573587481,5.07461880929e-05,0.787682331577
klg,2.45656617109,9.6764429103,5.46570872633e-05,0.848387308501
Scp2,0.0,7.5378433289,6.2654363942e-05,0.972521037107
TrissinR,0.0,7.93328909486,6.2654363942e-05,0.972521037107
Oct-TyrR,0.0,7.24314354356,6.2654363942e-05,0.972521037107
CG31221,10.0718164431,2.79509896565,7.28770520889e-05,1.13119760252
GV1,9.12223126389,0.0,7.39782380629e-05,1.14829021121
caup,7.81468033968,0.0,9.0096108543e-05,1.3984717968
CG2082,11.4699284544,8.90623271556,9.77664335981e-05,1.51753058231
Fas2,9.00683020495,10.66310006,9.80807368533e-05,1.52240919744
fred,0.0,6.44139464644,0.00011600356004,1.80060725894
kek1,7.42760798124,9.18754942044,0.000123103116411,1.91080657294
CG34356,9.31294993649,0.0,0.000128393684088,1.99292676441
mt:ATPase8,4.72994522219,3.15455231891,0.000154022352814,2.39073496038
sano,8.35713314074,0.0,0.000161903572382,2.51306725052
sdt,0.0,6.34939368944,0.000166728382707,2.58795795638
CG12994,7.07371664355,2.4162951438,0.000173095085209,2.68678191261
CG42342,8.2947575132,10.927486177,0.000191538245668,2.97305664926
CG31760,0.0,7.10370431559,0.000191695863289,2.97550318997
Fife,0.0,6.18171411298,0.000191695863289,2.97550318997
tsh,0.0,5.38685416956,0.000191695863289,2.97550318997
fru,0.0,9.71540048906,0.00019433835008,3.01651986994
CG7985,0.0,9.27316796936,0.000203467506621,3.15822263778
rdo,8.55272872687,0.0,0.000232858915968,3.61443609366
heph,7.24178266871,0.0,0.000232858915968,3.61443609366
Hsp70Ab,4.95451348962,6.70377979964,0.000238840864478,3.70728789844
Amph,0.0,5.61466106248,0.000239209057348,3.71300298815
CG33543,8.57069738937,10.3874943115,0.000265258790082,4.11734693965
CG33143,6.6328511728,8.63980685041,0.000296021072947,4.59483909429
mt:ATPase6,9.54916365649,7.56605334075,0.000296021072947,4.59483909429
hth,10.3955077814,11.3510462087,0.000296021072947,4.59483909429
Gprk2,8.78769805289,7.23004429153,0.000296021072947,4.59483909429
CG10948,2.40856718041,7.87657133251,0.000332648759751,5.16337404885
CG8216,7.41258282704,0.0,0.000359671675717,5.58282375049
rdgA,3.03181239929,8.12674822399,0.000364765459768,5.66188946651
Hsp70Aa,2.32085025723,3.60779176846,0.000365740995907,5.67703173847
Ca-alpha1T,10.0337415801,2.48321181151,0.000369877481387,5.74123826609
Cbp53E,0.0,8.52737072112,0.000376532512733,5.84453766264
PVRAP,7.30906599424,0.0,0.000401100451324,6.22588120545
Rat1,7.62114584111,0.0,0.000403173249831,6.25805518388
dpr18,6.18377964011,0.0,0.000403173249831,6.25805518388
CG4629,6.77954526514,1.43974270045,0.000410945679018,6.37869882972
pHCl,6.49276171433,9.4237669804,0.000445826278835,6.92011550008
pros,11.935389009,10.7625284757,0.00045046779818,6.99216116335
ebo,7.76777737533,0.0,0.000481941769935,7.48070015293
CG31475,0.0,7.46717718245,0.000505276606553,7.84290348691
Ktl,3.96889541368,9.52780829793,0.00053936770472,8.37206551266
TkR86C,0.0,7.6265881125,0.000542166280837,8.41550501115
CR32111,3.89315839024,0.0,0.000542166280837,8.41550501115
otk2,3.86372329858,0.0,0.000542166280837,8.41550501115
Con,10.1761411681,10.9300462764,0.00055308909204,8.58504888665
CG42674,6.96873393428,8.44650878343,0.00055308909204,8.58504888665
rgn,5.08180338003,9.43617530503,0.000787953959844,12.2306213647
Ptp99A,8.1384141935,6.58365845841,0.000826019728117,12.8214782198
CG34380,11.2130048025,9.7548586269,0.000826019728117,12.8214782198
SKIP,5.83389995052,8.05595158761,0.000995695028697,15.4551782354
CG18812,9.23107946598,10.337543386,0.00100475242783,15.5957671848
CG8243,0.0,7.70184138495,0.00108495092142,16.8406082023
mew,0.0,5.99785510178,0.00108495092142,16.8406082023
glob1,8.52927215332,0.0,0.00111189349193,17.2588107817
CG34347,0.0,6.09898657015,0.00113640233548,17.6392370513
run,6.37104968005,0.0,0.00126291265293,19.6029301988
Zip99C,6.64445831466,0.0,0.00126291265293,19.6029301988
MsR1,0.0,8.10465478897,0.00126291265293,19.6029301988
CG42784,1.12168362891,8.19742566092,0.00130526710377,20.2603559847
dpr1,5.53290553342,0.0,0.00136672541789,21.2143119366
Gyc-89Db,2.97268509983,0.0,0.00142779274305,22.1621989576
CG1504,2.55147261036,0.0,0.00142779274305,22.1621989576
E2f2,6.14759801643,0.0,0.00142779274305,22.1621989576
SF2,8.00633135332,7.17596346432,0.00147282307527,22.8611597743
CG10384,0.0,7.4331047977,0.00156917424068,24.3567225639
mRpL13,5.01418365405,0.0,0.00161732083694,25.1040540309
nrv2,0.0,7.57617797398,0.00171566764987,26.6305932612
CG14762,11.2089346262,10.5513587405,0.00177491931746,27.5502976456
Ten-a,7.67212080337,8.60247353883,0.00177491931746,27.5502976456
sda,0.0,8.32148064965,0.00201257007866,31.239112761
ALiX,4.66178407569,9.54937865118,0.00209086789089,32.4544514023
Ac78C,0.0,2.31297695329,0.00209647825016,32.541535399
CG8301,7.14757835089,8.63404552216,0.00211572035207,32.8402113049
Nmdar2,5.94573997445,3.07977611845,0.00213238245702,33.0988404978
gogo,0.0,5.46745916147,0.00226897640886,35.2190518183
CR45007,0.544802487065,4.32619996869,0.00238848778678,37.0741074264
CG9896,0.0,6.99804544723,0.00239300692391,37.1442534729
Roe1,7.11702377861,2.93571750991,0.00245863997421,38.1630096797
apt,0.0,8.07897900258,0.00255244743278,39.6190890516
CG9650,3.1692531464,0.0,0.00255244743278,39.6190890516
CG14669,0.0,7.91416180167,0.00285052336252,44.245823633
Trim9,6.3278937737,0.0,0.0029371589306,45.5905809207
LRP1,7.06713498466,3.10486180444,0.00299439011492,46.4789233637
Cct5,8.7628530606,6.74575364017,0.0030273744898,46.9909068306
Hsp70Bb,5.25755807661,7.24018467744,0.00304394018393,47.248039535
ND-39,9.3463910358,8.21632067233,0.00304947296561,47.3339193722
mam,7.79771978741,4.97726327092,0.00304947296561,47.3339193722
tweek,7.14319944103,0.0,0.00309625179863,48.0600204183
CG13759,6.20810149366,0.0,0.00311817639929,48.4003340699
dpr11,6.7590246993,1.3075113172,0.00328417982783,50.9770392876
mAChR-B,4.5059547373,8.81904654641,0.00341170718464,52.95651892
mRpS14,5.56385739037,0.0,0.00344965301637,53.54551412
otk,8.2351228882,0.0,0.00348497681177,54.0938100723
CG8909,7.08794120105,1.88504460904,0.00350437791695,54.3949540269
Neto,0.0,3.23135823497,0.00352705120034,54.7468887317
beat-VI,0.0,3.30004940697,0.00352705120034,54.7468887317
CG10492,0.0,1.30140602158,0.00352705120034,54.7468887317
CG13408,0.0,1.55893065213,0.00352705120034,54.7468887317
IP3K2,0.0,4.26186936162,0.00352705120034,54.7468887317
vvl,0.0,0.442116299256,0.00352705120034,54.7468887317
Pdfr,0.546229580155,0.0,0.00352705120034,54.7468887317
GstD1,0.0,1.97025810767,0.00352705120034,54.7468887317
MED25,1.88358643776,0.0,0.00352705120034,54.7468887317
CG6040,0.0,1.17539888618,0.00352705120034,54.7468887317
CG43740,0.975563917895,0.0,0.00352705120034,54.7468887317
wake,0.0,0.442116299256,0.00352705120034,54.7468887317
klu,0.0,0.961104266275,0.00352705120034,54.7468887317
CG10433,0.590241032335,0.0,0.00352705120034,54.7468887317
CG33144,0.0,1.1375780671,0.00352705120034,54.7468887317
CG42554,0.502658355965,0.0,0.00352705120034,54.7468887317
ome,0.0,0.566141749395,0.00352705120034,54.7468887317
CCKLR-17D1,4.13413726173,0.0,0.00359044554028,55.7308956763
Calr,9.90320872688,9.16328118857,0.0036299774941,56.3445106633
Dscam4,9.12025100231,7.45955131609,0.0036299774941,56.3445106633
DIP-delta,2.95960374256,0.0,0.00363867987433,56.4795890094
unc-13-4A,2.76775144172,0.0,0.00364894251992,56.6388857942
Start1,0.0,4.17968489355,0.00364894251992,56.6388857942
CG31814,6.1366258943,0.0,0.00364894251992,56.6388857942
Bet1,4.57463557949,0.0,0.00373444360938,57.9660337047
Sc2,8.1868406876,0.0,0.00383068638571,59.4599140789
CG34114,1.78212009754,6.99325421083,0.00405851819082,62.9963193579
CG42542,7.79774394457,0.0,0.0040621522325,63.0527269528
phtf,7.80319922257,0.0,0.0041336439511,64.162421409
CG1607,8.21600178989,0.0,0.00415787213509,64.5384912809
CR44978,6.4929577089,3.53506693272,0.00416441879531,64.6401085409
Bili,5.51019426776,7.69164572311,0.00430055266134,66.7531784093
Scsalpha,8.78779669954,9.63728216919,0.00430777905941,66.8653465602
rdgC,4.75760910418,8.52366942909,0.00442139823196,68.6289433564
GstZ2,8.59961170467,4.82535295967,0.00442139823196,68.6289433564
CG7991,0.0,5.79842896077,0.00447257634231,69.4233299853
slv,3.49613985306,0.0,0.00447257634231,69.4233299853
rut,1.84803978935,0.0,0.00451760512169,70.1222666989
CG3651,0.0,6.18760874952,0.00451760512169,70.1222666989
CG8668,3.25473638049,0.0,0.00451760512169,70.1222666989
Wee1,7.55994771828,0.0,0.00451760512169,70.1222666989
cv-2,0.0,7.71333173262,0.00457076610572,70.9474314929
AstA-R1,0.0,3.42547217893,0.00478027785591,74.1994728795
Zip102B,7.79507817486,4.65548151422,0.00493354571083,76.5784965235
CG1402,5.98462685897,1.40546763952,0.00493354571083,76.5784965235
Vps26,7.75258091662,4.33385783392,0.00493354571083,76.5784965235
dpr8,7.46832018694,5.22823172268,0.00501472614484,77.8385792202
mCD8-GFP,10.4240840213,12.6047685478,0.00506374462822,78.5994441192
CG32276,5.59318584788,7.03987106698,0.00506374462822,78.5994441192
ND-13A,6.94290716858,5.65468203616,0.00509655249555,79.108687836
A2bp1,9.13637409887,8.25844433882,0.00509655249555,79.108687836
RhoGAP100F,9.14248885804,7.77696990028,0.00509655249555,79.108687836
eIF-4a,10.7896549429,11.3223296883,0.00509655249555,79.108687836
CG13004,3.17583402423,4.25838143138,0.00523521521884,81.2610106268
CG7785,7.19263112216,0.0,0.00544425276621,84.5056914371
Atg6,1.66148845822,0.0,0.00545841288083,84.7254847362
Plc21C,0.0,6.96783185629,0.00570910433234,88.6167174465
CG9164,8.04676496572,6.24872416175,0.00582677971481,90.4432747333
Rpt5,7.65288464301,0.0,0.00586160832233,90.9838843792
me31B,6.97067232585,0.0,0.00586160832233,90.9838843792
CG42747,6.80255848006,0.0,0.00586160832233,90.9838843792
14-3-3zeta,10.4421448604,9.74168061551,0.00601141270381,93.3091479885
Toll-6,10.4209304569,9.52340027282,0.00601141270381,93.3091479885
CG42541,8.34944512856,7.18525326473,0.00601141270381,93.3091479885
