symbol,medianA,medianB,pvalue,pvalue_adj
caup,8.09032118602,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.93770978246,5.13445780758e-06,0.0796970540892
acj6,7.14869406773,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
C15,8.76762998534,0.0,7.09569794446e-06,0.110139423494
fru,0.0,9.99845064428,9.15336830931e-06,0.142078582897
CG30463,0.0,7.6103792961,1.22446437935e-05,0.190061360963
bru-3,8.01898780357,0.0,1.30214778044e-05,0.20211937848
CG4629,6.76727647376,0.800919124185,1.59244638206e-05,0.247179527424
rdgC,4.27521704612,8.66149122892,1.69078033979e-05,0.262442924342
CG2082,11.4699284544,8.13261633771,1.80085268433e-05,0.279528353662
Cow,7.73453756517,11.1013942646,1.82922767695e-05,0.283932720016
dpr15,0.0,8.63309260771,1.87923035691e-05,0.291694136
CG13759,6.20810149366,0.0,1.87923035691e-05,0.291694136
IP3K2,0.0,9.40470646347,1.87923035691e-05,0.291694136
CG13760,5.14731451224,0.0,1.87923035691e-05,0.291694136
DIP-eta,0.0,9.68836934714,2.08338413307e-05,0.323382885135
CG42784,1.38183392528,8.54221933712,2.78712282901e-05,0.43261720552
CG42339,0.0,10.0025732356,3.03089062316e-05,0.470454842527
MsR1,0.0,8.12776738615,3.03089062316e-05,0.470454842527
CG7985,0.0,8.52358300063,4.33551179312e-05,0.672958140528
CG31221,9.96231460766,3.54361715222,4.69932122786e-05,0.729428640989
CG12994,7.07371664355,0.0,5.07473053166e-05,0.787699673125
CG13594,0.590241032335,8.98134548068,5.46570872633e-05,0.848387308501
fred,0.0,5.44171166069,5.78208106649e-05,0.897494623141
twz,10.9501559028,7.13261092489,5.9603053663e-05,0.925158598957
CG42342,8.66340603539,10.2492506368,6.14635008328e-05,0.954036459927
Msp300,10.0792780415,7.49920206789,6.1672877202e-05,0.957286399929
tsh,0.0,6.7738291287,6.2654363942e-05,0.972521037107
Scp2,0.0,8.12360916945,6.2654363942e-05,0.972521037107
Oct-TyrR,0.0,7.29599534193,6.2654363942e-05,0.972521037107
Fife,0.0,5.24984011992,6.2654363942e-05,0.972521037107
ome,0.0,7.26453936453,6.2654363942e-05,0.972521037107
GV1,9.08246395788,0.0,6.53070589699e-05,1.01369616933
klg,2.45656617109,9.47232833247,6.92728397833e-05,1.07525301912
pros,11.9437085736,10.9984438917,7.78979465439e-05,1.20913192626
rgn,5.08180338003,9.47862504821,9.19345635454e-05,1.42700829535
Hsp70Bb,5.15964819816,7.61048665124,9.77664335981e-05,1.51753058231
hth,10.2852627646,11.181439918,9.80807368533e-05,1.52240919744
Pde1c,0.0,7.58755853242,0.000119835656962,1.86008906736
glob1,8.52927215332,0.0,0.000132771213549,2.06087477671
heph,7.06129273307,0.0,0.000148803009366,2.30972031139
nAChRalpha2,7.84170807537,11.0679940583,0.000154022352814,2.39073496038
sano,8.15040700812,0.0,0.000161903572382,2.51306725052
CG34356,9.13959558286,0.983697137565,0.000181067514352,2.81052995777
Cbp53E,0.0,8.57259348394,0.000181576601823,2.8184320135
DIP-delta,2.95960374256,0.0,0.000188639994557,2.92806999551
mCD8-GFP,10.3374634783,13.3377763305,0.000191538245668,2.97305664926
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
beat-VI,0.0,7.85517638683,0.000191695863289,2.97550318997
CG31760,0.0,6.48954662098,0.000191695863289,2.97550318997
CG1402,6.67800886396,0.0,0.000202898452929,3.14938978637
kek3,7.87972780421,0.0,0.000232858915968,3.61443609366
CG8216,7.41258282704,0.0,0.000232858915968,3.61443609366
CG42540,10.8155134454,11.564010016,0.000238840864478,3.70728789844
sdt,0.0,5.89772581843,0.000252741572561,3.92305468928
Ca-alpha1T,9.84169032124,3.50594486505,0.000346567437383,5.37941976306
Mtch,8.16001437636,6.41323771704,0.000356065705973,5.52685188811
sda,0.0,8.29248203705,0.000359671675717,5.58282375049
Dscam3,8.09328691351,5.77114486883,0.000365740995907,5.67703173847
dpr6,9.44414419988,6.54407269362,0.000395485755257,6.13872989311
CG32204,0.0,8.22271918512,0.000401100451324,6.22588120545
beat-Vc,7.21603163227,0.0,0.000401100451324,6.22588120545
CG31475,0.0,7.37095645732,0.000401100451324,6.22588120545
mew,0.0,5.99511092915,0.000440811233934,6.84227197312
