symbol,medianA,medianB,pvalue,pvalue_adj
Oct-TyrR,0.0,8.09979003391,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,5.13445780758e-06,0.0796970540892
fred,0.0,7.12918758659,7.09569794446e-06,0.110139423494
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
C15,8.92851514517,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.43846734025,9.33764556343e-06,0.144938934436
DIP-eta,0.0,9.66371730609,9.33764556343e-06,0.144938934436
CG4629,6.77954526514,0.0,1.46238770616e-05,0.22699181975
CG42784,1.12168362891,8.35515434424,1.69078033979e-05,0.262442924342
CG33543,8.57069738937,10.4838317999,1.82922767695e-05,0.283932720016
CG30463,0.0,7.18498452827,1.87923035691e-05,0.291694136
CG31760,0.0,7.85577113779,1.87923035691e-05,0.291694136
dpr15,0.0,8.31758986724,1.87923035691e-05,0.291694136
TrissinR,0.0,8.07812235844,1.87923035691e-05,0.291694136
Cow,7.39994261754,11.2283106752,2.99179589652e-05,0.464386559058
CG10384,0.0,7.84449752328,3.03089062316e-05,0.470454842527
GV1,9.12223126389,0.0,3.03089062316e-05,0.470454842527
CG32204,0.0,8.13016415973,3.03089062316e-05,0.470454842527
CG42342,8.2947575132,11.0128286641,3.81539413546e-05,0.592225477705
fru,0.0,9.37499741752,4.50342179868e-05,0.699021131592
rdo,8.55272872687,0.0,4.58679335698e-05,0.711962064871
klg,2.45656617109,9.78792466335,5.46570872633e-05,0.848387308501
twz,10.9652160193,3.81701771418,5.46570872633e-05,0.848387308501
rgn,5.08180338003,9.94779924892,5.75858987489e-05,0.89384832038
Fife,0.0,7.44208126475,6.2654363942e-05,0.972521037107
Pde1c,0.0,5.91354265335,8.37425492817e-05,1.29985184995
CG31997,0.0,8.44351360034,9.38526806308e-05,1.45678130875
Ktl,3.96889541368,9.73343365085,9.49709897323e-05,1.47413970262
CG2082,11.4699284544,8.95110590006,9.80807368533e-05,1.52240919744
CG7985,0.0,9.46047440577,0.000101473982004,1.57507914867
MsR1,0.0,6.7650400598,0.00011600356004,1.80060725894
CG31221,10.0718164431,7.5392842364,0.000122720086651,1.904861185
Cbp53E,0.0,8.16908421173,0.000144239577964,2.23888672916
caup,7.81468033968,0.0,0.000151723321511,2.3550493965
CG34356,9.31294993649,0.0,0.00016663424449,2.58649674297
sdt,0.0,5.9034858515,0.000166728382707,2.58795795638
bru-3,8.01898780357,1.61784293985,0.000181067514352,2.81052995777
Amph,0.0,6.27565566417,0.000188639994557,2.92806999551
IP3K2,0.0,9.62008191841,0.000191695863289,2.97550318997
Scp2,0.0,8.24094392355,0.000191695863289,2.97550318997
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
kek1,7.42760798124,8.79451532591,0.000238840864478,3.70728789844
Msp300,10.0792780415,8.88183060272,0.000238840864478,3.70728789844
Kap3,2.12842805437,8.51508716962,0.000268413593425,4.16631579714
Ca-alpha1T,10.0337415801,1.86728199577,0.000280015124478,4.34639476215
Fas2,9.00683020495,10.6626496667,0.000296021072947,4.59483909429
CG42540,10.875884723,11.6692513083,0.000296021072947,4.59483909429
CG31344,0.0,7.75293975379,0.00034514205479,5.35729497446
kek3,7.87972780421,1.89076201206,0.000346567437383,5.37941976306
rdgA,3.03181239929,8.1575946393,0.000364765459768,5.66188946651
Toll-6,10.4209304569,8.89783844893,0.000365740995907,5.67703173847
sda,0.0,8.49376093081,0.000403173249831,6.25805518388
hth,10.3955077814,11.1203632888,0.00045046779818,6.99216116335
pros,11.935389009,11.0229126585,0.00045046779818,6.99216116335
dpr6,9.39779784204,5.31122293504,0.00048675225097,7.55536843955
rdgC,4.75760910418,7.80740065449,0.000525874701383,8.16262711487
mAChR-B,4.5059547373,9.13912076027,0.00053936770472,8.37206551266
run,6.37104968005,0.0,0.000542166280837,8.41550501115
tsh,0.0,6.90737019114,0.000542166280837,8.41550501115
beat-VI,0.0,5.72802933098,0.000542166280837,8.41550501115
Sema-2b,9.71735036461,7.07528083595,0.00055308909204,8.58504888665
CCKLR-17D3,7.66116600659,0.0,0.000599404297285,9.30395350247
twit,0.0,7.02257607483,0.000634034528259,9.84148394764
P32,8.65056493896,7.11258160145,0.0006753339723,10.482533918
CG18812,9.23107946598,10.0662692911,0.000676970721546,10.5079395398
beat-Vc,7.21603163227,0.0,0.000741696486829,11.5126128686
CG4829,7.70543826323,9.59584943942,0.000787953959844,12.2306213647
CG42541,8.34944512856,6.07269995412,0.000826019728117,12.8214782198
CG9921,5.17169809721,0.0,0.000827498854029,12.8444372122
sano,8.35713314074,0.584272069455,0.000882615531441,13.699958279
Ugt,7.91891561527,0.0,0.000882615531441,13.699958279
mew,0.0,6.79729072501,0.000884060424462,13.7223859085
ebo,7.76777737533,0.0,0.000917336707587,14.2389003752
heph,7.24178266871,0.0,0.000924738753125,14.353794926
CG13004,3.17583402423,5.13381206396,0.000959980575337,14.9008184904
Hsp70Bb,5.25755807661,7.36143494106,0.00100248323755,15.5605448133
Tm1,7.59764918947,4.12486691506,0.00100475242783,15.5957671848
CG34380,11.2130048025,9.44296761543,0.00100475242783,15.5957671848
nkd,5.17219012843,0.0,0.0010139646038,15.7387585801
glob1,8.52927215332,3.35657549675,0.00107504485903,16.6868463018
CG13594,0.0,8.35525958285,0.00111189349193,17.2588107817
DIP-delta,2.95960374256,0.0,0.00113640233548,17.6392370513
endos,6.01394657048,8.78678803268,0.00120776019566,18.746853757
Ptp99A,8.1384141935,6.87192909913,0.00121836740449,18.9114988526
PVRAP,7.30906599424,0.0,0.00122388950565,18.9972129066
Plc21C,0.0,4.34812030833,0.00137316776791,21.3143100934
Ret,0.0,6.21725748034,0.00139888360254,21.7134712786
CG14463,0.0,5.71067446011,0.00142779274305,22.1621989576
Gyc-89Db,2.97268509983,0.0,0.00142779274305,22.1621989576
nac,0.0,3.15548489213,0.00142779274305,22.1621989576
SKIP,5.83389995052,8.66091873477,0.00146044673523,22.6690542243
CG8216,7.41258282704,0.0,0.00148723147035,23.0848068828
CG34371,6.31906021719,0.0,0.00171566764987,26.6305932612
apt,0.0,8.57884143223,0.00171566764987,26.6305932612
pxb,7.86362774926,9.14419897606,0.00176053230348,27.3269824146
Calr,9.90320872688,9.14006055249,0.00177491931746,27.5502976456
CG14762,11.2089346262,10.6981594478,0.00177491931746,27.5502976456
CG1402,5.98462685897,0.0,0.00179822645201,27.9120709882
CG1116,6.60491106378,0.0,0.00194175002269,30.1398438521
CCKLR-17D1,4.13413726173,0.0,0.00194175002269,30.1398438521
Oscillin,0.0,7.80120747604,0.00201257007866,31.239112761
CG15715,5.78634582141,4.03458987734,0.00211572035207,32.8402113049
mCD8-GFP,10.4240840213,12.8938143348,0.00211572035207,32.8402113049
dpr8,7.46832018694,4.73611040244,0.00212820989586,33.0340740036
RpL12,7.75332000197,6.69549618778,0.00213238245702,33.0988404978
CG31676,10.0841615112,10.937330014,0.00213238245702,33.0988404978
otk,8.2351228882,0.0,0.00221073834775,34.3150806338
