symbol,medianA,medianB,pvalue,pvalue_adj
acj6,7.2472704089,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.96431416806,5.13445780758e-06,0.0796970540892
caup,7.81468033968,0.0,5.13445780758e-06,0.0796970540892
CG30463,0.0,7.42547291337,7.09569794446e-06,0.110139423494
C15,8.84993493649,0.0,7.09569794446e-06,0.110139423494
CG30089,7.78966100466,0.0,7.09569794446e-06,0.110139423494
fru,0.0,10.2048580597,9.15336830931e-06,0.142078582897
fred,0.0,7.95948069473,1.19642080675e-05,0.185708437624
mew,0.0,7.03174573395,1.60001094808e-05,0.248353699361
CG42339,0.0,9.84809686401,1.60001094808e-05,0.248353699361
Cow,7.39994261754,11.1184723753,1.82210136462e-05,0.282826573817
pros,11.8468647557,10.6373367676,1.82922767695e-05,0.283932720016
CG43759,3.03219486795,0.0,1.87923035691e-05,0.291694136
IP3K2,0.0,8.97548023985,1.87923035691e-05,0.291694136
Oct-TyrR,0.0,6.96360567867,1.87923035691e-05,0.291694136
sdt,0.0,6.74401488327,1.88783859368e-05,0.293030306511
DIP-eta,0.0,9.63538242785,2.08338413307e-05,0.323382885135
CG31221,10.0718164431,2.58496301415,2.17429698644e-05,0.337494378236
CG2082,11.3614463183,9.08591908071,2.34743628248e-05,0.364369059766
CG34356,9.06727540848,0.0,2.4291233778e-05,0.377048530702
heph,7.24178266871,0.0,2.43019981857e-05,0.377215615839
CG42541,8.67270240498,6.07269995412,2.99179589652e-05,0.464386559058
CG42540,10.931966117,11.7894781983,3.0028801484e-05,0.466107056635
rdo,8.55272872687,0.0,3.12804076921e-05,0.485534488196
CG42784,1.13548223864,8.77720303524,3.69333042231e-05,0.573278748152
CG32204,0.0,7.88615695021,3.92892831811e-05,0.609848253538
klg,5.08050400933,9.71967549432,4.53579289172e-05,0.704045772652
twz,10.9501559028,2.86823249996,5.46570872633e-05,0.848387308501
Ktl,3.96889541368,9.76433351991,5.75858987489e-05,0.89384832038
DIP-theta,0.0,5.40616492821,6.2654363942e-05,0.972521037107
Fife,0.0,7.05559790118,6.2654363942e-05,0.972521037107
TrissinR,0.0,8.10114110374,6.2654363942e-05,0.972521037107
glob1,8.52927215332,0.0,6.27394017787e-05,0.973840994409
GV1,8.92607323838,0.0,6.53070589699e-05,1.01369616933
CG13594,0.590241032335,9.44283524299,6.92728397833e-05,1.07525301912
CG7985,0.0,9.54383652889,7.39782380629e-05,1.14829021121
bru-3,8.08595691615,0.0,9.0096108543e-05,1.3984717968
