symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,8.17271357413,0.0,5.13445780758e-06,0.0796970540892
C15,8.92851514517,0.0,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,9.33764556343e-06,0.144938934436
GV1,9.08246395788,0.0,1.19642080675e-05,0.185708437624
fred,0.0,7.04973836538,1.19642080675e-05,0.185708437624
bru-3,8.08595691615,0.0,1.46238770616e-05,0.22699181975
Oct-TyrR,0.0,8.22999793613,1.87923035691e-05,0.291694136
Fife,0.0,6.92246186541,1.87923035691e-05,0.291694136
heph,6.71385595587,0.0,2.43019981857e-05,0.377215615839
twz,10.9652160193,2.78173750081,2.78712282901e-05,0.43261720552
CG42784,1.13548223864,8.24901695152,2.89345043e-05,0.449121375744
DIP-eta,0.0,9.61401285201,3.49524389727e-05,0.542531757734
CG30463,0.0,7.40682608252,3.92892831811e-05,0.609848253538
CG32204,0.0,8.1232164661,3.92892831811e-05,0.609848253538
CG31997,0.0,8.21917935004,4.01279246574e-05,0.622865646532
fru,0.0,9.84536981295,4.50342179868e-05,0.699021131592
Ktl,5.49467334831,9.81851040699,4.69932122786e-05,0.729428640989
CG42339,0.0,9.5410241133,5.07461880929e-05,0.787682331577
glob1,8.34404727375,0.0,5.84228460578e-05,0.906839416509
CG31221,9.87344636976,3.32390313579,6.08385738294e-05,0.94433634298
CG42342,8.2947575132,10.7076461464,6.14635008328e-05,0.954036459927
hth,10.1786543382,11.2579748145,6.1672877202e-05,0.957286399929
TrissinR,0.0,7.60030269032,6.2654363942e-05,0.972521037107
Cow,7.73453756517,11.2269445542,7.78979465439e-05,1.20913192626
klg,2.45656617109,9.35248057488,8.75151666445e-05,1.35841041666
kek3,7.98666895459,0.0,0.000102961253475,1.59816457644
CG2082,11.377412366,8.36330275952,0.000122720086651,1.904861185
caup,8.09032118602,0.0,0.000151723321511,2.3550493965
CG13004,0.996397311315,4.56496149885,0.000173095085209,2.68678191261
rgn,5.72082914506,9.97753796811,0.000181067514352,2.81052995777
CG4629,6.82254350133,0.0,0.000186449746378,2.89407296328
dpr15,0.0,7.58116366633,0.000191695863289,2.97550318997
CG9650,3.76948776286,0.0,0.000191695863289,2.97550318997
beat-Vb,8.56322576944,0.0,0.000202898452929,3.14938978637
CG34356,9.06727540848,0.82993880966,0.000202898452929,3.14938978637
Slob,4.58838791636,8.51270053539,0.000232116999732,3.60292006985
Msp300,10.1333215546,7.84630832212,0.000238840864478,3.70728789844
sano,8.34437609811,0.0,0.000254836523736,3.95557252143
Lmpt,6.34526057396,0.0,0.000302203756243,4.69080670441
Cbp53E,0.0,7.95953687391,0.00034514205479,5.35729497446
Ca-alpha1T,10.0807301535,1.4601616015,0.000346567437383,5.37941976306
CG14669,0.0,8.14697134676,0.000388399919053,6.02874354353
CG12994,7.06224324305,0.548240893305,0.000410945679018,6.37869882972
dpr6,9.44414419988,6.30466665226,0.000438924708267,6.81298932172
otk,8.2351228882,0.0,0.000440811233934,6.84227197312
SKIP,7.20900602073,8.69322505191,0.000449304376389,6.9741025303
CG18812,9.24515698156,10.5332413256,0.00045046779818,6.99216116335
CG13322,7.99572451277,0.0,0.000481941769935,7.48070015293
sdt,0.0,5.6721573294,0.0004986200163,7.73957989301
PVRAP,7.52324451615,0.0,0.000505276606553,7.84290348691
CG10384,0.0,7.4331047977,0.000542166280837,8.41550501115
Gyc-89Db,3.98393747663,0.0,0.000542166280837,8.41550501115
CG43740,2.84682192067,0.0,0.000542166280837,8.41550501115
tsh,0.0,5.69456003448,0.000542166280837,8.41550501115
CG11710,3.96016380545,0.0,0.000542166280837,8.41550501115
kay,0.0,5.41554350484,0.000542166280837,8.41550501115
klu,0.0,3.76707824637,0.000542166280837,8.41550501115
IP3K2,0.0,7.86617589237,0.000542166280837,8.41550501115
CCKLR-17D1,4.79506767322,0.0,0.000542166280837,8.41550501115
CG31760,0.0,3.45550396834,0.000542166280837,8.41550501115
Hsp70Bb,5.27883318909,7.15524904911,0.000551706634864,8.56359038637
CG34380,11.1043781653,9.35576602202,0.00055308909204,8.58504888665
Toll-6,10.4209304569,9.29299052483,0.00055308909204,8.58504888665
rdo,8.55272872687,0.0,0.000589256886706,9.14644539545
CG8216,7.44484790968,0.0,0.000606251512059,9.41023597018
CG13594,0.0,9.22349607607,0.000608105492195,9.43901344985
CG4829,3.66068080447,9.25887260287,0.000621214340659,9.6424889957
CadN,9.40810956252,7.54627628981,0.000676970721546,10.5079395398
nkd,5.04364433154,0.0,0.000717893223829,11.1431386203
CG17078,0.0,7.78501596392,0.000717893223829,11.1431386203
dpr1,5.78007055783,0.0,0.000746008722863,11.5795473963
sda,0.0,8.37228627026,0.000746008722863,11.5795473963
pHCl,5.77549652338,9.39397753426,0.000818314149943,12.7018722354
Klp64D,8.30489581091,0.0,0.0008252767023,12.8099449731
CG33543,8.57069738937,10.0792618335,0.000826019728117,12.8214782198
CG34371,5.43539817447,0.0,0.000986770339198,15.316649205
mCD8-GFP,10.5788938383,12.6431841088,0.000995695028697,15.4551782354
CG31676,10.0787727453,10.9237701472,0.00100475242783,15.5957671848
me31B,7.43742160887,0.0,0.00107504485903,16.6868463018
Trim9,7.83783703604,0.0,0.00122388950565,18.9972129066
Dop1R2,5.75347290901,0.0,0.00126291265293,19.6029301988
CG10311,0.0,1.31541707079,0.00126291265293,19.6029301988
CG7600,0.0,7.85598089694,0.00126291265293,19.6029301988
mew,0.0,7.0026342916,0.00132692743138,20.5965675898
CG7985,0.0,8.27929337963,0.00132692743138,20.5965675898
gammaSnap1,6.88589064414,1.86666606301,0.00136666167891,21.2133225801
CCKLR-17D3,7.9553138743,0.0,0.00137316776791,21.3143100934
CG10433,3.1259023677,0.0,0.00142779274305,22.1621989576
Scp2,0.0,5.58762821806,0.00142779274305,22.1621989576
CG3149,0.0,1.36482490434,0.00142779274305,22.1621989576
Ddr,7.92754755567,4.78022208662,0.00146972308396,22.8130417092
Spn,4.34282556857,8.78688736467,0.00147282307527,22.8611597743
Zyx,6.72128925254,8.2610055571,0.00147282307527,22.8611597743
CG9932,0.0,3.6967366702,0.00156917424068,24.3567225639
snRNP-U1-C,5.69116691804,0.0,0.00166511987523,25.8459907033
Ssrp,7.41593885033,0.0,0.00166511987523,25.8459907033
LRP1,7.32491422207,2.50535165535,0.00173908106987,26.9940163665
nAChRalpha6,8.06480274411,6.20466807477,0.00177491931746,27.5502976456
Fas2,8.8465050383,10.3670501484,0.00177491931746,27.5502976456
Ptp99A,7.88156709714,6.92896528037,0.00177491931746,27.5502976456
CG31475,0.0,4.28812349592,0.00194175002269,30.1398438521
mRpL20,0.0,6.09304146095,0.00197494511039,30.6550980034
CG13760,4.51617108206,0.0,0.00201135394335,31.2202359087
CG43759,4.14827418561,0.0,0.00205903263078,31.960304495
CG33143,6.6328511728,8.273397539,0.00213238245702,33.0988404978
CG11030,8.19289031608,9.86274260323,0.00213238245702,33.0988404978
CG42541,8.34944512856,5.14022223685,0.00213238245702,33.0988404978
CG6878,5.64494409204,1.34128472253,0.00238848778678,37.0741074264
CG1402,6.53536691035,0.50927768727,0.00238848778678,37.0741074264
dpr18,5.58329817024,0.0,0.00242461696602,37.6349045466
DIP-delta,3.01248543029,0.0,0.00249812865642,38.7759530049
Pura,0.0,3.96004478696,0.00255244743278,39.6190890516
Ssb-c31a,4.67109339821,7.18493694442,0.0025539527125,39.6424540034
Rsf1,8.35985770912,9.42258682857,0.0025539527125,39.6424540034
CG8301,5.36095582852,9.30223477391,0.00261422729693,40.578036103
dpr20,0.0,8.45389199297,0.0027480089233,42.6545945074
CG17839,3.14498451117,0.0,0.0027480089233,42.6545945074
CG42340,0.0,3.97315078344,0.00278672611851,43.2555628115
beat-Va,7.32642572349,0.0,0.00285052336252,44.245823633
rdgC,6.31847704092,7.94249313965,0.00293985221537,45.632386087
cindr,3.36713124232,5.80614722041,0.00299439011492,46.4789233637
SF2,7.79417655687,7.01550995765,0.00304394018393,47.248039535
lbk,2.4254902214,6.49413011854,0.00304394018393,47.248039535
kirre,4.53749619124,3.255529231,0.00304394018393,47.248039535
CG43729,9.99041504978,9.01771422002,0.00304947296561,47.3339193722
p130CAS,3.80523602884,8.62486701282,0.00328417982783,50.9770392876
su(f),0.0,5.05806549364,0.00331651673921,51.4789728259
scf,0.0,6.40910744192,0.00331651673921,51.4789728259
nAChRalpha2,8.10422979946,10.5365959926,0.00332244042047,51.5709202066
Ip259,4.53290710475,6.64923008487,0.00350437791695,54.3949540269
