symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
Oct-TyrR,0.0,8.09979003391,5.13445780758e-06,0.0796970540892
acj6,7.2472704089,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.1124962925,5.13445780758e-06,0.0796970540892
caup,8.09032118602,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.37640456727,5.13445780758e-06,0.0796970540892
CG32204,0.0,8.14220461163,7.09569794446e-06,0.110139423494
CG30089,8.17271357413,0.0,9.15336830931e-06,0.142078582897
fru,0.0,9.88737982467,9.15336830931e-06,0.142078582897
CG42339,0.0,9.87316836825,9.33764556343e-06,0.144938934436
rdo,8.55272872687,0.0,1.55845526505e-05,0.24190342624
DIP-eta,0.0,9.71635569063,1.60001094808e-05,0.248353699361
Cow,7.39994261754,11.0268918084,1.82210136462e-05,0.282826573817
CG2082,11.3614463183,8.20581892978,1.82210136462e-05,0.282826573817
mCD8-GFP,10.6655143813,13.1199480377,1.82922767695e-05,0.283932720016
Hsp70Bb,5.27883318909,7.58633428593,1.82922767695e-05,0.283932720016
tsh,0.0,7.01774673354,1.87923035691e-05,0.291694136
Fife,0.0,5.38916329395,1.87923035691e-05,0.291694136
mew,0.0,6.23716976825,2.70325472882e-05,0.419599199007
CG13004,2.54849433404,5.13009391982,2.78712282901e-05,0.43261720552
GV1,8.92607323838,0.0,3.03089062316e-05,0.470454842527
CG13594,0.0,9.31568617883,3.11543104412e-05,0.483577206668
CG42784,0.98140180606,8.42092172316,3.56123299774e-05,0.552774585909
Pli,8.04779568169,9.16939628751,3.81539413546e-05,0.592225477705
CG30463,0.0,7.53483805903,3.92892831811e-05,0.609848253538
CG7985,0.0,8.83451413814,4.01279246574e-05,0.622865646532
klg,2.45656617109,9.59953567449,4.29865050075e-05,0.667236530727
CG42342,8.51566098224,10.6471483144,4.86728378236e-05,0.755499788697
CG4829,7.50612588307,9.64903378918,5.75858987489e-05,0.89384832038
fred,0.0,4.96928590961,5.78208106649e-05,0.897494623141
sda,0.0,8.59553153957,5.84228460578e-05,0.906839416509
twz,10.9501559028,7.25029554292,5.9603053663e-05,0.925158598957
CG6123,0.0,4.48830543585,6.2654363942e-05,0.972521037107
CG45263,6.17028755399,0.0,6.2654363942e-05,0.972521037107
Scp2,0.0,8.32153011873,6.2654363942e-05,0.972521037107
CG31760,0.0,7.43387888676,6.2654363942e-05,0.972521037107
Pde1c,0.0,6.88865980144,6.53782854001e-05,1.01480174598
CG31221,9.96231460766,5.68896238084,7.76409585271e-05,1.20514295826
nAChRalpha2,7.84170807537,11.2281377589,7.78979465439e-05,1.20913192626
pros,11.935389009,10.4209590555,9.80807368533e-05,1.52240919744
CG34356,9.06727540848,0.0,0.00010544394443,1.63670090544
rgn,3.31260791734,9.44401509806,0.000110207004978,1.71063313127
p47,6.85630205851,0.0,0.00011600356004,1.80060725894
bru-3,8.08595691615,0.811589047755,0.000138338286964,2.14728689026
PVRAP,7.52324451615,0.0,0.000148206009967,2.30045368671
Amph,0.0,6.36491844303,0.000148206009967,2.30045368671
CG1402,6.53536691035,0.0,0.000186449746378,2.89407296328
Adi1,0.0,4.29698966737,0.000191695863289,2.97550318997
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
Gyc-89Db,3.98393747663,0.0,0.000191695863289,2.97550318997
CG34371,5.43539817447,0.0,0.000191695863289,2.97550318997
MsR1,0.0,7.24034779438,0.000191695863289,2.97550318997
Ca-alpha1T,9.84169032124,1.06632659433,0.000193390407598,3.00180590674
glob1,8.52927215332,0.0,0.000202898452929,3.14938978637
sdt,0.0,6.79381289199,0.000208948864483,3.24330427451
CG9932,0.0,3.66497090164,0.000239209057348,3.71300298815
CG31997,0.0,8.21898394477,0.000289872476541,4.49940058086
COX5A,9.93960425826,9.33984451647,0.000296021072947,4.59483909429
CG42540,10.7757470831,11.6343319501,0.000296021072947,4.59483909429
Con,10.152089622,10.6109085721,0.000296021072947,4.59483909429
Rpi,4.83261800343,0.0,0.000380367227827,5.90406011033
caps,7.46999369267,1.15043221476,0.000388399919053,6.02874354353
sano,8.4584965588,0.0,0.000400152907868,6.21117343593
CG4629,6.82254350133,0.758227889565,0.000410945679018,6.37869882972
EMC8-9,6.35280206419,1.95085083804,0.000427583200774,6.63694644241
dpr6,9.39779784204,6.03191930086,0.000427583200774,6.63694644241
Cbp53E,0.0,8.21525325727,0.000431569263818,6.69881811299
heph,7.06129273307,0.0,0.000440811233934,6.84227197312
CG14762,11.2498398131,10.2409175103,0.00045046779818,6.99216116335
hth,10.2852627646,11.0424367994,0.00045046779818,6.99216116335
CG10019,0.0,6.26086555752,0.000476968848332,7.40351046381
rdgC,6.31847704092,8.08337579675,0.00053936770472,8.37206551266
CG31814,6.89791914281,0.0,0.000542166280837,8.41550501115
Trim9,7.48644318944,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,8.48405061959,0.000542166280837,8.41550501115
Dop1R2,5.28573884351,0.0,0.000542166280837,8.41550501115
hdc,3.04083353878,0.0,0.000542166280837,8.41550501115
CG12065,0.0,5.90470605419,0.000542166280837,8.41550501115
Msp300,10.1345611887,8.58202201397,0.00055308909204,8.58504888665
Fas2,9.00683020495,10.38823334,0.00055308909204,8.58504888665
RanGAP,5.90066359852,0.0,0.000634034528259,9.84148394764
DIP-delta,2.49496019022,0.0,0.000634034528259,9.84148394764
Ktl,5.49467334831,9.50296709392,0.000644725598377,10.007430738
CG33543,8.66499634921,9.92976768311,0.000676970721546,10.5079395398
Glut1,9.22726437723,10.148353769,0.000676970721546,10.5079395398
dpr1,5.81092498397,0.0,0.000717893223829,11.1431386203
CG43759,3.03219486795,0.0,0.000742842896261,11.5304074358
shep,10.6751637727,10.137558006,0.000826019728117,12.8214782198
P32,8.6787343811,7.15080761395,0.000995695028697,15.4551782354
cora,8.6429967788,6.79304635987,0.000995695028697,15.4551782354
CG12163,7.93032933269,9.88878477919,0.00100475242783,15.5957671848
CG42541,8.52654848492,6.42540280989,0.00100475242783,15.5957671848
lbk,2.17724814314,6.71263685436,0.00108243223757,16.8015131916
CG31950,4.88510089609,0.0,0.00112880308385,17.5212814675
Toll-6,10.4756182494,9.31637927593,0.00121836740449,18.9114988526
Ptp99A,7.83148327737,6.46347040121,0.00121836740449,18.9114988526
beat-Vc,6.57893150828,0.0,0.00126291265293,19.6029301988
cin,0.0,7.38799512461,0.00126291265293,19.6029301988
CR44978,6.21648497283,0.0,0.00132692743138,20.5965675898
NTPase,0.0,7.27695914599,0.00132692743138,20.5965675898
CG6094,6.40045241933,0.0,0.00136672541789,21.2143119366
CG1657,7.16186921952,0.0,0.00139888360254,21.7134712786
Start1,0.0,1.73630573866,0.00142779274305,22.1621989576
beat-VI,0.0,5.18391520883,0.00142779274305,22.1621989576
run,4.3352869231,0.0,0.00142779274305,22.1621989576
ome,0.0,1.09865015896,0.00142779274305,22.1621989576
slv,3.49613985306,0.0,0.00142779274305,22.1621989576
CG31475,0.0,6.26015319846,0.00142779274305,22.1621989576
GstD1,0.0,5.90189213011,0.00142779274305,22.1621989576
CR32111,2.78458754453,0.0,0.00142779274305,22.1621989576
CG33639,0.98140180606,0.0,0.00142779274305,22.1621989576
pxb,8.03513054302,9.52715355013,0.00146972308396,22.8130417092
CG34380,11.1043781653,9.90387327351,0.00147282307527,22.8611597743
Calr,10.0022709136,9.31478882243,0.00147282307527,22.8611597743
CG9813,7.58216941368,8.55322376884,0.00147282307527,22.8611597743
CG34347,0.0,5.63344919429,0.00153061881771,23.7582652885
mgl,4.03882250134,0.0,0.00171566764987,26.6305932612
Eno,9.4954224944,8.11519118772,0.00173908106987,26.9940163665
Mp,9.71268532073,7.71929155532,0.00177491931746,27.5502976456
Vha100-1,9.19849754036,10.1717142964,0.00177491931746,27.5502976456
beat-Vb,8.56322576944,1.82120571394,0.00190593953565,29.5839934724
unc-13-4A,2.96319839384,0.0,0.00194175002269,30.1398438521
stv,0.0,7.30764371009,0.00201257007866,31.239112761
CG3862,7.25231200257,0.0,0.00209647825016,32.541535399
apt,0.0,8.14683645886,0.00209647825016,32.541535399
Pdp1,6.93196832323,5.56653101547,0.00213238245702,33.0988404978
emc,7.95642218199,9.05316838861,0.00213238245702,33.0988404978
Prosap,6.23390837822,8.07298327862,0.00213238245702,33.0988404978
Cdk5alpha,6.90385429156,8.80089071845,0.00213238245702,33.0988404978
CG8677,7.72682442545,8.2330910863,0.00218053624123,33.8462835364
CG13760,4.51617108206,0.0,0.00237816800051,36.9139237038
CG7991,0.0,3.46207549922,0.00239300692391,37.1442534729
CG32700,0.0,4.2789183484,0.00249812865642,38.7759530049
Slob,5.29958283523,7.97723824673,0.00253472786605,39.3440459369
PAPLA1,0.0,6.561412301,0.0027480089233,42.6545945074
metl,6.64941373019,0.0,0.00278672611851,43.2555628115
CG32276,5.59318584788,7.81117881436,0.0030273744898,46.9909068306
Ten-m,8.16250161168,4.9372392992,0.0030273744898,46.9909068306
Gprk2,8.89874707826,7.20931900759,0.00304394018393,47.248039535
Rdl,10.5837909801,10.1381224094,0.00304947296561,47.3339193722
slgA,10.22940387,9.0545236217,0.00304947296561,47.3339193722
CG31676,10.0787727453,10.7420464313,0.00304947296561,47.3339193722
CG9005,0.0,3.8855216664,0.00309625179863,48.0600204183
CG1354,2.73440376614,8.54953115619,0.0031244049632,48.4970138387
CCKLR-17D3,7.9553138743,0.0,0.00319987388694,49.6684424731
Adk2,0.0,4.73487477413,0.00328417982783,50.9770392876
CG32698,0.0,5.92608721867,0.00328417982783,50.9770392876
CG13759,5.60909051273,0.0,0.00344965301637,53.54551412
otk,7.88262292403,0.0,0.00344965301637,53.54551412
CG11771,7.83980709931,0.0,0.00344965301637,53.54551412
Pa1,0.0,6.33653661578,0.00350254619339,54.3665220138
CG32815,5.29926816573,8.10418012115,0.00350437791695,54.3949540269
vvl,0.0,2.07478669968,0.00352705120034,54.7468887317
CG16753,0.68282706212,0.0,0.00352705120034,54.7468887317
CycJ,0.0,3.05236467852,0.00352705120034,54.7468887317
CG1275,0.544802487065,0.0,0.00352705120034,54.7468887317
CG14257,0.0,1.79220638535,0.00352705120034,54.7468887317
CG42313,2.15818789495,0.0,0.00352705120034,54.7468887317
CG10384,0.0,2.54344038382,0.00352705120034,54.7468887317
kay,0.0,0.493435645945,0.00352705120034,54.7468887317
Octbeta1R,0.637882030745,0.0,0.00352705120034,54.7468887317
cindr,3.72178767132,5.95055759374,0.00356688708755,55.3652213729
CG7433,8.98702992814,10.0300177075,0.0036299774941,56.3445106633
SdhB,9.22178844778,8.39666638758,0.0036299774941,56.3445106633
Sidpn,7.61618525669,0.0,0.00373444360938,57.9660337047
TyrR,0.0,3.71596722221,0.00373444360938,57.9660337047
Rgk3,5.2451222629,0.0,0.00398864969176,61.9118205154
Spec2,6.88728526319,0.0,0.00398864969176,61.9118205154
CG32576,2.8545413308,0.584272069455,0.00405851819082,62.9963193579
beat-Ib,0.0,6.43793344214,0.00415787213509,64.5384912809
beat-Va,7.32642572349,0.0,0.00415787213509,64.5384912809
CG5065,8.96259725704,7.10417596208,0.00427891027272,66.4172452531
cmpy,7.03613350353,8.70793034239,0.00427891027272,66.4172452531
mod(mdg4),7.58664129445,8.64219881331,0.00427891027272,66.4172452531
cpx,10.3827080887,9.71017475348,0.00430777905941,66.8653465602
Tet,8.2803149555,7.12304208582,0.00430777905941,66.8653465602
Rfabg,0.0,5.29736541499,0.00437130777888,67.8514393438
CG43740,2.4544233071,0.0,0.00447257634231,69.4233299853
dpr3,6.21619889781,0.0,0.00451760512169,70.1222666989
Fas3,7.04866623243,0.0,0.00478027785591,74.1994728795
CG42747,6.80255848006,0.0,0.00482617982151,74.9119631895
stas,0.0,7.84099973949,0.00482617982151,74.9119631895
CG17230,7.64816598358,2.41384043344,0.00493354571083,76.5784965235
SKIP,7.20900602073,8.81205943581,0.00508834087578,78.9812270738
RhoGAP100F,9.44413891752,7.90801922151,0.00509655249555,79.108687836
Ald,9.84554276616,10.5092443815,0.00509655249555,79.108687836
CG11505,7.8297295702,2.33435132255,0.00525425985974,81.5566215428
DIP-gamma,6.78033474719,0.0,0.0053005570512,82.2752465487
Ac78C,0.0,1.52989945136,0.00545841288083,84.7254847362
Jra,0.0,4.42096187913,0.00545841288083,84.7254847362
nsl1,7.60923154321,0.0,0.00586160832233,90.9838843792
CG14186,9.06949687566,5.90752127816,0.00591876009522,91.8709941979
Pxn,9.49677215153,8.23375745816,0.00597427122471,92.7326379499
A2bp1,9.02968465486,7.9297771124,0.00601141270381,93.3091479885
Ost48,9.48257045106,8.30198365975,0.00601141270381,93.3091479885
mam,7.85157743035,4.55409057667,0.00601141270381,93.3091479885
Miro,3.79891972385,7.99698374334,0.00649274409288,100.78037381
Snx6,0.0,7.30533269565,0.00653613018271,101.453812696
CG10433,3.1259023677,0.0,0.00663282670479,102.954736112
Noa36,5.1115475911,0.0,0.00663282670479,102.954736112
CG8223,0.0,4.84514645708,0.00674805680549,104.743337735
qm,0.0,6.67806396638,0.0067947678321,105.46838629
CG8301,5.36095582852,8.15027140803,0.00686066545951,106.491249262
trn,5.14733195804,0.78504696736,0.00692625716683,107.509363743
chinmo,8.16419641418,6.12910704661,0.00702709940089,109.074636901
CG4887,6.69515036093,8.41252129813,0.00705850305669,109.562084446
nAChRalpha6,8.1257623728,6.76632144175,0.00705850305669,109.562084446
CG18812,9.310118876,10.2052084696,0.00706898472796,109.724780947
kek1,7.63716069713,8.59156360121,0.00706898472796,109.724780947
CG32243,4.24247372328,8.14249449506,0.00727208916095,112.877367956
Plc21C,0.0,5.63892050044,0.00761334768996,118.174382844
Rca1,0.0,6.20211981041,0.00781736611063,121.341156769
CG13248,0.0,5.38533357279,0.00781736611063,121.341156769
CG14182,0.0,6.72932690714,0.00794171135451,123.271243645
CG13609,1.12333200835,0.0,0.00802528727053,124.568509013
SNRPG,4.64119074066,2.43930976105,0.0081700454027,126.815444741
CG13408,0.0,0.0,0.00823657790279,127.848162207
Elp2,0.0,0.0,0.00823657790279,127.848162207
Surf1,0.0,0.0,0.00823657790279,127.848162207
CR45018,0.0,0.0,0.00823657790279,127.848162207
CG11317,0.0,0.0,0.00823657790279,127.848162207
CR44717,0.0,0.0,0.00823657790279,127.848162207
Ir56c,0.0,0.0,0.00823657790279,127.848162207
CG43101,0.0,0.0,0.00823657790279,127.848162207
alpha-Est9,0.0,0.0,0.00823657790279,127.848162207
CG10492,0.0,0.0,0.00823657790279,127.848162207
Trax,0.0,0.0,0.00823657790279,127.848162207
CG15365,0.0,0.0,0.00823657790279,127.848162207
Hr39,0.0,0.0,0.00823657790279,127.848162207
CG11837,0.0,0.0,0.00823657790279,127.848162207
wake,0.0,0.0,0.00823657790279,127.848162207
CG14463,0.0,0.0,0.00823657790279,127.848162207
Cul5,0.0,0.0,0.00823657790279,127.848162207
Rab10,0.0,0.0,0.00823657790279,127.848162207
Nsun2,0.0,0.0,0.00823657790279,127.848162207
pyr,0.0,0.0,0.00823657790279,127.848162207
MED25,0.0,0.0,0.00823657790279,127.848162207
klu,0.0,0.0,0.00823657790279,127.848162207
Lig4,0.0,0.0,0.00823657790279,127.848162207
CG4610,0.0,0.0,0.00823657790279,127.848162207
Cad87A,0.0,0.0,0.00823657790279,127.848162207
CG11138,7.14753954555,5.018511249,0.00827568991394,128.455258844
mt:ATPase6,9.47886910424,8.69098311968,0.00828746337493,128.638006506
Syt1,9.68592137625,10.1850983459,0.00828746337493,128.638006506
Lmpt,7.59051073861,0.0,0.00896604537191,139.170956263
Ret,0.0,4.42109661379,0.00931456777471,144.580720999
Manf,5.12512695059,7.03883217595,0.00955525089186,148.316604343
nAChRalpha3,7.73134473169,5.16041025171,0.00955525089186,148.316604343
CG4577,4.43243067312,8.09766239418,0.00963401099964,149.539118736
Trs20,3.0346685327,0.0,0.00966848626792,150.074243851
DIP-theta,0.0,4.81456410152,0.00966848626792,150.074243851
sty,8.06820353302,5.31381029785,0.00967348688211,150.151863384
RpL12,7.75332000197,6.90596453134,0.0096866596658,150.356331332
sqd,9.04518103442,8.02381679121,0.0096866596658,150.356331332
CG10082,7.37101841752,8.92668969373,0.0096866596658,150.356331332
