symbol,medianA,medianB,pvalue,pvalue_adj
C15,8.69273658115,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.19729092593,5.13445780758e-06,0.0796970540892
dpr15,0.0,9.40585794642,5.13445780758e-06,0.0796970540892
CG30463,0.0,7.44691728669,9.33764556343e-06,0.144938934436
CG42339,0.0,9.43348360433,1.22446437935e-05,0.190061360963
CG30089,8.17271357413,0.0,1.22446437935e-05,0.190061360963
bru-3,8.08595691615,0.0,1.30214778044e-05,0.20211937848
CG42342,8.51566098224,10.4960459361,1.82210136462e-05,0.282826573817
Cow,7.82539824395,11.1662902615,1.82210136462e-05,0.282826573817
CG31760,0.0,7.24075426503,1.87923035691e-05,0.291694136
TrissinR,0.0,8.8039084318,1.87923035691e-05,0.291694136
CG32204,0.0,8.63831336461,1.87923035691e-05,0.291694136
Scp2,0.0,7.760224257,1.87923035691e-05,0.291694136
rdo,8.55272872687,0.0,2.02308250395e-05,0.314022866263
DIP-eta,0.0,9.94770224518,2.08338413307e-05,0.323382885135
Msp300,10.0792780415,8.19136677651,2.34743628248e-05,0.364369059766
nrv2,0.0,8.18420143479,3.12804076921e-05,0.485534488196
fru,0.0,10.4690978154,4.50342179868e-05,0.699021131592
nAChRalpha3,7.93826595265,4.14919107666,4.53579289172e-05,0.704045772652
hth,10.2852627646,11.1854190674,4.86728378236e-05,0.755499788697
CG31221,9.87347925987,3.2641838255,5.46570872633e-05,0.848387308501
caup,7.71830554721,0.0,5.78208106649e-05,0.897494623141
CG4629,6.77954526514,0.0,5.84228460578e-05,0.906839416509
twz,10.9121638061,7.70710871798,6.14635008328e-05,0.954036459927
lbk,2.6103127131,6.52262355733,6.14635008328e-05,0.954036459927
tsh,0.0,5.7637444204,6.2654363942e-05,0.972521037107
GV1,9.23456506577,0.0,6.27394017787e-05,0.973840994409
glob1,8.22257299305,0.0,6.27394017787e-05,0.973840994409
sano,8.34437609811,0.0,6.53070589699e-05,1.01369616933
Pde1c,0.0,6.9820524696,6.53782854001e-05,1.01480174598
CG31997,0.0,8.60492111228,0.000118369727248,1.83733490635
klg,5.37233004251,9.61669819925,0.000119311802124,1.85195779258
pros,11.935389009,10.9032223121,0.000154022352814,2.39073496038
CG2082,11.2731363065,6.66552985132,0.000189856989075,2.94696018442
Hsp70Bb,5.15964819816,7.06501222852,0.000191538245668,2.97305664926
Oct-TyrR,0.0,6.47858110748,0.000191695863289,2.97550318997
IP3K2,0.0,9.9455613567,0.000191695863289,2.97550318997
klu,0.0,4.06589236816,0.000191695863289,2.97550318997
CG34371,5.78781378046,0.0,0.000191695863289,2.97550318997
Dop1R2,5.75347290901,0.0,0.000191695863289,2.97550318997
PVRAP,7.30906599424,0.0,0.000191695863289,2.97550318997
CG9650,3.76948776286,0.0,0.000191695863289,2.97550318997
CG34380,11.1043781653,9.74332631791,0.000192101013517,2.98179193182
Ca-alpha1T,10.0337415801,1.47588389606,0.000193390407598,3.00180590674
CG45263,6.17028755399,0.0,0.000203467506621,3.15822263778
CG34356,8.21300508963,0.0,0.000203467506621,3.15822263778
acj6,6.84763273587,0.0,0.000208948864483,3.24330427451
CG10019,0.0,6.47428530427,0.000218386433084,3.38979421433
CG42784,1.13548223864,8.59030329869,0.000225527629852,3.50063987056
Ktl,3.5398243757,9.58466407042,0.000225527629852,3.50063987056
mCD8-GFP,10.3374634783,12.5572279821,0.000236135092723,3.66528890925
fred,0.0,6.47631444291,0.000245190061008,3.80584012697
CG13759,6.20810149366,0.0,0.000275036562097,4.26911751687
Rpi,4.3540788902,0.0,0.000401100451324,6.22588120545
DIP-delta,3.37827633974,0.0,0.000401100451324,6.22588120545
Cbp53E,0.0,7.87935824787,0.000468514203725,7.27227747022
Amph,0.0,6.57583100525,0.000505276606553,7.84290348691
AstA-R1,0.0,3.22421964557,0.000505276606553,7.84290348691
CG10384,0.0,8.34167375939,0.000505276606553,7.84290348691
rgn,5.08180338003,9.2241386908,0.000525874701383,8.16262711487
CG14257,0.0,6.40100739636,0.000542166280837,8.41550501115
CG10321,0.0,5.70501983677,0.000542166280837,8.41550501115
beat-VI,0.0,4.97648778096,0.000542166280837,8.41550501115
dpr1,5.9349373388,0.0,0.00054836409405,8.51170746785
CG33543,8.66499634921,9.87524816908,0.00055308909204,8.58504888665
CG42540,10.875884723,11.3939496089,0.00055308909204,8.58504888665
DIP-theta,0.0,5.71067625521,0.000595886334442,9.24934768321
CG7985,0.0,8.32454746211,0.000599404297285,9.30395350247
Plc21C,0.0,6.27317042837,0.000673809488881,10.4588708864
otk,7.90490369639,0.0,0.000741696486829,11.5126128686
Ac78C,0.0,3.11292670912,0.000792514928053,12.3014167132
Toll-6,10.4209304569,9.27290661167,0.000826019728117,12.8214782198
Sec61beta,6.42360597901,7.554539063,0.000826019728117,12.8214782198
Fas2,8.8465050383,10.2751394872,0.000826019728117,12.8214782198
Gprk2,8.87068775494,7.30852209642,0.00100475242783,15.5957671848
Argk,10.5289746084,9.38199377985,0.00100475242783,15.5957671848
CG4829,3.66068080447,9.12747251781,0.00107504485903,16.6868463018
Ent3,8.07772666755,0.0,0.00112871004054,17.5198372493
ATPsynB,10.0229787247,9.12717591381,0.00121836740449,18.9114988526
CG9588,0.0,5.83095900809,0.00126291265293,19.6029301988
Zip99C,7.34651810484,0.0,0.00126291265293,19.6029301988
CG13594,2.14339344314,9.44159517038,0.00130526710377,20.2603559847
sdt,0.0,5.6080990608,0.00135089837356,20.9686445544
mew,0.0,6.74741275637,0.00138410255674,21.4840398857
CG3744,0.0,4.16571152264,0.00139888360254,21.7134712786
CG43740,2.34352644936,0.0,0.00142779274305,22.1621989576
otk2,2.97141647267,0.0,0.00142779274305,22.1621989576
Gpdh,2.64130597487,0.0,0.00142779274305,22.1621989576
Gyc-89Db,2.97268509983,0.0,0.00142779274305,22.1621989576
CG31814,7.51358997459,0.0,0.00142779274305,22.1621989576
TkR86C,0.0,3.77098631872,0.00142779274305,22.1621989576
GstD1,0.0,3.95366612249,0.00142779274305,22.1621989576
ome,0.0,6.35202075012,0.00142779274305,22.1621989576
CG14762,11.1371212521,10.6154751843,0.00147282307527,22.8611597743
Ptp99A,7.90328096459,6.20502765049,0.00147282307527,22.8611597743
Ddr,7.36099728409,4.16234821411,0.00147282307527,22.8611597743
dpr6,9.44414419988,6.17844366951,0.0015028760232,23.3276416321
CG10089,0.0,5.93791920749,0.00151213077469,23.4712938847
CG31475,0.0,6.67032492724,0.00156917424068,24.3567225639
CG7991,0.0,6.72504956664,0.00156917424068,24.3567225639
Syx17,0.0,5.82549777594,0.00161732083694,25.1040540309
beat-Vb,8.56322576944,0.0,0.00166511987523,25.8459907033
CG13108,0.0,5.91507560576,0.00166511987523,25.8459907033
Con,10.1430262597,10.7785974622,0.00177491931746,27.5502976456
Hsp70Ab,4.95451348962,5.97291363168,0.00177491931746,27.5502976456
CG33639,2.08256976184,0.0,0.00194175002269,30.1398438521
unc-13-4A,2.96319839384,0.0,0.00194175002269,30.1398438521
CG6123,0.0,2.5581507471,0.00194175002269,30.1398438521
nAChRalpha2,8.67112744249,10.6559117968,0.0019423292965,30.1488353403
Mvl,0.0,7.59692243847,0.00196453706682,30.4935443511
nkd,5.41034903038,0.0,0.00201257007866,31.239112761
Lmpt,6.34526057396,0.0,0.00205903263078,31.960304495
spi,9.47542082191,7.94895878806,0.00212820989586,33.0340740036
CG42674,7.1037761112,8.02563536321,0.00213238245702,33.0988404978
Pli,8.04779568169,8.93181993025,0.00213238245702,33.0988404978
Hem,0.94516831564,8.74060984628,0.00216729483419,33.6407504163
Arpc4,7.32525013134,0.0,0.00221073834775,34.3150806338
Amun,0.0,1.94994170004,0.00228171554653,35.4167887132
Trim9,7.48644318944,0.0,0.00228171554653,35.4167887132
CG6179,2.7670361659,0.0,0.00239300692391,37.1442534729
CG43759,3.03219486795,0.0,0.00249812865642,38.7759530049
rdgC,6.30147173787,7.76801332113,0.00250604271143,38.8987949668
CrzR,0.0,5.97146965823,0.00252281894047,39.159195594
dpr3,6.47784480935,0.0,0.00252281894047,39.159195594
Tet,8.50995132885,6.38887029275,0.00254913889704,39.5677339598
Ssb-c31a,4.67109339821,6.53603362946,0.0025539527125,39.6424540034
Cdk5alpha,7.39004969493,8.34518858164,0.0025539527125,39.6424540034
CG12163,7.87692406918,9.05460862049,0.0025539527125,39.6424540034
CG42541,8.67270240498,6.76601837506,0.0025539527125,39.6424540034
CG43737,8.87709418101,7.18901610226,0.0025539527125,39.6424540034
sda,0.0,7.93784150491,0.0026641228572,41.3525149895
CR44978,6.4929577089,0.0,0.0026641228572,41.3525149895
heph,6.71385595587,0.0,0.00274804120397,42.6550955681
CG1902,8.15609302998,0.502180377475,0.00274804120397,42.6550955681
Pura,0.0,3.05661619461,0.0029371589306,45.5905809207
pcs,1.79802830539,5.95346187101,0.00299439011492,46.4789233637
Cda5,6.27627644659,8.27820498581,0.00304394018393,47.248039535
ATPsyndelta,9.1467034824,8.39838590609,0.00304947296561,47.3339193722
CCKLR-17D3,8.29747868136,0.0,0.00319987388694,49.6684424731
ebo,8.28349531324,0.0,0.00348497681177,54.0938100723
CG6959,0.68282706212,0.0,0.00352705120034,54.7468887317
CG4741,0.0,1.24940422952,0.00352705120034,54.7468887317
vvl,0.0,0.442116299256,0.00352705120034,54.7468887317
CG8414,1.5095263048,0.0,0.00352705120034,54.7468887317
Cad87A,0.463912480287,0.0,0.00352705120034,54.7468887317
run,1.60374710341,0.0,0.00352705120034,54.7468887317
CG1504,1.83515246778,0.0,0.00352705120034,54.7468887317
tkv,2.23046817659,0.0,0.00352705120034,54.7468887317
CDK2AP1,0.0,1.99015661604,0.00352705120034,54.7468887317
SKIP,7.01906195441,8.1389336373,0.00360467167913,55.9517138034
CG33143,6.15083455267,8.13556797074,0.0036299774941,56.3445106633
NitFhit,2.37594582386,0.0,0.00364894251992,56.6388857942
MsR1,0.0,7.50472040249,0.00364894251992,56.6388857942
dlp,0.0,5.73406836913,0.00364894251992,56.6388857942
beat-Va,7.19608731735,1.42335637608,0.00372253114903,57.7811284952
CHES-1-like,0.0,3.82767033477,0.00383068638571,59.4599140789
CG17078,0.0,7.25913168474,0.00398864969176,61.9118205154
CG11768,2.89590979049,0.0,0.0041336439511,64.162421409
Cul1,6.32283037081,8.64200224628,0.00416441879531,64.6401085409
lap,1.34225313253,6.65216275628,0.00416441879531,64.6401085409
grp,9.32738235222,6.46759242138,0.0042357913158,65.7479528038
dysc,9.57312622874,8.49546499521,0.00430777905941,66.8653465602
mge,9.04144965744,7.31112917109,0.00430777905941,66.8653465602
CCKLR-17D1,4.13413726173,0.0,0.00437130777888,67.8514393438
Vps60,3.8673257721,7.14108304281,0.00442139823196,68.6289433564
spir,5.31067098538,9.08731623835,0.00442139823196,68.6289433564
pit,5.54706701737,0.0,0.00447257634231,69.4233299853
Ocrl,0.0,5.41641664537,0.00451760512169,70.1222666989
Rpn5,7.96333089087,0.0,0.00457076610572,70.9474314929
me31B,7.16836645953,0.609317772125,0.00464668781242,72.1258882244
phtf,8.25428088269,0.0,0.00478027785591,74.1994728795
Spec2,6.88728526319,0.0,0.00478027785591,74.1994728795
CG14669,0.0,7.41722363683,0.00482617982151,74.9119631895
CG8036,8.18222914383,0.0,0.00494472589418,76.7520353295
dpr8,7.60711514613,5.37652071972,0.00506374462822,78.5994441192
rdgA,3.03181239929,7.39519233302,0.00509655249555,79.108687836
CG43729,10.0406117713,9.13972845035,0.00509655249555,79.108687836
Ten-a,7.67212080337,8.20254523233,0.00509655249555,79.108687836
aret,2.29445886252,0.0,0.00540745351568,83.9344934703
CG5500,0.0,4.6815777709,0.00544425276621,84.5056914371
tho2,4.16707313986,0.0,0.00544425276621,84.5056914371
Plp,1.01014206044,0.0,0.00545841288083,84.7254847362
CG6191,4.70655486803,2.8226583431,0.00582677971481,90.4432747333
Men,0.0,7.89004248073,0.00586160832233,90.9838843792
Octbeta3R,0.0,3.92762334236,0.00586160832233,90.9838843792
CG7785,7.37395773135,0.0,0.00587556329273,91.2004934297
nAChRalpha1,4.17196329112,8.47905433447,0.00597427122471,92.7326379499
Csp,6.47918119265,8.54772310256,0.00597427122471,92.7326379499
CG18815,9.24303643567,8.11843431907,0.00600211729593,93.1648646674
Spn,3.72224217476,8.0353064809,0.00601141270381,93.3091479885
SK,8.7219314787,7.57457763723,0.00601141270381,93.3091479885
Bsg,8.61054481563,7.67048468162,0.00601141270381,93.3091479885
Sema-2b,9.7528271587,8.43424074619,0.00601141270381,93.3091479885
kek4,0.0,7.67918306946,0.0064436900087,100.018956315
ttv,0.0,3.69161482286,0.0064649498014,100.348950817
CG13004,0.996397311315,4.16730659611,0.00649274409288,100.78037381
