symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.7563115571,5.13445780758e-06,0.0796970540892
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
caup,8.09032118602,0.0,5.13445780758e-06,0.0796970540892
acj6,7.68208541062,0.0,7.09569794446e-06,0.110139423494
fru,0.0,10.1564387883,9.15336830931e-06,0.142078582897
CG30463,0.0,7.71340201864,9.33764556343e-06,0.144938934436
CG42339,0.0,9.77876125242,9.33764556343e-06,0.144938934436
CG30089,8.17271357413,0.0,1.22446437935e-05,0.190061360963
bru-3,8.08595691615,0.0,1.46238770616e-05,0.22699181975
CG4629,6.77954526514,0.59609088829,1.59244638206e-05,0.247179527424
CG2082,11.4699284544,8.4829268887,1.80085268433e-05,0.279528353662
TrissinR,0.0,8.80745745163,1.87923035691e-05,0.291694136
CG7985,0.0,9.38445424692,2.61723833413e-05,0.406247734223
Cow,7.92746709109,11.0619420938,3.0028801484e-05,0.466107056635
CG32204,0.0,8.22271918512,3.03089062316e-05,0.470454842527
CG31221,9.87344636976,0.0,3.11543104412e-05,0.483577206668
DIP-eta,0.0,9.22952153523,4.50342179868e-05,0.699021131592
Plc21C,0.0,4.37974564762,4.50342179868e-05,0.699021131592
fred,0.0,5.98607393859,4.50342179868e-05,0.699021131592
twz,10.9121638061,7.40373842037,6.08385738294e-05,0.94433634298
hth,10.1786543382,11.4490235599,6.1672877202e-05,0.957286399929
Oct-TyrR,0.0,6.02299984098,6.2654363942e-05,0.972521037107
IP3K2,0.0,9.89132845454,6.2654363942e-05,0.972521037107
Fife,0.0,5.69415418668,6.2654363942e-05,0.972521037107
CG34371,5.91065788672,0.0,6.2654363942e-05,0.972521037107
sano,8.4584965588,0.0,9.38526806308e-05,1.45678130875
tnc,8.96215001057,10.1860748436,9.80807368533e-05,1.52240919744
rdo,8.55272872687,0.0,0.000102961253475,1.59816457644
CG34356,8.21300508963,0.0,0.00010544394443,1.63670090544
CG2201,0.0,6.3038124104,0.00011600356004,1.80060725894
CG12994,7.06801939489,4.54645761169,0.000149416648845,2.31924522337
klg,5.08050400933,9.13231406681,0.000181067514352,2.81052995777
Ca-alpha1T,10.0337415801,1.76112511756,0.000181067514352,2.81052995777
Amph,0.0,6.06320634389,0.000188639994557,2.92806999551
Ktl,6.13828075891,9.91814339419,0.000189856989075,2.94696018442
Ddr,8.05439513623,4.59835621769,0.000191538245668,2.97305664926
ome,0.0,8.29553309984,0.000191695863289,2.97550318997
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
tsh,0.0,5.08498546831,0.000191695863289,2.97550318997
PVRAP,7.30906599424,0.0,0.000191695863289,2.97550318997
Scp2,0.0,7.21344056698,0.000191695863289,2.97550318997
vvl,0.0,4.27580052932,0.000191695863289,2.97550318997
Msp300,10.0442542643,8.59719835145,0.000192101013517,2.98179193182
