symbol,medianA,medianB,pvalue,pvalue_adj
dpr15,0.0,8.25554020328,5.13445780758e-06,0.0796970540892
C15,8.84993493649,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.47168619974,5.13445780758e-06,0.0796970540892
CG30089,8.17271357413,0.0,5.13445780758e-06,0.0796970540892
CG10384,0.0,8.80196559631,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,9.87279712089,9.33764556343e-06,0.144938934436
CG42339,0.0,9.83779921774,1.22446437935e-05,0.190061360963
CG4629,6.77482148323,0.0,1.30214778044e-05,0.20211937848
caup,7.81468033968,0.0,1.60001094808e-05,0.248353699361
CG42342,8.2947575132,11.0128286641,1.82210136462e-05,0.282826573817
Oct-TyrR,0.0,8.20105413265,1.87923035691e-05,0.291694136
CG32204,0.0,8.20831986196,1.87923035691e-05,0.291694136
GV1,9.08246395788,0.0,1.87923035691e-05,0.291694136
CG7985,0.0,9.7160335854,2.02308250395e-05,0.314022866263
acj6,7.2472704089,0.0,2.08338413307e-05,0.323382885135
CG42784,1.13548223864,9.20721118273,2.2595776672e-05,0.350731645504
CG1402,5.98462685897,0.0,2.43019981857e-05,0.377215615839
CG33543,8.57069738937,10.2170445936,3.0028801484e-05,0.466107056635
CG30463,0.0,7.53432323113,3.03089062316e-05,0.470454842527
rdo,8.55272872687,0.0,3.12804076921e-05,0.485534488196
bru-3,8.08595691615,0.0,3.58926629413e-05,0.557125914175
Cow,7.73453756517,11.158947758,3.81539413546e-05,0.592225477705
CG31997,0.0,8.81013763827,4.01279246574e-05,0.622865646532
fru,0.0,10.0444813643,4.50342179868e-05,0.699021131592
CG8216,7.45967474418,0.0,5.07461880929e-05,0.787682331577
twz,10.9501559028,7.64871625008,6.08385738294e-05,0.94433634298
Fife,0.0,6.88530715527,6.2654363942e-05,0.972521037107
IP3K2,0.0,9.07448523251,6.2654363942e-05,0.972521037107
CG9650,3.76948776286,0.0,6.2654363942e-05,0.972521037107
SKIP,7.01906195441,8.90726750846,7.76409585271e-05,1.20514295826
Ac78C,0.0,3.19019866109,8.37425492817e-05,1.29985184995
fred,0.0,6.08919076482,9.43200352927e-05,1.46403558781
Toll-6,10.4209304569,8.30562610215,9.77664335981e-05,1.51753058231
CG34356,9.06727540848,0.0,0.000101473982004,1.57507914867
glob1,8.34404727375,0.0,0.000105103273193,1.6314130065
Ca-alpha1T,9.84169032124,0.0,0.00010544394443,1.63670090544
CG4829,3.66068080447,10.1175631423,0.000110207004978,1.71063313127
Ktl,2.89621696511,9.60821582965,0.000115606413363,1.79444274822
Cbp53E,0.0,7.4981713733,0.000119835656962,1.86008906736
Pde1c,0.0,7.5898819066,0.000128393684088,1.99292676441
tud,8.57942689643,0.820686376575,0.000138338286964,2.14728689026
mew,0.0,6.97625456847,0.000144239577964,2.23888672916
sdt,0.0,6.49308054979,0.000148803009366,2.30972031139
CG2082,11.2731363065,8.03758846788,0.000153557237674,2.38351544317
CG42540,10.7757470831,11.6198601379,0.000154022352814,2.39073496038
CG13004,0.996397311315,5.42932027037,0.000173095085209,2.68678191261
klg,5.20495837536,9.59614067766,0.000181067514352,2.81052995777
CG13760,4.87779663253,0.0,0.000191427754366,2.97134160328
tsh,0.0,7.1822274612,0.000191695863289,2.97550318997
CG31760,0.0,6.74817962154,0.000191695863289,2.97550318997
rdgA,2.63521864613,8.33377915379,0.000238162387247,3.69675657485
CG31221,9.87344636976,7.6174781641,0.000365740995907,5.67703173847
Cdk5alpha,6.90385429156,8.98122908653,0.000365740995907,5.67703173847
CG43759,3.03219486795,0.0,0.000380367227827,5.90406011033
DIP-theta,0.0,7.20982731073,0.000380367227827,5.90406011033
hdc,3.66684389042,0.0,0.000401100451324,6.22588120545
rgn,2.40822122772,9.56376093286,0.000410945679018,6.37869882972
CG14669,0.0,7.85367738972,0.000444828728981,6.90463153124
Sema-2b,9.81563832455,7.66571885561,0.00045046779818,6.99216116335
Pvr,0.0,3.8652640443,0.000476968848332,7.40351046381
beat-VI,0.0,3.53754099889,0.000542166280837,8.41550501115
Trim9,7.48644318944,0.0,0.000542166280837,8.41550501115
