symbol,medianA,medianB,pvalue,pvalue_adj
acj6,7.38102407875,0.0,5.13445780758e-06,0.0796970540892
CG30089,8.35207798351,0.0,7.09569794446e-06,0.110139423494
CG32204,0.0,8.54615117667,7.09569794446e-06,0.110139423494
C15,8.84993493649,0.0,7.09569794446e-06,0.110139423494
fred,0.0,4.890738577,9.33764556343e-06,0.144938934436
bru-3,8.08595691615,0.0,1.30214778044e-05,0.20211937848
DIP-eta,0.0,9.5062509226,1.60001094808e-05,0.248353699361
CG42784,0.98140180606,8.05330913369,1.69078033979e-05,0.262442924342
CG2082,11.4699284544,8.40885312075,1.82922767695e-05,0.283932720016
Fife,0.0,6.45065207466,1.87923035691e-05,0.291694136
TrissinR,0.0,8.44121773721,1.87923035691e-05,0.291694136
CG30463,0.0,8.10195001498,1.87923035691e-05,0.291694136
Scp2,0.0,8.42145225756,1.87923035691e-05,0.291694136
dpr15,0.0,9.20625232395,1.87923035691e-05,0.291694136
Cow,7.73453756517,11.2059559005,2.33853293559e-05,0.362987082263
CG7985,0.0,8.61818692362,3.12804076921e-05,0.485534488196
CG42342,8.2947575132,10.6879841747,3.81539413546e-05,0.592225477705
fru,0.0,9.93060727377,4.50342179868e-05,0.699021131592
GV1,9.12223126389,0.0,4.50342179868e-05,0.699021131592
caup,7.81468033968,0.0,4.50342179868e-05,0.699021131592
Fas2,8.66358705227,10.2463079388,4.86728378236e-05,0.755499788697
Msp300,10.0792780415,7.65074294693,4.86728378236e-05,0.755499788697
CG31221,9.96231460766,4.46968882253,6.14635008328e-05,0.954036459927
Oct-TyrR,0.0,7.99685738845,6.2654363942e-05,0.972521037107
sano,8.34437609811,0.0,6.27394017787e-05,0.973840994409
CG42339,0.0,9.81746344646,6.53070589699e-05,1.01369616933
Pde1c,0.0,6.48905829267,7.39782380629e-05,1.14829021121
twz,10.9501559028,4.70576127203,7.53563582746e-05,1.16968139314
heph,7.24178266871,0.0,9.38526806308e-05,1.45678130875
pros,11.935389009,10.9718655457,9.80807368533e-05,1.52240919744
glob1,8.34404727375,0.0,0.00010544394443,1.63670090544
klg,5.08050400933,9.50730650956,0.000115606413363,1.79444274822
hth,10.2852627646,11.0446962222,0.000123103116411,1.91080657294
Cbp53E,0.0,8.51206424653,0.000144239577964,2.23888672916
CG13004,2.54849433404,4.8644363225,0.000144911179874,2.249311334
mew,0.0,6.53817734697,0.000151723321511,2.3550493965
rdo,8.60114904599,0.0,0.000162360448308,2.52015887864
Hsp70Bb,5.27883318909,7.81544788898,0.000191538245668,2.97305664926
IP3K2,0.0,9.71301497085,0.000191695863289,2.97550318997
CR32111,5.45948972731,0.0,0.000191695863289,2.97550318997
CG31760,0.0,6.19051335549,0.000191695863289,2.97550318997
TkR86C,0.0,6.37855242279,0.000191695863289,2.97550318997
CG18812,9.23107946598,10.5788995689,0.000192101013517,2.98179193182
CG34356,9.31294993649,0.0,0.000208948864483,3.24330427451
mCD8-GFP,10.6655143813,13.1788874368,0.000236135092723,3.66528890925
CG13594,0.590241032335,9.17572273893,0.000252741572561,3.92305468928
sdt,0.0,5.86343070468,0.000260993147107,4.05113562939
CG31997,0.0,7.95568679608,0.000289872476541,4.49940058086
Con,10.1761411681,10.7006003776,0.000296021072947,4.59483909429
CG5554,8.11449398485,6.34575651379,0.000320322664125,4.97204839254
CG13759,6.22960115174,0.0,0.000324921862813,5.04343715458
Appl,9.51822907719,10.5564478876,0.000365740995907,5.67703173847
Ca-alpha1T,10.0337415801,2.0233465477,0.000369877481387,5.74123826609
DIP-theta,0.0,7.10021908968,0.000380367227827,5.90406011033
otk,8.3910297458,0.0,0.000440811233934,6.84227197312
