symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,0.0,9.8003801256,5.13445780758e-06,0.0796970540892
C15,8.77131678983,0.0,5.13445780758e-06,0.0796970540892
TrissinR,0.0,8.22179568751,5.13445780758e-06,0.0796970540892
acj6,6.84763273587,0.0,5.13445780758e-06,0.0796970540892
CG32204,0.0,8.06589997042,7.09569794446e-06,0.110139423494
CG30089,8.17271357413,0.0,7.09569794446e-06,0.110139423494
twz,10.9652160193,8.24585257618,1.80085268433e-05,0.279528353662
Cow,7.39994261754,11.4985622152,1.82210136462e-05,0.282826573817
dpr15,0.0,8.91098965182,1.87923035691e-05,0.291694136
CG42339,0.0,9.4375933566,1.87923035691e-05,0.291694136
klg,2.45656617109,9.83250828162,2.05109686014e-05,0.318371254631
Pde1c,0.0,6.4786109102,2.08338413307e-05,0.323382885135
Ca-alpha1T,10.0337415801,2.55656401362,2.9587322254e-05,0.459254416027
GV1,9.23456506577,0.0,3.03089062316e-05,0.470454842527
CCKLR-17D3,7.9553138743,0.0,3.03089062316e-05,0.470454842527
rgn,2.40822122772,9.39903749362,3.36991026146e-05,0.523077470784
Ktl,2.89621696511,9.48029394156,3.56123299774e-05,0.552774585909
CG30463,0.0,7.53483805903,3.92892831811e-05,0.609848253538
CG4629,6.76727647376,0.0,4.50342179868e-05,0.699021131592
sano,8.03628654743,0.0,4.50342179868e-05,0.699021131592
CG31221,10.0718164431,3.82826624141,5.9603053663e-05,0.925158598957
kay,0.0,6.04040392155,6.2654363942e-05,0.972521037107
Fife,0.0,6.58328373259,6.2654363942e-05,0.972521037107
CG7985,0.0,8.571665615,6.53782854001e-05,1.01480174598
fred,0.0,4.62608007705,7.39782380629e-05,1.14829021121
Fas2,9.00683020495,10.7231076036,7.78979465439e-05,1.20913192626
rdo,8.55272872687,0.0,9.0096108543e-05,1.3984717968
hth,10.3955077814,11.1266143569,9.80807368533e-05,1.52240919744
Cbp53E,0.0,7.91729015734,0.00011600356004,1.80060725894
fru,0.0,9.94806970455,0.00011600356004,1.80060725894
PVRAP,7.46183269046,0.0,0.00011600356004,1.80060725894
CG2082,11.377412366,8.55623059886,0.000119311802124,1.85195779258
CG44153,7.54842898032,4.8992643265,0.000152167966278,2.36195117257
bru-3,8.06053479073,2.24148257708,0.000152167966278,2.36195117257
pros,11.935389009,10.8399105126,0.000154022352814,2.39073496038
dpr6,9.44414419988,0.0,0.000166728382707,2.58795795638
DIP-theta,0.0,7.24705355586,0.000172783050115,2.68193850389
rdgC,6.30147173787,8.22359488644,0.000181067514352,2.81052995777
CG31760,0.0,7.04148976897,0.000191695863289,2.97550318997
Oct-TyrR,0.0,7.28013189133,0.000191695863289,2.97550318997
CG9650,3.1692531464,0.0,0.000191695863289,2.97550318997
CG34356,9.06727540848,1.5228155419,0.000225527629852,3.50063987056
Tpr2,9.68029323403,7.95195952097,0.000238840864478,3.70728789844
SdhB,9.30036739758,8.03909837329,0.000238840864478,3.70728789844
CG42342,8.66340603539,10.7215540036,0.000238840864478,3.70728789844
CG34371,6.31906021719,0.0,0.000239209057348,3.71300298815
CG42784,1.12168362891,8.0592846382,0.000240821116194,3.73802536556
sda,0.0,8.41366561615,0.000260993147107,4.05113562939
Msp300,10.0792780415,8.69564707579,0.000365740995907,5.67703173847
Lmpt,4.50029304467,0.0,0.000481941769935,7.48070015293
Ret,0.0,4.42109661379,0.000505276606553,7.84290348691
CG42313,5.56290887834,0.0,0.000542166280837,8.41550501115
ome,0.0,1.15041381885,0.000542166280837,8.41550501115
Gyc-89Db,3.87951619552,0.0,0.000542166280837,8.41550501115
GstD1,0.0,5.96962164833,0.000542166280837,8.41550501115
Trim9,5.9764999271,0.0,0.000542166280837,8.41550501115
CG31814,7.01167662261,0.0,0.000542166280837,8.41550501115
run,6.37104968005,0.0,0.000542166280837,8.41550501115
Scp2,0.0,6.31235206634,0.000542166280837,8.41550501115
klu,0.0,4.01640993737,0.000542166280837,8.41550501115
CG31997,0.0,7.50399653918,0.00054836409405,8.51170746785
CG13760,4.80548927667,0.0,0.00058095302954,9.01755292451
Ten-a,7.67212080337,8.58316388767,0.000676970721546,10.5079395398
mgl,4.22136202805,0.0,0.000717893223829,11.1431386203
Rpi,5.89295155085,0.0,0.000741696486829,11.5126128686
CG15435,6.96492271234,0.0,0.000741696486829,11.5126128686
pxb,8.04076149582,9.56343017623,0.000824088988833,12.7915092847
emc,7.95642218199,9.09176090539,0.000826019728117,12.8214782198
CG34380,11.2130048025,9.73750972528,0.000826019728117,12.8214782198
sdt,0.0,6.51177235228,0.000827498854029,12.8444372122
ND-MLRQ,6.96369103841,5.61070166218,0.00100475242783,15.5957671848
CG17078,0.0,7.93450576938,0.0010139646038,15.7387585801
CG13004,3.17583402423,4.89390260068,0.00102287859676,15.8771215789
DIP-delta,2.95960374256,0.0,0.00113640233548,17.6392370513
P32,8.6787343811,7.64045298862,0.00121836740449,18.9114988526
stv,0.0,7.54298521922,0.00137316776791,21.3143100934
CG12355,7.15960650701,0.0,0.00139888360254,21.7134712786
beat-VI,0.0,6.31567530944,0.00142779274305,22.1621989576
unc-13-4A,1.47121101361,0.0,0.00142779274305,22.1621989576
Amph,0.0,3.20818079125,0.00142779274305,22.1621989576
CG43740,2.34352644936,0.0,0.00142779274305,22.1621989576
tsh,0.0,7.05065397675,0.00142779274305,22.1621989576
Bsg,8.58359351251,7.67299803013,0.00147282307527,22.8611597743
nkd,5.41034903038,0.456766591668,0.00148723147035,23.0848068828
dpr13,0.0,6.38880758074,0.00150721646069,23.3950139029
CG13594,0.0,9.00804077404,0.00166511987523,25.8459907033
nrv2,0.0,7.04387099822,0.00171566764987,26.6305932612
Hsp70Bb,5.15964819816,7.44123506142,0.00176053230348,27.3269824146
wry,7.66986331875,4.76998078547,0.00177131609779,27.4943684699
COX8,8.87692461448,8.17569318022,0.00177491931746,27.5502976456
kek1,7.42760798124,8.53914711825,0.00177491931746,27.5502976456
RanGAP,4.3499810039,0.0,0.00194175002269,30.1398438521
Zip99C,6.64445831466,0.0,0.00194175002269,30.1398438521
dpr8,7.05803294622,3.70308327998,0.00204982228844,31.8173415611
CG33774,3.935901324,1.61452899846,0.00204982228844,31.8173415611
mCD8-GFP,10.5371982151,13.0160387282,0.00209086789089,32.4544514023
Appl,9.58321012583,10.3156336924,0.00213238245702,33.0988404978
CG18812,9.23107946598,10.2052084696,0.00213238245702,33.0988404978
CG14762,11.2498398131,10.2263189169,0.00213238245702,33.0988404978
fabp,9.13640524565,8.2096405538,0.00213238245702,33.0988404978
CG4829,7.70543826323,9.23496998102,0.00218053624123,33.8462835364
caup,7.81468033968,0.0,0.00221073834775,34.3150806338
beat-Vb,7.56278250749,0.0,0.00237647722609,36.8876795033
CG10019,0.0,6.22189057967,0.00237816800051,36.9139237038
gukh,9.04128009,3.13720890775,0.00245863997421,38.1630096797
CG6364,0.0,6.22626304529,0.00249812865642,38.7759530049
CG1657,7.16186921952,0.0,0.00255244743278,39.6190890516
CG42541,8.52654848492,6.80281445119,0.0025539527125,39.6424540034
Ptp99A,7.90328096459,6.5742152823,0.0025539527125,39.6424540034
CR44978,6.4929577089,0.0,0.00260376866526,40.4156972221
Lerp,0.0,6.75362186545,0.0027480089233,42.6545945074
CG8909,6.60740666315,0.79998606692,0.00274804120397,42.6550955681
CG9921,5.17169809721,0.0,0.00285052336252,44.245823633
CG6123,0.0,1.82192664234,0.0029371589306,45.5905809207
kek3,7.98666895459,4.85992213801,0.00293985221537,45.632386087
SKIP,5.98258145125,7.94499018117,0.0030273744898,46.9909068306
alc,6.27351049427,7.96208482551,0.00304394018393,47.248039535
CG12163,7.93873589306,9.72041503253,0.00304947296561,47.3339193722
Pura,0.0,3.67503591448,0.00309625179863,48.0600204183
trn,5.2778096802,0.50563591965,0.00311817639929,48.4003340699
inaE,2.82217714503,6.92147395417,0.0031244049632,48.4970138387
Pmp70,0.0,7.34055187735,0.00319987388694,49.6684424731
side,5.31130002684,3.79651310992,0.00326938483288,50.747391376
