symbol,medianA,medianB,pvalue,pvalue_adj
PVRAP,8.22135194736,0.0,5.13445780758e-06,0.0796970540892
CG33639,6.07311786345,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.68975672544,5.13445780758e-06,0.0796970540892
C15,9.28933239446,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.222369199,5.13445780758e-06,0.0796970540892
bru-3,6.43480546935,0.0,1.45213319843e-05,0.22540011506
apt,0.0,8.17060101617,1.55845526505e-05,0.24190342624
CG31997,2.26284957183,9.54671218004,1.59244638206e-05,0.247179527424
klg,4.40782189658,8.83965170505,1.69078033979e-05,0.262442924342
Cbp53E,2.36150993968,11.1991509388,1.75893739454e-05,0.27302226238
CG42339,0.0,9.27270918581,1.87923035691e-05,0.291694136
CG30089,6.24505335094,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.18395039676,1.87923035691e-05,0.291694136
twit,0.0,9.32372698649,1.88171500287e-05,0.292079802745
CG42342,5.81065754442,9.36691144971,2.31198016639e-05,0.358865561428
CG43729,10.8102622094,8.95681334506,2.34743628248e-05,0.364369059766
CG15537,10.6067577181,9.23178012143,2.34743628248e-05,0.364369059766
CG31221,9.36907760762,3.16862679413,2.89345043e-05,0.449121375744
nAChRalpha2,8.76903585246,10.7487645175,2.99179589652e-05,0.464386559058
CG7985,0.0,8.69958776583,3.03089062316e-05,0.470454842527
DIP-eta,0.0,8.61011951621,3.03089062316e-05,0.470454842527
Rbp9,7.06589021911,9.06019053753,3.82914473375e-05,0.594359845572
Cow,6.96409597628,10.1051584081,3.82914473375e-05,0.594359845572
nAChRalpha1,0.0,6.49754202607,4.58679335698e-05,0.711962064871
CG42541,7.48496346664,0.0,6.2654363942e-05,0.972521037107
caup,5.20062582919,0.0,6.2654363942e-05,0.972521037107
rdgC,5.86219157197,9.77220649309,7.53563582746e-05,1.16968139314
CG2082,12.148236455,9.37708251032,7.76409585271e-05,1.20514295826
Ktl,9.47784880132,11.1463156894,9.80807368533e-05,1.52240919744
rgn,8.42831618463,9.52851679103,0.000122720086651,1.904861185
CG14762,11.1122099044,8.95693956688,0.000123103116411,1.91080657294
ST6Gal,11.1597456003,10.0648334749,0.000154022352814,2.39073496038
CG1358,0.0,8.96018418644,0.000162360448308,2.52015887864
Ac76E,7.58512494718,0.46605788792,0.000173095085209,2.68678191261
fru,0.0,5.85288141664,0.000191695863289,2.97550318997
CG1537,0.0,4.48017080855,0.000191695863289,2.97550318997
acj6,4.90386617123,0.0,0.000191695863289,2.97550318997
CG31760,0.0,6.51173506633,0.000191695863289,2.97550318997
CG14400,0.0,2.055017005,0.000191695863289,2.97550318997
CG9896,0.0,7.89491392519,0.000191695863289,2.97550318997
CG42747,7.51467102748,0.0,0.000191695863289,2.97550318997
Ubqn,0.0,7.06271566268,0.00019433835008,3.01651986994
CG32225,8.51722562037,10.4290919566,0.000296021072947,4.59483909429
Ggamma30A,8.98081784376,4.50470662608,0.000361849544811,5.61662863455
nmo,9.58919545371,8.54137806669,0.000365740995907,5.67703173847
pros,10.3972307348,8.74826138776,0.000365740995907,5.67703173847
CG12730,0.0,7.3362690478,0.000476968848332,7.40351046381
Irk1,0.0,7.78609120431,0.000542166280837,8.41550501115
MsR1,0.0,6.06020321005,0.000542166280837,8.41550501115
IP3K2,0.0,6.66204357104,0.000542166280837,8.41550501115
dpr3,4.23296064547,0.0,0.000542166280837,8.41550501115
CG6959,3.15172984185,0.0,0.000542166280837,8.41550501115
hth,8.47230573794,10.3709828048,0.00055308909204,8.58504888665
jigr1,8.13559490806,0.0,0.000608105492195,9.43901344985
CG1402,7.03573965776,0.0,0.000614632174771,9.5403206168
Dscam4,8.82169759559,3.04677170479,0.000644725598377,10.007430738
ppl,0.0,6.91389066008,0.000742842896261,11.5304074358
Hsp67Bc,10.4698689002,7.76623643168,0.000806842561265,12.523810236
GluClalpha,7.42522226766,9.62851499856,0.000826019728117,12.8214782198
KdelR,0.0,6.9334708489,0.000917336707587,14.2389003752
CG7781,11.3596571125,11.8850055869,0.00100475242783,15.5957671848
Glut1,8.96529619343,10.0935030342,0.00121836740449,18.9114988526
Hsp70Bb,6.36590295228,7.27761416115,0.00121836740449,18.9114988526
Ccn,0.0,7.18673323173,0.00122388950565,18.9972129066
CG13288,0.0,7.10455001406,0.00126291265293,19.6029301988
GV1,7.51531738617,0.0,0.00126291265293,19.6029301988
CG42366,0.0,4.70465728289,0.00142779274305,22.1621989576
LRP1,1.97419568761,0.0,0.00142779274305,22.1621989576
CG31676,8.0862837495,10.6170134267,0.00146044673523,22.6690542243
CG31808,11.237962601,11.7536637803,0.00147282307527,22.8611597743
koi,0.0,7.72834091817,0.00151213077469,23.4712938847
Gr28b,7.01194451494,0.0,0.00156917424068,24.3567225639
CG6454,0.0,7.24730922965,0.00169115023202,26.2500339014
br,5.55975848386,0.0,0.00171566764987,26.6305932612
tsu,6.31195384837,0.0,0.001828432202,28.3809246395
CadN,7.71611695884,4.41364815024,0.00190761839086,29.610052663
CG15522,3.91490466462,0.0,0.00194175002269,30.1398438521
hdc,5.01708023517,0.0,0.00196453706682,30.4935443511
shot,1.71206497282,6.66860678459,0.00209086789089,32.4544514023
mod(mdg4),8.7703702669,4.80351017559,0.00211572035207,32.8402113049
CG13920,7.98747951983,8.83202477127,0.00213238245702,33.0988404978
CG7433,10.3545959095,11.0153596718,0.00213238245702,33.0988404978
beat-IIIb,8.01380269731,4.61410506381,0.00218053624123,33.8462835364
CG32264,6.06875926554,0.0,0.00226897640886,35.2190518183
Csk,0.0,6.65205506659,0.00237816800051,36.9139237038
CG9940,6.07121108258,0.0,0.00252281894047,39.159195594
CR40668,3.69115639609,3.20323328056,0.0025539527125,39.6424540034
CG7185,7.2423115108,0.0,0.00286910496103,44.534247205
CG2277,0.0,6.63297500065,0.00286910496103,44.534247205
lbk,0.0,4.74656076447,0.00286910496103,44.534247205
Mdh2,10.9223456799,11.2481984855,0.00304947296561,47.3339193722
CG3253,6.08090486573,0.0,0.00309625179863,48.0600204183
RpL34a,0.0,4.71694476966,0.00309625179863,48.0600204183
Ten-m,7.66274108481,0.0,0.00319987388694,49.6684424731
CG8031,6.65599573319,0.0,0.00348497681177,54.0938100723
CG40472,0.0,4.39603931445,0.00348497681177,54.0938100723
Sulf1,6.46092318123,0.0,0.00350254619339,54.3665220138
CG4447,0.437436304254,0.0,0.00352705120034,54.7468887317
fred,0.0,0.77511642336,0.00352705120034,54.7468887317
CG10863,1.77881340905,0.0,0.00352705120034,54.7468887317
CG5516,1.61159244265,0.0,0.00352705120034,54.7468887317
AstA-R1,0.466652846343,0.0,0.00352705120034,54.7468887317
CG8043,1.23601420103,0.0,0.00352705120034,54.7468887317
POSH,0.0,1.50300867527,0.00352705120034,54.7468887317
CG10214,0.936687223065,0.0,0.00352705120034,54.7468887317
rho-4,0.0,0.447673311176,0.00352705120034,54.7468887317
nkd,0.360385118726,0.0,0.00352705120034,54.7468887317
mCD8-GFP,12.1696168049,12.8218101487,0.0036299774941,56.3445106633
28SrRNA-Psi:CR45859,5.57714484008,4.43409415998,0.0036299774941,56.3445106633
Ih,9.67781682384,10.3188653429,0.0036299774941,56.3445106633
RpS28b,8.04037582851,7.18685407077,0.0036299774941,56.3445106633
CG13759,7.07831467652,0.0,0.00364894251992,56.6388857942
CG10543,0.0,1.47844367022,0.00364894251992,56.6388857942
l(3)j2D3,0.0,5.20253881089,0.00364894251992,56.6388857942
ara,4.4134096349,0.0,0.00364894251992,56.6388857942
CG10947,5.80295336213,0.0,0.00364894251992,56.6388857942
CG8243,6.57814905251,0.0,0.00374224898317,58.0871887168
DOR,7.15528201178,0.50759975632,0.00391260416836,60.7314419014
CG13999,8.09503229463,4.80371917603,0.00405851819082,62.9963193579
Taz,2.50240709777,7.8320764129,0.00405851819082,62.9963193579
betaCOP,0.0,8.33228139373,0.0041336439511,64.162421409
CG2246,9.5537736546,7.36221865868,0.00416441879531,64.6401085409
Eb1,8.70138433127,7.40197852303,0.00427891027272,66.4172452531
NTPase,0.0,7.3950489243,0.00437130777888,67.8514393438
CG11317,0.0,6.24087807425,0.00437130777888,67.8514393438
NnaD,0.0,1.25565601344,0.00447257634231,69.4233299853
p47,3.2395437858,0.0,0.00447257634231,69.4233299853
Teh4,6.11495810102,0.0,0.00447257634231,69.4233299853
Gos28,3.11341266263,0.0,0.00447257634231,69.4233299853
nuf,6.2419903127,0.0,0.00450661135093,69.9516213891
Ef1alpha48D,4.31702660067,8.26029215477,0.00464668781242,72.1258882244
RpII15,6.65501621175,0.0,0.00478027785591,74.1994728795
CG5068,0.0,7.57202319237,0.00482617982151,74.9119631895
CG5355,8.31268082931,0.0,0.00493654540271,76.6250577408
Glut4EF,8.02187589394,6.61405957971,0.00509655249555,79.108687836
shep,7.94237287346,9.13439572146,0.00509655249555,79.108687836
CG15111,0.0,7.07355612811,0.00540745351568,83.9344934703
CG8768,0.0,7.20270747794,0.00543592854447,84.3764828673
CG3726,6.95782847256,0.0,0.00544425276621,84.5056914371
PEK,4.4212289982,0.0,0.00545841288083,84.7254847362
or,0.0,1.57465322382,0.00545841288083,84.7254847362
Naam,0.0,2.88126857131,0.00545841288083,84.7254847362
CG10527,7.60577269906,8.63422773902,0.00552847790733,85.8130340775
Hsp70Ba,0.0,0.976812246475,0.00570910433234,88.6167174465
Qtzl,6.40636605816,0.0,0.00592082091217,91.9029821987
AnxB10,6.37286781374,8.34433780398,0.00597427122471,92.7326379499
CG45049,9.02912784851,8.24355218774,0.00601141270381,93.3091479885
heph,5.45721093317,0.0,0.0064649498014,100.348950817
CG15803,1.30539481886,0.0,0.0064649498014,100.348950817
CG34113,4.68793542132,0.0,0.00653613018271,101.453812696
CG12121,0.0,2.95767149159,0.00663282670479,102.954736112
Alr,5.92346026789,0.0,0.00696973433282,108.184216314
Cks85A,0.0,6.33951447408,0.00696973433282,108.184216314
sda,7.51960176936,8.52784219301,0.00705850305669,109.562084446
MRE16,7.77316030495,9.15449969538,0.00706898472796,109.724780947
Argk,12.0583869084,11.5545841365,0.00706898472796,109.724780947
Alg-2,0.0,7.38683095291,0.00761334768996,118.174382844
CG14669,0.0,6.10354676819,0.00761334768996,118.174382844
CG7927,0.0,4.4971281278,0.00770023265441,119.523011262
CTPsyn,6.29788328904,0.0,0.00781736611063,121.341156769
Mob3,5.46066478237,0.0,0.00781736611063,121.341156769
CG42673,5.07153315144,0.0,0.00802528727053,124.568509013
CG4829,9.01861874951,7.56124891153,0.00805333439793,125.003856525
hppy,0.445835460815,6.70161461177,0.00815814803603,126.630773815
CG43320,0.0,0.0,0.00823657790279,127.848162207
CR45409,0.0,0.0,0.00823657790279,127.848162207
CG44098,0.0,0.0,0.00823657790279,127.848162207
Dp1,0.0,0.0,0.00823657790279,127.848162207
CG42313,0.0,0.0,0.00823657790279,127.848162207
DIP-beta,0.0,0.0,0.00823657790279,127.848162207
caz,0.0,0.0,0.00823657790279,127.848162207
bif,0.0,0.0,0.00823657790279,127.848162207
l(1)G0004,0.0,0.0,0.00823657790279,127.848162207
prt,0.0,0.0,0.00823657790279,127.848162207
CG9641,0.0,0.0,0.00823657790279,127.848162207
foxo,0.0,0.0,0.00823657790279,127.848162207
sle,0.0,0.0,0.00823657790279,127.848162207
ab,0.0,0.0,0.00823657790279,127.848162207
CG4186,0.0,0.0,0.00823657790279,127.848162207
CG30463,0.0,0.0,0.00823657790279,127.848162207
18w,0.0,0.0,0.00823657790279,127.848162207
Rbbp5,0.0,0.0,0.00823657790279,127.848162207
CG34402,0.0,0.0,0.00823657790279,127.848162207
tsh,0.0,0.0,0.00823657790279,127.848162207
CG30271,0.0,0.0,0.00823657790279,127.848162207
stum,0.0,0.0,0.00823657790279,127.848162207
Fhos,0.0,0.0,0.00823657790279,127.848162207
CG30424,0.0,0.0,0.00823657790279,127.848162207
beat-IIa,0.0,0.0,0.00823657790279,127.848162207
CCAP-R,0.0,0.0,0.00823657790279,127.848162207
CG1407,0.0,0.0,0.00823657790279,127.848162207
CG13502,0.0,0.0,0.00823657790279,127.848162207
Cyp6u1,0.0,0.0,0.00823657790279,127.848162207
DIP-delta,0.0,0.0,0.00823657790279,127.848162207
Mgat1,0.0,0.0,0.00823657790279,127.848162207
CG8568,0.0,0.0,0.00823657790279,127.848162207
cdm,0.0,0.0,0.00823657790279,127.848162207
Dop2R,0.0,0.0,0.00823657790279,127.848162207
CG8202,0.0,0.0,0.00823657790279,127.848162207
CG4159,0.0,0.0,0.00823657790279,127.848162207
MED25,0.0,0.0,0.00823657790279,127.848162207
CG5846,0.0,0.0,0.00823657790279,127.848162207
aph-1,0.0,0.0,0.00823657790279,127.848162207
CG8641,0.0,0.0,0.00823657790279,127.848162207
CG18870,8.25117195511,0.0,0.00826542146736,128.295872016
CG33543,9.50450456624,10.2529777621,0.00827568991394,128.455258844
CG44774,6.73414528209,5.07474292753,0.00827568991394,128.455258844
dpr8,7.77316541851,6.12980711249,0.00828746337493,128.638006506
Vha36-1,10.205951712,9.72197618927,0.00828746337493,128.638006506
Den1,7.53003783348,3.36624570525,0.00860538725139,133.572820916
CG43066,0.917147508955,6.34562975494,0.0089600468541,139.077847269
Las,0.0,6.68389495791,0.00896604537191,139.170956263
ABCB7,6.75800037913,0.0,0.00922543868928,143.197259335
Hsp67Ba,0.0,4.516677316,0.00922543868928,143.197259335
CG31793,0.0,5.3798489824,0.00931456777471,144.580720999
DIP-theta,0.0,6.31946430136,0.00952535138118,147.852504139
wda,1.86108369486,0.0,0.00966848626792,150.074243851
CG32856,3.11653021939,0.0,0.00966848626792,150.074243851
CG6154,0.0,5.14495143495,0.00966848626792,150.074243851
drl,5.29056430627,0.0,0.00966848626792,150.074243851
CG33155,6.21476152901,5.44619725659,0.00967348688211,150.151863384
Msp300,8.03471152724,5.51152242322,0.00967348688211,150.151863384
ATPsynC,13.6209240231,13.8596966978,0.0096866596658,150.356331332
sesB,12.0909864686,12.5236438231,0.0096866596658,150.356331332
GIIIspla2,0.0,7.56986405693,0.00970929361144,150.707655437
CG34362,5.9044076033,0.0,0.00970929361144,150.707655437
dpr18,7.1907932288,0.0,0.00971815874941,150.845260108
CG10286,3.81367374408,0.0,0.00974606052132,151.278351412
CG2126,2.24216874022,0.0,0.00974606052132,151.278351412
CR45312,0.0,2.86717581848,0.00974606052132,151.278351412
CG5114,0.0,2.38564604493,0.00974606052132,151.278351412
CG31826,0.0,2.77455338753,0.00974606052132,151.278351412
dpr6,3.45878396798,0.0,0.00974606052132,151.278351412
mt:ND3,0.0,0.49070665653,0.00974606052132,151.278351412
CG42709,5.2048724929,7.7645161155,0.00997795713259,154.877850612
GstZ2,8.19066589629,3.19811602729,0.010080054078,156.462599399
Hrb98DE,8.6305103291,7.59178711341,0.0103218557634,160.215845159
Cnx99A,9.60305322373,8.72155815244,0.0104467546048,162.154524976
RnpS1,0.0,7.28401563448,0.010524821166,163.366274139
CG13293,7.09237252121,2.68391756788,0.010995767115,170.676297159
oaf,5.60154272096,0.0,0.011008781754,170.878310386
mRpS34,0.0,6.01079728947,0.011008781754,170.878310386
beat-Ic,0.0,4.59149047199,0.0110568859277,171.62498337
CalpB,0.0,3.96189962309,0.0110568859277,171.62498337
CG10561,0.0,2.98183200076,0.0110568859277,171.62498337
CG3337,0.516342110665,6.12142344767,0.0112105614883,174.010335422
CR18854,6.30536798038,8.0216380061,0.0112293518472,174.301999373
CG13868,8.02386909802,5.63486816776,0.0112293518472,174.301999373
IA-2,10.5864579517,11.0702588392,0.0112880312616,175.212821242
CG9034,6.31220153317,7.49570535841,0.0112880312616,175.212821242
Hsp26,9.25059817249,9.96280630132,0.0112880312616,175.212821242
unc-13,8.37791061455,7.85107775572,0.0112880312616,175.212821242
cpx,8.8374193712,9.61209273848,0.0112880312616,175.212821242
bonsai,0.0,7.54218717662,0.0114025301101,176.990072369
Tusp,0.466652846343,8.08192545919,0.0117705980311,182.703222638
CG11755,0.70779613488,0.0,0.011783775848,182.907768713
CG31636,0.719318733165,0.0,0.011783775848,182.907768713
Rab6,2.65388889368,7.65139070381,0.0122129533629,189.569462099
CG10565,7.92659426746,6.78175854364,0.0127900973043,198.527890357
Adf1,5.69848078897,7.93612883245,0.0127900973043,198.527890357
Rab27,7.35758033568,8.95920644234,0.0129520479039,201.041687564
beat-Ia,6.65373371352,8.23443902466,0.0130495525571,202.555154792
phyl,0.0,8.39037233669,0.0130791275405,203.014217684
CG42240,0.0,6.55908287908,0.013084786887,203.10206206
Fnta,5.71954954911,0.0,0.013084786887,203.10206206
CG6329,9.74517361504,10.1495675847,0.0131146939174,203.566278986
CG5214,9.88542016276,10.7895865138,0.0131146939174,203.566278986
Appl,7.61438109478,8.552398661,0.0131146939174,203.566278986
CR41535,4.94668556056,4.57742440269,0.0131146939174,203.566278986
CG1090,8.37220163112,9.08168084643,0.0131146939174,203.566278986
CG30394,0.0,5.95682607421,0.0131707186202,204.435894423
alpha-Man-IIb,3.15552041134,0.0,0.0131707186202,204.435894423
CG14671,0.0,6.5975896318,0.013304503679,206.512506106
Sec23,8.12827594199,0.0,0.0133466716311,207.167037058
RNaseX25,7.49967430987,0.75113214052,0.013701930013,212.681357662
Fic,0.0,0.993203991285,0.0141814401924,220.124314667
CG4025,0.0,1.62340751163,0.0141814401924,220.124314667
Rfabg,0.0,0.786443523285,0.0141814401924,220.124314667
msl-3,0.360385118726,0.0,0.0141814401924,220.124314667
CG31098,0.0,1.41940100658,0.0141814401924,220.124314667
Ced-12,0.0,1.14603667957,0.0141814401924,220.124314667
CG14903,0.9493827651,5.60342270904,0.0141929274703,220.302620194
CG18659,0.0,7.15194348071,0.0142000564574,220.413276333
CG7878,0.0,7.9357454879,0.0142000564574,220.413276333
Efa6,0.0,4.49560591007,0.0143623615826,222.932576485
beat-Ib,3.76308770988,7.28164685718,0.0145648344267,226.075359971
Pxn,1.46968562592,7.76425775836,0.0145648344267,226.075359971
Rpt1,7.12983827307,8.7993731364,0.0145648344267,226.075359971
Ca-alpha1T,7.22339796507,1.95132119415,0.0145648344267,226.075359971
kek4,8.75085735544,6.80608222846,0.0148323523275,230.227772827
prtp,8.12894629569,4.90798392321,0.0148323523275,230.227772827
Hsepi,0.0,6.3965879123,0.0149637184723,232.266838127
CG43737,8.00385811748,5.28201598091,0.0150115469035,233.009231036
CanA-14F,4.60457394674,6.55848493319,0.0151193855559,234.683102598
CG5554,7.33800569711,7.82220753795,0.0151193855559,234.683102598
Pur-alpha,8.66338955182,9.23530786126,0.0151914109883,235.80108136
Mpcp,9.40178341566,10.3934927748,0.0151914109883,235.80108136
CG11000,9.56512585576,8.50928076372,0.0151914109883,235.80108136
HIP-R,6.4153786897,5.40601039874,0.0151914109883,235.80108136
Mob2,8.58690425878,9.82890332357,0.0151914109883,235.80108136
RpL17,8.10270791151,7.21766854881,0.0151914109883,235.80108136
CG3420,6.30093852953,0.0,0.0152110271534,236.105563475
capu,0.0,5.15248503038,0.0154079350585,239.161967977
cag,5.57984174557,0.0,0.015490861509,240.449152343
CSN4,3.68560365853,0.0,0.015490861509,240.449152343
Vps52,0.0,2.964808654,0.015490861509,240.449152343
