symbol,medianA,medianB,pvalue,pvalue_adj
C15,9.7077644517,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.0294760448,5.13445780758e-06,0.0796970540892
CG30089,6.39130819487,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.190154474,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.36014792441,5.13445780758e-06,0.0796970540892
bru-3,7.31269789558,0.0,1.55845526505e-05,0.24190342624
Cbp53E,3.48703265702,11.0255848199,1.69078033979e-05,0.262442924342
nAChRalpha2,9.02407329862,10.8091057856,1.82210136462e-05,0.282826573817
CG43729,10.9411764105,8.93110894899,1.82922767695e-05,0.283932720016
acj6,4.84764081058,0.0,1.87923035691e-05,0.291694136
CG2082,12.1222702792,9.55334380263,2.33853293559e-05,0.362987082263
klg,5.23224180291,9.29985722808,2.89345043e-05,0.449121375744
rdgC,5.69907777807,9.85540691844,2.89345043e-05,0.449121375744
CG42541,7.75535909366,0.0,3.03089062316e-05,0.470454842527
CG33639,5.35617780707,0.0,3.03089062316e-05,0.470454842527
CG14762,11.3124659893,9.14736762469,3.82914473375e-05,0.594359845572
apt,0.0,8.1964840732,3.92892831811e-05,0.609848253538
CG7985,0.0,8.8386795049,3.92892831811e-05,0.609848253538
CG31221,9.3648830453,1.91316252932,5.9603053663e-05,0.925158598957
CG15537,10.8671420727,9.61788201118,6.1672877202e-05,0.957286399929
CG42747,8.07181597162,0.0,6.2654363942e-05,0.972521037107
fru,0.0,5.62241803684,6.2654363942e-05,0.972521037107
CG42339,0.0,9.1450123547,6.53070589699e-05,1.01369616933
CG1402,6.10971602242,0.0,8.30327653547e-05,1.28883458384
dpr15,0.0,8.6969193274,0.00011600356004,1.80060725894
Irk1,0.0,7.54672171921,0.000148206009967,2.30045368671
beat-IIIb,8.19013575124,3.87889967136,0.000149416648845,2.31924522337
Argk,12.128755282,11.3998162697,0.000154022352814,2.39073496038
nAChRalpha1,0.0,5.66801141734,0.000166728382707,2.58795795638
rdgA,6.293389766,2.21546748231,0.000181067514352,2.81052995777
DIP-eta,0.0,8.91595368874,0.000191695863289,2.97550318997
CG9896,0.0,7.49275224548,0.000191695863289,2.97550318997
CCKLR-17D3,7.97175630213,0.0,0.000191695863289,2.97550318997
CG42342,6.001676529,9.60778515098,0.000208158797579,3.23104085602
Sulf1,6.91363609551,0.0,0.000301562738535,4.68085682754
twit,0.0,9.42818215242,0.000308239766457,4.78449765495
eIF-4B,5.47571012053,3.68724975915,0.000356065705973,5.52685188811
plum,5.71490975017,0.0,0.000386116522864,5.99330066789
CG31676,9.44598671367,10.7782169266,0.000449304376389,6.9741025303
Cow,7.10380265637,9.32054486115,0.00045046779818,6.99216116335
ATPsynC,13.5723458156,13.9705992747,0.00045046779818,6.99216116335
Ac76E,7.33613569962,0.0,0.000481941769935,7.48070015293
CG31997,7.16390804802,9.3320306401,0.00053936770472,8.37206551266
beta3GalTII,6.854532028,0.0,0.000542166280837,8.41550501115
CG31760,0.0,6.14772337556,0.000542166280837,8.41550501115
dpr3,5.62315641612,0.0,0.000542166280837,8.41550501115
CG9467,5.35318146953,0.0,0.000542166280837,8.41550501115
rgn,7.83028362747,9.52527452955,0.000551706634864,8.56359038637
Eip93F,4.18430281368,0.0,0.00058095302954,9.01755292451
br,6.67128073662,0.0,0.000599404297285,9.30395350247
tinc,6.55615286427,0.0,0.000634034528259,9.84148394764
CG31808,11.3590841414,12.0691687262,0.000676970721546,10.5079395398
VhaM8.9,10.4759591426,9.39718998348,0.000676970721546,10.5079395398
CG7433,10.3643692094,11.1086099685,0.000676970721546,10.5079395398
ND-15,8.61177424645,9.3136027673,0.000676970721546,10.5079395398
DCTN4-p62,7.99729561067,0.0,0.000741696486829,11.5126128686
TyrRS,6.80476455882,0.0,0.000919774599492,14.2767413333
TFAM,0.0,4.42780190451,0.000986770339198,15.316649205
ST6Gal,10.7938441415,9.77686391074,0.00100475242783,15.5957671848
Ktl,9.74855960444,10.9584524428,0.00100475242783,15.5957671848
CG1358,4.18478740073,9.07333968323,0.00102287859676,15.8771215789
Stat92E,6.34444124466,0.0,0.00111189349193,17.2588107817
CG44153,6.48231183472,0.0,0.00112099897716,17.4001461234
CG13654,7.90766163354,0.0,0.00112099897716,17.4001461234
Pka-C1,8.50215901397,3.55557468953,0.00112748770879,17.5008642158
dpr8,7.47489890904,3.63221391454,0.00116590237631,18.0971366851
GV1,7.34807954072,0.0,0.00126291265293,19.6029301988
Atg12,3.61326975183,0.0,0.00126291265293,19.6029301988
CG9940,5.4977133489,0.0,0.00126291265293,19.6029301988
caup,6.98174897854,0.0,0.00126291265293,19.6029301988
CG32700,0.0,8.46606511193,0.00137316776791,21.3143100934
Gr28b,7.30912979312,0.0,0.00142779274305,22.1621989576
CG13707,6.12198742246,0.0,0.00142779274305,22.1621989576
CG17233,3.6948329823,0.0,0.00142779274305,22.1621989576
CG6959,1.63109589744,0.0,0.00142779274305,22.1621989576
DIP-delta,2.00207686166,0.0,0.00142779274305,22.1621989576
DCTN3-p24,6.43829150831,0.0,0.00142779274305,22.1621989576
CG14400,0.0,1.25114004002,0.00142779274305,22.1621989576
Gbeta13F,10.7622619072,9.98252841095,0.00147282307527,22.8611597743
hth,9.04668315255,10.5956114609,0.00147282307527,22.8611597743
Syn2,6.13235689418,2.8500958582,0.00157976558932,24.5211214775
beat-Ia,6.32604528423,8.80851239931,0.00158420443385,24.5900212222
CG1578,7.77006335269,0.0,0.00169115023202,26.2500339014
CSN4,7.55810452063,0.0,0.00169115023202,26.2500339014
heph,6.47390650789,0.0,0.00169115023202,26.2500339014
Mp,7.69732066604,1.95763066408,0.00170367355559,26.4444209299
pros,10.0807246018,9.12185645065,0.00177491931746,27.5502976456
CG5116,1.48878619822,0.0,0.00194175002269,30.1398438521
CG16817,8.25570026212,4.65822796398,0.00204982228844,31.8173415611
ref(2)P,9.05762101347,7.23272119453,0.00204982228844,31.8173415611
hdc,4.81509477039,0.0,0.00209647825016,32.541535399
CG12025,8.99524673463,7.26251283505,0.00212820989586,33.0340740036
dpr18,7.92980809323,0.0,0.00242461696602,37.6349045466
ICA69,8.6534837102,0.0,0.00242461696602,37.6349045466
Ggamma30A,8.74571932391,3.21261742036,0.00245863997421,38.1630096797
CG34362,6.56139354945,0.0,0.00249812865642,38.7759530049
Sidpn,7.1442978285,0.0,0.00252281894047,39.159195594
CG15202,6.25468078107,0.0,0.00255244743278,39.6190890516
sesB,12.0909864686,12.5836475353,0.0025539527125,39.6424540034
DIP-theta,0.0,7.08758673208,0.0027480089233,42.6545945074
RnpS1,0.0,7.28061806593,0.00302023299658,46.8800565729
Ten-a,6.92838891629,5.70443516417,0.00304394018393,47.248039535
shi,10.9847386814,10.1715951569,0.00304947296561,47.3339193722
app,4.07065942936,0.0,0.00307529397712,47.7347131128
CG31961,0.0,7.6230723001,0.00307529397712,47.7347131128
CG13293,7.18744653984,1.87750367691,0.0031244049632,48.4970138387
CG7183,4.59859705974,0.0,0.00344965301637,53.54551412
Socs44A,8.80024017548,7.38498024052,0.00350437791695,54.3949540269
run,2.22846107373,0.0,0.00352705120034,54.7468887317
MED24,1.78279858387,0.0,0.00352705120034,54.7468887317
CG8641,2.28888742989,0.0,0.00352705120034,54.7468887317
Dop1R2,0.437436304254,0.0,0.00352705120034,54.7468887317
Edc3,2.00895668253,0.0,0.00352705120034,54.7468887317
CG32006,0.0,2.91515740342,0.00352705120034,54.7468887317
CG32204,0.0,3.11323282907,0.00352705120034,54.7468887317
CG2162,0.0,1.7573643487,0.00352705120034,54.7468887317
A16,0.421643145623,0.0,0.00352705120034,54.7468887317
tsh,0.0,0.80259656961,0.00352705120034,54.7468887317
CG42265,0.53159905215,0.0,0.00352705120034,54.7468887317
LIMK1,1.47761109945,0.0,0.00352705120034,54.7468887317
oxt,4.07211745739,0.0,0.00352705120034,54.7468887317
ara,2.01794343933,0.0,0.00352705120034,54.7468887317
CG30271,0.0,1.44469145025,0.00352705120034,54.7468887317
Drl-2,0.0,1.095778092,0.00352705120034,54.7468887317
Pde1c,0.0,3.67180358438,0.00359044554028,55.7308956763
CG33090,9.47011794767,7.78579126834,0.00362364234065,56.2461764115
Msp300,8.3356026234,6.37544431052,0.0036299774941,56.3445106633
prt,4.49225373307,0.0,0.00364894251992,56.6388857942
Apc,4.01038642789,0.0,0.00364894251992,56.6388857942
dpr6,7.11413804792,0.0,0.00364894251992,56.6388857942
trn,5.60283421697,0.0,0.00373444360938,57.9660337047
CG4768,7.17540157287,0.0,0.00383068638571,59.4599140789
loco,2.8995293848,0.0,0.00383068638571,59.4599140789
CG43737,8.41844251557,2.73903039785,0.00405851819082,62.9963193579
tai,5.95142450215,0.0,0.0041336439511,64.162421409
CG31688,4.49588247369,0.0,0.0041336439511,64.162421409
tay,5.24559490123,0.0,0.0041336439511,64.162421409
CG14182,6.13406593513,0.0,0.0041336439511,64.162421409
CG14024,9.16231537437,7.92362361753,0.00427891027272,66.4172452531
kek1,6.23365863075,7.65698577981,0.00430777905941,66.8653465602
Fur2,5.33046194738,0.0,0.00442947100501,68.7542489398
CG1537,0.0,2.34914949567,0.00447257634231,69.4233299853
Dhap-at,6.33975949464,0.0,0.00451760512169,70.1222666989
CG9601,5.33225466486,0.0,0.00451760512169,70.1222666989
scrt,7.83182963047,4.67570949493,0.00461059787865,71.5657002724
Cirl,7.79964011941,5.34014832496,0.00461059787865,71.5657002724
Aps,0.0,7.58197371844,0.00478027785591,74.1994728795
VhaM9.7-b,6.47651584988,3.50848413526,0.00493354571083,76.5784965235
AP-2mu,7.0255807039,5.36713763908,0.00501472614484,77.8385792202
CG16758,8.94467873659,10.3851535219,0.00506374462822,78.5994441192
AnxB10,7.05396599662,8.59385031726,0.00506374462822,78.5994441192
prominin-like,9.80776292262,7.99696364858,0.00509655249555,79.108687836
Bacc,9.89876588115,9.19512527326,0.00509655249555,79.108687836
CG5938,7.32325568116,9.4453420344,0.00509655249555,79.108687836
tup,2.10443589399,7.46732260753,0.00525425985974,81.5566215428
tna,5.99253982756,0.76636494299,0.00525425985974,81.5566215428
4E-T,5.49504350372,0.0,0.00540745351568,83.9344934703
BTBD9,5.90419691927,0.0,0.00544425276621,84.5056914371
CG4406,5.51170720486,0.0,0.00545841288083,84.7254847362
CG4502,8.34971707139,4.91523572037,0.00569007744509,88.3213821027
GAPcenA,6.90995212575,0.0,0.00571579258186,88.7205324556
Hrb98DE,8.85733818397,7.82786536226,0.00597427122471,92.7326379499
vig2,6.9402357764,8.07622094597,0.00597427122471,92.7326379499
Rbp9,7.74962762388,8.83889672401,0.00601141270381,93.3091479885
ctrip,1.01258359666,0.0,0.00640153135102,99.3645696306
mew,0.0,4.00955923168,0.0064649498014,100.348950817
mam,4.12587376887,0.0,0.00653613018271,101.453812696
CR45409,2.65129632511,0.0,0.00663282670479,102.954736112
LeuRS-m,0.0,3.43995147316,0.00663282670479,102.954736112
CG15514,4.41074455442,0.0,0.00663282670479,102.954736112
CG7564,0.0,6.57286460879,0.0067947678321,105.46838629
mAChR-A,7.30733992075,0.0,0.00692625716683,107.509363743
Paip2,6.9643655645,0.0,0.00700700427144,108.762720301
nolo,9.1597170463,3.90316608848,0.00705850305669,109.562084446
COX7A,10.1771407593,10.6697155955,0.00706898472796,109.724780947
Cngl,8.6681675771,7.8175046586,0.00706898472796,109.724780947
eca,5.0608978309,6.1576508793,0.00727208916095,112.877367956
mRpL45,7.38542144236,1.7573643487,0.00732347214775,113.674934677
p47,6.7878163661,0.0,0.00770143730756,119.541709888
TfIIA-L,6.22235920585,0.0,0.00770143730756,119.541709888
Cul4,0.0,1.70560661265,0.00781736611063,121.341156769
CG7518,6.28367086306,0.0,0.00805893116142,125.090729488
glob1,7.47276910931,2.13609067962,0.00815814803603,126.630773815
Dsp1,5.50004579419,2.03221041399,0.0081700454027,126.815444741
IP3K2,0.0,0.0,0.00823657790279,127.848162207
MetRS-m,0.0,0.0,0.00823657790279,127.848162207
CG14857,0.0,0.0,0.00823657790279,127.848162207
18w,0.0,0.0,0.00823657790279,127.848162207
CG11560,0.0,0.0,0.00823657790279,127.848162207
CG42534,0.0,0.0,0.00823657790279,127.848162207
CR43826,0.0,0.0,0.00823657790279,127.848162207
CG10863,0.0,0.0,0.00823657790279,127.848162207
CG34167,0.0,0.0,0.00823657790279,127.848162207
sn,0.0,0.0,0.00823657790279,127.848162207
Liprin-alpha,0.0,0.0,0.00823657790279,127.848162207
mip120,0.0,0.0,0.00823657790279,127.848162207
CG11539,0.0,0.0,0.00823657790279,127.848162207
CG4186,0.0,0.0,0.00823657790279,127.848162207
CG5382,0.0,0.0,0.00823657790279,127.848162207
CG42366,0.0,0.0,0.00823657790279,127.848162207
CG33288,0.0,0.0,0.00823657790279,127.848162207
lilli,0.0,0.0,0.00823657790279,127.848162207
wap,0.0,0.0,0.00823657790279,127.848162207
CG30463,0.0,0.0,0.00823657790279,127.848162207
klar,0.0,0.0,0.00823657790279,127.848162207
CG15160,0.0,0.0,0.00823657790279,127.848162207
CG13018,0.0,0.0,0.00823657790279,127.848162207
CG11360,0.0,0.0,0.00823657790279,127.848162207
Cyp6a17,0.0,0.0,0.00823657790279,127.848162207
Fic,0.0,0.0,0.00823657790279,127.848162207
CG18094,0.0,0.0,0.00823657790279,127.848162207
Abi,0.0,0.0,0.00823657790279,127.848162207
CG18769,6.66125270278,2.91094720316,0.00824041168623,127.907670194
CG31142,2.96716181445,0.0,0.00826542146736,128.295872016
nmo,9.40374635432,7.91212920944,0.00828746337493,128.638006506
IA-2,10.6730445058,11.157708934,0.00828746337493,128.638006506
Arpc1,8.74004830894,7.1186456982,0.0085313207872,132.423161259
Mkrn1,7.11286732155,5.29551677183,0.0085313207872,132.423161259
CG7222,7.48064568181,6.67613722166,0.0089600468541,139.077847269
Rpb11,4.91240674505,0.0,0.00896604537191,139.170956263
Sec16,4.49554195087,0.0,0.00922543868928,143.197259335
CG30493,6.86808080907,0.0,0.00931456777471,144.580720999
qkr58E-3,7.94539586219,4.22209913879,0.00942455500723,146.287942822
pall,7.12567016866,0.0,0.00952535138118,147.852504139
CanA-14F,3.93381732696,7.31693961253,0.00955525089186,148.316604343
CG33217,4.14172800444,0.0,0.00966848626792,150.074243851
CG11388,7.70107495229,8.76069948269,0.0096866596658,150.356331332
CG11876,8.77055704572,9.43389245049,0.0096866596658,150.356331332
gammaSnap1,8.36564416588,7.32104640233,0.0096866596658,150.356331332
Prx3,8.10686035721,6.77117416401,0.0096866596658,150.356331332
Mdh2,10.9223456799,11.2481984855,0.0096866596658,150.356331332
cpo,9.97423832149,9.00612365648,0.0096866596658,150.356331332
Ocrl,8.28001325951,0.0,0.00970929361144,150.707655437
CG13288,0.0,3.54264898533,0.00974606052132,151.278351412
CG10947,3.82333044984,0.0,0.00974606052132,151.278351412
TSG101,8.23077757739,2.94676942558,0.00997795713259,154.877850612
sda,7.26667295286,8.89752011646,0.0103218557634,160.215845159
CG5038,4.22964901088,0.0,0.0103424167488,160.534992776
CG10137,8.41985068667,6.88140616053,0.0104467546048,162.154524976
tws,0.0,4.55859064934,0.010524821166,163.366274139
MKP-4,4.62674313694,0.0,0.011008781754,170.878310386
ABCB7,6.59077981296,0.0,0.011008781754,170.878310386
Bsg25D,2.92356569027,0.0,0.011008781754,170.878310386
CG4670,8.06231987776,0.0,0.0110568859277,171.62498337
CR18854,7.00144103946,7.8533708931,0.0112293518472,174.301999373
P32,6.74864649934,8.20115603078,0.0112880312616,175.212821242
GluClalpha,7.82266428621,9.23188726698,0.0112880312616,175.212821242
COX5A,11.1999192581,11.6539488946,0.0112880312616,175.212821242
14-3-3epsilon,10.6923626504,9.98059930645,0.0112880312616,175.212821242
COX6B,9.35456244983,9.91198951122,0.0112880312616,175.212821242
CG33129,7.78451078656,9.41804281732,0.0112880312616,175.212821242
ATPsynD,10.7526058339,11.1741499982,0.0112880312616,175.212821242
mura,7.44727129656,8.73618954977,0.0112880312616,175.212821242
CG31301,7.06478262275,0.0,0.0114025301101,176.990072369
PKD,4.61084317281,0.0,0.0115984223418,180.030711589
smg,2.73531351904,0.0,0.0115984223418,180.030711589
Glo1,3.08598738993,0.0,0.0115984223418,180.030711589
CG11486,7.00045256741,3.07868603851,0.0116342743551,180.58720654
Ca-alpha1T,7.86339020786,4.05495333076,0.0116342743551,180.58720654
CG42404,7.9797068536,0.453819737736,0.0117705980311,182.703222638
CG30424,0.0,0.487015726052,0.011783775848,182.907768713
ScpX,0.563765583815,0.0,0.011783775848,182.907768713
CG9323,0.421643145623,0.0,0.011783775848,182.907768713
crc,7.77687741098,8.99821928058,0.0121562171375,188.688802408
Cdk5,7.35150745853,0.0,0.0121614578309,188.770148451
hoe2,7.48557119559,0.0,0.0127422475789,197.785166919
Ccn,0.0,8.03506567205,0.0127422475789,197.785166919
rho-5,7.66930166986,4.97443116073,0.0127900973043,198.527890357
wry,7.29995168357,1.33410506809,0.0127900973043,198.527890357
CG17270,7.37209819767,8.45122520692,0.0129520479039,201.041687564
Dscam4,8.00532547142,5.62278548028,0.0129520479039,201.041687564
RpL27,4.06011388144,6.98070078067,0.0129520479039,201.041687564
Edem2,0.0,5.53218940346,0.0130760452557,202.966374459
wls,7.27349020176,0.0,0.0130760452557,202.966374459
CG5149,0.0,7.43846619831,0.0130791275405,203.014217684
jigr1,7.84806823821,0.0,0.0130791275405,203.014217684
CG9776,3.84816662758,0.0,0.013084786887,203.10206206
CG8134,6.14548936288,0.0,0.013084786887,203.10206206
CG42673,7.02415563385,0.0,0.013084786887,203.10206206
Octbeta1R,8.51291228309,5.96780771559,0.0130983982427,203.313337523
QIL1,9.16996251328,9.65876005013,0.0131146939174,203.566278986
CG9531,9.09176627257,9.92761726405,0.0131146939174,203.566278986
muc,10.1010816904,10.6965319294,0.0131146939174,203.566278986
SdhC,9.2378728853,9.80592890899,0.0131146939174,203.566278986
ATPsynO,11.0174728664,11.3583274167,0.0131146939174,203.566278986
Ubc6,8.40337669514,7.71299090533,0.0131146939174,203.566278986
CG3337,0.0,6.19336929698,0.013304503679,206.512506106
pho,0.0,7.24620804144,0.013304503679,206.512506106
CG11873,6.5987716178,0.0,0.0133466716311,207.167037058
Taf10,6.10653659595,0.0,0.0133466716311,207.167037058
Rpn6,8.91696832641,3.79889286839,0.013701930013,212.681357662
CG1951,0.90393559763,7.95364651398,0.013701930013,212.681357662
GstZ2,8.33346191267,2.47203331447,0.013701930013,212.681357662
Dark,1.93919762241,0.0,0.0138544332379,215.048512718
CG10898,0.0,1.34425588574,0.0141814401924,220.124314667
beat-VII,1.90539114345,0.0,0.0141814401924,220.124314667
alph,0.563765583815,0.0,0.0141814401924,220.124314667
CG11317,0.0,2.06023711291,0.0141814401924,220.124314667
CG9548,5.23071197916,0.0,0.0142515527606,221.21260195
milt,2.34940256545,6.65896249528,0.0145648344267,226.075359971
slmo,2.38200272305,4.82342008823,0.0145648344267,226.075359971
mRpS30,8.23953645768,4.2911437016,0.0148323523275,230.227772827
Mad1,3.94967598549,0.0,0.0149637184723,232.266838127
Mgat2,7.66309347327,9.27163438888,0.0150115469035,233.009231036
Fas2,6.13195600665,8.4493700297,0.0151193855559,234.683102598
ND-B15,7.62744595172,8.10696164016,0.0151914109883,235.80108136
Rim,8.89902214229,8.27176553817,0.0151914109883,235.80108136
CG42322,10.4193271863,9.59226660298,0.0151914109883,235.80108136
par-1,7.79327429036,5.4267148315,0.0151914109883,235.80108136
Pnn,6.18352615112,0.0,0.0152110271534,236.105563475
CG17841,3.39947585715,0.0,0.0152110271534,236.105563475
CG34293,4.81698113782,0.0,0.0154079350585,239.161967977
CG7927,0.0,7.37019326145,0.0154079350585,239.161967977
Gem2,5.25000143321,0.0,0.015490861509,240.449152343
Rab40,6.62117664832,0.0,0.015490861509,240.449152343
pn,5.06772241831,0.0,0.015490861509,240.449152343
Rfabg,0.0,2.31822806874,0.015490861509,240.449152343
CG4968,0.0,7.41534155005,0.0154918624829,240.46468946
Arp1,7.516317856,2.96819207192,0.0156735875468,243.285425902
Den1,7.45817791314,0.565243564425,0.0159007278833,246.811098205
Sec31,0.0,7.56511880243,0.0166439694144,258.34769325
CG14715,5.6001432024,0.0,0.0166439694144,258.34769325
CG42394,5.76136144379,0.565243564425,0.0166967762734,259.167361316
kraken,0.0,7.57236086573,0.0166995540422,259.210477843
mAChR-B,0.0,5.00837801972,0.0166995540422,259.210477843
Ptp99A,5.64707667661,0.73022636105,0.0168539850237,261.607555538
Vps20,0.0,2.09916048847,0.0169881050876,263.68936717
Hipk,0.421643145623,0.0,0.0169881050876,263.68936717
CG3270,0.421643145623,0.0,0.0169881050876,263.68936717
sns,2.28894742469,0.0,0.0169881050876,263.68936717
Rbsn-5,0.44159108324,0.0,0.0169881050876,263.68936717
Brms1,0.0,3.02423005286,0.0169881050876,263.68936717
Ten-m,7.85061508644,0.0,0.0171092355205,265.569553749
PNUTS,8.46039586458,4.5419710597,0.0171489874888,266.186583801
Adam,8.00789668618,5.09113985542,0.0171489874888,266.186583801
