symbol,medianA,medianB,pvalue,pvalue_adj
CG33639,5.14342719806,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.4620292078,5.13445780758e-06,0.0796970540892
C15,9.6832135959,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.2570185969,0.0,5.13445780758e-06,0.0796970540892
klg,5.49561413354,9.28732380017,1.75893739454e-05,0.27302226238
hth,9.04668315255,10.6639783538,1.82922767695e-05,0.283932720016
fru,0.0,7.64357265197,1.87923035691e-05,0.291694136
Fife,0.0,7.15289213122,1.87923035691e-05,0.291694136
CG42541,7.38734626422,0.0,1.87923035691e-05,0.291694136
CG30089,5.86994812327,0.0,1.87923035691e-05,0.291694136
bru-3,5.83490676026,0.0,2.02308250395e-05,0.314022866263
CG31221,9.28534467687,3.34441929167,2.33853293559e-05,0.362987082263
Cbp53E,0.466652846343,11.2355186973,5.46570872633e-05,0.848387308501
CG15537,10.7587963211,8.74654174258,6.14635008328e-05,0.954036459927
CG2082,11.7690668745,8.49402838872,6.14635008328e-05,0.954036459927
Cow,6.80805071309,9.21855208986,6.1672877202e-05,0.957286399929
caup,6.77317573839,0.0,6.2654363942e-05,0.972521037107
CG1402,5.29850502511,0.0,6.44528980183e-05,1.00043788304
nAChRalpha1,0.0,6.58694084702,8.15947380484e-05,1.26651352399
DIP-eta,0.0,8.48286618223,0.00011600356004,1.80060725894
CG6959,6.34739020798,0.0,0.000148206009967,2.30045368671
hoe2,7.93692104627,0.0,0.000188639994557,2.92806999551
dpr15,0.0,7.77688317537,0.000188639994557,2.92806999551
acj6,5.44970148571,0.0,0.000191695863289,2.97550318997
CG42747,8.14744055206,0.0,0.000191695863289,2.97550318997
CG42342,5.81065754442,9.29935568537,0.000193390407598,3.00180590674
CG5604,7.21206679504,0.0,0.000202898452929,3.14938978637
rogdi,8.41044731741,10.0385797753,0.000296021072947,4.59483909429
CG42750,7.8489867294,2.43644369134,0.000369877481387,5.74123826609
CG6325,7.28187269389,0.0,0.000386116522864,5.99330066789
CG42339,0.0,8.78704619057,0.000386116522864,5.99330066789
twit,1.19980684413,9.76942348293,0.000388399919053,6.02874354353
GV1,8.06058569296,0.0,0.000401100451324,6.22588120545
CG43729,10.6370334405,8.89429978795,0.00045046779818,6.99216116335
Ubc10,7.45271771382,0.492442918146,0.00050606021451,7.85506664963
CG9940,5.36921351198,0.0,0.000542166280837,8.41550501115
CG42673,6.63590934295,0.0,0.000542166280837,8.41550501115
CCKLR-17D3,7.22022289908,0.0,0.000542166280837,8.41550501115
CG9896,0.0,6.40257958639,0.000542166280837,8.41550501115
ara,5.89364563243,0.0,0.000542166280837,8.41550501115
janA,5.89150669969,0.0,0.000542166280837,8.41550501115
CG31997,4.7712495475,9.43830965596,0.000560911060533,8.7064614816
Nhe1,7.02009903544,0.0,0.000634034528259,9.84148394764
apt,0.0,8.1851904478,0.000717893223829,11.1431386203
plum,5.95554375114,0.0,0.000742842896261,11.5304074358
CG43737,8.86091811458,2.36194368338,0.000760159209284,11.7991912465
CG31676,8.43876458944,10.4107908016,0.000818314149943,12.7018722354
nAChRalpha2,9.00798889785,10.4820125972,0.000826019728117,12.8214782198
mCD8-GFP,12.0866976808,12.8242360103,0.000826019728117,12.8214782198
IA-2,10.3745669956,11.4336789276,0.000826019728117,12.8214782198
ftz-f1,6.9663259243,3.35517207279,0.000982205636211,15.2457958853
CG14762,11.1304290826,8.69800303406,0.00120776019566,18.746853757
Msp300,8.55497032334,0.77511642336,0.00136666167891,21.2133225801
CG3776,7.52666738567,0.0,0.00137316776791,21.3143100934
CG7565,7.92235997916,0.0,0.00138410255674,21.4840398857
CG7985,0.0,7.71195105031,0.00139888360254,21.7134712786
CG14646,3.82541855341,0.0,0.00142779274305,22.1621989576
tsh,0.0,6.18090677808,0.00142779274305,22.1621989576
CG15735,7.37877390655,0.0,0.00142779274305,22.1621989576
cag,6.01258518788,0.0,0.00142779274305,22.1621989576
l(1)G0004,4.68278061181,0.0,0.00142779274305,22.1621989576
CG4975,0.0,3.14557797882,0.00142779274305,22.1621989576
cyp33,5.83831400471,0.0,0.00142779274305,22.1621989576
CG31760,0.0,3.89450252357,0.00142779274305,22.1621989576
CG4829,8.95337501109,6.6340832401,0.00144200028716,22.3827284574
Gdh,11.7579677939,11.0076843217,0.00147282307527,22.8611597743
CG31142,4.36440787126,0.0,0.00150721646069,23.3950139029
