symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,10.4666723471,5.13445780758e-06,0.0796970540892
Fife,0.0,7.73117115469,5.13445780758e-06,0.0796970540892
CG33639,5.51099384789,0.0,7.09569794446e-06,0.110139423494
PVRAP,8.22135194736,0.0,7.09569794446e-06,0.110139423494
C15,9.41025081877,0.0,7.09569794446e-06,0.110139423494
CG30089,5.37389791527,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.46788032413,1.55845526505e-05,0.24190342624
Cbp53E,0.437436304254,11.3981225893,1.59244638206e-05,0.247179527424
CG42342,4.98561474602,9.49992339573,1.75893739454e-05,0.27302226238
Cow,6.80805071309,9.60745394976,2.34743628248e-05,0.364369059766
klg,2.58466363275,9.07083921117,2.6333192812e-05,0.408743818827
rdgC,5.48445117857,9.84537154103,2.9587322254e-05,0.459254416027
CG43729,10.9060317911,8.77554352895,3.0028801484e-05,0.466107056635
DIP-eta,0.0,9.14241925871,3.03089062316e-05,0.470454842527
dpr15,0.0,8.69486337868,3.03089062316e-05,0.470454842527
apt,0.0,8.40769381389,3.37431000766e-05,0.523760399388
CG31676,6.25676798513,10.544052971,3.69333042231e-05,0.573278748152
Ac76E,7.54661870729,0.0,4.50342179868e-05,0.699021131592
bru-3,6.69428779238,0.0,4.58679335698e-05,0.711962064871
CG7985,0.0,9.04516549683,5.07461880929e-05,0.787682331577
CG31221,9.36907760762,3.65549208414,5.75858987489e-05,0.89384832038
kek1,6.14243891747,7.65243266394,6.1672877202e-05,0.957286399929
CG9896,0.0,7.24058507323,6.2654363942e-05,0.972521037107
fru,0.0,7.44933063963,6.2654363942e-05,0.972521037107
hth,8.41991079925,10.7325271799,7.78979465439e-05,1.20913192626
cmpy,4.61554063884,8.97861450748,9.49709897323e-05,1.47413970262
CG31997,4.7712495475,9.308058491,0.000115606413363,1.79444274822
nAChRalpha2,8.71938964401,10.4902494722,0.000122720086651,1.904861185
CG15537,10.5744634385,9.33790654601,0.000123103116411,1.91080657294
CG2082,11.7690668745,9.71388559255,0.000123103116411,1.91080657294
CG14762,11.2062083591,8.82301424255,0.000123103116411,1.91080657294
CG1402,4.27747035697,0.0,0.000148803009366,2.30972031139
CG42541,6.88735401488,0.0,0.000166728382707,2.58795795638
Irk1,0.0,7.5845595932,0.000188639994557,2.92806999551
Gr28b,8.31015731302,0.0,0.000191695863289,2.97550318997
acj6,4.90386617123,0.0,0.000191695863289,2.97550318997
CG31760,0.0,6.81871379395,0.000191695863289,2.97550318997
GV1,7.98065736208,0.0,0.00019433835008,3.01651986994
Glut1,8.41805828963,9.928159303,0.000238840864478,3.70728789844
nAChRalpha1,0.0,6.22073971628,0.000260993147107,4.05113562939
Ktl,9.83756947837,11.0396102374,0.000296021072947,4.59483909429
Rbp9,7.55090431391,9.0062178698,0.000296021072947,4.59483909429
twit,0.0,9.27832792824,0.000301562738535,4.68085682754
CG32700,2.58556217613,7.99551517364,0.000346567437383,5.37941976306
NnaD,0.0,6.51913452207,0.000401100451324,6.22588120545
Argk,12.2810396284,11.3533154918,0.00045046779818,6.99216116335
CG1537,0.0,5.88222748569,0.000542166280837,8.41550501115
CG30463,0.0,3.88495014053,0.000542166280837,8.41550501115
CG6959,5.89868057669,0.0,0.000542166280837,8.41550501115
