symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,5.86994812327,0.0,5.13445780758e-06,0.0796970540892
CG33639,4.6911295945,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.05641860828,0.0,5.13445780758e-06,0.0796970540892
C15,9.62294990333,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.2415759946,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.88095930664,1.19642080675e-05,0.185708437624
bru-3,6.68679731044,0.0,1.19642080675e-05,0.185708437624
CG31221,9.48821633779,0.74086377064,1.59244638206e-05,0.247179527424
klg,5.23224180291,9.26254329355,1.69078033979e-05,0.262442924342
CG42342,6.62884453054,9.4729165858,1.75893739454e-05,0.27302226238
Fife,0.0,6.03655372258,1.87923035691e-05,0.291694136
CG2082,12.1222702792,9.39957519747,2.34743628248e-05,0.364369059766
GV1,7.98065736208,0.0,3.03089062316e-05,0.470454842527
beat-IIIb,8.17422052915,5.69674643974,3.77436870141e-05,0.585857509833
CG33543,8.77691371856,10.4617839643,3.82914473375e-05,0.594359845572
Cbp53E,0.904089150597,11.351354527,5.75858987489e-05,0.89384832038
Cow,7.50972268276,9.79671381523,6.1672877202e-05,0.957286399929
DIP-eta,0.0,7.69797054298,6.2654363942e-05,0.972521037107
CG42747,8.26138440474,0.0,6.2654363942e-05,0.972521037107
apt,0.0,7.61464711468,7.39782380629e-05,1.14829021121
twit,0.0,9.90541817551,0.000105103273193,1.6314130065
CG42541,7.17711557797,0.0,0.000119835656962,1.86008906736
CG1402,3.90415280008,0.0,0.000129502823541,2.01014282701
CG44153,6.67821478879,0.0,0.000151723321511,2.3550493965
CG15537,10.9346375748,9.16413518429,0.000154022352814,2.39073496038
Ggamma30A,8.65010480982,0.0,0.000162360448308,2.52015887864
dpr15,0.0,8.05166231501,0.000188639994557,2.92806999551
jet,6.98952972111,0.0,0.000191695863289,2.97550318997
acj6,4.51170701246,0.0,0.000191695863289,2.97550318997
fru,0.0,7.51156232553,0.000191695863289,2.97550318997
CG9896,0.0,6.40257958639,0.000191695863289,2.97550318997
hth,8.41991079925,10.6672104864,0.000238840864478,3.70728789844
CG7985,0.0,8.58975805086,0.000245190061008,3.80584012697
CG43737,8.74702062321,5.75443253114,0.000287940759511,4.46941646913
CG43729,10.9060317911,8.88761705286,0.000296021072947,4.59483909429
app,3.67167448808,0.0,0.000380367227827,5.90406011033
Ten-m,8.00345468151,0.0,0.000388399919053,6.02874354353
Rpn6,8.90848706519,0.0,0.00039571968757,6.14236099045
CG31676,8.0748229587,10.6275505357,0.000449304376389,6.9741025303
CG46280,8.17678785375,0.0,0.000468514203725,7.27227747022
hdc,6.3250460282,0.0,0.000481941769935,7.48070015293
TFAM,0.0,6.62987551226,0.000505276606553,7.84290348691
Atg12,4.91221452468,0.0,0.000505276606553,7.84290348691
CG5482,8.61790723053,2.5094710181,0.00050606021451,7.85506664963
MsR1,0.0,5.96154269057,0.000542166280837,8.41550501115
CG14762,11.2244275373,9.04479524719,0.00055308909204,8.58504888665
Rbp9,7.79623952312,9.11530188806,0.00055308909204,8.58504888665
twf,7.73548719484,0.0,0.00058095302954,9.01755292451
Mulk,7.92270321705,0.0,0.00058095302954,9.01755292451
Ac76E,7.33613569962,0.0,0.000606251512059,9.41023597018
Msp300,8.3558715983,0.77511642336,0.000621214340659,9.6424889957
rdgA,6.16730882262,0.991322755804,0.000660719458141,10.2556874293
CG34380,9.07178814736,2.98589827755,0.000660719458141,10.2556874293
qkr58E-3,7.85742346309,0.0,0.000882615531441,13.699958279
eIF-4B,5.26061029257,2.26937224753,0.000982205636211,15.2457958853
ATPsyngamma,11.4933425586,11.9363722592,0.00100475242783,15.5957671848
14-3-3zeta,11.1370526366,10.2224382247,0.00100475242783,15.5957671848
GluClalpha,7.42522226766,9.21008181306,0.00110438931751,17.1423309864
CG14478,6.89948044779,2.56246359747,0.00112748770879,17.5008642158
CG11317,0.0,8.10781455509,0.00112880308385,17.5212814675
jim,4.87329612554,0.0,0.00112880308385,17.5212814675
nolo,9.05138462021,5.90932749504,0.00120776019566,18.746853757
CG5038,3.82238171297,0.0,0.00122388950565,18.9972129066
PEK,6.46707049585,0.0,0.00126291265293,19.6029301988
Hip1,5.84776926006,0.0,0.00126291265293,19.6029301988
CG13288,0.0,5.62153584004,0.00126291265293,19.6029301988
Myo81F,5.5675887074,0.0,0.00126291265293,19.6029301988
nAChRalpha1,0.360385118726,6.60659360906,0.00130526710377,20.2603559847
Octbeta1R,8.3861035711,1.24041360235,0.00136666167891,21.2133225801
wkd,7.73431792077,0.0,0.00136672541789,21.2143119366
CG6959,5.33208953781,0.0,0.00142779274305,22.1621989576
Gr28b,4.656336202,0.0,0.00142779274305,22.1621989576
CG31760,0.0,3.20523244225,0.00142779274305,22.1621989576
rdgC,6.06337607614,9.81340905131,0.00146044673523,22.6690542243
nAChRalpha2,8.86046070762,10.5999855699,0.00146044673523,22.6690542243
Ktl,9.74855960444,10.9508812362,0.00147282307527,22.8611597743
NnaD,0.0,5.43031283441,0.00156917424068,24.3567225639
Sema-2b,5.13805378405,0.0,0.00156917424068,24.3567225639
CG32485,5.06239368625,0.0,0.00166076442124,25.7783853464
CG31808,11.3674091612,11.8851116846,0.00177491931746,27.5502976456
Ca-alpha1T,7.24894818154,1.90429409466,0.00181311024187,28.1430971743
phol,1.81587481953,0.0,0.00194175002269,30.1398438521
heph,5.47804054885,0.0,0.00194175002269,30.1398438521
Arpc1,8.89292995905,3.92675810976,0.00198913301754,30.8753226982
Sulf1,6.75430592041,0.0,0.00201257007866,31.239112761
Ufd1-like,7.83046558512,0.0,0.00242461696602,37.6349045466
Fur2,3.98175228425,0.0,0.00242787202676,37.6854295993
beat-Ib,3.31510580959,8.01585638829,0.00245863997421,38.1630096797
Fas2,3.91911051911,8.62996361167,0.00250604271143,38.8987949668
CG11474,6.88599527291,0.0,0.00255244743278,39.6190890516
ppl,0.0,6.51641175133,0.0027480089233,42.6545945074
rgn,7.97809555828,9.49265495431,0.00278664517827,43.2543064571
CG8108,7.75316341484,5.32522040916,0.00285906907543,44.3784701888
Pex23,4.10662015462,0.0,0.00286910496103,44.534247205
CG31997,6.2439599263,8.98588092981,0.00293985221537,45.632386087
RpL24-like,7.40246744977,5.20069766241,0.0030273744898,46.9909068306
jeb,5.0102711167,7.31477480734,0.0030273744898,46.9909068306
T-cp1,8.31337783698,0.0,0.00319987388694,49.6684424731
glob1,7.98574151272,0.0,0.00340824673532,52.9028058256
hoe2,7.93692104627,0.0,0.00344965301637,53.54551412
Mnn1,0.708340687155,0.0,0.00352705120034,54.7468887317
CG42673,3.13779481919,0.0,0.00352705120034,54.7468887317
18w,0.912388754345,0.0,0.00352705120034,54.7468887317
CG6083,1.03325377749,0.0,0.00352705120034,54.7468887317
raw,0.9493827651,0.0,0.00352705120034,54.7468887317
Gnf1,3.10840649667,0.0,0.00352705120034,54.7468887317
CG13707,3.03482773439,0.0,0.00352705120034,54.7468887317
Teh4,0.717714513005,0.0,0.00352705120034,54.7468887317
CG6231,0.0,3.28874128378,0.00352705120034,54.7468887317
oxt,4.07211745739,0.0,0.00352705120034,54.7468887317
CG13502,2.36192225529,0.0,0.00352705120034,54.7468887317
dpr6,3.23063469077,0.0,0.00352705120034,54.7468887317
msl-3,0.360385118726,0.0,0.00352705120034,54.7468887317
Gpi1,1.66788926419,0.0,0.00352705120034,54.7468887317
CG31323,1.23601420103,0.0,0.00352705120034,54.7468887317
jdp,7.51408647707,4.29747205173,0.00356688708755,55.3652213729
IA-2,10.4685459797,11.157708934,0.0036299774941,56.3445106633
CG7433,10.2175692203,11.1242814148,0.0036299774941,56.3445106633
Irk1,0.0,7.08537601823,0.00364894251992,56.6388857942
TyrRS,6.44757611871,0.0,0.00374224898317,58.0871887168
sced,8.70085735282,0.0,0.00383068638571,59.4599140789
CR44978,5.19520304802,0.0,0.00383068638571,59.4599140789
