symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.222369199,5.13445780758e-06,0.0796970540892
Fife,0.0,7.38715704634,5.13445780758e-06,0.0796970540892
PVRAP,8.05251202507,0.0,7.09569794446e-06,0.110139423494
C15,9.28621702381,0.0,7.09569794446e-06,0.110139423494
Cbp53E,0.0,11.0955132616,1.46238770616e-05,0.22699181975
CG33639,4.47958211144,0.0,1.55845526505e-05,0.24190342624
apt,0.0,8.1964840732,1.60001094808e-05,0.248353699361
CG42342,6.75747165329,9.51214400206,1.80085268433e-05,0.279528353662
klg,5.23224180291,9.05538341116,1.80085268433e-05,0.279528353662
CG43729,10.8102622094,8.85698184361,2.34743628248e-05,0.364369059766
GluClalpha,6.51953230047,9.92758268854,3.0028801484e-05,0.466107056635
hth,9.34695291867,10.9722073639,3.0028801484e-05,0.466107056635
CG42541,7.72505547116,0.0,3.03089062316e-05,0.470454842527
CG30089,5.37389791527,0.0,3.03089062316e-05,0.470454842527
DIP-eta,0.0,8.41982554531,3.03089062316e-05,0.470454842527
CG42339,0.0,9.29017747664,3.37431000766e-05,0.523760399388
CG2082,12.1870722202,8.54773591552,3.81539413546e-05,0.592225477705
CG7985,0.0,8.40010987846,3.92892831811e-05,0.609848253538
dpr15,0.0,8.43118270506,3.92892831811e-05,0.609848253538
CG34380,9.18604098229,2.98589827755,4.53579289172e-05,0.704045772652
Ktl,9.45745936992,11.0999559693,4.86728378236e-05,0.755499788697
rdgC,6.27975716191,10.0364644789,4.86728378236e-05,0.755499788697
nAChRalpha1,0.0,6.22073971628,5.1305805304e-05,0.796368709929
CCKLR-17D3,8.25514798618,0.0,6.2654363942e-05,0.972521037107
fru,0.0,7.56715770689,6.2654363942e-05,0.972521037107
acj6,4.94427552345,0.0,6.2654363942e-05,0.972521037107
Sulf1,7.03919724698,0.0,6.27394017787e-05,0.973840994409
mCD8-GFP,11.4328816914,12.9365251394,7.78979465439e-05,1.20913192626
GV1,8.43992336217,0.0,0.00011600356004,1.80060725894
Cow,7.10380265637,9.74883025813,0.000123103116411,1.91080657294
bru-3,7.32836613532,0.0,0.000128393684088,1.99292676441
CG15537,10.6759129785,9.4274511867,0.000154022352814,2.39073496038
twit,0.0,9.87547765356,0.00016663424449,2.58649674297
CG11317,0.0,8.15127005603,0.000188639994557,2.92806999551
nAChRalpha2,9.05763510629,10.3122122779,0.000191538245668,2.97305664926
hdc,7.50377119698,0.0,0.000191695863289,2.97550318997
CG9896,0.0,7.58114717307,0.000191695863289,2.97550318997
Ars2,8.29510910128,0.0,0.000191695863289,2.97550318997
CG14762,11.2062083591,8.82301424255,0.000192101013517,2.98179193182
CG31221,9.63371275695,1.91316252932,0.000232116999732,3.60292006985
sda,7.3275969375,8.94728199572,0.000238162387247,3.69675657485
CG31997,6.38536025189,9.22066832095,0.000356065705973,5.52685188811
dpr18,7.66993618892,0.0,0.000376532512733,5.84453766264
CG10089,0.0,6.59309049709,0.000542166280837,8.41550501115
Nf-YB,5.69504688962,0.0,0.00058095302954,9.01755292451
CG1402,6.10971602242,0.461637274486,0.000589256886706,9.14644539545
CG31808,11.4468970496,12.0037892801,0.000676970721546,10.5079395398
DAAM,6.51815233412,0.0,0.000741696486829,11.5126128686
CR45160,1.47661322338,0.0,0.000742842896261,11.5304074358
GalT1,0.0,8.44894312713,0.000746008722863,11.5795473963
Ten-m,7.24686950656,0.0,0.0008252767023,12.8099449731
trn,5.45674537005,0.0,0.000919774599492,14.2767413333
CG1358,1.35454634735,8.65815334376,0.000959980575337,14.9008184904
CG13004,4.95267571835,3.56538995335,0.000995695028697,15.4551782354
Rbp9,7.53731130448,8.98584305431,0.00100475242783,15.5957671848
CG5938,8.47592120821,9.62248837493,0.00100475242783,15.5957671848
CG7781,11.2788965151,11.7429580293,0.00100475242783,15.5957671848
jigr1,7.94758698854,0.0,0.0010075321246,15.6389136381
twf,7.53653682224,0.0,0.00108495092142,16.8406082023
Gbeta13F,10.6420931916,9.78014143472,0.00121836740449,18.9114988526
CG3618,9.32035999207,7.21286888142,0.00121836740449,18.9114988526
Cdk5,7.52555245919,0.0,0.00123829633922,19.2208357774
Mob3,6.90390988821,0.0,0.00126291265293,19.6029301988
Ggamma30A,8.97579285407,5.15741536452,0.00141157064903,21.9103996143
Edc3,4.36308140068,0.0,0.00142779274305,22.1621989576
CG31760,0.0,3.20523244225,0.00142779274305,22.1621989576
ara,4.60965095322,0.0,0.00142779274305,22.1621989576
DIP-delta,2.05604497651,0.0,0.00142779274305,22.1621989576
Gr28b,7.01194451494,0.0,0.00142779274305,22.1621989576
Dark,1.93919762241,0.0,0.00142779274305,22.1621989576
CG13288,0.0,6.96961873517,0.00142779274305,22.1621989576
IP3K2,0.0,5.53422357341,0.00142779274305,22.1621989576
CG6959,4.16703051201,0.0,0.00142779274305,22.1621989576
Rop,11.3960696122,12.0002249523,0.00147282307527,22.8611597743
CG31676,9.12404343887,10.5133970161,0.00147282307527,22.8611597743
CG34113,4.95401611304,0.0,0.00156917424068,24.3567225639
CadN,6.91177449877,0.468916162234,0.00157976558932,24.5211214775
CG5355,7.75263041746,0.0,0.00161732083694,25.1040540309
beat-IIIb,8.37909497943,3.35443245811,0.00170367355559,26.4444209299
CG4829,9.32280117878,7.90496656365,0.00176053230348,27.3269824146
IA-2,10.5145660509,11.3092724584,0.00177491931746,27.5502976456
Hsp70Bb,6.23318769537,7.36428581113,0.00177491931746,27.5502976456
RhoGEF3,7.97370625624,6.92902594773,0.00177491931746,27.5502976456
CG9186,7.83826186602,0.0,0.00205903263078,31.960304495
stck,0.0,3.64332548462,0.00209647825016,32.541535399
Lrrk,0.0,7.4192194622,0.00209647825016,32.541535399
pros,10.1018541801,8.94684065216,0.00213238245702,33.0988404978
Argk,12.2810396284,11.3910850452,0.00213238245702,33.0988404978
O-fut1,5.86008968676,0.0,0.00228171554653,35.4167887132
Ac76E,7.58512494718,0.46605788792,0.0022921955282,35.5794589887
br,6.23093341065,0.0,0.00237816800051,36.9139237038
caup,6.45009194676,0.0,0.00252281894047,39.159195594
CG42747,7.75796819027,0.0,0.00252281894047,39.159195594
CG15803,2.78268699909,0.0,0.00255244743278,39.6190890516
eag,4.7319962399,0.0,0.00255244743278,39.6190890516
Sap47,11.4559553855,12.1543754743,0.0025539527125,39.6424540034
CTPsyn,7.26853444497,0.0,0.0027480089233,42.6545945074
CG9384,4.69805652449,0.0,0.00292094333165,45.3388823938
CG12730,0.0,3.90156169227,0.0029371589306,45.5905809207
CG2469,8.69603145954,6.24011307545,0.0030273744898,46.9909068306
Kap-alpha3,9.2197124259,7.79236990404,0.00304394018393,47.248039535
Ih,9.27610246052,9.93729961806,0.00304947296561,47.3339193722
