symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.2748922899,5.13445780758e-06,0.0796970540892
CG33639,5.0630592749,0.0,5.13445780758e-06,0.0796970540892
C15,9.28933239446,0.0,5.13445780758e-06,0.0796970540892
CG30089,5.13768078841,0.0,5.13445780758e-06,0.0796970540892
PVRAP,7.97806897306,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.72958630134,7.09569794446e-06,0.110139423494
CG42339,0.0,9.43971359103,7.09569794446e-06,0.110139423494
Cbp53E,0.0,11.3981225893,1.46238770616e-05,0.22699181975
apt,0.0,7.6052306731,1.55845526505e-05,0.24190342624
CG42342,6.53255220969,9.56380455294,1.82210136462e-05,0.282826573817
Fife,0.0,6.75751274626,1.87923035691e-05,0.291694136
CG7985,0.0,8.59013431045,1.87923035691e-05,0.291694136
CG31221,9.63371275695,1.91316252932,2.2595776672e-05,0.350731645504
rdgC,6.72651432064,10.0811159134,2.33853293559e-05,0.362987082263
klg,5.23224180291,9.31789536195,2.89345043e-05,0.449121375744
CG43729,10.9411764105,8.92428715166,3.0028801484e-05,0.466107056635
Cow,6.42209112949,9.60745394976,3.82914473375e-05,0.594359845572
DIP-eta,0.0,8.39772192168,4.50342179868e-05,0.699021131592
bru-3,7.01042368333,0.0,5.07461880929e-05,0.787682331577
Sep1,3.52441568204,7.96070313705,5.9603053663e-05,0.925158598957
kek1,6.36104736763,7.86272700397,6.1672877202e-05,0.957286399929
CG31760,0.0,6.00565654809,6.2654363942e-05,0.972521037107
CG31997,6.24490180827,9.41934993177,7.53563582746e-05,1.16968139314
CG15537,10.6759129785,8.87876167799,7.78979465439e-05,1.20913192626
twit,0.0,9.71788607773,7.99259080905e-05,1.24060994538
CG42541,7.72505547116,0.0,9.43200352927e-05,1.46403558781
CG2082,12.1959626811,9.32548958671,0.000123103116411,1.91080657294
Ktl,9.54119598467,11.021788195,0.000123103116411,1.91080657294
CG31676,7.50949433801,10.544052971,0.000153557237674,2.38351544317
hth,8.77920152183,10.6369121826,0.000154022352814,2.39073496038
Ggamma30A,9.11250409411,5.68437014672,0.000181067514352,2.81052995777
nAChRalpha2,9.05763510629,10.4599121608,0.000191538245668,2.97305664926
acj6,4.90386617123,0.0,0.000191695863289,2.97550318997
GV1,7.98065736208,0.0,0.000191695863289,2.97550318997
fru,0.0,7.45263661876,0.000191695863289,2.97550318997
CG9896,0.0,3.15190109944,0.000191695863289,2.97550318997
CG9940,5.44943830583,0.0,0.000191695863289,2.97550318997
Gr28b,7.8898293465,0.0,0.000191695863289,2.97550318997
trn,5.45674537005,0.0,0.000191695863289,2.97550318997
CG14762,11.2900941878,9.15524224006,0.000192101013517,2.98179193182
Rbp9,6.74653897931,9.12057769775,0.000238840864478,3.70728789844
Ca-alpha1T,7.84877153672,1.89740251016,0.000298929104533,4.63997756056
Sulf1,6.7618806792,0.0,0.000324921862813,5.04343715458
sesB,12.017456923,12.4150450929,0.000365740995907,5.67703173847
Argk,12.24650238,11.4000546645,0.00045046779818,6.99216116335
CG1402,6.64611038354,0.0,0.0004986200163,7.73957989301
CG11317,0.0,8.10781455509,0.000505276606553,7.84290348691
CG42747,8.15928367348,0.0,0.000542166280837,8.41550501115
nAChRalpha1,0.0,6.26819635355,0.000614632174771,9.5403206168
Mlf,10.4476073965,9.62892018253,0.000676970721546,10.5079395398
CG32264,5.28931098099,0.0,0.000742842896261,11.5304074358
CG7781,11.2739403167,11.8053456796,0.00100475242783,15.5957671848
Gycbeta100B,8.41533178014,9.66860409024,0.00100475242783,15.5957671848
Ac76E,7.54661870729,0.0,0.00112099897716,17.4001461234
Dak1,9.96953469618,9.04518082749,0.00121836740449,18.9114988526
mod,0.0,7.76327603666,0.00123829633922,19.2208357774
SelR,3.89703663932,8.26326667796,0.00124181627851,19.275472275
sda,7.46710065558,8.78741760585,0.00133721448484,20.7562432338
CG42673,5.45977944233,0.0,0.00142779274305,22.1621989576
Apc,4.01038642789,0.0,0.00142779274305,22.1621989576
CCKLR-17D3,7.12549994579,0.0,0.00142779274305,22.1621989576
PRL-1,7.61514795381,1.87126900733,0.00144200028716,22.3827284574
CG11388,7.82216016892,9.14977962704,0.00147282307527,22.8611597743
CG13288,0.0,6.79927623211,0.00156917424068,24.3567225639
ppl,0.0,7.40983023512,0.00166511987523,25.8459907033
CG34380,8.86814990083,4.05785005454,0.00176053230348,27.3269824146
Drat,8.54452536922,10.1882629188,0.00177491931746,27.5502976456
dsd,0.0,4.99457887632,0.00194175002269,30.1398438521
CG5028,9.59481846637,10.1874596234,0.00212820989586,33.0340740036
CG31808,11.4468970496,12.0480495142,0.00213238245702,33.0988404978
nmo,9.66171637731,8.29736393912,0.00213238245702,33.0988404978
GstE13,1.09139617952,7.13373815132,0.0022921955282,35.5794589887
mtd,8.0746953371,6.90139175605,0.00233008206691,36.1675338426
bmm,0.0,7.33892579158,0.00237816800051,36.9139237038
Eip55E,6.51608594611,0.0,0.00239300692391,37.1442534729
CG13392,0.0,5.7894115297,0.00239300692391,37.1442534729
ATPsynbeta,13.1439532951,12.8263925109,0.0025539527125,39.6424540034
CG32700,0.437436304254,7.83026499253,0.00274804120397,42.6550955681
GluClalpha,6.51953230047,8.78072108561,0.00278664517827,43.2543064571
Dhpr,5.89778582877,0.0,0.00278672611851,43.2555628115
Aps,0.0,7.71088254125,0.00286910496103,44.534247205
dpr8,7.45606593214,3.90401055803,0.00304394018393,47.248039535
nAChRalpha6,8.65198129962,9.61320706562,0.00304947296561,47.3339193722
VhaM8.9,10.2481050585,9.51230168394,0.00304947296561,47.3339193722
Ih,9.27610246052,10.0244459652,0.00304947296561,47.3339193722
CG5375,8.06577807664,5.47294665134,0.00326938483288,50.747391376
twf,7.55488981653,0.0,0.00331651673921,51.4789728259
CG12795,0.0,6.33690654751,0.00331651673921,51.4789728259
da,6.38382225611,0.0,0.00344965301637,53.54551412
eIF-4B,5.38111517793,2.40612252039,0.00350437791695,54.3949540269
CG13707,3.03482773439,0.0,0.00352705120034,54.7468887317
CG8435,2.27700010087,0.0,0.00352705120034,54.7468887317
CG10384,0.0,1.65187487588,0.00352705120034,54.7468887317
DIP-beta,0.708340687155,0.0,0.00352705120034,54.7468887317
CG12112,2.86694348652,0.0,0.00352705120034,54.7468887317
