symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,7.03822717322,0.0,5.13445780758e-06,0.0796970540892
fru,0.0,7.7312194616,5.13445780758e-06,0.0796970540892
C15,9.1858075216,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.190154474,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.1463489462,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.6861888846,5.13445780758e-06,0.0796970540892
Cbp53E,0.0,11.351354527,1.46238770616e-05,0.22699181975
klg,6.17225637731,8.92929366088,1.75893739454e-05,0.27302226238
caup,7.77030126781,0.0,1.87923035691e-05,0.291694136
CG42747,7.64825980206,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.68228928567,1.87923035691e-05,0.291694136
CG42339,0.0,9.30918835728,1.87923035691e-05,0.291694136
nAChRalpha2,8.74872076765,10.23932561,2.34743628248e-05,0.364369059766
CG43729,10.8470243929,9.04730695053,3.0028801484e-05,0.466107056635
GluClalpha,7.42522226766,9.55890025638,4.86728378236e-05,0.755499788697
CG33639,5.14342719806,0.0,5.07461880929e-05,0.787682331577
CG2082,12.1472689168,8.65643724418,6.14635008328e-05,0.954036459927
CG15537,11.0125018621,9.09054182379,6.1672877202e-05,0.957286399929
CG9896,0.0,4.5791395293,6.2654363942e-05,0.972521037107
CG42541,7.55065362942,0.0,6.53070589699e-05,1.01369616933
CG14762,11.4690290821,8.07029029086,7.78979465439e-05,1.20913192626
hth,8.93339507521,10.9722073639,7.78979465439e-05,1.20913192626
bru-3,5.8005581264,0.0,8.37425492817e-05,1.29985184995
rdgC,5.86219157197,9.77746360893,9.49709897323e-05,1.47413970262
Ktl,9.8584591692,11.3059757691,9.80807368533e-05,1.52240919744
tinc,7.2299268459,0.0,0.000101473982004,1.57507914867
CG31997,0.0,9.22066832095,0.000102961253475,1.59816457644
apt,0.0,7.62696719903,0.00011600356004,1.80060725894
DIP-eta,0.0,8.45090516149,0.00011600356004,1.80060725894
dpr18,7.8140144639,0.0,0.000128393684088,1.99292676441
CG31221,9.51037946446,3.34441929167,0.000149416648845,2.31924522337
CG42342,6.58673873629,9.55080676754,0.000181067514352,2.81052995777
acj6,5.1359430078,0.0,0.000191695863289,2.97550318997
Cow,7.49045073376,9.79671381523,0.000192101013517,2.98179193182
ST6Gal,10.8303691736,8.5917269724,0.000238162387247,3.69675657485
Argk,12.266269049,11.1873633222,0.000238840864478,3.70728789844
Ac76E,7.44956190222,0.0,0.000240683285505,3.73588595761
AnxB10,6.98250106263,8.94996467067,0.000295206040972,4.58218816797
twf,7.8243676222,0.0,0.000301562738535,4.68085682754
Msp300,8.3558715983,0.80259656961,0.000332648759751,5.16337404885
CG14024,10.0264860299,7.45957808544,0.000346567437383,5.37941976306
dpr6,7.66094772396,0.0,0.000401100451324,6.22588120545
Ost48,9.03861421874,5.42772568656,0.000449304376389,6.9741025303
