symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,10.8781451962,5.13445780758e-06,0.0796970540892
CG42541,7.9643507821,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,6.83791615998,5.13445780758e-06,0.0796970540892
C15,9.58090778742,0.0,5.13445780758e-06,0.0796970540892
CG33639,5.67518593965,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.16205913364,0.0,5.13445780758e-06,0.0796970540892
CG30089,7.19122253763,0.0,7.09569794446e-06,0.110139423494
DIP-eta,0.0,8.52463365489,9.15336830931e-06,0.142078582897
dpr15,0.0,8.09595226745,1.22446437935e-05,0.190061360963
apt,0.0,8.39573897892,1.22446437935e-05,0.190061360963
Cbp53E,0.0,11.1548271024,1.46238770616e-05,0.22699181975
rdgC,4.95669718386,9.82091878293,1.75893739454e-05,0.27302226238
klg,5.84123554323,8.82051136061,1.80085268433e-05,0.279528353662
CG43729,10.9803380969,8.74555616524,1.82922767695e-05,0.283932720016
CG9896,0.0,7.91269349751,1.87923035691e-05,0.291694136
CG42339,0.0,9.60335642131,1.87923035691e-05,0.291694136
CG7985,0.0,8.57068454688,1.87923035691e-05,0.291694136
fru,0.0,7.37778121458,1.87923035691e-05,0.291694136
CG15537,11.040314739,9.57410205564,3.0028801484e-05,0.466107056635
CG42342,6.49044641544,9.66878922504,3.81539413546e-05,0.592225477705
CG2082,12.0119517707,8.4650840212,4.79956184089e-05,0.744987988944
nAChRalpha2,8.74872076765,10.4550932437,4.79956184089e-05,0.744987988944
bru-3,6.91015719128,0.0,5.55151040341e-05,0.861705444818
Ggamma30A,9.11250409411,3.71408349027,5.75858987489e-05,0.89384832038
Ktl,9.65976702489,10.936793402,6.1672877202e-05,0.957286399929
dpr18,7.65516832395,0.0,7.39782380629e-05,1.14829021121
Cow,7.45322219356,9.62907471927,9.80807368533e-05,1.52240919744
pros,10.209752349,8.92564335256,9.80807368533e-05,1.52240919744
caup,6.45009194676,0.0,0.00011600356004,1.80060725894
CG3618,8.78773977992,5.97892850247,0.000123103116411,1.91080657294
rgn,7.83323377226,9.43259370158,0.000153557237674,2.38351544317
CG14762,11.3550989327,9.13736625999,0.000153557237674,2.38351544317
