symbol,medianA,medianB,pvalue,pvalue_adj
PVRAP,8.31077956535,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.66172529125,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.1511078703,5.13445780758e-06,0.0796970540892
C15,9.06104981085,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.93787217687,7.09569794446e-06,0.110139423494
CG7985,0.0,8.67199494185,9.33764556343e-06,0.144938934436
Cbp53E,0.437436304254,11.1565846437,1.59244638206e-05,0.247179527424
CG43729,11.1940426547,8.8458896762,1.82922767695e-05,0.283932720016
CG14762,11.403960176,9.01391447384,1.82922767695e-05,0.283932720016
CG30089,5.55930134068,0.0,1.87923035691e-05,0.291694136
CG33639,4.67079103153,0.0,1.87923035691e-05,0.291694136
CG42339,0.0,9.04365297626,2.08338413307e-05,0.323382885135
CG42342,6.58673873629,9.6918037003,2.31198016639e-05,0.358865561428
CG2082,12.1643446317,9.1021077382,2.34743628248e-05,0.364369059766
CG31997,6.63363319011,9.51264644493,2.78712282901e-05,0.43261720552
klg,5.49561413354,9.51812674985,2.89345043e-05,0.449121375744
bru-3,7.31269789558,0.0,3.03089062316e-05,0.470454842527
CG31221,9.48821633779,1.85142973035,3.69333042231e-05,0.573278748152
nAChRalpha2,8.98691618925,11.0235651203,3.81539413546e-05,0.592225477705
CCKLR-17D3,8.07866085873,0.0,6.2654363942e-05,0.972521037107
GV1,9.04857417956,0.0,6.2654363942e-05,0.972521037107
CG42541,7.72505547116,0.0,6.2654363942e-05,0.972521037107
fru,0.0,6.84341986689,6.2654363942e-05,0.972521037107
acj6,4.84764081058,0.0,6.2654363942e-05,0.972521037107
CG15537,11.0749585188,8.88388530765,7.78979465439e-05,1.20913192626
twit,0.0,9.74047103469,7.99259080905e-05,1.24060994538
Cow,7.49045073376,9.74924095452,9.80807368533e-05,1.52240919744
CG31808,11.1736579952,12.105625749,9.80807368533e-05,1.52240919744
beat-IIIb,9.01499742834,5.66179168231,0.000119311802124,1.85195779258
jdp,7.94284986828,2.96560134353,0.000181067514352,2.81052995777
CG14400,0.0,3.01788028482,0.000188639994557,2.92806999551
dpr15,0.0,8.13685344487,0.000188639994557,2.92806999551
CG42747,7.45203801831,0.0,0.000191695863289,2.97550318997
caup,7.57981580469,0.0,0.000191695863289,2.97550318997
ara,5.48743350128,0.0,0.000191695863289,2.97550318997
Argk,12.2991629823,11.5875420829,0.000192101013517,2.98179193182
nAChRalpha1,0.0,4.15768399576,0.000232858915968,3.61443609366
apt,0.0,6.98635337958,0.000239209057348,3.71300298815
plum,6.3366851723,0.0,0.000254836523736,3.95557252143
CG14182,7.24915255959,0.0,0.000318096176154,4.93748884626
rdgC,6.27975716191,9.91580672891,0.000361849544811,5.61662863455
RhoGEF3,8.14022453449,7.09305348134,0.000365740995907,5.67703173847
trn,8.10798503219,0.0,0.000376532512733,5.84453766264
CG13248,7.70523806397,0.0,0.000400152907868,6.21117343593
Sulf1,6.79804995376,0.0,0.000468514203725,7.27227747022
CG13288,0.0,7.39664864384,0.000505276606553,7.84290348691
CG14207,4.1852889022,8.68820389177,0.000525874701383,8.16262711487
CG31760,0.0,7.10621665738,0.000542166280837,8.41550501115
heph,4.57350283194,0.0,0.000542166280837,8.41550501115
CG9896,0.0,7.67654016095,0.000542166280837,8.41550501115
run,4.58628755978,0.0,0.000542166280837,8.41550501115
CG10151,4.07633854035,0.0,0.000595886334442,9.24934768321
RpL5,9.07293224267,7.68412970161,0.000676970721546,10.5079395398
Gbeta13F,10.8047567097,9.96879434732,0.000676970721546,10.5079395398
hdc,6.4778432655,0.0,0.000792514928053,12.3014167132
CG1677,6.80575805501,1.12534250426,0.000882615531441,13.699958279
CG13004,4.66932941667,1.25533661151,0.000927243614384,14.3926753825
Tusp,4.7314980635,8.52545386753,0.000959980575337,14.9008184904
Ktl,9.76263835917,10.7658985405,0.00100475242783,15.5957671848
CG3257,10.7361766693,11.5123083951,0.00100475242783,15.5957671848
CG4670,8.06231987776,0.0,0.00112880308385,17.5212814675
sesB,12.0838615345,12.4475991679,0.00121836740449,18.9114988526
pros,10.2110180339,9.52976539958,0.00121836740449,18.9114988526
CG31676,9.23565650248,10.6090469183,0.00121836740449,18.9114988526
Spn,4.4017451694,8.50357230997,0.00121836740449,18.9114988526
CR45973,4.12206155676,0.0,0.00126291265293,19.6029301988
app,2.93375000143,0.0,0.00126291265293,19.6029301988
CG44153,6.25264481927,0.0,0.00137316776791,21.3143100934
CG10132,8.47680909453,1.92049637994,0.00141157064903,21.9103996143
CG34167,0.0,1.82939062151,0.00142779274305,22.1621989576
tsh,0.0,5.61698847227,0.00142779274305,22.1621989576
CG42673,7.02415563385,0.0,0.00142779274305,22.1621989576
CR43826,0.0,0.888730539918,0.00142779274305,22.1621989576
Tbce,1.09803230109,0.0,0.00142779274305,22.1621989576
Ns1,0.0,4.31910183256,0.00142779274305,22.1621989576
Pde11,4.104463284,0.0,0.00151213077469,23.4712938847
CG6665,4.84472988941,0.0,0.00156917424068,24.3567225639
tna,5.76071260598,0.0,0.00166511987523,25.8459907033
Octbeta1R,8.50119329333,4.49344081168,0.00173908106987,26.9940163665
Pitslre,7.58171985979,3.63018565156,0.00173908106987,26.9940163665
Irk1,0.0,5.25183150756,0.00194175002269,30.1398438521
CG15803,4.54055614756,0.0,0.00196453706682,30.4935443511
Ggamma30A,8.74455407521,6.79833829592,0.00211572035207,32.8402113049
Tctp,7.66346118304,8.74823394518,0.00213238245702,33.0988404978
hth,9.36227220777,10.5660365746,0.00213238245702,33.0988404978
VhaM8.9,10.2720494219,9.54219204941,0.00213238245702,33.0988404978
CG43737,8.91397570079,0.0,0.0022921955282,35.5794589887
Sln,7.17552120292,0.0,0.00239300692391,37.1442534729
CG1358,4.44411984021,9.09715698501,0.00245863997421,38.1630096797
CG4829,8.74144342998,5.23649340782,0.00250604271143,38.8987949668
CG5466,8.90390247022,6.74228709079,0.00253472786605,39.3440459369
CG8031,5.89382053777,0.0,0.0027480089233,42.6545945074
CG5412,5.93200298395,0.0,0.0029371589306,45.5905809207
Hrb98DE,8.92350873421,5.75057029678,0.00299439011492,46.4789233637
COX6B,9.30403104025,9.95451678504,0.00304947296561,47.3339193722
Glut1,8.30451884332,9.87357421814,0.00304947296561,47.3339193722
CG9601,7.39296933429,0.0,0.00307529397712,47.7347131128
CG11412,7.40097561555,0.0,0.00307529397712,47.7347131128
