symbol,medianA,medianB,pvalue,pvalue_adj
C15,9.38229334298,0.0,5.13445780758e-06,0.0796970540892
CG7985,0.0,9.01658490654,5.13445780758e-06,0.0796970540892
PVRAP,8.60515360065,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.59902621003,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.1555888147,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.79167490458,9.15336830931e-06,0.142078582897
twit,0.0,9.75898552365,1.55845526505e-05,0.24190342624
CG31997,2.50839997567,9.25705894031,1.59244638206e-05,0.247179527424
Cbp53E,2.33229339759,11.429185403,1.69078033979e-05,0.262442924342
klg,4.90512051924,9.11592398389,1.75893739454e-05,0.27302226238
CG2082,12.1959626811,9.25431256491,1.82210136462e-05,0.282826573817
CG14762,11.4463725878,9.14784507333,1.82922767695e-05,0.283932720016
Cow,7.01128729111,9.83201635299,1.82922767695e-05,0.283932720016
CG43729,11.1568706273,9.31765159595,1.82922767695e-05,0.283932720016
Sulf1,6.75430592041,0.0,1.87923035691e-05,0.291694136
caup,7.57981580469,0.0,1.87923035691e-05,0.291694136
CG42339,0.0,9.73613566103,1.87923035691e-05,0.291694136
CG33639,5.27580988391,0.0,1.87923035691e-05,0.291694136
CG30089,6.23831283046,0.0,3.03089062316e-05,0.470454842527
CG31221,9.71830687099,0.0,3.11543104412e-05,0.483577206668
CG42342,6.49044641544,9.52164040729,3.82914473375e-05,0.594359845572
ST6Gal,11.2421461559,9.89864318421,4.86728378236e-05,0.755499788697
bru-3,6.98907152269,0.0,5.78208106649e-05,0.897494623141
nAChRalpha2,9.02407329862,10.8260340944,6.1672877202e-05,0.957286399929
CG31808,11.237962601,12.0080599795,6.1672877202e-05,0.957286399929
fru,0.0,7.52830006198,6.2654363942e-05,0.972521037107
dpr15,0.0,8.03403138734,6.2654363942e-05,0.972521037107
CG42747,7.64825980206,0.0,6.2654363942e-05,0.972521037107
CG9896,0.0,7.67688302213,6.2654363942e-05,0.972521037107
acj6,5.59328099541,0.0,6.2654363942e-05,0.972521037107
CG42541,7.50270598557,0.0,0.00011600356004,1.80060725894
plum,6.44479766644,0.0,0.000119835656962,1.86008906736
CG15537,10.9295987294,8.90747758552,0.000123103116411,1.91080657294
rdgC,6.27975716191,9.82752727358,0.000144911179874,2.249311334
Glut4EF,8.17418298116,6.27414044619,0.000153557237674,2.38351544317
GluClalpha,6.79721477679,9.45178871838,0.000154022352814,2.39073496038
CG1358,0.917147508955,9.35628498359,0.000173095085209,2.68678191261
Dscam4,9.01145223208,6.2599761735,0.000186526072248,2.89525769344
apt,0.0,8.28146417096,0.000191427754366,2.97134160328
IP3K2,0.0,8.15733130276,0.000191695863289,2.97550318997
ara,5.29329807761,0.0,0.000191695863289,2.97550318997
lbk,0.0,3.9856453813,0.000191695863289,2.97550318997
Octbeta1R,8.58231840246,2.32174704505,0.000193390407598,3.00180590674
Rbp9,7.25023298876,8.82122052436,0.000238840864478,3.70728789844
rgn,7.6571385064,9.73363393327,0.000296021072947,4.59483909429
CG15803,3.23880369958,0.0,0.000386116522864,5.99330066789
NnaD,0.0,3.85852332955,0.000401100451324,6.22588120545
CR45312,0.0,6.50698401086,0.000401100451324,6.22588120545
CG33543,8.82831577514,10.3108371151,0.000449304376389,6.9741025303
Hsp70Bb,6.15926190752,7.23624372874,0.00045046779818,6.99216116335
VhaM8.9,10.1955058517,9.4222417654,0.00045046779818,6.99216116335
DIP-theta,0.0,7.84075179658,0.000490627225359,7.61551579203
CG13288,0.0,7.56918922529,0.000505276606553,7.84290348691
Msp300,8.33428020249,3.64490641359,0.00053936770472,8.37206551266
CG10863,5.34077040782,0.0,0.000542166280837,8.41550501115
CG34393,0.0,5.07064899939,0.000542166280837,8.41550501115
tsh,0.0,6.30786471462,0.000542166280837,8.41550501115
GV1,8.25462100784,0.0,0.000542166280837,8.41550501115
CG43324,9.58630579259,8.25392689125,0.00055308909204,8.58504888665
trn,8.38818133854,0.0,0.000599404297285,9.30395350247
TfIIS,6.02643554764,0.0,0.000634034528259,9.84148394764
Gbeta13F,10.6938341803,9.83531522081,0.000676970721546,10.5079395398
CG31676,8.91966095877,10.5581849882,0.000826019728117,12.8214782198
nAChRalpha1,0.0,5.97926652963,0.000882615531441,13.699958279
CG14043,0.0,8.20499940157,0.000917336707587,14.2389003752
pgant2,5.40319055486,0.0,0.000924738753125,14.353794926
ATPsynbeta,13.1439532951,12.8400645259,0.00100475242783,15.5957671848
hth,9.36227220777,10.4412256064,0.00100475242783,15.5957671848
beat-IIIb,8.52351754147,4.06946828426,0.00102287859676,15.8771215789
lap,0.0,4.51079363225,0.00112871004054,17.5198372493
CG44153,6.15429697587,0.0,0.00112871004054,17.5198372493
CG43737,9.08760186691,5.38581968357,0.00116590237631,18.0971366851
Gr28b,7.41885541696,0.0,0.00126291265293,19.6029301988
CG11317,0.0,7.58597647341,0.00126291265293,19.6029301988
sol,7.99599679258,0.0,0.00135089837356,20.9686445544
CG34362,6.71974146272,0.0,0.00136672541789,21.2143119366
CCKLR-17D3,7.55530006337,0.0,0.00142779274305,22.1621989576
Irk1,0.0,4.59130027905,0.00142779274305,22.1621989576
CG8641,2.74619981667,0.0,0.00142779274305,22.1621989576
bol,8.45817871153,6.71573987981,0.00146972308396,22.8130417092
