symbol,medianA,medianB,pvalue,pvalue_adj
C15,9.28621702381,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.0460724455,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.0912255521,5.13445780758e-06,0.0796970540892
PVRAP,8.69740750814,0.0,5.13445780758e-06,0.0796970540892
bru-3,6.69428779238,0.0,1.55845526505e-05,0.24190342624
Cbp53E,1.89485709334,11.3009263513,1.59244638206e-05,0.247179527424
CG31997,6.2439599263,9.22066832095,1.75893739454e-05,0.27302226238
CG30089,5.79551846754,0.0,1.87923035691e-05,0.291694136
CG42339,0.0,8.96635917877,1.87923035691e-05,0.291694136
CG7985,0.0,8.767159801,1.87923035691e-05,0.291694136
fru,0.0,6.94060452865,1.87923035691e-05,0.291694136
CG42541,7.72505547116,0.0,1.87923035691e-05,0.291694136
klg,5.23224180291,8.7552813359,2.9587322254e-05,0.459254416027
Argk,12.2533529443,11.3443458725,3.0028801484e-05,0.466107056635
CG33639,5.0630592749,0.0,3.92892831811e-05,0.609848253538
CG31221,9.63371275695,0.51199911941,4.29865050075e-05,0.667236530727
CG15537,11.0749585188,9.51205925409,4.86728378236e-05,0.755499788697
CG43729,11.0276120309,8.74312736782,4.86728378236e-05,0.755499788697
CG2082,12.1643446317,9.28867386639,6.14635008328e-05,0.954036459927
CTPsyn,8.11718668358,0.0,6.2654363942e-05,0.972521037107
acj6,5.33643468222,0.0,6.2654363942e-05,0.972521037107
GV1,8.27221592276,0.0,6.2654363942e-05,0.972521037107
caup,6.68472356383,0.0,6.2654363942e-05,0.972521037107
nAChRalpha2,9.02407329862,10.6152554688,7.78979465439e-05,1.20913192626
rdgC,3.60498083261,9.8312173694,9.19345635454e-05,1.42700829535
CG14762,11.2900941878,8.27762475879,9.80807368533e-05,1.52240919744
dpr15,0.0,7.93893825874,0.000148206009967,2.30045368671
nAChRalpha1,0.0,3.76360051286,0.000181576601823,2.8184320135
Sulf1,7.00751417913,0.0,0.000191427754366,2.97134160328
CG42747,7.64825980206,0.0,0.000191695863289,2.97550318997
ST6Gal,11.2421461559,9.59941587354,0.000192101013517,2.98179193182
DIP-eta,0.0,8.11808288,0.00019433835008,3.01651986994
CG42342,6.49044641544,9.9332126588,0.00029277029605,4.54438053528
Cow,7.26800337151,9.45028916819,0.000296021072947,4.59483909429
CG31808,11.3674091612,11.839874317,0.000365740995907,5.67703173847
twit,0.0,9.41736753718,0.000376532512733,5.84453766264
CG2970,7.58674912561,0.0,0.000388399919053,6.02874354353
CG4502,8.77997857398,0.0,0.000400152907868,6.21117343593
hth,9.36227220777,10.7458916484,0.00045046779818,6.99216116335
dpr8,7.91669766645,4.04896505099,0.00053936770472,8.37206551266
CG9896,0.0,2.70871757971,0.000542166280837,8.41550501115
Gr28b,7.01194451494,0.0,0.000542166280837,8.41550501115
atms,4.86053793607,0.0,0.000542166280837,8.41550501115
sesB,12.1672428268,12.5294621306,0.00055308909204,8.58504888665
CG11151,5.87634044445,0.0,0.000599404297285,9.30395350247
mCD8-GFP,11.5770279096,12.7968873332,0.000676970721546,10.5079395398
CG2246,9.37914788437,7.02840284922,0.00073042034003,11.3375845179
tsu,5.89402529844,0.0,0.000742842896261,11.5304074358
jigr1,8.21377679861,0.0,0.000755145951111,11.7213754531
mod(mdg4),8.47655049901,4.3988298555,0.000818314149943,12.7018722354
pros,10.0457037655,8.9064695567,0.000826019728117,12.8214782198
CG31676,8.953831623,10.7122325542,0.000826019728117,12.8214782198
Hsp70Bb,5.99372700134,7.28121889106,0.000826019728117,12.8214782198
Glut4EF,8.36454587329,6.06405491134,0.000826019728117,12.8214782198
Pop2,8.18231027815,2.70026161851,0.000882615531441,13.699958279
GluClalpha,6.51953230047,9.40336156761,0.00100475242783,15.5957671848
Pex23,4.61331220528,0.0,0.00113640233548,17.6392370513
GABA-B-R2,8.71392787392,5.58803709285,0.00119195654579,18.5015495037
CG42673,7.05363306229,0.0,0.00126291265293,19.6029301988
CG6184,8.57163294045,0.469212490155,0.00136666167891,21.2133225801
CG43737,8.7792580267,0.469212490155,0.00136666167891,21.2133225801
Ggamma30A,9.16115600446,6.98403228653,0.00141157064903,21.9103996143
shrb,7.42059884701,5.20138095206,0.00141157064903,21.9103996143
CR46140,0.868702365067,0.0,0.00142779274305,22.1621989576
CG13288,0.0,2.18811476219,0.00142779274305,22.1621989576
CG1537,0.0,4.20863055724,0.00142779274305,22.1621989576
Irk1,0.0,3.18956281543,0.00142779274305,22.1621989576
CG31760,0.0,4.41070508405,0.00142779274305,22.1621989576
CG17385,8.84608058256,7.82187428951,0.00146044673523,22.6690542243
CG33090,9.42302023673,5.6633242244,0.00146044673523,22.6690542243
CG17270,7.47395435458,9.02320089804,0.00146972308396,22.8130417092
Hsp60,11.1113588878,11.8441776635,0.00147282307527,22.8611597743
heph,4.67381289449,0.0,0.00151213077469,23.4712938847
CG14024,9.70029525732,7.8711786927,0.00161411225715,25.0542504554
CG4768,6.9678758947,0.0,0.00161732083694,25.1040540309
apt,0.0,8.08635767604,0.00171566764987,26.6305932612
RpS13,5.60941582975,7.66442916018,0.00173908106987,26.9940163665
glob1,7.65929908829,0.0,0.0018668701386,28.9775582913
tna,5.91964138052,1.64436765444,0.00190593953565,29.5839934724
CG1402,7.60420617468,0.0,0.00196453706682,30.4935443511
CG11658,8.76390986586,0.0,0.00201257007866,31.239112761
CG16758,9.16921335727,10.1695330324,0.00212820989586,33.0340740036
CG4497,7.3081892393,0.0,0.00226897640886,35.2190518183
CG14400,0.0,1.47383961344,0.00239300692391,37.1442534729
CG32944,0.0,5.95611468871,0.00255244743278,39.6190890516
Fas1,8.88905161568,9.85979178564,0.0025539527125,39.6424540034
Tomosyn,9.42693097695,10.0865617291,0.0025539527125,39.6424540034
CG11811,7.72308291621,2.28462814787,0.00261422729693,40.578036103
CG4050,4.91864167499,0.0,0.00278672611851,43.2555628115
Ca-alpha1T,7.86851617973,0.0,0.00285052336252,44.245823633
ArfGAP1,7.91752197185,2.634775252,0.00285906907543,44.3784701888
Gfat2,7.90633706071,0.0,0.00291155513335,45.1931587799
CCKLR-17D3,7.66220461997,0.0,0.0029371589306,45.5905809207
mura,6.99764502108,8.63111648112,0.00304947296561,47.3339193722
Ih,9.47528278706,9.97145330239,0.00304947296561,47.3339193722
spir,9.59991886468,2.2802720003,0.00328417982783,50.9770392876
mRpL43,0.0,6.1070239962,0.00340824673532,52.9028058256
Ubc2,6.91584049944,1.64114423014,0.00350437791695,54.3949540269
CG11539,0.462200998909,0.0,0.00352705120034,54.7468887317
dpr3,1.02437639446,0.0,0.00352705120034,54.7468887317
Dpit47,2.00208610658,0.0,0.00352705120034,54.7468887317
CR45312,0.0,2.49227357052,0.00352705120034,54.7468887317
run,1.79961176819,0.0,0.00352705120034,54.7468887317
thoc5,1.87160139922,0.0,0.00352705120034,54.7468887317
CG6272,1.23658228125,0.0,0.00352705120034,54.7468887317
CG5590,0.0,2.20120390085,0.00352705120034,54.7468887317
Cyp6a17,1.73004433078,0.0,0.00352705120034,54.7468887317
CG31915,0.915318068785,0.0,0.00352705120034,54.7468887317
