symbol,medianA,medianB,pvalue,pvalue_adj
C15,9.25825954803,0.0,5.13445780758e-06,0.0796970540892
CG42541,7.80330673751,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.3690377178,5.13445780758e-06,0.0796970540892
fru,0.0,7.63158201391,5.13445780758e-06,0.0796970540892
CG30089,6.09205798653,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.31077956535,0.0,5.13445780758e-06,0.0796970540892
klg,5.84123554323,9.23890695933,1.75893739454e-05,0.27302226238
bru-3,6.69428779238,0.0,1.87923035691e-05,0.291694136
CG33639,5.0630592749,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,8.10538898446,3.03089062316e-05,0.470454842527
CG2082,12.1732350926,8.83055937308,6.14635008328e-05,0.954036459927
caup,7.13661094746,0.0,6.2654363942e-05,0.972521037107
Fife,0.0,6.75751274626,6.2654363942e-05,0.972521037107
Cow,7.45322219356,9.95031217651,7.78979465439e-05,1.20913192626
Cbp53E,6.13404669192,11.2107674325,9.49709897323e-05,1.47413970262
apt,0.0,7.6052306731,0.00011600356004,1.80060725894
DIP-eta,0.0,8.59317272864,0.00011600356004,1.80060725894
hth,9.04668315255,10.9220273453,0.000123103116411,1.91080657294
CG31221,9.30339186905,4.919030377,0.000153557237674,2.38351544317
CG42342,3.26242329838,10.0726898454,0.000154805827293,2.40289605124
Sulf1,6.71413143994,0.0,0.000161903572382,2.51306725052
CG42339,0.0,9.58436734222,0.000188639994557,2.92806999551
hdc,5.16851358393,0.0,0.000191695863289,2.97550318997
trn,6.85416771632,0.0,0.000191695863289,2.97550318997
GV1,7.34807954072,0.0,0.000191695863289,2.97550318997
CG31997,2.26284957183,8.99261355039,0.000202898452929,3.14938978637
nAChRalpha1,0.360385118726,5.71546805461,0.000268413593425,4.16631579714
CG15537,10.8604632591,9.35471715459,0.000295206040972,4.58218816797
CG31808,10.8188397945,12.0049663393,0.000296021072947,4.59483909429
beat-IIIb,8.17422052915,3.17564321219,0.000346567437383,5.37941976306
CG7985,0.0,8.7046956693,0.000386116522864,5.99330066789
CG42747,7.45203801831,0.0,0.000401100451324,6.22588120545
nAChRalpha2,8.8590918485,10.4466460365,0.000404992738743,6.28629729078
CG43729,10.9998544338,9.66323682425,0.00045046779818,6.99216116335
rdgC,6.94203946636,9.95114337007,0.000525874701383,8.16262711487
CG9896,0.0,4.26428170891,0.000542166280837,8.41550501115
CCKLR-17D3,7.90249205384,0.0,0.000542166280837,8.41550501115
CG6959,5.33208953781,0.0,0.000542166280837,8.41550501115
tsh,0.0,5.03305971281,0.000542166280837,8.41550501115
Tina-1,7.23161346436,9.14631949219,0.000676970721546,10.5079395398
mCD8-GFP,11.7563755526,13.083253457,0.000676970721546,10.5079395398
CG46280,8.15174896144,0.0,0.000746008722863,11.5795473963
CG44153,6.25264481927,0.0,0.000917336707587,14.2389003752
Hsp67Bc,10.6074172574,7.742731401,0.000959980575337,14.9008184904
ND-23,8.16285315971,9.2492352444,0.00121836740449,18.9114988526
Den1,7.77841224001,0.565243564425,0.00122607677974,19.0311637751
CG42258,6.93007172428,0.0,0.00135089837356,20.9686445544
Octbeta1R,8.3861035711,3.25480709063,0.00141157064903,21.9103996143
HDAC1,4.69347909727,0.0,0.00142779274305,22.1621989576
CG8641,2.74619981667,0.0,0.00142779274305,22.1621989576
Eip55E,4.04150705032,0.0,0.00142779274305,22.1621989576
acj6,4.53266625536,0.0,0.00142779274305,22.1621989576
Gr28b,5.38048503845,0.0,0.00142779274305,22.1621989576
pog,2.18904554676,0.0,0.00142779274305,22.1621989576
CG42673,6.63590934295,0.0,0.00142779274305,22.1621989576
CG31760,0.0,6.00565654809,0.00142779274305,22.1621989576
twit,0.0,9.32365359622,0.00150721646069,23.3950139029
CG9384,1.26658304048,0.0,0.00151213077469,23.4712938847
glob1,7.65929908829,0.0,0.00161732083694,25.1040540309
CG11221,6.57854447368,0.0,0.00169115023202,26.2500339014
CG34113,5.913287519,0.0,0.00171566764987,26.6305932612
CG14762,11.0836544197,9.32224437792,0.00177131609779,27.4943684699
Rbp9,7.41451090358,8.81673536905,0.00177491931746,27.5502976456
CG1402,2.78708935158,0.0,0.001828432202,28.3809246395
CSN1b,4.77107726304,0.0,0.00194175002269,30.1398438521
dpr18,7.92587731234,0.0,0.00209647825016,32.541535399
CG31676,9.08585387243,10.5536476734,0.00211572035207,32.8402113049
pros,10.1134215906,9.02034639406,0.00213238245702,33.0988404978
ST6Gal,10.9321593389,10.093031551,0.00213238245702,33.0988404978
