symbol,medianA,medianB,pvalue,pvalue_adj
CG30089,5.448327571,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.3165146269,5.13445780758e-06,0.0796970540892
C15,9.41025081877,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.05641860828,0.0,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.36959805504,7.09569794446e-06,0.110139423494
twit,0.0,9.7641680783,1.45213319843e-05,0.22540011506
beat-IIIb,8.56183866328,0.0,1.68616240509e-05,0.261726128517
CG42342,5.85085762705,9.82172171278,1.75893739454e-05,0.27302226238
CG2082,12.1643446317,8.72086399421,1.82210136462e-05,0.282826573817
CG33639,4.96270643776,0.0,1.87923035691e-05,0.291694136
Fife,0.0,7.23842226516,1.87923035691e-05,0.291694136
DIP-eta,0.0,8.80202375692,1.87923035691e-05,0.291694136
CG42541,6.93696591691,0.0,3.03089062316e-05,0.470454842527
CG42747,8.07181597162,0.0,3.03089062316e-05,0.470454842527
dpr15,0.0,7.9696462024,3.92892831811e-05,0.609848253538
Cbp53E,0.437436304254,11.304580457,4.29865050075e-05,0.667236530727
klg,5.23224180291,8.89009731039,4.53579289172e-05,0.704045772652
Cow,7.48229528181,9.97620406442,6.1672877202e-05,0.957286399929
fru,0.0,7.63122474794,6.2654363942e-05,0.972521037107
GV1,7.73132719693,0.0,6.2654363942e-05,0.972521037107
CG9896,0.0,7.55549071573,6.2654363942e-05,0.972521037107
CG31221,9.50462334744,0.51199911941,6.92728397833e-05,1.07525301912
apt,0.0,8.41671162399,7.39782380629e-05,1.14829021121
bru-3,5.8005581264,0.0,0.000119835656962,1.86008906736
CG7985,0.0,8.81706193745,0.000148206009967,2.30045368671
Adf1,4.44490279885,8.0052405541,0.000149416648845,2.31924522337
hth,8.80349143939,10.7056517565,0.000154022352814,2.39073496038
trn,7.84368974845,0.0,0.000191695863289,2.97550318997
acj6,5.1359430078,0.0,0.000191695863289,2.97550318997
CG6329,9.20697167053,10.1501628865,0.000192101013517,2.98179193182
thoc7,7.40003330388,0.0,0.000232858915968,3.61443609366
nAChRalpha2,8.82577367302,10.8783316247,0.000265258790082,4.11734693965
CG14762,11.338955431,9.15356426212,0.000296021072947,4.59483909429
CG43729,10.7727180871,9.05686589489,0.000296021072947,4.59483909429
CG1824,6.90381802208,0.0,0.000302203756243,4.69080670441
CG15537,10.9346375748,9.67946113853,0.000365740995907,5.67703173847
CG33543,8.89769739238,10.2540037464,0.000365740995907,5.67703173847
nAChRalpha1,0.0,5.71275494225,0.000388399919053,6.02874354353
dpr18,7.98995667763,0.0,0.000401100451324,6.22588120545
Rbp9,7.06589021911,8.87940083838,0.00045046779818,6.99216116335
Ten-m,8.30119514674,0.0,0.000490627225359,7.61551579203
Ddr,7.28682475735,0.0,0.0004986200163,7.73957989301
dpr6,7.38072676308,0.0,0.000542166280837,8.41550501115
CR45409,2.65129632511,0.0,0.000542166280837,8.41550501115
Irk1,0.0,5.7053574722,0.000542166280837,8.41550501115
Tret1-1,0.874835142646,0.0,0.000542166280837,8.41550501115
IP3K2,0.0,6.35724843272,0.000542166280837,8.41550501115
mCD8-GFP,12.0866976808,12.9886517514,0.00055308909204,8.58504888665
Hsp70Bb,6.43749537155,7.35523436479,0.00055308909204,8.58504888665
rdgC,6.06337607614,9.85832169676,0.000597201954302,9.26976873468
CG44153,6.76151259693,0.0,0.000606251512059,9.41023597018
CG9940,5.73391773389,0.0,0.000634034528259,9.84148394764
CG2680,6.98300509145,8.44506272984,0.0006753339723,10.482533918
CG43867,6.20655930341,0.0,0.000741696486829,11.5126128686
cmpy,6.94349749653,8.93925271613,0.000826019728117,12.8214782198
