symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.1105302989,5.13445780758e-06,0.0796970540892
PVRAP,8.31077956535,0.0,7.09569794446e-06,0.110139423494
C15,9.55453981061,0.0,7.09569794446e-06,0.110139423494
CG30089,7.19122253763,0.0,9.15336830931e-06,0.142078582897
CG2082,12.1472689168,8.64789728135,1.82922767695e-05,0.283932720016
dpr15,0.0,8.36025891108,1.87923035691e-05,0.291694136
Fife,0.0,7.40746199794,1.87923035691e-05,0.291694136
fru,0.0,7.59462060154,1.87923035691e-05,0.291694136
klg,5.41206046755,8.95612970237,2.17429698644e-05,0.337494378236
CG31221,9.51621420931,5.5674176416,2.78712282901e-05,0.43261720552
CG33639,5.11875291948,0.0,3.03089062316e-05,0.470454842527
DIP-eta,0.0,8.63689781472,3.03089062316e-05,0.470454842527
CG42541,7.85656364759,0.0,3.03089062316e-05,0.470454842527
Sulf1,7.00751417913,0.0,3.11543104412e-05,0.483577206668
CG42342,6.00200465793,9.57817043556,3.81539413546e-05,0.592225477705
bru-3,7.31269789558,0.0,4.01279246574e-05,0.622865646532
CG15537,11.0125018621,9.4274511867,4.86728378236e-05,0.755499788697
twit,0.0,9.7641680783,5.1305805304e-05,0.796368709929
acj6,4.84764081058,0.0,6.2654363942e-05,0.972521037107
apt,0.0,8.3560240326,6.2654363942e-05,0.972521037107
dpr18,7.54330547552,0.0,6.2654363942e-05,0.972521037107
CG42339,0.0,9.37877072098,6.53070589699e-05,1.01369616933
Cbp53E,3.3352681863,11.4121178213,7.28770520889e-05,1.13119760252
Hsp67Bc,10.8404168512,6.13198880325,7.53563582746e-05,1.16968139314
Cow,7.45322219356,9.85978731305,7.78979465439e-05,1.20913192626
CG31808,11.145389752,11.9611440022,7.78979465439e-05,1.20913192626
CG42747,7.64825980206,0.0,0.00011600356004,1.80060725894
hth,8.75066316942,10.8948159546,0.000123103116411,1.91080657294
CanA-14F,3.51672448159,7.70166676456,0.000181067514352,2.81052995777
rdgC,4.95669718386,9.73480357926,0.000193390407598,3.00180590674
nAChRalpha2,8.98691618925,10.2678558511,0.000208158797579,3.23104085602
CG43729,11.056462329,8.8720336493,0.000238840864478,3.70728789844
CG14762,11.4353834177,8.94912695958,0.000295206040972,4.58218816797
CG15202,6.52994418651,0.0,0.00034514205479,5.35729497446
CG9940,5.44943830583,0.0,0.000401100451324,6.22588120545
caup,7.81341960695,0.0,0.000401100451324,6.22588120545
Octbeta1R,8.5369214848,3.44492640305,0.000445826278835,6.92011550008
IA-2,10.4685459797,11.4228042011,0.00045046779818,6.99216116335
CG7985,0.0,8.17009082351,0.000505276606553,7.84290348691
CG9896,0.0,7.2049459389,0.000542166280837,8.41550501115
Gr28b,7.78413365838,0.0,0.000542166280837,8.41550501115
tsh,0.0,5.03305971281,0.000542166280837,8.41550501115
CG34148,0.0,2.692437333,0.000542166280837,8.41550501115
Ac76E,7.75279121936,0.0,0.000746008722863,11.5795473963
Glut4EF,8.17418298116,5.40344625309,0.000824088988833,12.7915092847
pros,10.0807246018,8.86354922961,0.000826019728117,12.8214782198
CG7781,11.4983274187,12.0123612411,0.000826019728117,12.8214782198
DIP-theta,0.0,7.37329406536,0.000916382889454,14.2240952101
nAChRalpha1,0.47658944794,6.196763837,0.000927243614384,14.3926753825
Dscam4,8.60064220014,6.31644226219,0.000959980575337,14.9008184904
CG1607,8.54653488867,6.96903025881,0.000995695028697,15.4551782354
trn,8.12417269253,0.0,0.00108495092142,16.8406082023
glob1,8.10649459915,0.0,0.00112871004054,17.5198372493
Hsp70Bb,6.51392654893,7.39771503991,0.00121836740449,18.9114988526
sesB,11.9566666234,12.6976449441,0.00121836740449,18.9114988526
CG1824,4.98003119261,0.0,0.00126291265293,19.6029301988
CCKLR-17D3,8.07866085873,0.0,0.00126291265293,19.6029301988
Eip55E,7.04765943152,0.0,0.00126291265293,19.6029301988
CG8641,2.74619981667,0.0,0.00142779274305,22.1621989576
CG10384,0.0,2.40585747165,0.00142779274305,22.1621989576
MsR1,0.0,5.30527660875,0.00142779274305,22.1621989576
CG31760,0.0,3.66079802076,0.00142779274305,22.1621989576
CG8010,7.20393701362,0.0,0.00142779274305,22.1621989576
beat-Ic,0.0,1.74298478922,0.00142779274305,22.1621989576
CG5087,1.47065261588,0.0,0.00142779274305,22.1621989576
IP3K2,0.0,7.35696844292,0.00142779274305,22.1621989576
kuz,1.93492348623,0.0,0.00142779274305,22.1621989576
NnaD,0.0,2.28945219855,0.00142779274305,22.1621989576
CG3605,5.22609468228,0.0,0.00142779274305,22.1621989576
CG43737,8.83231561291,3.83024766075,0.00144200028716,22.3827284574
Ggamma30A,8.90706539011,5.20880026922,0.00144200028716,22.3827284574
mCD8-GFP,11.7563755526,12.9294311466,0.00147282307527,22.8611597743
FK506-bp2,9.33798064162,7.9929347356,0.00147282307527,22.8611597743
ST6Gal,11.0453935262,10.1816222788,0.00147282307527,22.8611597743
Ktl,9.65976702489,10.9799011818,0.00147282307527,22.8611597743
CG31997,6.2439599263,9.37231175425,0.0015028760232,23.3276416321
rb,1.71251653118,0.0,0.00151213077469,23.4712938847
Moca-cyp,6.98405522573,0.0,0.0018668701386,28.9775582913
Teh4,8.11174224467,0.0,0.00194175002269,30.1398438521
CG4908,6.72829757025,0.0,0.00194175002269,30.1398438521
mbl,9.43995213539,8.3011670492,0.00213238245702,33.0988404978
Rbp9,8.01889168891,9.03369463439,0.00213238245702,33.0988404978
CG34362,6.71974146272,0.0,0.00237816800051,36.9139237038
nrv2,7.79245728691,0.0,0.00237816800051,36.9139237038
TfIIEbeta,6.63267972039,0.0,0.00252281894047,39.159195594
GV1,7.63126819019,0.0,0.00252281894047,39.159195594
lbk,0.0,4.39497830434,0.00255244743278,39.6190890516
