symbol,medianA,medianB,pvalue,pvalue_adj
PVRAP,8.16205913364,0.0,5.13445780758e-06,0.0796970540892
C15,9.25825954803,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.29642653092,5.13445780758e-06,0.0796970540892
CG30089,6.61341805813,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.5875142217,5.13445780758e-06,0.0796970540892
Cbp53E,5.94742823482,11.364072314,1.75893739454e-05,0.27302226238
fru,0.0,7.50657852272,1.87923035691e-05,0.291694136
DIP-eta,0.0,8.49360828638,1.87923035691e-05,0.291694136
CG42541,7.85297629609,0.0,1.87923035691e-05,0.291694136
CG31997,0.0,9.37231175425,2.4291233778e-05,0.377048530702
klg,4.8518473075,9.04579745888,2.78712282901e-05,0.43261720552
CG31808,11.1349072354,11.9245863005,3.0028801484e-05,0.466107056635
slmo,2.0446357827,4.81902205276,3.56123299774e-05,0.552774585909
nAChRalpha2,8.86046070762,10.4346545805,3.81539413546e-05,0.592225477705
CG43729,10.9998544338,9.48161151962,4.86728378236e-05,0.755499788697
CG33639,5.67518593965,0.0,5.07461880929e-05,0.787682331577
CG2082,12.1369655734,9.24269483903,6.14635008328e-05,0.954036459927
caup,7.0481587729,0.0,6.2654363942e-05,0.972521037107
acj6,4.84764081058,0.0,6.2654363942e-05,0.972521037107
apt,0.0,8.18269720716,6.2654363942e-05,0.972521037107
bru-3,6.99656200463,0.0,6.53070589699e-05,1.01369616933
dpr15,0.0,7.9696462024,6.53070589699e-05,1.01369616933
Glut4EF,8.17418298116,6.02929735419,9.80807368533e-05,1.52240919744
Argk,12.1616492153,11.1699150211,9.80807368533e-05,1.52240919744
CG42339,0.0,8.55110315032,0.000106995032231,1.66077689029
CG15537,11.0074630168,9.46445201081,0.000123103116411,1.91080657294
CG31221,9.51045809229,3.64891625558,0.000144911179874,2.249311334
CG7985,0.0,8.69036226588,0.000148206009967,2.30045368671
Efa6,0.0,6.73446144073,0.000148206009967,2.30045368671
pros,10.2110180339,8.82977272117,0.000154022352814,2.39073496038
CG14762,11.4618728595,8.27762475879,0.000154022352814,2.39073496038
Sulf1,7.04368345369,0.0,0.000166728382707,2.58795795638
CCKLR-17D3,8.177379142,0.0,0.000191695863289,2.97550318997
CG42747,7.39884477636,0.0,0.000191695863289,2.97550318997
CG9896,0.0,5.09488338921,0.000191695863289,2.97550318997
rb,1.19059174951,0.0,0.000191695863289,2.97550318997
Ktl,9.43856091561,11.2546806971,0.000192101013517,2.98179193182
