symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.133539513,5.13445780758e-06,0.0796970540892
C15,9.13038646663,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.36912700671,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.63689781472,9.15336830931e-06,0.142078582897
bru-3,6.43480546935,0.0,1.19642080675e-05,0.185708437624
apt,0.0,8.3560240326,1.22446437935e-05,0.190061360963
CG31997,0.0,9.24160873805,1.46238770616e-05,0.22699181975
Cbp53E,0.437436304254,11.2671292947,1.59244638206e-05,0.247179527424
CG15537,10.6067577181,9.3871276739,1.82922767695e-05,0.283932720016
Fife,0.0,7.70998580885,1.87923035691e-05,0.291694136
CG33639,5.99334722919,0.0,1.87923035691e-05,0.291694136
fru,0.0,7.33981154157,1.87923035691e-05,0.291694136
caup,6.77317573839,0.0,1.87923035691e-05,0.291694136
CG42342,5.61740471929,9.71861622499,2.2595776672e-05,0.350731645504
klg,0.0,9.12754797021,2.4291233778e-05,0.377048530702
Sulf1,6.38754578919,0.0,3.03089062316e-05,0.470454842527
CG30089,6.09205798653,0.0,3.03089062316e-05,0.470454842527
CG43729,10.9998544338,9.11612498985,3.82914473375e-05,0.594359845572
CG42339,0.0,9.66538270137,3.92892831811e-05,0.609848253538
CG7985,0.0,8.79189809074,3.92892831811e-05,0.609848253538
rdgC,5.86219157197,9.8251352497,4.69932122786e-05,0.729428640989
nAChRalpha2,8.8590918485,10.7494892706,4.85028584301e-05,0.752861368552
nAChRalpha1,0.0,5.30395555817,5.1305805304e-05,0.796368709929
CG31221,9.36907760762,2.6745390936,5.46570872633e-05,0.848387308501
Cow,7.45322219356,9.97078093812,6.1672877202e-05,0.957286399929
CG42541,7.21294442248,0.0,6.2654363942e-05,0.972521037107
dpr15,0.0,7.46959810367,6.2654363942e-05,0.972521037107
NnaD,0.0,3.78647120131,6.2654363942e-05,0.972521037107
CG2082,12.1369655734,9.25431256491,7.78979465439e-05,1.20913192626
hth,9.44517887625,10.6164073908,9.80807368533e-05,1.52240919744
CG14762,11.3975113446,9.15356426212,0.000122720086651,1.904861185
CG32225,8.74741611656,10.5593437503,0.000123103116411,1.91080657294
twit,0.0,9.62327517102,0.000132597583797,2.05817969569
GV1,9.06616909448,0.0,0.000191695863289,2.97550318997
CG9896,0.0,6.3743442586,0.000191695863289,2.97550318997
acj6,4.84764081058,0.0,0.000191695863289,2.97550318997
mCD8-GFP,11.6122293344,13.0515837475,0.000192101013517,2.98179193182
CG1358,0.0,8.32279032715,0.000202898452929,3.14938978637
CG31676,8.953831623,10.4269876337,0.000236135092723,3.66528890925
Hsp70Bb,6.03913769776,7.4393855036,0.000238840864478,3.70728789844
pros,10.4141462671,8.95201413293,0.000296021072947,4.59483909429
Rbp9,7.53731130448,8.92988684578,0.000365740995907,5.67703173847
CG8866,1.85957767565,8.07144986194,0.000388399919053,6.02874354353
parvin,0.0,7.82353477904,0.000401100451324,6.22588120545
ara,6.70861283728,0.0,0.000401100451324,6.22588120545
CG42747,7.64825980206,0.0,0.000401100451324,6.22588120545
GluClalpha,6.79721477679,9.62851499856,0.00045046779818,6.99216116335
Hsepi,0.0,7.11812893888,0.000505276606553,7.84290348691
Hsp67Bc,10.5505448424,8.95473903277,0.000525874701383,8.16262711487
CG12343,0.0,5.10365101482,0.000542166280837,8.41550501115
Gr28b,7.99955497033,0.0,0.000542166280837,8.41550501115
CG6959,5.68635770218,0.0,0.000542166280837,8.41550501115
CG33543,8.62256192496,10.3591021015,0.000551706634864,8.56359038637
Glut4EF,8.06997161851,7.09171021936,0.00055308909204,8.58504888665
Octbeta1R,8.50119329333,2.17189493254,0.000560911060533,8.7064614816
CG11317,0.0,7.98804293396,0.000595886334442,9.24934768321
rgn,8.04089803829,9.48687849568,0.0006753339723,10.482533918
CG31808,11.0798527855,11.973500466,0.000676970721546,10.5079395398
ST6Gal,11.0453935262,10.0447462708,0.000826019728117,12.8214782198
