symbol,medianA,medianB,pvalue,pvalue_adj
Fife,0.0,7.92013385723,5.13445780758e-06,0.0796970540892
CG42339,0.0,9.53354181318,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.3570858875,5.13445780758e-06,0.0796970540892
C15,9.76208990429,0.0,5.13445780758e-06,0.0796970540892
PVRAP,8.10938949047,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.49879100861,7.09569794446e-06,0.110139423494
CG7985,0.0,8.90717779554,7.09569794446e-06,0.110139423494
CG33639,5.0630592749,0.0,9.33764556343e-06,0.144938934436
bru-3,6.58653081839,0.0,9.33764556343e-06,0.144938934436
Cbp53E,0.466652846343,11.2133829687,1.59244638206e-05,0.247179527424
CG31221,9.50462334744,3.70722105087,1.69078033979e-05,0.262442924342
klg,6.46712997945,9.35151185941,1.82922767695e-05,0.283932720016
CG15537,10.9346375748,9.57262640487,1.82922767695e-05,0.283932720016
CG42541,7.85297629609,0.0,1.87923035691e-05,0.291694136
CG42342,6.61857644742,9.64152119628,2.89345043e-05,0.449121375744
Cow,7.17548800625,9.71789726813,3.82914473375e-05,0.594359845572
pros,10.1729729233,8.66419966619,3.82914473375e-05,0.594359845572
twit,0.0,9.60526621328,3.98264953155e-05,0.618186860287
CG30089,7.19122253763,0.0,4.50342179868e-05,0.699021131592
CG43729,11.0842199261,9.56412968055,4.86728378236e-05,0.755499788697
apt,0.0,8.19641826525,5.78208106649e-05,0.897494623141
nAChRalpha2,9.12999584353,10.6404206525,6.1672877202e-05,0.957286399929
CG9896,0.0,7.70953753977,6.2654363942e-05,0.972521037107
caup,7.21638059562,0.0,6.2654363942e-05,0.972521037107
CG2082,12.0222551141,9.34026678999,7.78979465439e-05,1.20913192626
Ktl,9.74796809079,11.0689579711,9.80807368533e-05,1.52240919744
ST6Gal,11.2421461559,8.88330620396,9.80807368533e-05,1.52240919744
hth,8.75066316942,10.5746588347,0.000123103116411,1.91080657294
Msp300,8.78758348768,2.23606338131,0.000189856989075,2.94696018442
rdgC,6.27975716191,9.67613982427,0.000189856989075,2.94696018442
Sulf1,6.90606133673,0.0,0.000191427754366,2.97134160328
acj6,5.44970148571,0.0,0.000191695863289,2.97550318997
CG6959,5.68635770218,0.0,0.000191695863289,2.97550318997
Blos2,4.87561467103,0.0,0.000191695863289,2.97550318997
NnaD,0.0,6.61293644802,0.00019433835008,3.01651986994
nAChRalpha1,0.0,6.77816636449,0.000202898452929,3.14938978637
CG31997,7.96641744403,9.30112113898,0.000225527629852,3.50063987056
GluClalpha,7.62807453946,9.29136821317,0.000238840864478,3.70728789844
RhoGDI,4.69943962229,7.84389206882,0.00029277029605,4.54438053528
CG31808,11.2730738276,11.923843245,0.000296021072947,4.59483909429
CG15803,1.32642096924,0.0,0.000308239766457,4.78449765495
CG13594,0.0,7.5736774464,0.00034514205479,5.35729497446
CG1402,7.57213401888,0.0,0.00034514205479,5.35729497446
RpS13,5.28839285673,7.63483802855,0.000361849544811,5.61662863455
CG14762,11.2244275373,9.2638982592,0.000365740995907,5.67703173847
CG13248,7.70523806397,0.0,0.000490627225359,7.61551579203
CG11317,0.0,7.61012240899,0.000505276606553,7.84290348691
Ef1alpha48D,4.94711820314,8.73444573911,0.000525874701383,8.16262711487
IP3K2,0.0,8.14300485116,0.000542166280837,8.41550501115
CG31760,0.0,6.22546074538,0.000542166280837,8.41550501115
fru,0.0,4.03338522976,0.000542166280837,8.41550501115
CG42747,7.68621640689,0.0,0.000542166280837,8.41550501115
CG13288,0.0,4.54212891592,0.000542166280837,8.41550501115
Glut4EF,7.82040369479,5.64284923355,0.000547573038485,8.49942870336
nmo,9.502188702,8.21060684621,0.00055308909204,8.58504888665
CG1358,4.44411984021,9.28616527093,0.000560911060533,8.7064614816
plum,4.84546192834,0.0,0.000595886334442,9.24934768321
Vap-33B,0.0,7.55063552347,0.000599404297285,9.30395350247
CG14400,0.0,2.27054195181,0.000634034528259,9.84148394764
rgn,7.50932657558,9.50125998784,0.0006753339723,10.482533918
CG9940,5.39978120677,0.0,0.000741696486829,11.5126128686
Mdh2,10.7778937789,11.2995229788,0.000826019728117,12.8214782198
lbk,0.0,5.82403276349,0.000916382889454,14.2240952101
CG3262,7.10511001381,0.0,0.000917336707587,14.2389003752
Ccn,0.0,7.36334160251,0.000917336707587,14.2389003752
CCKLR-17D3,7.55530006337,0.0,0.000919774599492,14.2767413333
Acon,10.2254507455,10.8305118659,0.00100475242783,15.5957671848
twf,7.8243676222,0.0,0.00107504485903,16.6868463018
CG43737,8.85597342635,5.62251212461,0.00116590237631,18.0971366851
CG42673,7.52714537752,0.0,0.00126291265293,19.6029301988
Rab40,6.72581636567,0.0,0.00126291265293,19.6029301988
CG5516,5.84463924148,0.0,0.00126291265293,19.6029301988
Nf-YB,5.3376622542,0.0,0.00138410255674,21.4840398857
PICK1,1.85219464882,0.0,0.00142779274305,22.1621989576
pasha,2.05670075121,0.0,0.00142779274305,22.1621989576
pasi1,0.0,3.17056892641,0.00142779274305,22.1621989576
dpr15,0.0,8.45879849199,0.00156917424068,24.3567225639
Gr28b,6.28779567849,0.0,0.00156917424068,24.3567225639
Irk1,0.0,6.54638123092,0.00156917424068,24.3567225639
rb,2.21318611897,0.0,0.00161732083694,25.1040540309
DIP-theta,0.0,7.47876185969,0.00166511987523,25.8459907033
CanA-14F,3.04371881207,6.89566902662,0.00173908106987,26.9940163665
kek4,8.754877031,7.19989159969,0.00176053230348,27.3269824146
CG44774,7.12101897547,5.02674244222,0.00177131609779,27.4943684699
Ten-a,7.1075030973,6.08589142488,0.00177131609779,27.4943684699
