symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.1511078703,5.13445780758e-06,0.0796970540892
CG30089,7.19122253763,0.0,5.13445780758e-06,0.0796970540892
CG33639,5.11875291948,0.0,5.13445780758e-06,0.0796970540892
bru-3,6.42731498741,0.0,5.13445780758e-06,0.0796970540892
C15,9.6832135959,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,6.553499565,5.13445780758e-06,0.0796970540892
PVRAP,8.2570185969,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,0.0,8.79025969158,7.09569794446e-06,0.110139423494
CG42339,0.0,9.27260547618,1.55845526505e-05,0.24190342624
Cbp53E,0.904089150597,11.1435038357,1.69078033979e-05,0.262442924342
CG43729,11.1262196087,9.2587541937,1.82922767695e-05,0.283932720016
CG14762,11.2900941878,9.13784370863,1.82922767695e-05,0.283932720016
CG15537,11.1505202236,9.09566545346,1.82922767695e-05,0.283932720016
Cow,7.01128729111,9.58585861917,1.82922767695e-05,0.283932720016
CG42342,2.75661738575,9.6788059149,2.05109686014e-05,0.318371254631
CG2082,12.0222551141,9.67657163243,2.34743628248e-05,0.364369059766
hth,8.75066316942,10.5917032701,3.0028801484e-05,0.466107056635
CG42747,8.15928367348,0.0,3.03089062316e-05,0.470454842527
CG42541,7.17711557797,0.0,3.03089062316e-05,0.470454842527
klg,5.67543279819,9.32587403059,3.69333042231e-05,0.573278748152
CG9531,8.5962080277,10.0982284669,6.1672877202e-05,0.957286399929
fru,0.0,7.31069516952,6.2654363942e-05,0.972521037107
hdc,5.45343209696,0.0,6.2654363942e-05,0.972521037107
Mp,8.18111389929,0.0,6.44528980183e-05,1.00043788304
CG7985,0.0,8.67199494185,9.43200352927e-05,1.46403558781
plum,6.93318566175,0.0,0.00011600356004,1.80060725894
dpr15,0.0,8.56147727395,0.000148206009967,2.30045368671
CG31221,9.50462334744,6.21968490461,0.000152167966278,2.36195117257
CG31997,5.45600063876,9.48065807453,0.000181067514352,2.81052995777
Dim1,4.84883221521,0.0,0.000191695863289,2.97550318997
rdgC,6.66536481457,10.082081551,0.000236135092723,3.66528890925
CG14806,1.72094690079,8.06230539836,0.000346567437383,5.37941976306
Ktl,9.74855960444,10.8902611623,0.000365740995907,5.67703173847
nAChRalpha2,9.00798889785,10.4820125972,0.000365740995907,5.67703173847
jdp,7.74362392533,0.0,0.000400152907868,6.21117343593
Mnt,6.2585610955,0.0,0.000403173249831,6.25805518388
RhoGAP100F,7.04672897975,0.0,0.000444828728981,6.90463153124
caup,7.62310196685,0.0,0.000505276606553,7.84290348691
NnaD,0.0,6.32013718619,0.000505276606553,7.84290348691
HP5,5.30368534834,0.0,0.000505276606553,7.84290348691
acj6,5.07923458834,0.0,0.000542166280837,8.41550501115
Argk,12.2810396284,11.437008417,0.00055308909204,8.58504888665
Rbp9,8.14142649723,8.95836628973,0.000676970721546,10.5079395398
CG5282,7.60078741534,0.0,0.000717893223829,11.1431386203
CG9940,5.32093846892,0.0,0.000741696486829,11.5126128686
CG3436,7.58267028547,0.0,0.000741696486829,11.5126128686
beat-IIIb,8.0297179194,2.87555750912,0.000787953959844,12.2306213647
TFAM,0.0,6.35925063556,0.000792514928053,12.3014167132
Ccn,0.0,8.54385031986,0.000884060424462,13.7223859085
apt,0.0,7.1447671457,0.000919774599492,14.2767413333
ATPsyngamma,11.5276599192,12.0298065739,0.00100475242783,15.5957671848
CG42673,7.36973298533,0.0,0.00122388950565,18.9972129066
CG44153,6.56615903696,0.0,0.00130526710377,20.2603559847
Pcf11,6.73075231507,0.0,0.00132692743138,20.5965675898
twf,7.8243676222,1.03389512027,0.00136666167891,21.2133225801
twit,0.0,9.52432613301,0.00137316776791,21.3143100934
CG9896,0.0,5.53633877176,0.00142779274305,22.1621989576
CG5830,2.91022347345,0.0,0.00142779274305,22.1621989576
CCKLR-17D3,6.6835182249,0.0,0.00142779274305,22.1621989576
CG31760,0.0,4.25369998837,0.00142779274305,22.1621989576
CG33090,9.68454016761,8.10091048064,0.00146972308396,22.8130417092
ara,5.29329807761,0.0,0.00151213077469,23.4712938847
CG13288,0.0,6.69370454594,0.00156917424068,24.3567225639
GV1,7.41210735154,0.0,0.00156917424068,24.3567225639
CG6959,4.67105703201,0.0,0.00156917424068,24.3567225639
heph,5.65510225328,0.0,0.00171566764987,26.6305932612
CG44247,9.01811194632,7.16057050458,0.00176053230348,27.3269824146
Spn,6.68804342846,8.03959132074,0.00177491931746,27.5502976456
CG11191,8.82771042064,0.6122296539,0.00190593953565,29.5839934724
Sulf1,6.90606133673,0.0,0.00196453706682,30.4935443511
CG43737,8.91397570079,5.83518639685,0.00209086789089,32.4544514023
pros,10.0142724615,8.95118380249,0.00213238245702,33.0988404978
CG13248,8.43857210014,0.0,0.0022921955282,35.5794589887
beta-PheRS,2.82568068245,0.0,0.00239300692391,37.1442534729
