symbol,medianA,medianB,pvalue,pvalue_adj
Fife,0.0,7.1463489462,5.13445780758e-06,0.0796970540892
Scp2,0.0,10.7852113617,5.13445780758e-06,0.0796970540892
PVRAP,7.97174704154,0.0,7.09569794446e-06,0.110139423494
CG30089,5.0061291833,0.0,7.09569794446e-06,0.110139423494
C15,9.76723889517,0.0,7.09569794446e-06,0.110139423494
CG42339,0.0,9.31834420974,7.09569794446e-06,0.110139423494
Cbp53E,0.904089150597,11.1953952118,1.69078033979e-05,0.262442924342
fru,0.0,7.27908252314,1.87923035691e-05,0.291694136
nAChRalpha2,8.69931819139,10.3338270794,2.33853293559e-05,0.362987082263
Cow,6.48562102742,9.86165196033,2.34743628248e-05,0.364369059766
sda,7.3275969375,8.63227291623,2.99179589652e-05,0.464386559058
CG42342,6.53255220969,9.7994354555,2.99179589652e-05,0.464386559058
DIP-eta,0.0,8.94238492822,3.03089062316e-05,0.470454842527
klg,4.8518473075,9.05538341116,3.56123299774e-05,0.552774585909
CG43729,10.9411764105,9.17493398136,3.82914473375e-05,0.594359845572
bru-3,6.58653081839,0.0,3.92892831811e-05,0.609848253538
CG33639,4.90701279318,0.0,3.92892831811e-05,0.609848253538
CG7985,0.0,8.79189809074,3.92892831811e-05,0.609848253538
rdgC,6.31070321696,9.9408642094,4.79956184089e-05,0.744987988944
dpr15,0.0,8.05166231501,5.07461880929e-05,0.787682331577
CG31808,11.237962601,11.9835969391,6.1672877202e-05,0.957286399929
CG11317,0.0,7.90661526577,6.2654363942e-05,0.972521037107
CG42541,7.58095725192,0.0,7.39782380629e-05,1.14829021121
CG2082,12.1732350926,9.34026678999,7.76409585271e-05,1.20514295826
pros,10.1941025017,9.12185645065,7.78979465439e-05,1.20913192626
CG31221,9.51045809229,5.81803205833,9.19345635454e-05,1.42700829535
apt,0.0,7.78055188793,9.43200352927e-05,1.46403558781
Sulf1,6.46092318123,0.0,0.000105103273193,1.6314130065
CG9940,5.78357483295,0.0,0.00011600356004,1.80060725894
GV1,7.98065736208,0.0,0.00011600356004,1.80060725894
IP3K2,0.0,7.67540069919,0.000191695863289,2.97550318997
acj6,4.84764081058,0.0,0.000191695863289,2.97550318997
CG9896,0.0,5.96890855497,0.000191695863289,2.97550318997
CG14762,11.403960176,9.13784370863,0.000192101013517,2.98179193182
Rbp9,6.90161230428,9.07257956163,0.000192101013517,2.98179193182
nmo,9.82008134848,8.68602146014,0.000192101013517,2.98179193182
GluClalpha,7.23796877215,9.23188726698,0.000238840864478,3.70728789844
CG7781,11.3651699962,11.7868666957,0.000238840864478,3.70728789844
CG15537,10.8165530097,9.69256586438,0.000238840864478,3.70728789844
CG1402,7.69636346043,0.0,0.000260993147107,4.05113562939
CG31997,0.0,8.8175763085,0.000313816746402,4.87106353765
dpr18,7.94457595819,0.0,0.000490627225359,7.61551579203
CG6959,7.08383598936,0.0,0.000505276606553,7.84290348691
Irk1,0.0,6.71123662226,0.000505276606553,7.84290348691
Gr28b,6.28779567849,0.0,0.000542166280837,8.41550501115
Vps52,0.0,6.48309068924,0.000595886334442,9.24934768321
trn,7.88531340357,0.0,0.000599404297285,9.30395350247
jigr1,8.00004738485,2.6036034903,0.000660719458141,10.2556874293
cmpy,6.95152993545,8.9354826255,0.000660719458141,10.2556874293
Hsp67Bc,10.6467259667,8.52108501281,0.000670439238374,10.406557858
CG31030,11.410983109,11.0082896039,0.000676970721546,10.5079395398
Adf1,0.0,7.28650269593,0.000746008722863,11.5795473963
CG31676,8.72191224169,10.5904620902,0.000824088988833,12.7915092847
Ktl,9.51499042762,10.7894074989,0.000826019728117,12.8214782198
mCD8-GFP,11.9599203015,12.8342500787,0.000826019728117,12.8214782198
CG14182,4.831670924,0.0,0.000917336707587,14.2389003752
hth,8.77920152183,10.1804940326,0.00100475242783,15.5957671848
RpL30,7.13460324721,0.0,0.00112871004054,17.5198372493
NnaD,0.0,4.61893708623,0.00113640233548,17.6392370513
twit,0.0,9.20963331875,0.00125050505117,19.4103394042
Rpn6,8.96571717506,0.753982595765,0.00130526710377,20.2603559847
nAChRalpha1,0.437832424562,5.71275494225,0.00136666167891,21.2133225801
CG42534,0.0,3.36339618528,0.00142779274305,22.1621989576
CG6762,0.0,3.28321591762,0.00142779274305,22.1621989576
CCKLR-17D3,7.22421822905,0.0,0.00142779274305,22.1621989576
CG13288,0.0,7.20705409737,0.00156917424068,24.3567225639
DIP-theta,0.791605156995,7.88239527373,0.00157976558932,24.5211214775
rdgA,6.50142152245,3.01833237264,0.00170367355559,26.4444209299
Tim17b,7.6664570129,6.2292502567,0.00177491931746,27.5502976456
Ih,9.04510000725,9.93236874098,0.00177491931746,27.5502976456
ppl,0.0,7.5362326233,0.001828432202,28.3809246395
CG46280,8.50924534039,0.455051486112,0.00190593953565,29.5839934724
CG12121,0.0,6.51394362512,0.00239300692391,37.1442534729
AP-1mu,7.88115211763,0.0,0.00242461696602,37.6349045466
CG44153,6.42536252672,0.0,0.00242461696602,37.6349045466
Ggamma30A,8.94999277922,6.17895456287,0.00245863997421,38.1630096797
RpS20,6.12965021177,4.95548450058,0.00250604271143,38.8987949668
hoe1,3.65733543874,0.0,0.00252281894047,39.159195594
emb,3.36487535499,0.0,0.00252281894047,39.159195594
CG42747,7.46775393678,0.0,0.00252281894047,39.159195594
CG33543,8.82831577514,9.9050244013,0.00253472786605,39.3440459369
rgn,7.97809555828,9.4325627672,0.0025539527125,39.6424540034
Sam-S,8.66017452972,9.39696132656,0.0025539527125,39.6424540034
CG11876,8.70563814065,9.72531474501,0.0025539527125,39.6424540034
Hsp70Bb,6.45951867382,7.1965259536,0.0025539527125,39.6424540034
glob1,7.97088840962,0.0,0.0026641228572,41.3525149895
CG1824,6.96720562299,0.0,0.0027480089233,42.6545945074
CG32700,0.0,8.36821751254,0.00291155513335,45.1931587799
CG8839,0.0,8.24091577278,0.00291155513335,45.1931587799
beat-IIIb,8.18035602579,2.92762521647,0.00293985221537,45.632386087
CG1648,5.48593383817,8.26724417889,0.0030273744898,46.9909068306
dpr8,7.74935339437,5.2821065386,0.00304394018393,47.248039535
CG6044,11.7643986218,12.0810511847,0.00304947296561,47.3339193722
Argk,12.0356224457,11.4379657493,0.00304947296561,47.3339193722
caup,1.71026304129,0.0,0.00307529397712,47.7347131128
CG12155,7.22610531377,0.0,0.00307529397712,47.7347131128
Vps35,0.0,7.6827185371,0.00331651673921,51.4789728259
CG3253,5.90964178622,0.0,0.00331651673921,51.4789728259
CG30424,0.0,0.471320343767,0.00352705120034,54.7468887317
CG3270,0.437436304254,0.0,0.00352705120034,54.7468887317
CR43826,0.0,0.448788044234,0.00352705120034,54.7468887317
CG31323,0.516342110665,0.0,0.00352705120034,54.7468887317
CG11208,2.55356076112,0.0,0.00352705120034,54.7468887317
Plp,1.19774593553,0.0,0.00352705120034,54.7468887317
CG31760,0.0,2.60394019792,0.00352705120034,54.7468887317
Jra,0.0,0.49070665653,0.00352705120034,54.7468887317
CG12104,0.610766196005,0.0,0.00352705120034,54.7468887317
FRG1,2.64142030613,0.0,0.00352705120034,54.7468887317
foxo,0.0,0.448788044234,0.00352705120034,54.7468887317
CG32204,0.0,0.484617812926,0.00352705120034,54.7468887317
CG4615,2.25250687231,0.0,0.00352705120034,54.7468887317
Ada2b,0.0,1.68359712208,0.00352705120034,54.7468887317
CG8401,0.0,3.05707726438,0.00359044554028,55.7308956763
CG5375,7.87563399992,7.20757882753,0.00360467167913,55.9517138034
Mgat2,8.58639595837,9.48746834032,0.00360467167913,55.9517138034
ST6Gal,10.7507000092,9.98958660883,0.0036299774941,56.3445106633
kek1,6.43731300636,7.2777286899,0.0036299774941,56.3445106633
CR42862,8.84244186232,6.80922913794,0.0036299774941,56.3445106633
kat80,3.99147286138,0.0,0.00364894251992,56.6388857942
CG12795,0.0,6.4799520172,0.00364894251992,56.6388857942
