symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,0.0,11.5500009544,5.13445780758e-06,0.0796970540892
CG42541,7.00271373624,0.0,5.13445780758e-06,0.0796970540892
apt,0.0,8.3560240326,5.13445780758e-06,0.0796970540892
CG30089,7.19122253763,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,7.39869895231,5.13445780758e-06,0.0796970540892
PVRAP,8.31077956535,0.0,5.13445780758e-06,0.0796970540892
C15,9.7077644517,0.0,5.13445780758e-06,0.0796970540892
CG42747,7.64825980206,0.0,7.09569794446e-06,0.110139423494
CG7985,0.0,8.81706193745,9.33764556343e-06,0.144938934436
Cbp53E,5.94742823482,11.0504274346,1.69078033979e-05,0.262442924342
CG2082,12.1222702792,9.03284181692,1.82210136462e-05,0.282826573817
nAChRalpha2,8.86046070762,11.0380800239,1.82922767695e-05,0.283932720016
CG43729,10.8102622094,9.17277149212,1.82922767695e-05,0.283932720016
caup,7.81341960695,0.0,1.87923035691e-05,0.291694136
CG33639,5.35617780707,0.0,1.87923035691e-05,0.291694136
dpr15,0.0,7.8934853003,1.87923035691e-05,0.291694136
DIP-eta,0.0,8.27059681712,1.87923035691e-05,0.291694136
acj6,5.44970148571,0.0,1.87923035691e-05,0.291694136
CG14762,11.4618728595,8.85499652444,2.33853293559e-05,0.362987082263
CG31221,9.61934794721,2.16827907543,2.78712282901e-05,0.43261720552
CG42342,6.001676529,9.59488300484,2.9587322254e-05,0.459254416027
bru-3,6.68679731044,0.0,3.03089062316e-05,0.470454842527
CG42339,0.0,9.25110506329,5.07461880929e-05,0.787682331577
klg,5.41206046755,9.27103271923,5.9603053663e-05,0.925158598957
CG15537,10.8215918551,8.90224312162,6.1672877202e-05,0.957286399929
fru,0.0,7.37476221057,6.2654363942e-05,0.972521037107
Cow,7.1673325543,9.69997770403,7.78979465439e-05,1.20913192626
gukh,7.78900575605,0.0,7.99259080905e-05,1.24060994538
twit,0.0,9.41987096707,9.43200352927e-05,1.46403558781
mCD8-GFP,11.7108571527,12.9617717622,0.000123103116411,1.91080657294
rdgC,2.74894663695,9.93397789565,0.000138338286964,2.14728689026
beat-IIIb,8.06068606729,5.09504037595,0.000149416648845,2.31924522337
Hsp70Bb,6.28334530354,7.32998248017,0.000154022352814,2.39073496038
CG31997,5.31460031317,9.3652431651,0.000181067514352,2.81052995777
Teh4,8.16930798392,0.0,0.000191695863289,2.97550318997
hth,9.44222536265,10.6672104864,0.000192101013517,2.98179193182
Hsp67Bc,10.7063374804,8.95473903277,0.00029277029605,4.54438053528
Ktl,9.61531829585,10.9816960975,0.000296021072947,4.59483909429
MRE16,7.81537792796,9.3080676837,0.000296021072947,4.59483909429
CG8243,7.59221635206,0.0,0.000401100451324,6.22588120545
CG34113,5.44457301289,0.0,0.000401100451324,6.22588120545
Sulf1,7.05125821248,0.0,0.000490627225359,7.61551579203
eIF3ga,7.66597419261,0.0,0.000494091150955,7.66928284512
Tlk,0.0,5.0282543513,0.000494091150955,7.66928284512
Ggamma30A,8.77537913976,3.46434567688,0.00050606021451,7.85506664963
CG14400,0.0,1.46184839353,0.000542166280837,8.41550501115
CG13288,0.0,6.80938378143,0.000542166280837,8.41550501115
GV1,7.18605889013,0.0,0.000542166280837,8.41550501115
dpr6,7.62250828601,0.0,0.000542166280837,8.41550501115
Gos28,4.09338396596,0.0,0.000542166280837,8.41550501115
Dim1,4.48420470079,0.0,0.000542166280837,8.41550501115
Naam,0.0,8.25337951284,0.000542166280837,8.41550501115
CG8641,7.11019848857,0.0,0.000542166280837,8.41550501115
Irk1,0.0,8.41059052762,0.000542166280837,8.41550501115
RSG7,8.50625751551,5.66810374475,0.000547573038485,8.49942870336
CG5674,3.47574534363,0.0,0.000595886334442,9.24934768321
CCKLR-17D3,8.177379142,0.0,0.000792514928053,12.3014167132
CG31676,9.19746693605,10.5108334624,0.000824088988833,12.7915092847
