symbol,medianA,medianB,pvalue,pvalue_adj
PVRAP,8.31077956535,0.0,5.13445780758e-06,0.0796970540892
Fife,0.0,6.81856375086,5.13445780758e-06,0.0796970540892
C15,9.38229334298,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.1555888147,5.13445780758e-06,0.0796970540892
CG33639,5.30048416249,0.0,5.13445780758e-06,0.0796970540892
dpr15,0.0,8.45261662285,9.33764556343e-06,0.144938934436
Cbp53E,4.79268897539,11.3107718824,1.75893739454e-05,0.27302226238
CG31221,9.51045809229,3.01484272227,1.80085268433e-05,0.279528353662
bru-3,6.99656200463,0.0,2.08338413307e-05,0.323382885135
klg,4.90512051924,9.30412116096,2.2595776672e-05,0.350731645504
CG31997,2.50839997567,9.27958682832,2.6333192812e-05,0.408743818827
CG15537,10.8165530097,9.33331714993,3.0028801484e-05,0.466107056635
CG30089,6.39130819487,0.0,3.03089062316e-05,0.470454842527
rgn,7.6571385064,9.5880758256,3.77436870141e-05,0.585857509833
Cow,6.42209112949,9.58585861917,3.82914473375e-05,0.594359845572
CG43729,11.1686658875,8.88761705286,3.82914473375e-05,0.594359845572
nAChRalpha2,9.14162101409,10.978787667,3.82914473375e-05,0.594359845572
CG42339,0.0,9.61066942859,5.07461880929e-05,0.787682331577
CG42541,7.72505547116,0.0,6.2654363942e-05,0.972521037107
fru,0.0,7.85871548046,6.2654363942e-05,0.972521037107
caup,6.68472356383,0.0,6.2654363942e-05,0.972521037107
CG2082,12.0393308289,9.38512427956,7.78979465439e-05,1.20913192626
rdgC,7.10600920031,9.83963459836,9.68279741405e-05,1.50296381461
apt,0.0,8.1840981809,0.000119835656962,1.86008906736
CG7985,0.0,8.39868098664,0.000148206009967,2.30045368671
CG14762,11.1534627896,9.2617719656,0.000153557237674,2.38351544317
CG1402,7.69636346043,0.0,0.000161903572382,2.51306725052
acj6,4.90386617123,0.0,0.000191695863289,2.97550318997
CG31760,0.0,7.35066651843,0.000191695863289,2.97550318997
CG9896,0.0,7.58814523336,0.000191695863289,2.97550318997
CG9531,8.5871990291,10.0567830851,0.000192101013517,2.98179193182
DIP-eta,0.0,8.24642010521,0.00019433835008,3.01651986994
CG42342,6.29909930193,9.88527813783,0.000208158797579,3.23104085602
ND-23,8.16932386549,9.30268274103,0.000296021072947,4.59483909429
Ac76E,7.970785442,0.0,0.00039571968757,6.14236099045
Gr28b,7.59264406831,0.0,0.000401100451324,6.22588120545
CG34362,6.54389215648,0.0,0.000431569263818,6.69881811299
Glut4EF,8.61469414232,5.8455086177,0.000449304376389,6.9741025303
ST6Gal,11.1597456003,9.88976011404,0.00045046779818,6.99216116335
CG3262,7.76420765413,0.0,0.0004986200163,7.73957989301
nAChRalpha1,0.0,5.14208974818,0.0004986200163,7.73957989301
GV1,8.27221592276,0.0,0.000542166280837,8.41550501115
CG3568,3.55548291935,0.0,0.000542166280837,8.41550501115
CG42747,7.77368410874,0.0,0.000542166280837,8.41550501115
CG6959,4.16703051201,0.0,0.000542166280837,8.41550501115
CG17385,9.100384802,7.45450959134,0.000547573038485,8.49942870336
Ktl,9.67384577962,10.8073765235,0.000676970721546,10.5079395398
Sulf1,6.46092318123,0.0,0.000755145951111,11.7213754531
tay,4.18478105168,0.0,0.000792514928053,12.3014167132
CG6330,9.13849454052,9.96287105237,0.000826019728117,12.8214782198
CG42673,7.37128382746,0.0,0.000917336707587,14.2389003752
RhoGAP100F,6.25957567015,0.0,0.000924738753125,14.353794926
pros,10.1121559058,8.95333831805,0.00100475242783,15.5957671848
twit,0.0,9.32472622799,0.0010139646038,15.7387585801
CG9922,6.00402907919,0.0,0.00113640233548,17.6392370513
NnaD,0.0,5.9871030579,0.00113640233548,17.6392370513
Ten-a,6.8927811949,5.78066687958,0.00120776019566,18.746853757
ND-42,10.2059937453,10.9593739501,0.00121836740449,18.9114988526
sesB,11.9817718256,12.3539066425,0.00121836740449,18.9114988526
hth,9.04668315255,10.7596143118,0.00121836740449,18.9114988526
HERC2,6.05652635917,0.0,0.00122388950565,18.9972129066
hdc,5.20127533689,0.0,0.00122388950565,18.9972129066
CTPsyn,6.62455209402,0.0,0.00126291265293,19.6029301988
CR45312,0.0,5.86305768859,0.00126291265293,19.6029301988
CG13532,8.15147350599,0.0,0.00135089837356,20.9686445544
lace,0.0,8.01363113159,0.00137316776791,21.3143100934
CG30424,0.0,4.60996619885,0.00142779274305,22.1621989576
Rab3-GEF,1.87580500929,0.0,0.00142779274305,22.1621989576
Argk,12.2533529443,11.4526236332,0.00147282307527,22.8611597743
Mdh2,10.9918916372,11.4510334277,0.00147282307527,22.8611597743
Mp,7.74827327365,0.781450755765,0.00148723147035,23.0848068828
nAChRalpha6,8.77599382421,9.41585182128,0.00177491931746,27.5502976456
bol,8.45817871153,5.17689009686,0.00177491931746,27.5502976456
CG13248,7.55093209005,0.0,0.0018668701386,28.9775582913
ara,5.29329807761,0.0,0.00194175002269,30.1398438521
CG43737,8.85597342635,2.9757228389,0.00198913301754,30.8753226982
CG33090,9.47011794767,6.52812228962,0.00211572035207,32.8402113049
Rbp9,7.75316699927,8.70068465472,0.00213238245702,33.0988404978
Rpn13,6.93832160453,0.0,0.00237816800051,36.9139237038
eIF5,7.77795338112,4.34068891768,0.00253472786605,39.3440459369
CG5028,9.07215979513,10.0367483515,0.00254913889704,39.5677339598
CG31808,11.237962601,11.8860595678,0.0025539527125,39.6424540034
norpA,9.41821969151,7.86066088057,0.0025539527125,39.6424540034
tsu,6.56257884916,0.0,0.00285052336252,44.245823633
plum,5.95554375114,0.0,0.00286910496103,44.534247205
CG31676,8.75608290593,10.4009627209,0.00304394018393,47.248039535
GluClalpha,7.63355503298,9.35889666413,0.00304947296561,47.3339193722
Hsp67Bc,10.6467259667,9.16692623457,0.00304947296561,47.3339193722
VhaM8.9,10.1511232276,9.09387535905,0.00304947296561,47.3339193722
CG14806,0.457312386782,7.49845174944,0.00341170718464,52.95651892
Ccn,0.0,6.78302742236,0.00344965301637,53.54551412
tsh,0.0,2.11873021076,0.00352705120034,54.7468887317
beta-PheRS,0.457312386782,0.0,0.00352705120034,54.7468887317
CR32111,1.16036195511,0.0,0.00352705120034,54.7468887317
CG32204,0.0,2.46193755498,0.00352705120034,54.7468887317
DIP-delta,0.74162923505,0.0,0.00352705120034,54.7468887317
Dop1R2,0.437436304254,0.0,0.00352705120034,54.7468887317
nkd,1.0468942142,0.0,0.00352705120034,54.7468887317
