symbol,medianA,medianB,pvalue,pvalue_adj
PVRAP,8.08761608163,0.0,5.13445780758e-06,0.0796970540892
Scp2,0.0,11.0846989741,5.13445780758e-06,0.0796970540892
CG30089,5.64926362361,0.0,5.13445780758e-06,0.0796970540892
C15,9.25825954803,0.0,5.13445780758e-06,0.0796970540892
CG33639,5.51812897522,0.0,1.22446437935e-05,0.190061360963
klg,5.69476733984,9.37915886324,1.75893739454e-05,0.27302226238
Fife,0.0,6.77991189421,1.87923035691e-05,0.291694136
fru,0.0,7.07076603221,1.87923035691e-05,0.291694136
CG42339,0.0,8.86140628309,1.87923035691e-05,0.291694136
CG42541,7.75535909366,0.0,3.03089062316e-05,0.470454842527
Cbp53E,0.0,11.28488233,3.98264953155e-05,0.618186860287
CG2082,12.0222551141,8.89074181858,4.86728378236e-05,0.755499788697
GV1,8.43992336217,0.0,6.2654363942e-05,0.972521037107
CG17163,8.65535050412,0.0,8.30327653547e-05,1.28883458384
CG31676,7.8268126545,10.6649353201,9.68279741405e-05,1.50296381461
DIP-eta,0.0,8.49785535638,0.00011600356004,1.80060725894
CG15537,10.7214631962,9.05125231046,0.000123103116411,1.91080657294
Cow,7.35255137635,10.0889197958,0.000123103116411,1.91080657294
Msp300,8.13518147744,3.64490641359,0.000149416648845,2.31924522337
CG31221,9.51045809229,3.79550802295,0.000186526072248,2.89525769344
acj6,5.2743330686,0.0,0.000191695863289,2.97550318997
CG7985,0.0,8.68232671231,0.000191695863289,2.97550318997
caup,6.64807225482,0.0,0.000191695863289,2.97550318997
CG31808,11.2647488077,11.9570591565,0.000192101013517,2.98179193182
twit,0.0,9.48329579988,0.00019433835008,3.01651986994
nAChRalpha2,8.69794933227,10.7983052167,0.000236135092723,3.66528890925
GluClalpha,7.18437215728,9.24154690257,0.000238840864478,3.70728789844
bru-3,5.79324846549,0.0,0.000240683285505,3.73588595761
Ca-alpha1T,7.84364556485,0.0,0.000260993147107,4.05113562939
Ccn,0.0,7.50071041212,0.000308239766457,4.78449765495
plum,6.86835871039,0.0,0.000308239766457,4.78449765495
CG1402,6.64611038354,0.0,0.000318096176154,4.93748884626
cmpy,6.94349749653,8.56599209783,0.000356065705973,5.52685188811
CG42342,6.71486876827,9.61956675607,0.000361849544811,5.61662863455
glob1,7.96983355813,0.0,0.000386116522864,5.99330066789
CG34362,5.60201561626,0.0,0.000401100451324,6.22588120545
dpr15,0.0,7.90658772548,0.000505276606553,7.84290348691
CG42747,7.39884477636,0.0,0.000542166280837,8.41550501115
Gr28b,7.48694838019,0.0,0.000542166280837,8.41550501115
hth,8.41991079925,10.6937901854,0.00055308909204,8.58504888665
rb,1.93461016941,0.0,0.000634034528259,9.84148394764
Glut4EF,8.39669039191,6.34251780163,0.000660719458141,10.2556874293
beat-IIIb,8.05160499347,4.32516846582,0.000687455978547,10.670691699
Rpn6,8.87346888965,0.0,0.000755145951111,11.7213754531
CG43729,11.056462329,9.81387361282,0.000826019728117,12.8214782198
pros,10.2110180339,8.48177989147,0.00100475242783,15.5957671848
CG31997,4.7712495475,9.49804176832,0.00102287859676,15.8771215789
CG3262,6.23388759345,0.0,0.00112880308385,17.5212814675
CG8635,7.30042065186,0.0,0.00113640233548,17.6392370513
Usp7,5.75698950872,0.0,0.00125050505117,19.4103394042
Blos2,4.72485347612,0.0,0.00142779274305,22.1621989576
CG11474,3.79131895185,0.0,0.00142779274305,22.1621989576
CG9896,0.0,4.51499864983,0.00142779274305,22.1621989576
ara,4.60965095322,0.0,0.00142779274305,22.1621989576
CG43347,1.17457459938,0.0,0.00142779274305,22.1621989576
CG31760,0.0,4.40793898397,0.00142779274305,22.1621989576
CG14400,0.0,1.23134773703,0.00142779274305,22.1621989576
hdc,2.79715361803,0.0,0.00142779274305,22.1621989576
CG33543,8.62256192496,10.0070055682,0.00176053230348,27.3269824146
Tina-1,7.53811536088,8.91789575241,0.00177491931746,27.5502976456
RpS15Aa,7.15290547322,2.69334903018,0.00181311024187,28.1430971743
rdgC,6.06337607614,9.87531219635,0.00190761839086,29.610052663
ST6Gal,10.6902251674,9.10418643701,0.00213238245702,33.0988404978
IA-2,10.4618034603,11.480896267,0.00213238245702,33.0988404978
nrv2,7.82246728919,0.0,0.00221073834775,34.3150806338
mRpL32,5.95733855107,0.0,0.00252281894047,39.159195594
Acyp2,4.40256092852,0.0,0.00252281894047,39.159195594
apt,0.0,6.78398478181,0.00255244743278,39.6190890516
CG14762,11.3124659893,9.14784507333,0.0025539527125,39.6424540034
kek1,6.43731300636,7.58059252236,0.0025539527125,39.6424540034
shep,7.89699502133,9.28104682244,0.0025539527125,39.6424540034
CG5482,8.1931785285,1.14845421735,0.00274804120397,42.6550955681
Tomosyn,8.99893545007,9.96365609595,0.00278664517827,43.2543064571
CG17065,8.07904923337,0.0,0.00285052336252,44.245823633
jdp,7.34133255624,0.0,0.00291155513335,45.1931587799
Ddr,6.9657779363,0.0,0.00291155513335,45.1931587799
mCD8-GFP,12.002615343,12.726983602,0.00304947296561,47.3339193722
CG3253,6.89349279979,0.0,0.00309625179863,48.0600204183
qkr58E-3,7.96807036684,4.3702990344,0.0031244049632,48.4970138387
Ktl,9.94746904312,10.8073765235,0.00332244042047,51.5709202066
lace,1.46889137988,8.25696978279,0.00341170718464,52.95651892
trn,7.09173179643,0.0,0.00344965301637,53.54551412
Gpi1,2.37536936032,0.0,0.00352705120034,54.7468887317
CR43825,0.0,0.492206816424,0.00352705120034,54.7468887317
Uhg3,0.444663920862,0.0,0.00352705120034,54.7468887317
CG1620,0.0,0.56097599637,0.00352705120034,54.7468887317
CCKLR-17D3,3.12080164057,0.0,0.00352705120034,54.7468887317
BtbVII,1.69011840728,0.0,0.00352705120034,54.7468887317
CG5285,1.93373833225,0.0,0.00352705120034,54.7468887317
IP3K2,0.0,3.54905832184,0.00352705120034,54.7468887317
Gnf1,3.10840649667,0.0,0.00352705120034,54.7468887317
CR32111,1.16036195511,0.0,0.00352705120034,54.7468887317
CG13707,3.08715968807,0.0,0.00352705120034,54.7468887317
CG2218,1.80638911055,0.0,0.00352705120034,54.7468887317
Aldh,1.90167725846,0.0,0.00352705120034,54.7468887317
tsh,0.0,3.48392875262,0.00352705120034,54.7468887317
CR43826,0.0,0.460369062749,0.00352705120034,54.7468887317
CG3568,2.32714725665,0.0,0.00352705120034,54.7468887317
CG34167,0.0,0.93970601321,0.00352705120034,54.7468887317
Ggamma30A,8.77194629513,7.61525136756,0.00356688708755,55.3652213729
par-1,7.26689952953,3.84207132867,0.00360467167913,55.9517138034
CG6959,5.33208953781,0.0,0.00364894251992,56.6388857942
CR45312,0.0,6.64691213382,0.00364894251992,56.6388857942
CG43658,3.17591786318,0.0,0.00364894251992,56.6388857942
Hrb98DE,8.87024148398,5.65389110727,0.00372253114903,57.7811284952
CG32850,4.11341599062,0.0,0.00373444360938,57.9660337047
Gfat2,6.99387960627,0.0,0.00374224898317,58.0871887168
CG13293,5.55943750516,0.0,0.00398864969176,61.9118205154
Efa6,0.0,5.70196131828,0.0041336439511,64.162421409
Sxl,4.19343912605,0.0,0.00415787213509,64.5384912809
CG1358,0.0,9.26680913505,0.00418611821577,64.9769269452
FK506-bp2,8.93445342097,8.18363994335,0.00430055266134,66.7531784093
Su(var)3-3,3.26529478141,0.0,0.00447257634231,69.4233299853
pan,0.0,3.51643736786,0.00447257634231,69.4233299853
CG5516,3.62683255067,0.0,0.00447257634231,69.4233299853
CG9922,4.9093774849,0.0,0.00451760512169,70.1222666989
beat-Vb,0.0,8.4537904788,0.00457076610572,70.9474314929
TSG101,7.86810215844,0.53150849848,0.00464668781242,72.1258882244
chic,7.31474030713,0.460369062749,0.00464668781242,72.1258882244
CG43737,8.85917583211,5.16243469358,0.00493354571083,76.5784965235
CG32264,5.95139527959,0.0,0.00493654540271,76.6250577408
CG14043,0.0,8.22984655842,0.00493654540271,76.6250577408
nAChRalpha6,8.81206793166,9.34926411305,0.00509655249555,79.108687836
mRpS10,7.11735466163,0.0,0.00543592854447,84.3764828673
CG5276,5.02491253956,0.0,0.00545841288083,84.7254847362
l(2)k01209,4.55877714488,0.0,0.00545841288083,84.7254847362
mRpS22,5.96686679663,0.0,0.00570910433234,88.6167174465
Ca-beta,0.0,3.67573714074,0.00570910433234,88.6167174465
CG1416,7.67235091371,0.0,0.00570910433234,88.6167174465
Max,6.92675490378,0.0,0.00571579258186,88.7205324556
mRpL22,7.51821711376,0.0,0.00571579258186,88.7205324556
nAChRalpha1,0.836974566667,5.76078316823,0.00582677971481,90.4432747333
CG5708,6.56134484664,0.0,0.00587556329273,91.2004934297
CG30094,5.76205337685,0.0,0.00587556329273,91.2004934297
gus,8.53138271088,6.80835236113,0.00597427122471,92.7326379499
GABA-B-R2,8.6341485786,5.97957885434,0.00597427122471,92.7326379499
SRPK,7.68033184633,5.84403783746,0.00600211729593,93.1648646674
sli,6.51342686825,1.96065670252,0.00617968770751,95.9211125959
CG7565,8.42998687318,5.92730675611,0.00649274409288,100.78037381
CG2182,7.7376342075,0.0,0.00653613018271,101.453812696
CG1824,6.90381802208,0.0,0.00653613018271,101.453812696
rad,1.15894808432,0.0,0.00663282670479,102.954736112
Gasz,7.14880954885,0.0,0.0067947678321,105.46838629
Sulf1,6.46092318123,0.0,0.00696973433282,108.184216314
pgant2,4.81693256369,0.0,0.00696973433282,108.184216314
wdb,4.9116705366,7.30933552906,0.00702709940089,109.074636901
Spn,7.09122283187,8.28449452937,0.00706898472796,109.724780947
SkpA,10.378234325,9.46357834466,0.00706898472796,109.724780947
Hsp70Bb,6.46815053472,7.23154994391,0.00706898472796,109.724780947
Pi4KIIalpha,3.42110258822,0.0,0.00770023265441,119.523011262
Rcc1,4.64373010885,0.0,0.00770143730756,119.541709888
CG42260,3.62560856784,0.0,0.00770143730756,119.541709888
Sec63,2.43504115767,0.0,0.00802528727053,124.568509013
CG32856,1.04637768344,0.0,0.00802528727053,124.568509013
CG6665,5.06108157681,0.0,0.00802528727053,124.568509013
HP5,3.31899951974,0.0,0.00802528727053,124.568509013
eIF3ga,7.89040972066,6.62526663362,0.00805333439793,125.003856525
Men,9.04171876527,6.89803556379,0.00805333439793,125.003856525
CG17931,5.75736119797,0.0,0.00815814803603,126.630773815
CG4858,0.0,0.0,0.00823657790279,127.848162207
CG13300,0.0,0.0,0.00823657790279,127.848162207
Nup107,0.0,0.0,0.00823657790279,127.848162207
MED24,0.0,0.0,0.00823657790279,127.848162207
